Titre,Avis,Type,Price
31. Locanda Alla Romana,227 avis,"Italienne, Pizza",€€-€€€
32. CasaManco,502 avis,"Italienne, Pizza",€
33. Francesco Forti Ricevimenti,200 avis,"Italienne, Fruits de mer et poisson",€€€€
34. Er Pizzicarolo,697 avis,"Italienne, Méditerranéenne",€
35. Bistro Salentino,225 avis,"Italienne, Méditerranéenne",€€-€€€
36. Pane e Salame,8 368 avis,"Italienne, Cuisine de rue (street food)",€
37. La Tavernetta 29 Da Tony E Andrea,6 291 avis,"Romana, Latium",€€-€€€
38. Ristorante Crispi 19,3 294 avis,"Italienne, Fruits de mer et poisson",€€€€
39. Pizza Zizza Caffetteria Birreria Desserteria,3 469 avis,"Italienne, Pizza",€
40. Hostaria Antica Roma,1 302 avis,"Italienne, Fruits de mer et poisson",€€-€€€
41. Pizzeria Mammapà,133 avis,"Italienne, Pizza",€
42. RIONE XIV bistrot,1 099 avis,"Italienne, Méditerranéenne",€€-€€€
43. PePPO a Cinecittà,184 avis,"Italienne, Pizza",€€€€
44. Dejavu,222 avis,"Italienne, Japonaise",€€-€€€
45. StuPisci,525 avis,"Italienne, Fruits de mer et poisson",€€-€€€
46. Platea Pizzeria,124 avis,"Italienne, Pizza",€€-€€€
47. Pasta e Vino - Torre Argentina,302 avis,"Italienne, Romana",€€€€
48. Pizza E Mozzarella,2 163 avis,"Italienne, Pizza",€
49. EGG,1 628 avis,"Italienne, Restauration rapide",€
50. Bentu & Soi,948 avis,"Italienne, Fruits de mer et poisson",€€-€€€
51. Ornelli Black Angus Steakhouse,930 avis,"Steakhouse, Grillades",€€-€€€
52. L'altra Guancia,305 avis,"Italienne, Méditerranéenne",€€-€€€
53. Scialla the Original Streetfood,585 avis,"Italienne, Pizza",€
54. Mi'ndujo - Via Catania,661 avis,"Italienne, Bar",€€-€€€
55. PanDivino - Focacceria Taperia,875 avis,"Italienne, Espagnole",€
56. Mimì e Cocò,9 998 avis,"Italienne, Romana",€€-€€€
57. Pizzeria Italia dal 1987,348 avis,"Italienne, Pizza",€
58. Ombre Rosse,9 540 avis,"Italienne, Bar",€€-€€€
59. El Maiz Venezuelan Street Food,369 avis,"Latino, Vénézuélienne",€
60. Tonnarello Scala,999 avis,"Italienne, Méditerranéenne",€€-€€€
61. Mi'Ndujo - Aura,1 069 avis,"Italienne, Bar",€€-€€€
62. Bacetto Bistrot,167 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
63. Hosteria La Pietra Pertusa,169 avis,"Italienne, Méditerranéenne",€€-€€€
64. Vox Populi,219 avis,"Italienne, Bar",€
65. Kisa Cuisine & Lounge,520 avis,"Italienne, Fruits de mer et poisson",€€-€€€
66. Giaró,177 avis,"Italienne, Fruits de mer et poisson",€€-€€€
67. Il Ferro e il Fuoco,81 avis,"Italienne, Internationale",€€€€
68. Rosamunda's,366 avis,"Italienne, Pizza",€€-€€€
69. Grano - la cucina di Traiano,779 avis,Pizza,€
70. La Baguetteria del Valle,297 avis,"Italienne, Traiteur",€
71. Sottocasa Food,167 avis,"Italienne, Bar",€€-€€€
72. Amerina la Pizzetta,195 avis,"Italienne, Pizza",€
73. Virginiae,2 538 avis,"Italienne, Méditerranéenne",€€-€€€
74. Pizzeria I Gemelli,209 avis,Pizza,€
75. La Divina Da Giulio,156 avis,"Italienne, Pizza",€€-€€€
76. Osti Matti,700 avis,"Italienne, Méditerranéenne",€€-€€€
77. Rione 13,1 933 avis,"Italienne, Pizza",€€-€€€
78. Gezin Pub,253 avis,"Bar à bières, Pub",€€-€€€
79. Prosciutteria Alcolica,105 avis,"Italienne, Méditerranéenne",€€-€€€
80. Il Ritrovo,371 avis,"Méditerranéenne, Romana",€€-€€€
81. Ninkasi,808 avis,"Italienne, Steakhouse",€€-€€€
82. Sapore di Roma,521 avis,"Pizza, Fruits de mer et poisson",€€-€€€
83. Grazia & Graziella,24 887 avis,"Italienne, Pizza",€€-€€€
84. Osteria da Fortunata - Cancelleria,1 002 avis,"Italienne, Méditerranéenne",€€€€
85. JiAmo Lab,119 avis,"Chinoise, Asiatique",€
86. Dumpling Bar,1 102 avis,"Chinoise, Asiatique",€
87. Ristorante Arlù,3 095 avis,"Italienne, Méditerranéenne",€€-€€€
88. Cantina & Cucina,17 434 avis,"Italienne, Européenne",€€-€€€
89. Borghiciana Pastificio Artigianale,1 512 avis,"Italienne, Méditerranéenne",€€-€€€
90. Goki Sushi Experience San Paolo,477 avis,"Chinoise, Japonaise",€€-€€€
91. Mi'ndujo - Tuscolana,276 avis,"Italienne, Bar",€€-€€€
92. Birreria Martini Esperienza Tedesca,513 avis,"Allemande, Pub",€€-€€€
93. Mimi e Coco Trast,2 309 avis,"Italienne, Bar",€€-€€€
94. 7 Cereali,575 avis,"Pizza, Saine",€€-€€€
95. Il Tamburello di Pulcinella,1 587 avis,"Italienne, Pizza",€€-€€€
96. Ristorante Dai Miei,203 avis,"Italienne, Méditerranéenne",€€-€€€
97. Sfiziarte - The Art of Food,1 050 avis,"Italienne, Méditerranéenne",€
98. Mi'Ndujo - Ponte Milvio,579 avis,"Italienne, Bar",€€-€€€
99. Armando e il Conte,257 avis,"Italienne, Méditerranéenne",€€-€€€
100. Su & Giu Cucina Romana,3 649 avis,"Italienne, Méditerranéenne",€€-€€€
101. La Prezzemolina,667 avis,"Italienne, Pizza",€
102. Bono Bottega Nostrana - Monti,438 avis,"Italienne, Méditerranéenne",€€-€€€
103. Pescado Seafood Restaurant,213 avis,"Italienne, Fruits de mer et poisson",€€€€
104. FASSANGUE_ La Bottega,349 avis,"Italienne, Française",€€-€€€
105. Taverna Tintoretto,369 avis,"Italienne, Méditerranéenne",€€-€€€
106. VIDA - Living Restaurant & Wine Bar,1 402 avis,"Italienne, Steakhouse",€€-€€€
107. Almatò,166 avis,"Italienne, Fruits de mer et poisson",€€€€
108. Il Tagliere Toscano Navona,1 416 avis,"Italienne, Méditerranéenne",€€-€€€
109. Mercato Hostaria,1 780 avis,"Italienne, Bar",€€-€€€
110. L'Estro del Pesce,274 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
111. Coming Out,4 214 avis,"Italienne, Bar",€€-€€€
"112. Ristorante Luigi, Cantina E Cucina",79 avis,"Italienne, Internationale",€€-€€€
113. Food Factory,170 avis,"Italienne, Méditerranéenne",€
114. Vecchia Trastevere,1 056 avis,"Italienne, Méditerranéenne",€€-€€€
115. SEVEN & ELEVEN ROMA,190 avis,"Italienne, Méditerranéenne",€€-€€€
116. Angelo Ristorante Trattoria - Bar,189 avis,"Italienne, Méditerranéenne",€€-€€€
117. Sfiziami Italian Bistrot,302 avis,"Italienne, Méditerranéenne",€
118. Greco Romano,277 avis,"Méditerranéenne, Grecque",€
119. La Piccola Cuccagna,1 476 avis,"Italienne, Méditerranéenne",€€-€€€
120. Mare Terra,379 avis,"Italienne, Fruits de mer et poisson",€€-€€€
121. Passioni di Pasta all'Uovo,279 avis,"Italienne, Méditerranéenne",€
122. Tanti Baci Restaurant,255 avis,"Italienne, Méditerranéenne",€€-€€€
123. Pizza Florida,1 388 avis,"Italienne, Pizza",€
124. Osteria da Fortunata - Rinascimento,1 732 avis,"Italienne, Méditerranéenne",€€-€€€
125. VII Coorte,2 454 avis,"Italienne, Fruits de mer et poisson",€€-€€€
126. Cucineria Duca Re,361 avis,"Italienne, Pizza",€€-€€€
127. Ristorante Dogma,125 avis,"Italienne, Fruits de mer et poisson",€€-€€€
128. I Gladiatori,733 avis,"Italienne, Pizza",€€-€€€
129. Tora Sushi & Asian Cuisine,885 avis,"Japonaise, Fruits de mer et poisson",€€€€
130. Grano Trattoria,335 avis,"Italienne, Pizza",€
131. Essenza Wine Bar,774 avis,"Italienne, Bar à bières",€€-€€€
132. Tonnarello,37 002 avis,"Italienne, Romana",€€-€€€
133. Komorebi Japanese Restaurant,224 avis,"Japonaise, Fruits de mer et poisson",€€€€
134. Otello,14 514 avis,"Italienne, Romana",€€-€€€
135. Nannarella,15 102 avis,"Italienne, Méditerranéenne",€€-€€€
136. Piro - Osteria di Pesce,482 avis,"Italienne, Fruits de mer et poisson",€€€€
137. Aqualunae Bistrot,594 avis,"Italienne, Fruits de mer et poisson",€€-€€€
138. Breakfast Club Roma,89 avis,"Bar, Saine",€
139. Vecchia Osteria del Gelsomino,998 avis,"Italienne, Méditerranéenne",€€-€€€
140. Life Ristorante,4 292 avis,"Italienne, Fruits de mer et poisson",€€€€
141. Mama Eat Roma borgo pio,994 avis,"Italienne, Pizza",€
142. Pizza della Madonna dei Monti,253 avis,"Italienne, Pizza",€
143. Tira e Molla,5 320 avis,"Italienne, Bar",€€-€€€
144. Ristorante Pizzeria Andrea,848 avis,Italienne,€
145. Berninetta depuis 1930,218 avis,"Italienne, Pizza",€€-€€€
146. Unik Restaurant,384 avis,"Italienne, Romana",€€-€€€
147. ONE SENSE by Valla,227 avis,"Italienne, Fruits de mer et poisson",€€-€€€
148. Pinsa 'Mpò,1 498 avis,"Italienne, Pizza",€
149. Tosca - Trattoria Pinseria al Viminale 33 Roma,292 avis,"Italienne, Pizza",€€-€€€
150. saltimbocca,2 823 avis,"Italienne, Pizza",€€-€€€
151. Domusteak,865 avis,"Italienne, Steakhouse",€€-€€€
152. Cafè Memè International Bistrot,412 avis,Internationale,€€-€€€
153. Pipero Roma,868 avis,"Italienne, Fruits de mer et poisson",€€€€
154. Baguetteria del Fico,1 693 avis,"Italienne, Bar à bières",€
155. Tiuni Osteria Contemporanea,202 avis,"Italienne, Fruits de mer et poisson",€€-€€€
156. Pasta e Vino - Via Florida,2 659 avis,"Italienne, Méditerranéenne",€€-€€€
157. Trieste Pizza,1 087 avis,"Italienne, Pizza",€
158. Pinsere,4 263 avis,"Pizza, Cuisine de rue (street food)",€
159. La Tana,708 avis,"Italienne, Méditerranéenne",€€-€€€
160. Dar Bello de Nonna Osteria Romana,434 avis,"Italienne, Méditerranéenne",€€-€€€
161. Enoteca Trastevere,3 638 avis,"Italienne, Méditerranéenne",€€-€€€
162. Arrosticino Pane & Vino,296 avis,"Italienne, Barbecue/Grillades",€€-€€€
163. Il Laboratorio della Pizza,508 avis,"Italienne, Pizza",€
164. Est Artigiani del Gusto,1 882 avis,"Italienne, Méditerranéenne",€€-€€€
165. Dar Bruttone,2 708 avis,"Méditerranéenne, Romana",€€-€€€
166. Osteria Padì,605 avis,"Italienne, Fruits de mer et poisson",€
167. Angeli Rock,1 513 avis,"Pizza, Latium",€€-€€€
168. Ponte e Parione,2 698 avis,"Italienne, Méditerranéenne",€€-€€€
169. Feffo,259 avis,"Thé et café, Italienne",€€-€€€
170. Osteria La Sol Fa,1 547 avis,"Méditerranéenne, Romana",€€-€€€
171. Ai Cocci,435 avis,"Italienne, Pizza",€€-€€€
172. Garden Risto,720 avis,"Italienne, Pizza",€€-€€€
173. Chiancheria Gourmet,862 avis,"Italienne, Steakhouse",€€-€€€
174. La Porta Del Principe,757 avis,"Italienne, Fruits de mer et poisson",€€€€
175. Pinsa e Gusto,297 avis,"Italienne, Pizza",€
176. Origano Campo de' Fiori,1 674 avis,"Italienne, Pizza",€€-€€€
177. Mordi e Vai,814 avis,"Italienne, Restauration rapide",€
178. Pizzeria Romana Al Taglio,406 avis,"Italienne, Pizza",€
179. Peppo al Cosimato,1 148 avis,"Italienne, Pizza",€€-€€€
180. Taverna Lucifero,817 avis,Italienne,€€-€€€
181. Saltimbocca San Lorenzo,196 avis,"Italienne, Fruits de mer et poisson",€€-€€€
182. le Cicale di Veio,654 avis,"Italienne, Fruits de mer et poisson",€€-€€€
183. Osteria del Cavaliere,1 853 avis,"Italienne, Méditerranéenne",€€-€€€
184. Gustamundo-sede aurelio,352 avis,"Mexicaine, Africaine",€€-€€€
185. La Nuova Piazzetta,2 205 avis,"Italienne, Pizza",€€-€€€
186. Gli Specialisti,809 avis,"Italienne, Pizza",€€-€€€
187. Agrodolce,845 avis,"Italienne, Saine",€€-€€€
188. Tiberino,1 546 avis,"Italienne, Fruits de mer et poisson",€€-€€€
189. MiVà,2 337 avis,"Italienne, Fruits de mer et poisson",€€-€€€
190. LABottega Pastificio con Cucina,541 avis,"Italienne, Méditerranéenne",€
191. Popeye Pizza,282 avis,"Italienne, Pizza",€
192. Ai Bozzi da Giovanni,1 800 avis,"Italienne, Fruits de mer et poisson",€€-€€€
193. La Locanda del Gatto Nero,1 969 avis,"Italienne, Steakhouse",€€-€€€
194. Tocco Ferro,313 avis,"Italienne, Fruits de mer et poisson",€€-€€€
195. Che Pasta!,314 avis,"Italienne, Méditerranéenne",€
196. I Sofa Bar Restaurant & Roof Terrace,836 avis,"Italienne, Fruits de mer et poisson",€€€€
197. Imàgo,1 232 avis,"Italienne, Méditerranéenne",€€€€
198. Pizzeria Mediterranea,364 avis,"Italienne, Pizza",€
199. Rosemary - Terra e Sapori,779 avis,"Italienne, Internationale",€€-€€€
200. Vanda,340 avis,"Italienne, Méditerranéenne",€€€€
201. Il Panzotto,563 avis,"Italienne, Méditerranéenne",€€€€
202. Colline Emiliane,2 029 avis,"Italienne, Émilienne",€€-€€€
203. Ristorante dei Musei,2 458 avis,"Italienne, Pizza",€
204. Vinsanto,188 avis,"Italienne, Fruits de mer et poisson",€€-€€€
205. Ristorante Sandalia,467 avis,"Italienne, Fruits de mer et poisson",€€€€
206. Bar San Marcello,287 avis,"Italienne, Café",€
207. Polpetta Trastevere,1 506 avis,"Italienne, Internationale",€€-€€€
208. Mama Eat Roma Trastevere,3 702 avis,"Italienne, Pizza",€€-€€€
209. La Pace Del Palato,985 avis,"Italienne, Méditerranéenne",€€-€€€
210. Spaghetti,1 177 avis,"Italienne, Méditerranéenne",€€-€€€
211. Antica Osteria Rugantino,946 avis,Romana,€€-€€€
212. Il Segreto,559 avis,"Italienne, Romana",€€-€€€
213. Enqutatash African Restaurant,841 avis,"Africaine, Éthiopienne",€€-€€€
214. Pizzium - Roma Viale Newton,207 avis,"Italienne, Pizza",€
215. The Race Club Roma Speakeasy,640 avis,Bar,€€-€€€
216. Il Barroccio,1 454 avis,"Italienne, Romana",€€-€€€
217. Masto,564 avis,"Italienne, Internationale",€€-€€€
218. La Valle del Sacco,1 945 avis,"Italienne, Pizza",€
219. Porta Castello,1 476 avis,"Italienne, Pizza",€
220. Alfredo e Ada,1 276 avis,"Italienne, Méditerranéenne",€
221. Ristorante Chiaroscuro,832 avis,Italie du Centre,€€-€€€
222. Casa Prati,739 avis,"Italienne, Méditerranéenne",€€-€€€
223. Dema Restaurant,434 avis,"Italienne, Fruits de mer et poisson",€€-€€€
224. Stile Benaco,903 avis,"Italienne, Fruits de mer et poisson",€€-€€€
225. Il Ragno d'Oro,3 567 avis,"Italienne, Fruits de mer et poisson",€€-€€€
226. Fres&co Coronari,568 avis,Italienne,€€-€€€
227. 'Gusto,4 146 avis,"Italienne, Italie du Nord",€€-€€€
228. Trattoria Casa Mia In Trastevere,1 109 avis,"Italienne, Méditerranéenne",€€-€€€
229. Schietto Cucina alla Mano,345 avis,"Italienne, Fruits de mer et poisson",€€-€€€
230. Contrario - Vineria Con Cucina,333 avis,"Italienne, Méditerranéenne",€€-€€€
