Titre,Date,Lieux,Ville,Type,prix
"
      ENTREE WELLNESS ET FITNESS
    ","
      1 janvier 2022
    ",MONDORF DOMAINE THERMAL,MONDORF LES BAINS,LOISIRS ET TOURISME - BIEN-ETRE ET SPORT,"

      27.00 €"
"
      WALIBI BELGIUM - JOURNEES TERRIFIANTES
    ","
      21 octobre 2023
    ",WALIBI BELGIUM,WAVRE,PARC - PARC DE LOISIRS,"

      46.00 "
"
      PLOPSALAND - PASS SAISON
    ","
      9 février 2023
    ",PLOPSALAND,LA PANNE,PARC - PARC DE LOISIRS,"

      55.00 "
"
      BELLEWAERDE - HALLOWEEN 21/10 & 04/11/23
    ","
      21 octobre 2023
    ",BELLEWAERDE PARK,YPRES,PARC - PARC DE LOISIRS,"

      41.00 "
"
      PLOPSALAND - PASS GOLD
    ","
      14 février 2023
    ",PLOPSALAND,LA PANNE,PARC - PARC DE LOISIRS,"

      99.00 "
"
      QUEENS OF THE STONE AGE
    ","
      5 novembre 2023
    ",ROCKHAL - MAIN HALL,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,
"
      REAL MADRID / RAYO VALLECANO
    ","
      5 novembre 2023
    ",STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,
"
      WALIBI BELGIUM - HALLOWEEN EN FAMILLE
    ","
      22 octobre 2023
    ",WALIBI BELGIUM,WAVRE,PARC - PARC DE LOISIRS,"

      43.00 "
"
      BELLEWAERDE - JOURNEES HALLOWEEN
    ","
      22 octobre 2023
    ",BELLEWAERDE PARK,YPRES,PARC - PARC DE LOISIRS,"

      40.00 "
"
      DEATHSTARS
    ","
      6 novembre 2023
    ",ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - HARD METAL,"

      29.20 "
"
      LAIBACH
    ","
      22 octobre 2023
    ",DEN ATELIER,LUXEMBOURG,CONCERT - POP ROCK FOLK,"

      38.50 "
"
      ATLETICO MADRID / CELTIC FC
    ","
      7 novembre 2023
    ",CIVITAS METROPOLITANO MADRID,MADRID,SPORT - FOOTBALL,
"
      REAL MADRID / SC BRAGA
    ","
      8 novembre 2023
    ",STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,"

      137.50 "
"
      ROMAN FRAYSSINET
    ","
      10 novembre 2023
    ",CHAPITO - CASINO 2000,MONDORF LES BAINS,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,
"
      MARTIN SOLVEIG
    ","
      10 novembre 2023
    ",ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - MUSIQUE ELECTRONIQUE,"

      50.00 "
"
      FC BARCELONE / D.ALAVES
    ","
      11 novembre 2023
    ",STADE OLYMPIQUE LLUIS COMPANYS,BARCELONE,SPORT - FOOTBALL,"

      66.00 "
"
      OBISPO
    ","
      11 novembre 2023
    ",FOREST NATIONAL,BRUXELLES,CONCERT - VARIETE ET CHANSON FRANCAISE,"

      49.00 "
"
      REAL MADRID / VALENCIA
    ","
      11 novembre 2023
    ",STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,
"
      DEATH ANGEL & SACRED REICH
    ","
      12 novembre 2023
    ",GARAGE,SARREBRUCK/SARRE,CONCERT - HARD METAL,"

      35.20 "
"
      LIL TJAY
    ","
      12 novembre 2023
    ",ROCKHAL - MAIN HALL,ESCH/ALZETTE,CONCERT - RAP HIP-HOP SLAM,"

      46.50 "
"
      ATLETICO MADRID / VILLARREAL
    ","
      12 novembre 2023
    ",CIVITAS METROPOLITANO MADRID,MADRID,SPORT - FOOTBALL,"

      93.50 "
"
      BOBBEJAANLAND
    ","
      1 avril 2023
    ",BOBBEJAANLAND PARC,LICHTAART,PARC - PARC DE LOISIRS,"

      24.90 "
"
      DOMAINE DES GROTTES DE HAN
    ","
      18 février 2023
    ",DOMAINE DES GROTTES DE HAN,HAN SUR LESSE/BELGIQUE,PARC - PARC ANIMALIER,"

      27.50 "
"
      TOMMY CASTRO & THE PAINKILLERS
    ","
      14 novembre 2023
    ",ROCKHAL - THE FLOOR,ESCH S/ALZETTE,CONCERT - BLUES COUNTRY,"

      26.00 "
"
      FARY
    ","
      10 décembre 2023
    ",CHAPITO - CASINO 2000,MONDORF LES BAINS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,"

      49.00 "
"
      LOUIS BERTIGNAC
    ","
      15 novembre 2023
    ",DEN ATELIER,LUXEMBOURG,CONCERT - POP ROCK FOLK,"

      50.00 "
"
      DANKO JONES
    ","
      17 novembre 2023
    ",DEN ATELIER,LUXEMBOURG,CONCERT - POP ROCK FOLK,"

      30.20 "
"
      CHRISTOPHE MAE
    ","
      17 novembre 2023
    ",FOREST NATIONAL,BRUXELLES,CONCERT - VARIETE ET CHANSON FRANCAISE,"

      35.00 "
"
      JAZZ & CINEMA
    ","
      17 novembre 2023
    ",OPERA GARNIER DE MONTE CARLO,MONTE CARLO,CONCERT - JAZZ,"

      13.50 "
"
      ARCHIVE
    ","
      17 novembre 2023
    ",ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,
"
      THE DARKNESS
    ","
      18 novembre 2023
    ",DEN ATELIER,LUXEMBOURG,CONCERT - POP ROCK FOLK,
"
      RON CARTER FOURSIGHT QUARTET
    ","
      18 novembre 2023
    ",OPERA GARNIER DE MONTE CARLO,MONTE CARLO,CONCERT - JAZZ,"

      73.50 "
