Titre,Date,Lieux,VILLE,Type,prix
"
      LE ROI LION
    ","
      20 septembre 2023
    ",THEATRE MOGADOR,PARIS,SPECTACLE ET COMEDIE MUSICALE - COMEDIE MUSICALE,"

      26.00 "
"
      WEST SIDE STORY
    ","
      20 octobre 2023
    ",THEATRE DU CHATELET,PARIS,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,"

      39.90 "
"
      BLACK LEGENDS, LE MUSICAL
    ","
      5 octobre 2023
    ",LE 13EME ART,PARIS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,"

      29.00 "
"
      MAMMA MIA ! LE MUSICAL
    ","
      21 octobre 2023
    ",CASINO DE PARIS,PARIS,SPECTACLE ET COMEDIE MUSICALE - COMEDIE MUSICALE,"

      16.00 "
"
      DISNEY BILLET DATE 1 JOUR
    ","
      3 octobre 2023
    ",DISNEYLAND PARIS,MARNE LA VALLEE CEDEX 4,PARC - PARC DE LOISIRS,"

      52.00 "
"
      DISNEY BILLET DATE 2 JOURS
    ","
      3 octobre 2023
    ",DISNEYLAND PARIS,MARNE LA VALLEE CEDEX 4,PARC - PARC DE LOISIRS,"

      132.00 "
"
      DISNEY BILLET DATE 3 JOURS
    ","
      3 octobre 2023
    ",DISNEYLAND PARIS,MARNE LA VALLEE CEDEX 4,PARC - PARC DE LOISIRS,"

      186.00 "
"
      SHERLOCK HOLMES
    ","
      24 octobre 2023
    ",LE 13EME ART,PARIS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE JEUNE PUBLIC,"

      19.00 "
"
      INHALER
    ","
      24 octobre 2023
    ",La Cigale,PARIS,CONCERT - POP ROCK FOLK,"

      29.70 "
"
      VIKTOR VINCENT - FANTASTIK
    ","
      6 octobre 2023
    ",THEATRE DE LA TOUR EIFFEL,PARIS,SPECTACLE ET COMEDIE MUSICALE - MAGIE,"

      17.00 "
"
      VERINO
    ","
      28 septembre 2023
    ",COMEDIE DES CHAMPS-ELYSEES,PARIS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,"

      19.50 "
"
      LOMEPAL
    ","
      28 mars 2023
    ",ACCOR ARENA,PARIS,CONCERT - RAP HIP-HOP SLAM,"

      40.00 "
"
      STEIN PICASSO - ENTRÉE SIMPLE
    ","
      13 septembre 2023
    ",MUSEE DU LUXEMBOURG,PARIS,EXPOSITION ET MUSEE - EXPOSITION,"

      11.50 "
"
      RUY BLAS
    ","
      27 septembre 2023
    ",THEATRE MARIGNY - GRANDE SALLE,PARIS,THEATRE - THEATRE CLASSIQUE,"

      22.00 "
"
      LITTLE ROCK STORY
    ","
      21 octobre 2023
    ",LE 13EME ART,PARIS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,"

      19.00 "
"
      LES FRANGLAISES
    ","
      6 octobre 2023
    ",BOBINO,PARIS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,"

      24.00 "
"
      PABLO MIRA dans passé simple
    ","
      29 septembre 2023
    ",PALAIS DES GLACES,PARIS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,"

      17.00 "
"
      STARS D'UN SOIR
    ","
      19 octobre 2023
    ",LA GRANDE COMEDIE,PARIS,THEATRE - COMEDIE,"

      28.60 "
"
      UN CHAPEAU DE PAILLE D'ITALIE
    ","
      27 septembre 2023
    ",THEATRE DE LA PORTE SAINT-MARTIN,PARIS,THEATRE - THEATRE CONTEMPORAIN,"

      15.50 "
"
      BERLIN BERLIN
    ","
      7 septembre 2023
    ",THEATRE FONTAINE,PARIS,THEATRE - COMEDIE,"

      10.00 "
"
      LA NOTE
    ","
      21 septembre 2023
    ",THEATRE DES BOUFFES PARISIENS,PARIS,THEATRE - COMEDIE,"

      19.00 "
"
      DINER DE FAMILLE
    ","
      22 juin 2019
    ",Cafe de la Gare,PARIS,THEATRE - COMEDIE,"

      18.00 "
"
      CABARET DE l'EXIL
    ","
      20 octobre 2023
    ",THEATRE ZINGARO,AUBERVILLIERS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE EQUESTRE,"

      36.00 "
"
      DELIRE
    ","
      21 janvier 2023
    ",CIRQUE D'HIVER BOUGLIONE,PARIS,CIRQUE - CIRQUE TRADITIONNEL,"

      22.00 "
"
      PETER PAN
    ","
      7 octobre 2023
    ",BOBINO,PARIS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE JEUNE PUBLIC,"

      20.00 "
"
      PIÈGE POUR UN HOMME SEUL
    ","
      14 septembre 2023
    ",THEATRE DE LA MICHODIERE,PARIS,THEATRE - COMEDIE,"

      16.00 "
"
      AQUABOULEVARD - PARIS
    ","
      1 janvier 2023
    ",AQUABOULEVARD,PARIS,PARC - PARC AQUATIQUE,"

      22.00 "
"
      THE BLACK BLUES BROTHERS
    ","
      18 octobre 2023
    ",LE THEATRE LIBRE,PARIS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,"

      27.00 "
"
      GAD ELMALEH
    ","
      5 juin 2023
    ",THEATRE MARIGNY - GRANDE SALLE,PARIS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,"

      33.00 "
"
      GREVIN - BILLET DATE 2023
    ","
      14 janvier 2023
    ",GREVIN,PARIS,EXPOSITION ET MUSEE - MUSEE,"

      16.50 "
"
      SPAMALOT
    ","
      23 septembre 2023
    ",THEATRE DE PARIS,PARIS,SPECTACLE ET COMEDIE MUSICALE - COMEDIE MUSICALE,"

      20.00 "
"
      LES FOLIES GRUSS
    ","
      21 octobre 2023
    ",COMPAGNIE ALEXIS GRUSS,PARIS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE EQUESTRE,"

      20.00 "
"
      JOSEPHINE BAKER
    ","
      25 octobre 2023
    ",BOBINO,PARIS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,"

      25.00 "
"
      VIDÉO CLUB
    ","
      14 septembre 2023
    ",THEATRE ANTOINE,PARIS,THEATRE - COMEDIE,"

      22.00 "
"
      C'EST DÉCIDÉ, JE DEVIENS UNE CONNASSE
    ","
      15 septembre 2023
    ",COMEDIE OBERKAMPF,PARIS,THEATRE - COMEDIE,"

      14.00 "
"
      HOW TO BECOME A PARISIAN IN ONE HOUR?
    ","
      2 septembre 2023
    ",THEATRE DES NOUVEAUTES,PARIS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,"

      24.00 "
