Titre,Date,Lieux,Ville,Type,Prix
"
      ZARA LARSSON
    ","
      24 février 2024
    ",LE TRIANON,PARIS,CONCERT - POP ROCK FOLK,"

      36.20 "
"
      SHAKA PONK
    ","
      13 octobre 2023
    ",ZENITH DE LILLE,LILLE,CONCERT - POP ROCK FOLK,"

      42.00 "
"
      JAIN
    ","
      4 novembre 2023
    ",ZENITH DE LILLE,LILLE,CONCERT - POP ROCK FOLK,"

      34.00 "
"
      BIGFLO & OLI
    ","
      4 novembre 2023
    ",GALAXIE,AMNEVILLE LES THERMES,CONCERT - RAP HIP-HOP SLAM,"

      35.00 "
"
      MURDA
    ","
      4 novembre 2023
    ",LE TRABENDO (Parc de la Villette),PARIS,CONCERT - RAP HIP-HOP SLAM,"

      34.00 "
"
      LOMEPAL
    ","
      28 mars 2023
    ",ACCOR ARENA,PARIS,CONCERT - RAP HIP-HOP SLAM,"

      40.00 "
"
      CHRISTOPHE MAE
    ","
      4 novembre 2023
    ",ARENA D'ORLEANS,ORLEANS,CONCERT - VARIETE ET CHANSON FRANCAISE,"

      40.00 "
"
      CHANTAL GOYA
    ","
      4 novembre 2023
    ",SALLE POIREL,NANCY,CONCERT - VARIETE ET CHANSON FRANCAISE,"

      30.00 "
"
      LES FATALS PICARDS
    ","
      4 novembre 2023
    ",SALLE GEORGES BRASSENS,LUNEL,CONCERT - VARIETE ET CHANSON FRANCAISE,"

      25.00 "
"
      KO KO MO
    ","
      4 novembre 2023
    ",La Cigale,PARIS,CONCERT - POP ROCK FOLK,"

      25.00 "
"
      ECLAT D'VOIX
    ","
      3 novembre 2023
    ",CENTRE CULTUREL LES ANGENOISES,BONCHAMP LES LAVAL,CONCERT - VARIETE ET CHANSON FRANCAISE,
"
      LOUIS BERTIGNAC
    ","
      4 novembre 2023
    ",LA CARTONNERIE,REIMS,CONCERT - POP ROCK FOLK,"

      44.20 "
"
      CARPENTER BRUT x PERTURBATOR
    ","
      4 novembre 2023
    ",CHATEAU ROUGE - GRANDE SALLE,ANNEMASSE,CONCERT - MUSIQUE ELECTRONIQUE,"

      25.00 "
"
      SHEILA
    ","
      4 novembre 2023
    ",ZINGA ZANGA,BEZIERS,CONCERT - VARIETE ET CHANSON FRANCAISE,"

      40.00 "
"
      ETIENNE DAHO
    ","
      4 novembre 2023
    ",ZENITH DE CAEN,CAEN,CONCERT - VARIETE ET CHANSON FRANCAISE,"

      39.00 "
"
      SOPRANO
    ","
      4 novembre 2023
    ",Le MusikHALL,BRUZ,CONCERT - RAP HIP-HOP SLAM,"

      38.00 "
"
      JONATHAN DASSIN #JOEDASSIN
    ","
      4 novembre 2023
    ",SALLE DESCAZEAUX,CASTELSARRASIN,CONCERT - VARIETE ET CHANSON FRANCAISE,"

      12.00 "
"
      ARTHUR H
    ","
      4 novembre 2023
    ",THEATRE  CROISETTE - JW MARRIOTT,CANNES,CONCERT - VARIETE ET CHANSON FRANCAISE,"

      15.00 "
"
      ZOLA
    ","
      4 novembre 2023
    ",LE CEPAC SILO,MARSEILLE,CONCERT - RAP HIP-HOP SLAM,"

      39.00 "
