Titre,Lien_du_titre,image,note,venueindex,catégorie,prix,adresse,étiquette,avatar,tiptext,auteur,utilisateur_lien,utilisateur
Coffee Circle Café,https://fr.foursquare.com/v/coffee-circle-caf%C3%A9/50d4563ae4b0ca04f6e12d86,https://fastly.4sqi.net/img/general/600x600/492383714_L464SJ_xyjDNjVhqsj4ZwZo81byDV6qkOxH21R96wjs.jpg,9.6,1,Café,€€€€,"Lindower Str. 18, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/blank_girl.png,"Fiorella C. • Septembre 10, 2020
Loved it!!!!! Nice trendy cafe ... lots of sitting options. Relaxing atmosphere. Good tea (a bit pricey)","Fiorella C. • Septembre 10, 2020",https://fr.foursquare.com/fiorellc2875758,Fiorella C.
Großer Tiergarten,https://fr.foursquare.com/v/gro%C3%9Fer-tiergarten/4bbdea8c8a4fb71387863d9d,https://fastly.4sqi.net/img/general/600x600/244970_InP-kFyzc6lLK62iNHh4nLsK2sFRz4ou6vvu1NmiBzs.jpg,9.5,2,Parc,,"Straße des 17. Juni (Hofjägerallee), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/22091125_eBvsckoR__1W2CQplxlhVu6_mqIVesqJ9OrHfxryHgo0pSY5mlu0noUfiquJ-_fG52-OoWJYA.jpg,"Alexandre K. • Mai 2, 2017
Un magnifique parc. Lieux reposant et agréable ou faire une belle balade. La colonne de La victoire, le parc zoologique, La porte de Brandebourg et bien d'autre monument se trouvent là.","Alexandre K. • Mai 2, 2017",https://fr.foursquare.com/akorkia,Alexandre K.
Landwehrkanal,https://fr.foursquare.com/v/landwehrkanal/4c38ef1018e72d7f595519f5,https://fastly.4sqi.net/img/general/600x600/8196180_iqxohY8hrsefJMTviL8TjleCG6M1nKJY1eaTS3hFZMw.jpg,9.5,3,Canal,,Berlin,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/1038072_egdc1nmK_wLjEkDPevO4EnZcCl51OrQoAx3NX8qmO88q1Q0rLkxeGyWdcb4YOKMfASyPpX8Xz.jpg,"Vera • Décembre 19, 2014
Best place to hang out with beer and friends during summer! Crowded, but in a good way. Nice atmosphere.","Vera • Décembre 19, 2014",https://fr.foursquare.com/verasiemons,Vera
Tempelhofer Feld,https://fr.foursquare.com/v/tempelhofer-feld/522718b6498eeefd976ac04a,https://fastly.4sqi.net/img/general/600x600/115512353_ohwBNtcFH8DMshftNMyRTkFWgn5PYsL-PoiZTkeV9BY.jpg,9.5,4,Parc,,"Tempelhofer Damm (Columbiadamm), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/826954_Xm8Idtsv_m4wILKZ0Gu-tBrS7BUudpCSEOFf-ADQRwdqS7lBYxGBfoMe_StWxDaoTjluzbN6D.jpg,"Florian • Juillet 16, 2015
Ancien aéroport abandonné. Lieu immense et très impressionnant à traverser.","Florian • Juillet 16, 2015",https://fr.foursquare.com/ikare,Florian
ernst,https://fr.foursquare.com/v/ernst/598cc3f99411f22af3e65ca8,https://fastly.4sqi.net/img/general/600x600/93567_aOUcUf93BfW3XlFPqSSKBmPObsoY2jciOAzuxeFYMZg.jpg,9.4,5,Gastronomie européenne,,"Gerichtstr. 54, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/blank_boy.png,"Jessica • Septembre 28, 2017
The way they celebrate vegetables is just wonderful. Expert cooking, charming atmosphere, very personal and welcoming.","Jessica • Septembre 28, 2017",https://fr.foursquare.com/jessica9277736,Jessica
Treptower Park,https://fr.foursquare.com/v/treptower-park/4b6536b4f964a5202fe92ae3,https://fastly.4sqi.net/img/general/600x600/131003208_gEiCFDYFdPG2m_vEbnwr-Lyl2zZ8zz8LeeoWGwu-OcY.jpg,9.4,6,Parc,,"Am Treptower Park (Puschkinallee), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/355Y54SESJHD0AQW.jpg,"Virginie C. • Août 10, 2014
Parfait pour un pique nique.","Virginie C. • Août 10, 2014",https://fr.foursquare.com/blondie_deep,Virginie C.
Dussmann English Bookshop,https://fr.foursquare.com/v/dussmann-english-bookshop/562a9474498e20b9ac65c6fe,https://fastly.4sqi.net/img/general/600x600/123962062_8lj2xiHb-HjP1qs7KBJ5C6BfiK78q4NDd4uQUZ8Zk6s.jpg,9.4,7,Librairie,,"Friedrichstr. 90, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/411009258_A-CAcleC_WVmLccM3SgfNh6g-uFQLdNTomoe71jtCsX-5OHOSoRTwduzohNMfDLnBkqlGjKCF.jpg,"Paige C. • Avril 21, 2018
Great variety, staff is competent :) and friendly","Paige C. • Avril 21, 2018",https://fr.foursquare.com/paigec8666854,Paige C.
Kraftwerk Berlin,https://fr.foursquare.com/v/kraftwerk-berlin/4cdfd55769136dcbe2e7dfe6,https://fastly.4sqi.net/img/general/600x600/48487313_VS89ONLsG-2PF8x-5uWyzgZdpvw41hrRwhGyaIUsfPA.jpg,9.4,8,Culture et loisirs,€€€€,"Köpenicker Str. 70, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/8741030-FQPUW2ELLHFTL0NI.jpg,"G Q. • Août 24, 2014
Amazing space. Something that makes the whole Berlin vibe really comes to reality. Truly fantastic.","G Q. • Août 24, 2014",https://fr.foursquare.com/qrg707,G Q.
Urban Nation,https://fr.foursquare.com/v/urban-nation/54cd29af498ec48ec89de626,https://fastly.4sqi.net/img/general/600x600/24740490_zzMa56Wyzw4SNF4DYOvickZo0xm1pFNol64zTL7t5fo.jpg,9.4,9,Galerie d'art,,"Bülowstr. 7, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/166695296_cY2Fwpk8_V17pIX6yKotxh_UIP1z6CHLmiEIvN0nP4uXQDIL5hkuxm6DcymGjWlPoQDxklNoJ.jpg,"Léa R. • Février 6
Bonne sélection d’œuvres très sympa",Léa R. • Février 6,https://fr.foursquare.com/lear4613308,Léa R.
Park am Gleisdreieck - Ostpark,https://fr.foursquare.com/v/park-am-gleisdreieck--ostpark/4e60e1f8d22d509a38ed005e,https://fastly.4sqi.net/img/general/600x600/1284541_Gkop1JPHPmunINNM2i3BZS7J7JvAqJ_4PbgpH-EruyE.jpg,9.4,10,Parc,,"Yorckstr. (Möckernstr.), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/2712675_A936nZFk_ZlMkd9cg1e_Udhb08G0UxIFBOFz4Cirj5VHXs-Bcf7T9XyXo3deY-B-zk3jYflg9.jpg,"Joe C. • Juillet 3, 2015
The park came out beautifully! Love the trails towards the back. It's all very nice.","Joe C. • Juillet 3, 2015",https://fr.foursquare.com/joey_cooper,Joe C.
