Titre,image,note,venueindex,champ,champ1,catégorie,prix,étiquette,avatar,tiptext,auteur,utilisateur_lien,utilisateur,Titre1,image1,note1,venueindex1,champ2,cham1,catégorie1,prix1,étiquette1,avatar1,tiptext1,auteur1,utilisateur_lien1,utilisateur1
"Harjukatu 2, Helsinki",https://fastly.4sqi.net/img/general/600x600/8040537_yzI38jFsEvaGaacv9r8KFI-BH6M6yOqckYr83y5UC0I.jpg,9.4,1,https://fr.foursquare.com/v/riviera/56718e91498e08291d65c9a4,Riviera,Films indépendants,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/2632714-CT5IX05ZP1KWIRJE.jpg,"Jussi H. • Janvier 20, 2020
Independent theater with great location and good drinks.","Jussi H. • Janvier 20, 2020",https://fr.foursquare.com/jussi_hayha,Jussi H.,,,,,,,,,,,,,,
"Hammarskjöldintie 1, Helsinki",https://fastly.4sqi.net/img/general/600x600/73788699_m4IwNApG3booPqdXE973GOI_p3OicHjGJGD71b4EYUg.jpg,9.4,2,https://fr.foursquare.com/v/talvipuutarha/4adcdb23f964a520a76021e3,Talvipuutarha,Jardin botanique,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/blank_girl.png,"p k. • Juin 28, 2019
It is a wonderful garden. Enjoy a walk there, take your time to visit it all.","p k. • Juin 28, 2019",https://fr.foursquare.com/pk5363449,p k.,,,,,,,,,,,,,,
"Tehtaankatu 27-29, Helsinki",https://fastly.4sqi.net/img/general/600x600/5930552_nGJ2LXLRHRtUqEUF35J6iRo1XerGOpS0fSMU7bRLb88.jpg,9.4,3,https://fr.foursquare.com/v/baskeri--basso/56423430498e311ad7eaaac9,Baskeri & Basso,Gastronomie européenne,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/KWYY1IHWWYF5WXCL.jpg,"Kelsey • Août 7, 2018
Food was incredible! Burrata with mint and basil was unreal, kale salad on point and scallions with an Asian style slaw was incredibly well seasoned and flavorful! Felt local and very warm","Kelsey • Août 7, 2018",https://fr.foursquare.com/kelseyderby,Kelsey,,,,,,,,,,,,,,
"Kalevankatu 46 (Abrahaminkatu), Helsinki",https://fastly.4sqi.net/img/general/600x600/353936_FHxIT_y7qlUX37f5xmHIOZEWTvSQXgx8fGiTGK34NBw.jpg,9.3,4,https://fr.foursquare.com/v/ap%C3%A9ro/52ded8c6498e15c93604b117,Apéro,Bar à vins,€€€€,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/-1_1257352836265.jpg,"Lassi K. • Août 16, 2022
Champagne by the glass, nice outdoor seating. Quiches are excellent, especially the lorraine.","Lassi K. • Août 16, 2022",https://fr.foursquare.com/lassi,Lassi K.,,,,,,,,,,,,,,
"Rikhardinkatu 3, Helsinki",https://fastly.4sqi.net/img/general/600x600/7051734_2raFqU0ERGBjZLQMT5rQQCm7h__xVylJCeaOj-WM7pg.jpg,9.3,5,https://fr.foursquare.com/v/rikhardinkadun-kirjasto/4baa99a3f964a52068783ae3,Rikhardinkadun kirjasto,Bibliothèque,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/29249496-522V5DAKZZGCJCIR.jpg,"Anna • Février 5, 2016
Great place to study! The 6th floor has cozy seats with pillows and a nice view over Helsinki rooftops.","Anna • Février 5, 2016",https://fr.foursquare.com/anna6867117,Anna,,,,,,,,,,,,,,
"Siltavoudintie 9, Helsinki",https://fastly.4sqi.net/img/general/600x600/7051734_uaqwuYiB0TOrnjocAv81437H117I8314Ua4TFEHzo70.jpg,9.3,6,https://fr.foursquare.com/v/capperi/58ceaa82f7f8dd690c2fe199,Capperi,Pizza,€€€€,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/51506310_Kfg5O0Im_Q7ywVntCsTs60gHfhBENRuyteDK5Y2sMsfcfPWuM9B5o85zgKdd2LBEMasSGIFND.jpg,"Iris R. • Juin 13, 2021
Nice pizza and lovely terrace. We got also nice gelato for the road.","Iris R. • Juin 13, 2021",https://fr.foursquare.com/irisr4475861,Iris R.,,,,,,,,,,,,,,
"Merikannontie 8, Helsinki",https://fastly.4sqi.net/img/general/600x600/66735239_9MBBEYYlsVG8bJduifl_9hXxgGz0rVZdiDz3eCktVGo.jpg,9.3,7,https://fr.foursquare.com/v/cafe-regatta/4adcdb22f964a5203a6021e3,Cafe Regatta,Café,€€€€,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/AWGU04V2LRM5CKHW.jpg,"Jouni R. • Juin 1, 2013
Fresh cinnanon buns and decent coffee. Cosy atmosphere, great view and children-friendly!","Jouni R. • Juin 1, 2013",https://fr.foursquare.com/jounirissanen,Jouni R.,,,,,,,,,,,,,,
"Teurastamo (Työpajankatu 2), Helsinki",https://fastly.4sqi.net/img/general/600x600/46201310_3XMUIIYvgFE8VxRIG0Wrd3p_4j389-oId7wSFW5PwcA.jpg,9.3,8,https://fr.foursquare.com/v/j%C3%A4delino/5278c21b11d2acd6d048b11a,Jädelino,Glace,€€€€,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/88037288-UOK5QFHV2XIQXGGJ.jpg,"Salla T. • Décembre 21, 2016
They have amazing vegan flavours too, always at least 1 flavour.","Salla T. • Décembre 21, 2016",https://fr.foursquare.com/sallat8543316,Salla T.,,,,,,,,,,,,,,
"Jollaksentie 54 B, Helsinki",https://fastly.4sqi.net/img/general/600x600/7051734_gPV-CMtKnj3pTlso9ASmZ1RMz0wwBdEVheGovruNvzc.jpg,9.3,9,https://fr.foursquare.com/v/fornitaly/525958c1498ec17e93d5617c,Fornitaly,Pizza,€€€€,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/IOOXAOGU45C2M0AW.jpg,"Stefano P. • Août 27, 2016
One of the best proper pizza and focaccia in Helsinki. Perfect dough and fresh ingredients.","Stefano P. • Août 27, 2016",https://fr.foursquare.com/stefanop7754087,Stefano P.,,,,,,,,,,,,,,
"Pieni Roobertinkatu 1-3, Helsinki",https://fastly.4sqi.net/img/general/600x600/145115_eMriJbITqEeZDeqD-48M9NfIlNDap7ir71FePb0AnJE.jpg,9.3,10,https://fr.foursquare.com/v/lilla-roberts/55c9a7f0498ebc3c626f5c9f,Lilla Roberts,Hôtel,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/28879056-WBQQU2OZDO3WCVBN.jpg,"Miglė M. • Septembre 4, 2015
Wonderful new place: stunning room, perfect staff and food, very well situated!","Miglė M. • Septembre 4, 2015",https://fr.foursquare.com/miglem9892868,Miglė M.,,,,,,,,,,,,,,
"Museokatu 46, Helsinki",https://fastly.4sqi.net/img/general/600x600/142072238_dnRI-68g9w7AayOv9UOjizgAJW6qpBTIcp8QjUp7Xa4.jpg,9.2,11,https://fr.foursquare.com/v/buongiorno-cafe--restaurant/51289893e4b0386981d9e120,Buongiorno Cafe & Restaurant,Café,€€€€,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/blank_boy.png,"Maria K. • Mai 25, 2019
Delicious brunch with a toast of your choice, scrambled eggs, yogurt, fruits, coffee and juice. Try also the ice creams - the portions are big enough for sharing.","Maria K. • Mai 25, 2019",https://fr.foursquare.com/mariak9592038,Maria K.,,,,,,,,,,,,,,
"Keskuspuisto, Helsinki",https://fastly.4sqi.net/img/general/600x600/12521600_E-B-_MuGkQRK15GGXr9Mhr7olzTqor9FbegG4Zk1-nA.jpg,9.2,12,https://fr.foursquare.com/v/keskuspuisto/4bc5dd675935c9b69378a6d2,Keskuspuisto,Parc,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/117156-HA0E4APIX2SWPQVK.jpg,"Sergey D. • Octobre 11, 2017
Huge park in the middle of Helsinki. Feels almost like forest. Love this place","Sergey D. • Octobre 11, 2017",https://fr.foursquare.com/kotpes,Sergey D.,,,,,,,,,,,,,,
"Runeberginkatu 31 (Sammonkatu), Helsinki",https://fastly.4sqi.net/img/general/600x600/63398_3x-N9M_aEdZI8YYYmzzF9Dk0CR9YJEZVhqPQUTcPTeM.jpg,9.2,13,https://fr.foursquare.com/v/cafetoria/4f2634ede4b0020c308d539d,Cafetoria,Coffee Shop,€€€€,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/530013703_UXuWoP9f_gFxKwir12yYtKaFkbKHi9ld0oCy3X4myrTT9MCsmL3B5Np1USfwc0kdskFOAqniT.jpg,"C K. • Février 22, 2019
Ambiance sympathique, beaucoup de choix, personnel très gentil!!","C K. • Février 22, 2019",https://fr.foursquare.com/ck2659702,C K.,,,,,,,,,,,,,,
"Työpajankatu 2 A R3, Helsinki",https://fastly.4sqi.net/img/general/600x600/20427832_5OxOlGvzCmdUC1aexNMOChQ2oRmDJ-K4v33M6ARW0x0.jpg,9.2,14,https://fr.foursquare.com/v/tislaamo--distillery-bar/583877776d6325668652dd79,Tislaamo - Distillery Bar,Cocktail,€€€€,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/blank_boy.png,"Maria K. • Juin 4, 2017
We skipped the mains and concentrated on the starters and the desserts, which were all amazing. Excellent drinks as well. Loved the place.","Maria K. • Juin 4, 2017",https://fr.foursquare.com/mariak9592038,Maria K.,,,,,,,,,,,,,,
"Hämeentie 68 C, Helsinki",https://fastly.4sqi.net/img/general/600x600/1794459_vwGi0punvOjklOqZORd7m571dJQucdfguUmp84LtOkI.jpg,9.2,15,https://fr.foursquare.com/v/daily-dose/5d8f804d5f9d590008b318c9,Daily Dose,Italien,€€€€,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/blank_boy.png,"V P. • Mars 6, 2022
Ravioli con i funghi was so delicious! I also loved Pecorino wine - and the service was fast, polite and friendly!","V P. • Mars 6, 2022",https://fr.foursquare.com/vp9134898,V P.,,,,,,,,,,,,,,
"Urho Kekkosen katu 4-6, Helsinki",https://fastly.4sqi.net/img/general/600x600/47941301_blc_cAUtWdPWY-V2A-wFMx2QzRAUGbYhwtUEhEdbZHY.jpg,9.2,16,https://fr.foursquare.com/v/cafe-rouge/5555afa9498efb7ce749253c,Cafe Rouge,Moyen-Orient,€€€€,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/3675512_vGc6jkTX_opu4VaTBJD8ZfB06pYZUOs2puEKgOmW3-6jsK2uyjco8-AOe3VSczSvHlxRajzjZ.jpg,"Telle B. • Juillet 26, 2016
Tasty home-cooked lunch. Check out their Facebook page for the lunch menu. Traditional couscous and a welcoming warm atmosphere! Place is small and popular during lunch.","Telle B. • Juillet 26, 2016",https://fr.foursquare.com/tahtilapsi,Telle B.,,,,,,,,,,,,,,
"Suomenlinna (Susisaari/Kustaanmiekka), Helsinki",https://fastly.4sqi.net/img/general/600x600/12418711_sTnoVMUxyavlE1k-kvfQmlTjNAJbFLN4J44gJ-gvij4.jpg,9.2,17,https://fr.foursquare.com/v/suomenlinnan-uimaranta/4df31221b3ad984432d9741e,Suomenlinnan uimaranta,Plage,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/48386704_Dm63iTCY_wkuuiycbGLSY1Azp5JYKY6vHSwdBShuRYXxw1HNqPXRHbjq5wFCRnqD_-A82A5Q5.jpg,"Julia S. • Novembre 16, 2014
View is beautiful. You should stay until the sunset, it's worth waiting, it's gorgeous. Nature is so innocent.","Julia S. • Novembre 16, 2014",https://fr.foursquare.com/sj_lady,Julia S.,,,,,,,,,,,,,,
"Humalistonkatu 3, Helsinki",https://fastly.4sqi.net/img/general/600x600/320537_wWEVczwLvOCkvNdt1ZR_JC35gd7ylG1o2uEZHKylu3A.jpg,9.2,18,https://fr.foursquare.com/v/daddy-greens-pizzabar/596b74b66f706a53b11b1236,Daddy Greens Pizzabar,Pizza,€€€€,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/372609144-FIAFQGXGTWVEDSYX.png,"Maarit H. • Octobre 6, 2020
Delicious pizza , super tasty! But definitely not cheap :D","Maarit H. • Octobre 6, 2020",https://fr.foursquare.com/maarith1812987,Maarit H.,,,,,,,,,,,,,,
"Päijänteentie 29, Helsinki",https://fastly.4sqi.net/img/general/600x600/16832595_h-51ab_QoPuHNawTCkWZLTlYrBY_1DyxpjgWlIG7h6A.jpg,9.2,19,https://fr.foursquare.com/v/p%C3%A4iv%C3%A4kahvibaari-1/4f041a209911be1fbd13e3ae,Päiväkahvibaari 1,Coffee Shop,€€€€,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/463713353_POp8q12r_qCfR-o-OsCPBxROiIlz-fcgK1jpa5URtAjk3n0AaSxqfs1pnCZAe97zbqfyn0yoY.jpg,"Inho K. • Mars 22, 2018
The interior and taste of espresso was great! I personally think this is the best coffee shop in Helsinki","Inho K. • Mars 22, 2018",https://fr.foursquare.com/inhok7537081,Inho K.,,,,,,,,,,,,,,
"Pikkukoskentie 23, Helsinki",https://fastly.4sqi.net/img/general/600x600/35511841_8rLT7pI1ql-d0fsNl4FQ-TZRKLpV4wUMuOU_70RKi0k.jpg,9.2,20,https://fr.foursquare.com/v/pikkukosken-uimaranta/4bd12d8d41b9ef3bbaa6fbe5,Pikkukosken uimaranta,Plage,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/EEGK1H2EKVC3TU2G.jpg,"Jussi P. • Juin 26, 2010
Check out this public beach on a sunny day. Surrounded by high cliffs to explore and on the bank of a nice river, it's nicer here than on Hietaniemi beach in the city center.","Jussi P. • Juin 26, 2010",https://fr.foursquare.com/jussip9845099,Jussi P.,,,,,,,,,,,,,,
"Malminrinne 2-4, Helsinki",https://fastly.4sqi.net/img/general/600x600/33382554_PNx-C904wtrVLKdc9H0Zr9t0HJ8GJmeF_0TL_5UhlV8.jpg,9.2,21,https://fr.foursquare.com/v/big-bowl-noodle-restaurant/5fa17c5713753f5b047dfdca,Big Bowl Noodle Restaurant,Nouilles chinoises,€€€€,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/04UYJL5SUPGJ30GX.jpg,"Mikko S. • Janvier 1, 2021
Excellent food, best noodles in Helsinki!","Mikko S. • Janvier 1, 2021",https://fr.foursquare.com/mikkos4483404,Mikko S.,,,,,,,,,,,,,,
"Pohjoisesplanadi 23, Helsinki",https://fastly.4sqi.net/img/general/600x600/157557012_X6PijJekIWsuJalK8XBbSt92BKpR2kHC-Gpb2rZifUE.jpg,9.1,22,https://fr.foursquare.com/v/iittala/4be539f8910020a108bdd214,Iittala,Magasin d'ameublement et de décoration intérieure,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/RXUB1VLW1OOC4UFK.jpg,"fabian r. • Décembre 28, 2014
Great shop for snatching a piece of Finnish design. Note that every Finnish family owns at least one (often many more) items on display here. Highly recommended.","fabian r. • Décembre 28, 2014",https://fr.foursquare.com/fabianr4825435,fabian r.,,,,,,,,,,,,,,
"Lehtisaarentie 1, Helsinki",https://fastly.4sqi.net/img/general/600x600/1794459_oSHSEe00bru2Fc7NKQXtT2MMZcq98UfRQcSIt6HPHQQ.jpg,9.1,23,https://fr.foursquare.com/v/old-jerusalem/560fa9bd498eb70a6a7d6c7c,Old Jerusalem,Falafel,€€€€,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/blank_boy.png,"A-P L. • Juin 17, 2016
Have tried shwarma and falafel laffas. Both awesome but shwarma slightly better. Very generous portion size and fresh ingredients.","A-P L. • Juin 17, 2016",https://fr.foursquare.com/apl5333595,A-P L.,,,,,,,,,,,,,,
"Iso Roobertinkatu 26, Helsinki",https://fastly.4sqi.net/img/general/600x600/7051734_x7IqbegM4sWbJGG7dzeSG4e-5Xv-Z10WjVNZ9NPrfy0.jpg,9.1,24,https://fr.foursquare.com/v/daddy-greens-pizzabar/5ca8cf6c018cbb0039938c67,Daddy Greens Pizzabar,Pizza,€€€€,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/274711_9KZ1cnpl_y9sWKYJjCxccXyOv8lzMpBRXE6ql0aMl0am33cbSamwq2MShUf1qkT7iEYrLTwAs.jpg,"Igor B. • Juin 27, 2019
Surprisingly good pizza! Great ingredients and very crusty. Highly recommended.","Igor B. • Juin 27, 2019",https://fr.foursquare.com/iburattini,Igor B.,,,,,,,,,,,,,,
"Laajasuontie 40, Helsinki",https://fastly.4sqi.net/img/general/600x600/7934919_oTV7MKW_L9rUyIHiT2mUq71a78PY3iuYqtDkTTP76P8.jpg,9.1,25,https://fr.foursquare.com/v/alppiruusupuisto/4b1970e2f964a52064dd23e3,Alppiruusupuisto,Jardin,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/83699792_j1tt0y6K_8I_7khELVmC0TYQGzX81MX9SjC_-eFBqErkDpMdq86lnelxbZXCw_wYMWZngY0_B.jpg,"Mikko T. • Mai 23, 2018
Truly amazing place, especially at blooming time at the end of may. Worth to visit this place to enjoy all of beauty of flowers and nature.","Mikko T. • Mai 23, 2018",https://fr.foursquare.com/mikkot2831364,Mikko T.,,,,,,,,,,,,,,
"Erottajankatu 5, Helsinki",https://fastly.4sqi.net/img/general/600x600/769001_TUUUZYjItJrgyg4RFzGyEWkTxfGHYzG_mQfk4bpqra0.jpg,9.1,26,https://fr.foursquare.com/v/liberty-or-death/4f75df25e4b07eec209d3489,Liberty or Death,Cocktail,€€€€,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/2632714-CT5IX05ZP1KWIRJE.jpg,"Jussi H. • Janvier 7, 2016
Maybe the best cocktail bar in Helsinki. Great atmosphere.","Jussi H. • Janvier 7, 2016",https://fr.foursquare.com/jussi_hayha,Jussi H.,,,,,,,,,,,,,,
Helsinki,https://fastly.4sqi.net/img/general/600x600/437451638_yEewg75kTO2cqCKLe21Z1ulCfMd-xsw2Fk2du1fZT-w.jpg,9.1,27,https://fr.foursquare.com/v/suomenlinna--sveaborg/4adcdb23f964a5209d6021e3,Suomenlinna / Sveaborg,Île,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/blank_boy.png,"Paco P. • Novembre 21, 2016
Superbe île sur laquelle se dresse une forteresse dont l'efficacité militaire a finalement été très relative. En hiver, le ferry dans la baie d'Helsinki semble partir pour le grand Nord.","Paco P. • Novembre 21, 2016",https://fr.foursquare.com/pacop5025784,Paco P.,,,,,,,,,,,,,,
