Titre,Lien_du_titre,image,note,venueindex,catégorie,adresse,étiquette,avatar,tiptext,auteur,utilisateur_lien,utilisateur
Hyde Park,https://fr.foursquare.com/v/hyde-park/4ac518d2f964a52026a720e3,https://fastly.4sqi.net/img/general/600x600/112340335_hZllKrz6uhnnQQ-YOmZISXfFmZOncj7YWz1ryi6pXR0.jpg,9.6,1,Parc,"Serpentine Rd, Londres",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/137758715-B2JXIVMPNQMUG3LY.jpg,"Nymmh • Octobre 20, 2016
Le parc incontournable de Londres. Parfait pour une pause!","Nymmh • Octobre 20, 2016",https://fr.foursquare.com/mdblast,Nymmh
Hampstead Heath,https://fr.foursquare.com/v/hampstead-heath/4ac518cef964a5201aa620e3,https://fastly.4sqi.net/img/general/600x600/5492886_6UM16lpvVbFpNkbEU8NOm-G-iESWDrm2OhT4YQL3Lp4.jpg,9.6,2,Parc,"E Heath Rd, Londres",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/465163887_0mMi9blV_Jwf8Dil4CpVonBmq8-BYbFwuGYJ8YgUaruOTtTLJ5Xnn-mVHvr9vfGFTTADkAr2b.jpg,"Anne C. • Janvier 3, 2018
Bois/parc énorme datant du 10e siècle avec une jolie vue de Londres depuis Parliament Hill. A faire si vous êtes dans le quartier Camden pour une vraie escapade en nature en centre-ville de Londres.","Anne C. • Janvier 3, 2018",https://fr.foursquare.com/annec3025024,Anne C.
Regent's Park,https://fr.foursquare.com/v/regents-park/4b233922f964a520785424e3,https://fastly.4sqi.net/img/general/600x600/2764005_oewjL02Fw7qrefiH7PXG7YRfO-H53LDGdqMzOK2hqzs.jpg,9.6,3,Parc,"Chester Rd, Londres",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/465163887_0mMi9blV_Jwf8Dil4CpVonBmq8-BYbFwuGYJ8YgUaruOTtTLJ5Xnn-mVHvr9vfGFTTADkAr2b.jpg,"Anne C. • Janvier 12, 2018
Un autre grand parc royal, entouré par un canal. C'est aussi là que se trouve le zoo de Londres (ZSL). Balade possible le long du canal à pied ou en péniche vers le nord jusqu'à Camden.","Anne C. • Janvier 12, 2018",https://fr.foursquare.com/annec3025024,Anne C.
Mestizo Mexican Market,https://fr.foursquare.com/v/mestizo-mexican-market/59105400772fbc7bd0b0e2b1,https://fastly.4sqi.net/img/general/600x600/567156315_I-PIlpiTW0_SSALacKvF0sMtsrrXuCDqZVspZCPe0CY.jpg,9.6,4,Produits alimentaires importés,"103 Hampstead Rd, Londres",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/347816694-M3FUNK0SRJSNSXHN.jpg,"Jon M. • Août 1, 2019
The ONLY place to get real Mexican ingredients in London. A little pricey though...","Jon M. • Août 1, 2019",https://fr.foursquare.com/jonm2820719,Jon M.
Greenwich Park,https://fr.foursquare.com/v/greenwich-park/4bc9d8eb937ca593e96aa692,https://fastly.4sqi.net/img/general/600x600/27918809_OnkDXwgcVbbl5BYC-9YiifxNda6yMO0A4Hd0r3DhXqM.jpg,9.6,5,Parc,"Maze Hill (Charlton Way), Greenwich",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/465163887_0mMi9blV_Jwf8Dil4CpVonBmq8-BYbFwuGYJ8YgUaruOTtTLJ5Xnn-mVHvr9vfGFTTADkAr2b.jpg,"Anne C. • Mai 16, 2018
Grand parc royal. Pour les scientifiques, celui-ci abrite le musée Observatoire Royale, lieu historique du premier méridien mondial, l'origine du 'Greenwich Mean Time' ou Temps Universel Coordonnée ;)","Anne C. • Mai 16, 2018",https://fr.foursquare.com/annec3025024,Anne C.
Primrose Hill,https://fr.foursquare.com/v/primrose-hill/4b2e246ef964a520f9dc24e3,https://fastly.4sqi.net/img/general/600x600/11425697_kuZWylMukTPPAvekCZ4kt_fGnIbdPOXYSLxc1vHScrg.jpg,9.6,6,Parc,"Primrose Hill Rd, Londres",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/465163887_0mMi9blV_Jwf8Dil4CpVonBmq8-BYbFwuGYJ8YgUaruOTtTLJ5Xnn-mVHvr9vfGFTTADkAr2b.jpg,"Anne C. • Mai 16, 2018
En face de Regent's Park, ce parc en hauteur offre l'une des meilleures vues de Londres. Bon spot pour un picnic et pas loin du quartier Camden.","Anne C. • Mai 16, 2018",https://fr.foursquare.com/annec3025024,Anne C.
Kensington Gardens,https://fr.foursquare.com/v/kensington-gardens/4b7ffcd1f964a520e94830e3,https://fastly.4sqi.net/img/general/600x600/25589217_hU1nFHCa1wP1S8vHPLEKScMoR3CtwCa0Viob7KhWq7g.jpg,9.6,7,Parc,"Kensington Rd (Bayswater Rd), Londres",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/89629008-0M2MBOBAKW5IVLED.jpg,"🕊 Fondation I. • Août 5, 2014
Un merveilleux parc.","🕊 Fondation I. • Août 5, 2014",https://fr.foursquare.com/intelligencetv,🕊 Fondation I.
Victoria Park,https://fr.foursquare.com/v/victoria-park/4ac518cef964a5201da620e3,https://fastly.4sqi.net/img/general/600x600/178449_Kk8dFveilkMVfa5dvQdOHoRx7btRHO1ujoPeSuWesw4.jpg,9.6,8,Parc,"Grove Rd, Londres",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/137758715-B2JXIVMPNQMUG3LY.jpg,"Nymmh • Octobre 20, 2016
Grand parc parfait pour courir ou se relaxer","Nymmh • Octobre 20, 2016",https://fr.foursquare.com/mdblast,Nymmh
M&S Simply Food,https://fr.foursquare.com/v/ms-simply-food/4ad2f913f964a520ece220e3,https://fastly.4sqi.net/img/general/600x600/20503962__LkGhnPKv6y3KR213-hnbs505YU-xR39ZiRMhc2_yeY.jpg,9.6,9,Épicerie,"90 Southwark St (Sumner St), Londres",Enregistrer ,,,,,
St James's Park,https://fr.foursquare.com/v/st-jamess-park/4ac518cdf964a520f2a520e3,https://fastly.4sqi.net/img/general/600x600/6812553_Ml18ZXdShpErwfXz7GdCChY2RtYKUZDCzwQUEBCadIE.jpg,9.5,10,Parc,"The Mall (Horse Guards Rd), Londres",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/T2GYTPM5HUHCX2V1.jpg,"Jonathan J. • Mai 16, 2015
Un très grand park devant buckingam palace. Il est vraiment beau et on y voit plein d'écureuils","Jonathan J. • Mai 16, 2015",https://fr.foursquare.com/captainjojo42,Jonathan J.
