Titre,image,note,venueindex,champ,champ1,catégorie,prix,étiquette,avatar,tiptext,auteur,utilisateur_lien,utilisateur
"Pl. de la Independencia, 7 (C. Alcalá), Madrid",https://fastly.4sqi.net/img/general/600x600/15514672_hx_WLcS-YOu8C_Euw3Kfs9eGjirVwZEtaqRPO4Yl9Vc.jpg,9.6,1,https://fr.foursquare.com/v/parque-del-retiro/4b8aa4c2f964a5201d7732e3,Parque del Retiro,Parc,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/IM2PNEI1WK41PWSD.png,"Anne A. • Mai 16, 2013
rien à redire sur ce parc, hyper grand, avec de très jolis batiments ;-)","Anne A. • Mai 16, 2013",https://fr.foursquare.com/anneaime,Anne A.
"calle tirso de molina 1 (calle lavareis), Madrid",https://fastly.4sqi.net/img/general/600x600/136876835_aLRSEj4a5D7dY6gs5zAXM20Hs4cOVjMTIszDOErjmnk.jpg,9.5,2,https://fr.foursquare.com/v/teatro-nuevo-apolo/5477564a498eb0f50cc34985,Teatro Nuevo Apolo,Théâtre,,Enregistrer ,,,,,
"P. de Uruguay (Parque del Retiro), Madrid",https://fastly.4sqi.net/img/general/600x600/497774329_wrShSf-XXveLz1dvvHJreBsBGPC0Qfk8IsMUunvocNY.jpg,9.4,3,https://fr.foursquare.com/v/rosaleda-del-retiro/4da9810d8154abafc2948f8e,Rosaleda del Retiro,Jardin,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/-LFN1PHGIP2RL4LMU.jpg,"Miguel G. • Septembre 21, 2012
La Rosaleda is a lovely rose garden in the south of the Buen Retiro Park on Paseo de Uruguay. Established in 1915, it was designed after the 'Rosaleda de Bagatelle' garden in Paris.","Miguel G. • Septembre 21, 2012",https://fr.foursquare.com/mgr,Miguel G.
"Luis Morales, 2, Sevill",https://fastly.4sqi.net/img/general/600x600/2631293_-FfM7c8Ti92VNfiPgWIH668Jas09H_hsoWjS2fe6cpc.jpg,9.4,4,https://fr.foursquare.com/v/hotel-melia-lebreros/4ded47be7d8bb21674210d15,Hotel Melia Lebreros,Hôtel,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/QRGEQM2JHFPBJOZG.jpg,"Pablo David C. • Avril 29, 2012
Sevilla Sevilla Sevilla","Pablo David C. • Avril 29, 2012",https://fr.foursquare.com/pablodac8160264,Pablo David C.
"Calle Ramírez de Arellano, 21 (Torrelaguna), Madrid",https://fastly.4sqi.net/img/general/600x600/3648286_Y0VwgRhA73xfS0l7iftNBJi8MsylH4y7YhcsIXydsAY.jpg,9.4,5,https://fr.foursquare.com/v/leo-burnett-madrid/4bd9394a2e6f0f47e9110a08,Leo Burnett Madrid,Bureau,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/DR2HDENTGLFZGSLU.jpg,"Sarah O. • Juin 26, 2013
Leo Burnett´s famous free apples on the second floor next to reception. Help yourself!","Sarah O. • Juin 26, 2013",https://fr.foursquare.com/saraho4890878,Sarah O.
"C. Echegaray, 21, Madrid",https://fastly.4sqi.net/img/general/600x600/254378_Y-MXp8pRo9GkZRxUAzbvvvwysBIVc7dwIu2kQw-y44Y.jpg,9.4,6,https://fr.foursquare.com/v/salmon-gur%C3%BA/57756e14498e605edcad54fc,Salmon Gurú,Cocktail,€€€€,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/90718025_WmLJr9xd_LBRP__zum27ZWF2Edrl1Be6ZeFwDyScd_FHTt_54nBAz6Ejg1SVg6_qZezmMnVpx.jpg,"Mateusz K. • Décembre 8, 2018
Second time in Guru, second great evening. Splendid choice of drinks, well divided into flavour groups and served in astonishing manners. One of my favourite bars!","Mateusz K. • Décembre 8, 2018",https://fr.foursquare.com/mateuszk1142212,Mateusz K.
"Calle Hortaleza 100, Madrid",https://fastly.4sqi.net/img/general/600x600/42052903_F6y9X9Oxqm275U4NYxXEXz0mabrlYtMRy5AJDOWGvKw.jpg,9.3,7,https://fr.foursquare.com/v/honest-greens/5b27ed9c3f5c69002b822ad9,Honest Greens,Restaurant,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/3613540-MIVSDWSIPY31QWJZ.jpg,"Charlotte H. • Novembre 23, 2019
Amazing Food Concept. Fresh and delicious. Try the falaffel, they are so crispy.","Charlotte H. • Novembre 23, 2019",https://fr.foursquare.com/charlotte_hager,Charlotte H.
"Pl. de Cibeles, Madrid",https://fastly.4sqi.net/img/general/600x600/41366735_KArhV7San1UFR9T5TpQIkxZ0GoP8yhp5H9ul4JUCvrk.jpg,9.3,8,https://fr.foursquare.com/v/plaza-de-cibeles/4adcda38f964a520703c21e3,Plaza de Cibeles,Place,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/43571501-J0F10BMRJ2PHVNFB.jpg,"Pierre B. • Novembre 30, 2015
La place forme un carrefour routier au centre duquel s'élève une fontaine représentant la déesse Cybèle.","Pierre B. • Novembre 30, 2015",https://fr.foursquare.com/pierre_besses,Pierre B.
"Parque del Retiro (P. de Julio Romero de Torres, s/n), Madrid",https://fastly.4sqi.net/img/general/600x600/1770026_vNhe3Mg8lisVoRFfw0as0S-SqsfDzdD2h8MxyvNmC7M.jpg,9.3,9,https://fr.foursquare.com/v/palacio-de-cristal-del-retiro/4adcda37f964a5202b3c21e3,Palacio de Cristal del Retiro,Monument,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/T2GYTPM5HUHCX2V1.jpg,"Jonathan J. • Avril 3, 2016
Un petit palais des glaces en plein milieu du parc. Magnifique à faire absolument.","Jonathan J. • Avril 3, 2016",https://fr.foursquare.com/captainjojo42,Jonathan J.
"Pl. de la Independencia, Madrid",https://fastly.4sqi.net/img/general/600x600/32820538_-e1P8a345wONjVUZPay5jl9cQKrWzJ26e7ygcUMAsQM.jpg,9.3,10,https://fr.foursquare.com/v/puerta-de-alcal%C3%A1/4adcda37f964a5201b3c21e3,Puerta de Alcalá,Monument,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/Q550JGIUQZXDMSCM.jpg,"Michael H. • Octobre 28, 2015
Superb monument, the architecture and detail are fantastic.","Michael H. • Octobre 28, 2015",https://fr.foursquare.com/ginger_michael,Michael H.
