Titre,Lien_du_titre,image,note,venueindex,catégorie,prix,adresse,étiquette,avatar,tiptext,auteur,utilisateur_lien,utilisateur
Le Benjamin Bar & Bistro,https://fr.foursquare.com/v/le-benjamin-bar--bistro/4d6803f3709bb60c63f9b014,https://fastly.4sqi.net/img/general/600x600/217176_6PHrkxsSwEVtSLnMWTPX8LILptAxAyhc797jdyXw-U8.jpg,9.5,1,Française,$$$$,"Søndre gate 6 (mellom Markveien & Thorvald Meyers gate), Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/blank_girl.png,"Åshild R. • Juin 2, 2012
Great genuine french food. Try the chevre salad!","Åshild R. • Juin 2, 2012",https://fr.foursquare.com/ashildr9198255,Åshild R.
Supreme Roastworks,https://fr.foursquare.com/v/supreme-roastworks/511238b7e4b0e14068f68b0c,https://fastly.4sqi.net/img/general/600x600/103345_YQvkh6HDMxu1nRonJbADU_ZCQSjb7kK29espJ88BJGI.jpg,9.4,2,Coffee Shop,$$$$,"Thorvald Meyers gate 18, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/VF1X01SLEJP0KBSQ.jpg,"Alexandrine L. • Avril 14, 2018
J’ai eu un excellent V60 du Kenya, sucré et pur comme j’aime. Par contre je regrette l’irrégularité. Des fois c’est un moins bien. Néanmoins coffee shop coup de cœur à Oslo.","Alexandrine L. • Avril 14, 2018",https://fr.foursquare.com/alexandl1255222,Alexandrine L.
Frognerparken,https://fr.foursquare.com/v/frognerparken/4b1b9e5ff964a5203bfc23e3,https://fastly.4sqi.net/img/general/600x600/46590698_qNOWqU0vBQledDRRLn86nL0OqmZqeR7HYnxycVdNzow.jpg,9.4,3,Parc,,"Kirkeveien (Middelthuns gate), Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/521411800_xYeWCbk5_HbojQBoWEXVSDT4AMdFBzpT76x2QUJg7TZ4Qo7Zy3zegPxu3Eapz4M9aULjOzSHn.jpg,"Nora B. • Mai 27, 2019
Nice green park, perfect for picnic or barbecue. Also, the park is perfect for running and walk your dog (it has a own area for dogs)","Nora B. • Mai 27, 2019",https://fr.foursquare.com/norab8903940,Nora B.
Vinmonopolet (Aker Brygge),https://fr.foursquare.com/v/vinmonopolet-aker-brygge/54cb4615498eab65c2ba1012,https://fastly.4sqi.net/img/general/600x600/2153432_KkCXm9RD8zlqQ98LEuBRcdwiUdTc1q9NFiKWU3ZdnRA.jpg,9.3,4,Caviste,,"Bryggegaten 9 (Aker Brygge), Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/LSYUI25PJBM1BBVW.jpg,"Yngvar J. • Mars 7, 2016
Perhaps the best selection of beer in Oslo.","Yngvar J. • Mars 7, 2016",https://fr.foursquare.com/pyngvar,Yngvar J.
Torggata Botaniske,https://fr.foursquare.com/v/torggata-botaniske/54e79341498e559c96c5dc31,https://fastly.4sqi.net/img/general/600x600/134435955_wD3vjnk5FZz08YlH0B1YQRz2IK5BqFfzbHmqbG3WrHc.jpg,9.3,5,Cocktail,$$$$,"Torggata 17b, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/9785172_SA8iM2ZD_6HGiovDflgQeUgmsUl7aN22Okykd4pI9TQwswuXHrvwMQhvoGdDaH_gukDkrAsZ5.jpg,"Juan • Août 7, 2016
Le cocktail à la coriandre, le meilleur à ce jour ! Coriander cocktail, the best I ever had!","Juan • Août 7, 2016",https://fr.foursquare.com/juan5343532,Juan
Åpent Bakeri Tranen,https://fr.foursquare.com/v/%C3%A5pent-bakeri-tranen/55efd8c1498ed3a309a0a8fb,https://fastly.4sqi.net/img/general/600x600/26504858_MCcbxlPmTa6-Zxr474BFZg4SWo1gsOlJaJ8ZuO4-2oU.jpg,9.3,6,Boulangerie,$$$$,"Waldemar Thranesgate 70, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/449391406_nvKAleBC_SLIpCOIq2KHCt-ZNvoNKzeScb7bxZzGMJtTLTebyqJO9iLMYkxVYUA_sfkoX8VWQ.jpg,"JB D. • Novembre 26, 2017
This place is romantic and very sociable. The staff is very friendly and taking care :-) food is the cherry on the cake! WiFi works great.","JB D. • Novembre 26, 2017",https://fr.foursquare.com/jbd8003418,JB D.
Vigelandsanlegget,https://fr.foursquare.com/v/vigelandsanlegget/4ba638daf964a520d53c39e3,https://fastly.4sqi.net/img/general/600x600/27745536__U76I0sCi5ZPNAnNrsSPJjGJGlpNkn3gfTqLPUAOJU0.jpg,9.3,7,Sculpture,,"Frognerparken, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/92051721-F2ULMC0ZNQ5VP13Q.jpg,"Priya T. • Août 5, 2017
Beautiful sculptures and a great park. Lovely inclines to run along.","Priya T. • Août 5, 2017",https://fr.foursquare.com/priyat9987334,Priya T.
Blå,https://fr.foursquare.com/v/bl%C3%A5/4b0588b4f964a520c9d422e3,https://fastly.4sqi.net/img/general/600x600/22549735_nGekYnQvYoj9D3XAOaRPPeQOMGJGNVkomefyiPEkG5E.jpg,9.3,8,Bar,$$$$,"Brenneriveien 9C, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/41061414-P2U2Y1EEAIRSTS4Q.jpg,"Asma A. • Septembre 11, 2016
Super musique , lieu très branché et décontracté. L'endroit est spacieux et assez décalé avec des murs décorés avec du street art.","Asma A. • Septembre 11, 2016",https://fr.foursquare.com/asmaabdelmalek,Asma A.
TUNCO,https://fr.foursquare.com/v/tunco/562f23ea498eec1b21c41103,https://fastly.4sqi.net/img/general/600x600/40942398_lMVUQVSHStrGITdVYfW-1u2fkgMhMHidTlJPH39uPJE.jpg,9.2,9,Sans gluten,$$$$,"Bjerregårdsgate 2a, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/blank_girl.png,"Jo M. • Août 21, 2016
Fab quick gluten free noodles with lots of fresh veggies. The staff are lovely and very helpful.","Jo M. • Août 21, 2016",https://fr.foursquare.com/jom3514164,Jo M.
Botanisk Hage og Museum,https://fr.foursquare.com/v/botanisk-hage-og-museum/4b0588b4f964a52015d522e3,https://fastly.4sqi.net/img/general/600x600/59884188_R9JsnWygDnY9bUEFZZ-lX75N3BBTuWzEub8JYo7Z60g.jpg,9.2,10,Jardin botanique,,"Sars' gate 1, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/SZS5ZYO45STIOF5M.jpg,"Gaute B. • Juillet 7, 2011
Really nice park with a large variety of plants and trees. Nice for a picnic or just walking around. Jogging is also popular here. Closed at night.","Gaute B. • Juillet 7, 2011",https://fr.foursquare.com/gautebr,Gaute B.
