Titre,image,note,venueindex,champ,champ1,catégorie,prix,étiquette,avatar,tiptext,auteur,utilisateur_lien,utilisateur
"Skolavordustig 15, Reykjavik",https://fastly.4sqi.net/img/general/600x600/5561540_lhRStFWA3Mv_5I5k__S1OloGVhf3NLX1v_u4dPyysxs.jpg,9.4,1,https://fr.foursquare.com/v/12-t%C3%B3nar/4bb23f1442959c74f392202c,12 Tónar,Disquaire,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/132557568-DK2NOVRO0VL1DNFI.jpg,"Logan K. • Décembre 5, 2015
Good coffee and good music. Worth spending an afternoon here.","Logan K. • Décembre 5, 2015",https://fr.foursquare.com/logank2928794,Logan K.
"Frakkastígur 16, Reykjavik",https://fastly.4sqi.net/img/general/600x600/2406_YH72UlsTgVFVeX0HYyCp_I8TBte6n1wxN7o0_ud6T5Y.jpg,9.4,2,https://fr.foursquare.com/v/brau%C3%B0--co/56ee8733498e7b9aa8784b9a,Brauð & Co,Boulangerie,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/MC3XUSJDLH1SXM1B.jpg,"Stefan B. • Mai 29, 2019
Le paradis des pâtisseries !","Stefan B. • Mai 29, 2019",https://fr.foursquare.com/fastenfasten,Stefan B.
"Lækjargata 6b, Reykjavik",https://fastly.4sqi.net/img/general/600x600/350302078_jYMjhhtWKHU1okXeCbFaZv38Ma6rCDlTOv7acngnWLA.jpg,9.2,3,https://fr.foursquare.com/v/messinn/5723ba73498e43454fb5892c,Messinn,Fruits de mer,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/7521393-LPSL1T11BWJLK5FY.jpg,"Lisa S. • Mars 27
Amazing seafood! The char and the mashed cod were both yummy.",Lisa S. • Mars 27,https://fr.foursquare.com/lisa_bonita,Lisa S.
"Austurbakki 2, Reykjavik",https://fastly.4sqi.net/img/general/600x600/11288219_3TobS0NGBKC9rHwK2uHl_igdenRouNPOeu8VjnmuS2Y.jpg,9.2,4,https://fr.foursquare.com/v/harpa/4cd4105ef4252c0fe61a69c4,Harpa,Salle de concert,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/25903015-J3XTXJGETBLBEWP3.jpg,"Katie F. • Décembre 1, 2016
Excellent architecture","Katie F. • Décembre 1, 2016",https://fr.foursquare.com/katiefarquhar,Katie F.
"Skúlagata 28 (Hverfisgata), Reykjavik",https://fastly.4sqi.net/img/general/600x600/53485381_7rXDJTDv1-XR2FoxJb-jkgR7tYdBN1HQbR0ZLcDFkr0.jpg,9.2,5,https://fr.foursquare.com/v/kex-hostel/4dff32f41850c16c0236ebac,Kex Hostel,Auberge,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/TOCSZRYUYJHUQCQ3.jpg,"Iceland I. • Juillet 6, 2013
Toujours aussi cool comme lieu et il y a toujours une surprise musicale lorsque je viens, la terrasse est un must pour les longues journées d'été....","Iceland I. • Juillet 6, 2013",https://fr.foursquare.com/icelandi8574598,Iceland I.
"Lækjargata 8, Reykjavik",https://fastly.4sqi.net/img/general/600x600/440956087_piLhID_2R17JYAuI2ILix7cJYyx_b2VnB4ijwzQ12Mk.jpg,9.2,6,https://fr.foursquare.com/v/icelandic-street-food/599490e5396de010b71b7480,Icelandic Street Food,Scandinave,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/46135520-RVM0X0O3MUVLWTAG.jpg,"Blaise C. • Janvier 6, 2018
Grab the Shellfish soup in a breadbowl! + the owner is super friendly and entertaining 10/10 would come back again!","Blaise C. • Janvier 6, 2018",https://fr.foursquare.com/blaisec1869217,Blaise C.
"Vegamótastígur, Reykjavik",https://fastly.4sqi.net/img/general/600x600/142125_EcCYgV7sUyDmqPHky4jcqeGLceI_ejKMfAxPAwpRljc.jpg,9.2,7,https://fr.foursquare.com/v/bastard-brew-and-food/5afdd3497269fe002c8a2bf5,Bastard Brew and Food,Brasseur,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/7521393-LPSL1T11BWJLK5FY.jpg,"Lisa S. • Mars 27
Great burgers! Also plentiful options on the drink menu.",Lisa S. • Mars 27,https://fr.foursquare.com/lisa_bonita,Lisa S.
"Laugavegur 72, Reykjavik",https://fastly.4sqi.net/img/general/600x600/4384433_WglX9-K4okfZrzDb0yDqUPdjAKovda5LO0w8VUJIrDQ.jpg,9.2,8,https://fr.foursquare.com/v/gamla--old-iceland/517edcfbb0edb0fda8c5d48a,Gamla / Old Iceland,Restaurant,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/141670797_8eFrcXBe_0Q8Se7mIb7C3c-gSh--C-mR6DrWb968PYgfe9IQliZCyqsoqVHqAW8CUIMoxHF83.jpg,"Natacha D. • Mars 19, 2017
Icelandic traditional food, main courses are good but this restaurant is too overrated!! Cuisine traditionnelle Islandaise, bon pour un plat principal mais resto surcoté","Natacha D. • Mars 19, 2017",https://fr.foursquare.com/natachad9065774,Natacha D.
"Rauðarárstígur (Flókagata), Reykjavik",https://fastly.4sqi.net/img/general/600x600/44726046_sEawAUcXgVWhY6nKh4t-zRXH2IiIzlQEROPHWf4hmu0.jpg,9.1,9,https://fr.foursquare.com/v/klambrat%C3%BAn/4d7c97c98f89224bec1da726,Klambratún,Parc,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/592987989_o9KdU8z2_tbzh664Kuy46AhYhC9WRsUEi9ZIu5CHdZOHkKghX8f7CptxyOa5oo8W7NI8QSTHv.jpg,"John R. • Décembre 4, 2020
Very nice park in a quiet location. In the summer people play all sorts of sports here.","John R. • Décembre 4, 2020",https://fr.foursquare.com/johnr7503429,John R.
"Hagamelur 39, Reykjavik",https://fastly.4sqi.net/img/general/600x600/548945623_mSrfPFug0fmhdBAwguyi7HlGqqn3gyud0JoGllVDDpI.jpg,9.1,10,https://fr.foursquare.com/v/melab%C3%BA%C3%B0in/4bfe9f5ea8c39c74ac83f237,Melabúðin,Épicerie,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/22GRDQPDBOUIVNQS.jpg,"Victoria W. • Janvier 7, 2015
My favorite neighborhood grocer. For such a tiny grocer the selection is unbeatable. Sushi selection for a quick meal totally recommended","Victoria W. • Janvier 7, 2015",https://fr.foursquare.com/vvictoriawong,Victoria W.
