Titre,Avis,Type,Price
 Locanda Alla Romana,227 avis,"Italienne, Pizza",€€-€€€
 CasaManco,502 avis,"Italienne, Pizza",€
 Francesco Forti Ricevimenti,200 avis,"Italienne, Fruits de mer et poisson",€€€€
 Er Pizzicarolo,697 avis,"Italienne, Méditerranéenne",€
 Bistro Salentino,225 avis,"Italienne, Méditerranéenne",€€-€€€
 Pane e Salame,8 368 avis,"Italienne, Cuisine de rue (street food)",€
 La Tavernetta 29 Da Tony E Andrea,6 291 avis,"Romana, Latium",€€-€€€
 Ristorante Crispi 19,3 294 avis,"Italienne, Fruits de mer et poisson",€€€€
 Pizza Zizza Caffetteria Birreria Desserteria,3 469 avis,"Italienne, Pizza",€
 Hostaria Antica Roma,1 302 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Pizzeria Mammapà,133 avis,"Italienne, Pizza",€
 RIONE XIV bistrot,1 099 avis,"Italienne, Méditerranéenne",€€-€€€
 PePPO a Cinecittà,184 avis,"Italienne, Pizza",€€€€
 Dejavu,222 avis,"Italienne, Japonaise",€€-€€€
 StuPisci,525 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Platea Pizzeria,124 avis,"Italienne, Pizza",€€-€€€
 Pasta e Vino - Torre Argentina,302 avis,"Italienne, Romana",€€€€
 Pizza E Mozzarella,2 163 avis,"Italienne, Pizza",€
 EGG,1 628 avis,"Italienne, Restauration rapide",€
 Bentu & Soi,948 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Ornelli Black Angus Steakhouse,930 avis,"Steakhouse, Grillades",€€-€€€
 L'altra Guancia,305 avis,"Italienne, Méditerranéenne",€€-€€€
 Scialla the Original Streetfood,585 avis,"Italienne, Pizza",€
 Mi'ndujo - Via Catania,661 avis,"Italienne, Bar",€€-€€€
 PanDivino - Focacceria Taperia,875 avis,"Italienne, Espagnole",€
 Mimì e Cocò,9 998 avis,"Italienne, Romana",€€-€€€
 Pizzeria Italia dal 1987,348 avis,"Italienne, Pizza",€
 Ombre Rosse,9 540 avis,"Italienne, Bar",€€-€€€
 El Maiz Venezuelan Street Food,369 avis,"Latino, Vénézuélienne",€
 Tonnarello Scala,999 avis,"Italienne, Méditerranéenne",€€-€€€
 Mi'Ndujo - Aura,1 069 avis,"Italienne, Bar",€€-€€€
 Bacetto Bistrot,167 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
 Hosteria La Pietra Pertusa,169 avis,"Italienne, Méditerranéenne",€€-€€€
 Vox Populi,219 avis,"Italienne, Bar",€
 Kisa Cuisine & Lounge,520 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Giaró,177 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Il Ferro e il Fuoco,81 avis,"Italienne, Internationale",€€€€
 Rosamunda's,366 avis,"Italienne, Pizza",€€-€€€
 Grano - la cucina di Traiano,779 avis,Pizza,€
 La Baguetteria del Valle,297 avis,"Italienne, Traiteur",€
 Sottocasa Food,167 avis,"Italienne, Bar",€€-€€€
 Amerina la Pizzetta,195 avis,"Italienne, Pizza",€
 Virginiae,2 538 avis,"Italienne, Méditerranéenne",€€-€€€
 Pizzeria I Gemelli,209 avis,Pizza,€
 La Divina Da Giulio,156 avis,"Italienne, Pizza",€€-€€€
 Osti Matti,700 avis,"Italienne, Méditerranéenne",€€-€€€
 Rione 13,1 933 avis,"Italienne, Pizza",€€-€€€
 Gezin Pub,253 avis,"Bar à bières, Pub",€€-€€€
 Prosciutteria Alcolica,105 avis,"Italienne, Méditerranéenne",€€-€€€
 Il Ritrovo,371 avis,"Méditerranéenne, Romana",€€-€€€
 Ninkasi,808 avis,"Italienne, Steakhouse",€€-€€€
 Sapore di Roma,521 avis,"Pizza, Fruits de mer et poisson",€€-€€€
 Grazia & Graziella,24 887 avis,"Italienne, Pizza",€€-€€€
 Osteria da Fortunata - Cancelleria,1 002 avis,"Italienne, Méditerranéenne",€€€€
 JiAmo Lab,119 avis,"Chinoise, Asiatique",€
 Dumpling Bar,1 102 avis,"Chinoise, Asiatique",€
 Ristorante Arlù,3 095 avis,"Italienne, Méditerranéenne",€€-€€€
 Cantina & Cucina,17 434 avis,"Italienne, Européenne",€€-€€€
 Borghiciana Pastificio Artigianale,1 512 avis,"Italienne, Méditerranéenne",€€-€€€
 Goki Sushi Experience San Paolo,477 avis,"Chinoise, Japonaise",€€-€€€
 Mi'ndujo - Tuscolana,276 avis,"Italienne, Bar",€€-€€€
 Birreria Martini Esperienza Tedesca,513 avis,"Allemande, Pub",€€-€€€
 Mimi e Coco Trast,2 309 avis,"Italienne, Bar",€€-€€€
 7 Cereali,575 avis,"Pizza, Saine",€€-€€€
 Il Tamburello di Pulcinella,1 587 avis,"Italienne, Pizza",€€-€€€
 Ristorante Dai Miei,203 avis,"Italienne, Méditerranéenne",€€-€€€
 Sfiziarte - The Art of Food,1 050 avis,"Italienne, Méditerranéenne",€
 Mi'Ndujo - Ponte Milvio,579 avis,"Italienne, Bar",€€-€€€
 Armando e il Conte,257 avis,"Italienne, Méditerranéenne",€€-€€€
 Su & Giu Cucina Romana,3 649 avis,"Italienne, Méditerranéenne",€€-€€€
 La Prezzemolina,667 avis,"Italienne, Pizza",€
 Bono Bottega Nostrana - Monti,438 avis,"Italienne, Méditerranéenne",€€-€€€
 Pescado Seafood Restaurant,213 avis,"Italienne, Fruits de mer et poisson",€€€€
 FASSANGUE_ La Bottega,349 avis,"Italienne, Française",€€-€€€
 Taverna Tintoretto,369 avis,"Italienne, Méditerranéenne",€€-€€€
 VIDA - Living Restaurant & Wine Bar,1 402 avis,"Italienne, Steakhouse",€€-€€€
 Almatò,166 avis,"Italienne, Fruits de mer et poisson",€€€€
 Il Tagliere Toscano Navona,1 416 avis,"Italienne, Méditerranéenne",€€-€€€
 Mercato Hostaria,1 780 avis,"Italienne, Bar",€€-€€€
 L'Estro del Pesce,274 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
