Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Ruby Emma Hotel Amsterdam,"Oost-Watergraafsmeer, Amsterdam",Hébergement Mate,2 lits simples,"8,6",4 894 expériences vécues,"1 nuit, 1 adulte",,€ 159
INNSiDE by Meliá Amsterdam,"Zuideramstel, Amsterdam",Chambre Innside,Types de lits : 1 lit double ou 2 lits simples,"8,5",5 081 expériences vécues,"1 nuit, 1 adulte",,€ 221€ 188
Motel One Amsterdam,"Zuideramstel, Amsterdam",Chambre Double,1 lit double,"8,6",8 445 expériences vécues,"1 nuit, 1 adulte",,€ 130
Eden Hotel Amsterdam,"Centre d'Amsterdam, Amsterdam",Chambre Simple Standard,1 lit simple,"8,2",7 930 expériences vécues,"1 nuit, 1 adulte",,€ 206
Mövenpick Hotel Amsterdam City Centre,"Zeeburg, Amsterdam",Chambre Lits Jumeaux Classique avec Vue,2 lits simples,"8,2",3 984 expériences vécues,"1 nuit, 1 adulte",,€ 203
W Amsterdam,"Centre d'Amsterdam, Amsterdam",Chambre Cozy Exchange avec 1 Lit King-Size - Vue sur Atrium,1 très grand lit double,"7,6",505 expériences vécues,"1 nuit, 1 adulte",,€ 309
"Kimpton De Witt Amsterdam, an IHG Hotel","Centre d'Amsterdam, Amsterdam",Chambre Simple Ville avec 1 Lit Double,1 lit double,"8,7",2 630 expériences vécues,"1 nuit, 1 adulte",,€ 237
Banks Mansion - All Inclusive Boutique Hotel,"Centre d'Amsterdam, Amsterdam",Chambre Confort,Types de lits : 1 lit double ou 2 lits simples,"8,9",1 041 expériences vécues,"1 nuit, 1 adulte",,€ 268
"Radisson Blu Hotel, Amsterdam City Center","Centre d'Amsterdam, Amsterdam",Chambre Double ou Lits Jumeaux Standard,Types de lits : 1 lit double ou 2 lits simples,"8,4",5 956 expériences vécues,"1 nuit, 1 adulte",,€ 292
Grand Hotel Amrâth Amsterdam,"Centre d'Amsterdam, Amsterdam",Chambre Simple,1 lit simple,"7,7",2 444 expériences vécues,"1 nuit, 1 adulte",,€ 269€ 242
Hyatt Regency Amsterdam,"Centre d'Amsterdam, Amsterdam",Chambre Lits Jumeaux,2 lits simples,"8,4",2 314 expériences vécues,"1 nuit, 1 adulte",,€ 241
Novotel Amsterdam City,"Zuideramstel, Amsterdam",Chambre Supérieure Lit Queen-Size,1 grand lit double,"8,2",5 636 expériences vécues,"1 nuit, 1 adulte",,€ 171
Qbic Amsterdam WTC,"Zuideramstel, Amsterdam",Chambre Double Standard - Sans Fenêtre,1 grand lit double,"7,8",3 166 expériences vécues,"1 nuit, 1 adulte",,€ 144
ClinkNOORD Hostel,"Amsterdam-Noord, Amsterdam",Chambre Double Privée avec Salle de Bains Privative,1 lit double,"8,0",12 306 expériences vécues,"1 nuit, 1 adulte",,€ 182
citizenM Amsterdam South,"Zuideramstel, Amsterdam",Chambre Lit King-Size,1 très grand lit double,"8,6",3 387 expériences vécues,"1 nuit, 1 adulte",,€ 188
nhow Amsterdam Rai,"Zuideramstel, Amsterdam", Chambre Double ou Lits Jumeaux nhow,Types de lits : 1 lit double ou 2 lits simples,"9,0",9 299 expériences vécues,"1 nuit, 1 adulte",,€ 183
Hotel & bar Royal taste Amsterdam,"Centre d'Amsterdam, Amsterdam",Chambre Simple avec Salle de Bains Privative,1 lit simple,"8,0",940 expériences vécues,"1 nuit, 1 adulte",,€ 136
Generator Amsterdam,"Oost-Watergraafsmeer, Amsterdam",Lit dans Dortoir 6 Lits,1 lit superposé,"7,7",3 887 expériences vécues,"1 nuit, 1 adulte",,€ 81
"Apollo Hotel Amsterdam, a Tribute Portfolio Hotel","Amsterdam Oud-Zuid, Amsterdam",Chambre Lit King-Size Deluxe,1 très grand lit double,"8,1",1 268 expériences vécues,"1 nuit, 1 adulte",,€ 184
DoubleTree by Hilton Amsterdam Centraal Station,"Centre d'Amsterdam, Amsterdam",Chambre Lit Queen-Size,1 lit double,"7,7",3 085 expériences vécues,"1 nuit, 1 adulte",,€ 267
Renaissance Amsterdam Hotel,"Centre d'Amsterdam, Amsterdam",Chambre Deluxe,Plusieurs types de lits,"6,9",1 161 expériences vécues,"1 nuit, 1 adulte",,€ 249
Jaz in the City Amsterdam,"Amsterdam-Zuidoost, Amsterdam",Chambre Double Supérieure (1 ou 2 Lits),"2 lits (1 lit simple, 1 très grand lit double)","8,7",9 188 expériences vécues,"1 nuit, 1 adulte",,€ 134
