Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Mercure Andorra,"Zone Commerciale d'Andorre, Andorre-la-Vieille",Chambre Double Supérieure,1 lit double,"8,0",3 093 expériences vécues,"1 nuit, 1 adulte",,€ 90
Hotel Pyrénées,"Zone Commerciale d'Andorre, Andorre-la-Vieille",Chambre Simple - Intérieure,1 lit simple,"8,2",7 304 expériences vécues,"1 nuit, 1 adulte",,€ 73
HOTEL FESTA BRAVA,Andorre-la-Vieille,Chambre Double ou Lits Jumeaux - Occupation Simple ,"3 lits (2 lits simples, 1 lit double)","7,5",973 expériences vécues,"1 nuit, 1 adulte",,€ 82
Espel,"Escaldes-Engordany, Andorre-la-Vieille",Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"8,2",1 697 expériences vécues,"1 nuit, 1 adulte",,€ 84
Hostal Cisco de Sans,Andorre-la-Vieille,Chambre Double Deluxe avec Baignoire,1 grand lit double,"7,5",669 expériences vécues,"1 nuit, 1 adulte",,€ 100
Hotel Cervol,Andorre-la-Vieille,Chambre Double Économique,2 lits simples,"7,1",1 646 expériences vécues,"1 nuit, 1 adulte",,€ 74
Delfos Hotel,"Escaldes-Engordany, Andorre-la-Vieille",Chambre Triple (2 Adultes + 1 Enfant de moins de 11 ans),3 lits simples,"8,0",5 168 expériences vécues,"1 nuit, 1 adulte",,€ 180
Fènix Hotel,"Escaldes-Engordany, Andorre-la-Vieille",Chambre Double à usage Individuel,2 lits simples,"8,2",4 854 expériences vécues,"1 nuit, 1 adulte",,€ 159
Hotel Panorama,Andorre-la-Vieille,Suite Junior avec Accès au Spa - Vue sur Montagne,1 très grand lit double,"7,8",7 164 expériences vécues,"1 nuit, 1 adulte",,€ 239
Zenit Diplomatic,Andorre-la-Vieille,Chambre Triple (2 Adultes & 1 Enfant),3 lits simples,"7,2",2 652 expériences vécues,"1 nuit, 1 adulte",,€ 146
Hotel Metropolis,"Escaldes-Engordany, Andorre-la-Vieille",Chambre Lit King-Size Standard,1 très grand lit double,"9,1",2 037 expériences vécues,"1 nuit, 1 adulte",,€ 162
Andorra Park Hotel,Andorre-la-Vieille,Suite Junior Standard,"3 lits (1 lit simple, 2 lits doubles)","9,1",1 394 expériences vécues,"1 nuit, 1 adulte",,€ 224
NH Andorra la Vella,"Zone Commerciale d'Andorre, Andorre-la-Vieille",Chambre Double ou Lits Jumeaux Standard,2 lits simples,"8,7",3 042 expériences vécues,"1 nuit, 1 adulte",,€ 169
Hotel President by ALEGRIA,Andorre-la-Vieille,Chambre Simple,1 lit simple,"7,6",2 587 expériences vécues,"1 nuit, 1 adulte",,€ 78
Roc Blanc Hotel & Spa,"Escaldes-Engordany, Andorre-la-Vieille",Chambre Double,2 lits simples,"8,4",4 448 expériences vécues,"1 nuit, 1 adulte",,€ 127
Hotel Marfany,"Escaldes-Engordany, Andorre-la-Vieille",Chambre Double Supérieure,2 lits simples,"8,0",1 394 expériences vécues,"1 nuit, 1 adulte",,€ 107
Insitu Eurotel Andorra,"Escaldes-Engordany, Andorre-la-Vieille",Chambre Double avec Terrasse,1 lit double,"7,9",4 882 expériences vécues,"1 nuit, 1 adulte",,€ 110
