Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Earth Boutique Apartments,"Kallithéa, Athènes",Maison 1 Chambre,"2 lits (1 lit double, 1 canapé-lit)","8,5",33 expériences vécues,"1 nuit, 1 adulte",,"€ 161€ 109
-32 %"
Airotel Alexandros,"Athens City Centre, Athènes",Chambre Double Exécutive,2 lits simples,"8,2",1 719 expériences vécues,"1 nuit, 1 adulte",,"€ 138€ 89
-35 %"
Xenophon Hotel,Athènes,Chambre Double ou Lits Jumeaux Supérieure,Types de lits : 1 lit double ou 2 lits simples,"7,6",1 832 expériences vécues,"1 nuit, 1 adulte",,€ 88
Stylish Apartment in the heart of Historic Athens city centre with Acropolis view,"Thisseio, Athènes",Appartement 2 Chambres,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,"€ 61€ 49
-20 %"
Thanasis Place,"Athens City Centre, Athènes",Lit dans Dortoir Mixte de 6 Lits,Hébergement géré par un particulier,"7,3",1 322 expériences vécues,"1 nuit, 1 adulte",,€ 12
"Museum of Modern Art Rooms in apartment, next to metro Suggrou Fix, walk to Acropolis","Koukaki, Athènes",Chambre Double avec Salle de Bains Commune et Vue sur la Ville,1 grand lit double,"7,8",764 expériences vécues,"1 nuit, 1 adulte",,"€ 58€ 55
-5 %"
LUX&EASY Signature Syngrou 234,"Kallithéa, Athènes",Chambre Double EASY,Types de lits : 1 lit double ou 2 lits simples,"9,1",844 expériences vécues,"1 nuit, 1 adulte",,"€ 158€ 98
-38 %"
Best Western Plus Embassy Hotel,"Athens City Centre, Athènes",Chambre Lits Jumeaux - Non-Fumeurs,2 lits simples,"8,2",1 113 expériences vécues,"1 nuit, 1 adulte",,"€ 98€ 69
-29 %"
PAREA Athens,"Psyrí, Athènes",Chambre Double Deluxe avec Balcon,"2 lits (1 canapé-lit, 1 grand lit double)","9,0",808 expériences vécues,"1 nuit, 1 adulte",,"€ 97€ 83
-15 %"
Athens Connection Apartments,"Exárcheia, Athènes",Studio Supérieur,"2 lits (1 lit double, 1 canapé-lit)","8,2",1 761 expériences vécues,"1 nuit, 1 adulte",,€ 56
Athens Mirabello,"Athens City Centre, Athènes",Chambre Simple,1 lit simple,"8,3",3 618 expériences vécues,"1 nuit, 1 adulte",,"€ 56€ 47
-15 %"
Grand Hyatt Athens,"Néos Kósmos, Athènes",Chambre Lit King-Size,1 très grand lit double,"8,1",5 138 expériences vécues,"1 nuit, 1 adulte",,€ 115
Athinais Hotel,"Athens City Centre, Athènes",Chambre Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"8,5",1 328 expériences vécues,"1 nuit, 1 adulte",,€ 84
7ATHENS,"Psyrí, Athènes",Chambre Double Économique,1 grand lit double,"7,5",125 expériences vécues,"1 nuit, 1 adulte",,"€ 73€ 51
-30 %"
International Atene hotel,"Athens City Centre, Athènes",Grande Chambre Double ,Types de lits : 1 lit double ou 2 lits simples,"8,3",1 825 expériences vécues,"1 nuit, 1 adulte",,"€ 86€ 69
-19 %"
New Amaryllis Hotel,"Athens City Centre, Athènes",Chambre Triple Économique,"2 lits (1 lit simple, 1 grand lit double)","8,0",537 expériences vécues,"1 nuit, 1 adulte",,€ 89
Zappion Hotel,"Kallimarmaro, Athènes",Petite Chambre Double,1 lit double,"8,2",1 072 expériences vécues,"1 nuit, 1 adulte",,"€ 73€ 59
-20 %"
Minoa Athens Hotel,"Athens City Centre, Athènes",Chambre Simple,1 lit simple,"8,1",2 266 expériences vécues,"1 nuit, 1 adulte",,€ 39
PAME Wild,"Athens City Centre, Athènes",Chambre Double Supérieure,Types de lits : 1 lit double ou 2 lits simples,"8,8",526 expériences vécues,"1 nuit, 1 adulte",,"€ 90€ 76
-15 %"
