Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Terrace Old City Hotel,"Sabayil , Baku",Chambre Lits Jumeaux,1 lit double,"7,0",52 expériences vécues,"1 nuit, 1 adulte",,€ 49€ 22-55 %
Perla De Mar Hotel & Restaurant,"Sabayil , Baku",Chambre Double Standard,1 très grand lit double,10,8 expériences vécues,"1 nuit, 1 adulte",,€ 148€ 81-45 %
SAHIL Hostel & Hotel,"Sabayil , Baku",Lit dans Dortoir Mixte de 10 Lits,1 lit superposé,"8,2",1 293 expériences vécues,"1 nuit, 1 adulte",,€ 8
Center Hotel Baku,"Sabayil , Baku",Chambre Double Économique,Types de lits : 1 lit double ou 2 lits simples,"8,3",2 183 expériences vécues,"1 nuit, 1 adulte",,€ 63€ 32-49 %
Du Port Hotel,"Sabayil , Baku",Chambre Simple Standard,1 lit simple,"8,5",353 expériences vécues,"1 nuit, 1 adulte",,€ 62€ 37-40 %
West inn Hotel & Restaurant,"Sabayil , Baku",Chambre Double Standard,1 grand lit double,"8,1",196 expériences vécues,"1 nuit, 1 adulte",,€ 110€ 61-45 %
Luxe Hotel,"Sabayil , Baku",Chambre Double,1 lit double,"9,9",20 expériences vécues,"1 nuit, 1 adulte",,€ 44€ 36-20 %
Baku Tour Hotel & Hostel,"Sabayil , Baku",Grande Chambre Simple ,1 lit simple,"8,4",440 expériences vécues,"1 nuit, 1 adulte",,€ 22
ZamZam Hotel,"Sabayil , Baku",Chambre Simple Standard,1 lit simple,"8,6",451 expériences vécues,"1 nuit, 1 adulte",,€ 22
Nemi Museum Hotel Baku,"Nasimi, Baku",Chambre Lit King-Size Standard,1 très grand lit double,10,3 expériences vécues,"1 nuit, 1 adulte",,€ 55€ 27-50 %
Hillside City Center Hotel,"Sabayil , Baku",Chambre Simple Supérieure,1 lit simple,"9,6",66 expériences vécues,"1 nuit, 1 adulte",,€ 39€ 32-20 %
Economy Ariva Center Hotel,Baku,Chambre Double ou Lits Jumeaux,1 lit double,"8,0",33 expériences vécues,"1 nuit, 1 adulte",,€ 30€ 15-50 %
Nur Hotel Sea View,"Sabayil , Baku",Grande Chambre Simple ,1 lit simple,"9,1",13 expériences vécues,"1 nuit, 1 adulte",,€ 22€ 17-21 %
Boutique Hotel Avenue,"Sabayil , Baku",Suite avec Balcon,1 très grand lit double,"7,6",272 expériences vécues,"1 nuit, 1 adulte",,€ 39
Ariva Center Hotel,Baku,Chambre Double ou Lits Jumeaux,2 lits simples,"7,1",618 expériences vécues,"1 nuit, 1 adulte",,€ 19€ 11-41 %
Maajid Hotel & Restaurant,"Sabayil , Baku",Chambre Double Économique,1 lit double,"8,4",690 expériences vécues,"1 nuit, 1 adulte",,€ 38
Boulevard Inn,"Sabayil , Baku",Chambre Double,1 grand lit double,"8,6",176 expériences vécues,"1 nuit, 1 adulte",,€ 35€ 32-10 %
Solo Hotel,"Sabayil , Baku",Chambre Double Deluxe,1 très grand lit double,"8,8",48 expériences vécues,"1 nuit, 1 adulte",,€ 47€ 37-20 %
Mensen Deluxe Hotel Baku,Baku,Grande Chambre Simple ,1 lit simple,"7,0",243 expériences vécues,"1 nuit, 1 adulte",,€ 19
Baku Panorama Hotel,"Sabayil , Baku",Chambre Simple Standard,1 lit simple,"8,4",82 expériences vécues,"1 nuit, 1 adulte",,€ 19
