Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Palace Hotel,"Stari grad, Belgrade",Chambre Simple,1 lit simple,"7,6",2 344 expériences vécues,"1 nuit, 1 adulte",,€ 50
Courtyard by Marriott Belgrade City Center,"Stari grad, Belgrade",Chambre Lits Jumeaux Standard,2 lits simples,"8,8",598 expériences vécues,"1 nuit, 1 adulte",,€ 179
Belgrade Inn Garni Hotel,"Stari grad, Belgrade",Chambre Simple Économique,1 lit simple,"8,7",2 605 expériences vécues,"1 nuit, 1 adulte",,"€ 144€ 101
-30 %"
Apartments and Rooms Left River,"Savski Venac, Belgrade",Appartement 1 Chambre,1 lit double,"7,8",61 expériences vécues,"1 nuit, 1 adulte",,€ 36
Hotel Majestic,"Stari grad, Belgrade",Chambre Simple,1 lit simple,"8,4",4 031 expériences vécues,"1 nuit, 1 adulte",,€ 91
Kopernikus Hotel Prag,"Stari grad, Belgrade", Chambre Simple,1 lit double,"8,5",1 424 expériences vécues,"1 nuit, 1 adulte",,€ 83
Airport Hotel Garni,Belgrade,Chambre Simple,1 lit simple,"8,4",3 179 expériences vécues,"1 nuit, 1 adulte",,€ 62
Boutique Rooms,"Stari grad, Belgrade",Chambre Double Standard,1 grand lit double,"7,6",578 expériences vécues,"1 nuit, 1 adulte",,€ 82
Hotel Elegance,"Palilula, Belgrade",Chambre Double,1 grand lit double,"8,6",2 106 expériences vécues,"1 nuit, 1 adulte",,€ 46
Putnik Inn Belgrade,"Novi Beograd, Belgrade",Chambre Double Standard - Accès Gratuit au Spa,Types de lits : 1 lit double ou 2 lits simples,"8,2",1 399 expériences vécues,"1 nuit, 1 adulte",,"€ 102€ 82
-20 %"
Hotel Centar No.1,"Stari grad, Belgrade",Chambre Simple,1 lit simple,"9,1",1 217 expériences vécues,"1 nuit, 1 adulte",,€ 117
LDS Hotel Belgrade,"Novi Beograd, Belgrade",Standard King Room with Free Parking,1 grand lit double,"8,6",385 expériences vécues,"1 nuit, 1 adulte",,"€ 151€ 121
-20 %"
Hostel 1910,"Zemun, Belgrade",Lit dans Dortoir Mixte de 8 Lits ,1 lit superposé,"9,3",31 expériences vécues,"1 nuit, 1 adulte",,"€ 25€ 20
-20 %"
Hotel Mona Plaza,"Stari grad, Belgrade",Chambre Simple Standard avec Centre de Bien-Être Gratuit,1 lit simple,"8,9",1 831 expériences vécues,"1 nuit, 1 adulte",,€ 112
