Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Scandic Berlin Kurfürstendamm,"Charlottenburg-Wilmersdorf, Berlin",Chambre Simple,1 lit simple,"8,1",7 728 expériences vécues,"1 nuit, 1 adulte",,€ 199€ 119-40 %
INNSiDE by Meliá Berlin Mitte,"Mitte, Berlin",Chambre The Innside - Cour Intérieure,Plusieurs types de lits,"8,3",5 157 expériences vécues,"1 nuit, 1 adulte",,€ 154€ 111-28 %
Motel One Berlin-Tiergarten,"Arrondissement de Tempelhof-Schöneberg, Berlin",Chambre Lit Queen-Size.,1 grand lit double,"8,2",3 847 expériences vécues,"1 nuit, 1 adulte",,€ 93
Motel One Berlin-Bellevue,"Mitte, Berlin",Chambre Lit Queen-Size.,1 grand lit double,"8,2",3 406 expériences vécues,"1 nuit, 1 adulte",,€ 93
Novum Hotel Aldea Berlin Centrum,"Arrondissement de Tempelhof-Schöneberg, Berlin",Chambre Double ou Lits Jumeaux Standard,2 lits simples,"7,1",8 591 expériences vécues,"1 nuit, 1 adulte",,€ 72
Schulz Hotel Berlin Wall at the East Side Gallery,"Arrondissement de Friedrichshain-Kreuzberg, Berlin",Petite Chambre Simple,1 lit simple,"8,4",19 553 expériences vécues,"1 nuit, 1 adulte",,€ 83
Precise Tale Berlin Potsdamer Platz,"Arrondissement de Friedrichshain-Kreuzberg, Berlin",Chambre Simple - Accessible aux Personnes à Mobilité Réduite,1 lit simple,"8,6",3 267 expériences vécues,"1 nuit, 1 adulte",,€ 143
Motel One Berlin Ku'Damm,"Charlottenburg-Wilmersdorf, Berlin",Chambre Lit Queen-Size.,1 grand lit double,"8,3",2 805 expériences vécues,"1 nuit, 1 adulte",,€ 104
"Hotel Berlin, Berlin, a member of Radisson Individuals","Mitte, Berlin",Petite Chambre Confortable,1 grand lit double,"7,9",11 495 expériences vécues,"1 nuit, 1 adulte",,€ 131€ 112-15 %
B&B Hotel Berlin City-West,"Charlottenburg-Wilmersdorf, Berlin",Chambre Double,1 lit double,"7,1",2 181 expériences vécues,"1 nuit, 1 adulte",,€ 95€ 81-15 %
Motel One Berlin-Upper West,"Charlottenburg-Wilmersdorf, Berlin",Chambre Lit King-Size,1 grand lit double,"8,5",6 085 expériences vécues,"1 nuit, 1 adulte",,€ 114
Steps-Hotel,"Mitte, Berlin",Chambre Lits Jumeaux avec Salle de Bains Commune,4 lits simples,"7,9",2 153 expériences vécues,"1 nuit, 1 adulte",,€ 59
Hilton Berlin,"Mitte, Berlin",Chambre Lits Jumeaux Standard,2 lits simples,"7,7",2 440 expériences vécues,"1 nuit, 1 adulte",,€ 171
Steigenberger Hotel Am Kanzleramt,"Mitte, Berlin",Chambre Double Supérieure,Types de lits : 1 lit double ou 2 lits simples,"8,6",6 486 expériences vécues,"1 nuit, 1 adulte",,€ 140
TWO Hotel Berlin by Axel - Adults Only,"Charlottenburg-Wilmersdorf, Berlin",Chambre Simple,1 lit simple,"7,9",2 865 expériences vécues,"1 nuit, 1 adulte",,€ 81
Arte Luise Kunsthotel,"Mitte, Berlin",Chambre Simple Confort,1 lit simple,"7,5",1 580 expériences vécues,"1 nuit, 1 adulte",,€ 99
Sheraton Berlin Grand Hotel Esplanade,"Mitte, Berlin",Chambre Double Classique,1 très grand lit double,"7,8",1 611 expériences vécues,"1 nuit, 1 adulte",,€ 135
Hampton by Hilton Berlin City Centre Alexanderplatz,"Mitte, Berlin",Chambre Lit Queen-Size - Vue sur Jardin,1 lit double,"8,1",13 095 expériences vécues,"1 nuit, 1 adulte",,€ 122
aletto Hotel Potsdamer Platz,"Arrondissement de Friedrichshain-Kreuzberg, Berlin",Chambre Double ou Lits Jumeaux,1 lit simple,"8,7",7 663 expériences vécues,"1 nuit, 1 adulte",,€ 89
Courtyard by Marriott Berlin City Center,"Mitte, Berlin",Chambre Lit King-Size Deluxe,1 très grand lit double,"8,7",962 expériences vécues,"1 nuit, 1 adulte",,€ 121
aletto Hotel Kudamm,"Charlottenburg-Wilmersdorf, Berlin",Chambre Simple,1 lit simple,"8,1",6 172 expériences vécues,"1 nuit, 1 adulte",,€ 89
Motel One Berlin-Hauptbahnhof,"Mitte, Berlin",Chambre Lit Queen-Size.,1 lit double,"8,5",7 174 expériences vécues,"1 nuit, 1 adulte",,€ 114
Eurostars Berlin,"Mitte, Berlin",Chambre Double Supérieure,Types de lits : 1 lit double ou 2 lits simples,"7,9",4 826 expériences vécues,"1 nuit, 1 adulte",,€ 149
Motel One Berlin-Spittelmarkt,"Mitte, Berlin",Chambre Lit King-Size,1 grand lit double,"8,7",3 916 expériences vécues,"1 nuit, 1 adulte",,€ 114
MEININGER Hotel Berlin Hauptbahnhof,"Mitte, Berlin",Lit dans Dortoir Mixte de 4 Lits,1 lit superposé,"7,4",13 050 expériences vécues,"1 nuit, 1 adulte",,€ 20
Motel Blue,"Charlottenburg-Wilmersdorf, Berlin",Chambre Simple,1 lit simple,"7,4",1 836 expériences vécues,"1 nuit, 1 adulte",,€ 73
