Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Hotel Marthahaus,"Breitenrain-Lorraine, Berne",Chambre Simple Standard avec Salle de Bains Commune,1 lit simple,"8,6",1 390 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 99
prizeotel Bern-City,"Breitenrain-Lorraine, Berne",Chambre Double,1 très grand lit double,"8,3",9 458 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 116
Bern Youth Hostel,"Mattenhof-Weissenbühl, Berne",Lit Simple dans Dortoir pour Hommes,1 lit superposé,"8,4",2 468 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 60
Moxy Bern Expo,"Breitenrain-Lorraine, Berne",Chambre Lit Queen-Size ,1 grand lit double,"8,5",2 686 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 148
Bern Backpackers Hotel Glocke,"Old City of Bern, Berne",Lit dans Dortoir pour Femmes de 6 Lits,1 lit superposé,"8,3",2 181 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 52€ 48-8 %
Hotel La Pergola,"Mattenhof-Weissenbühl, Berne",Chambre Affaires,1 lit double,"8,1",1 710 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 172
ibis Styles Bern City,"Mattenhof-Weissenbühl, Berne",Chambre Lit Queen-Size Supérieure ,1 grand lit double,"8,5",1 331 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 145
Kreuz Bern Modern City Hotel,"Old City of Bern, Berne",Chambre Simple Style,1 lit simple,"8,3",3 100 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 161
NH Bern The Bristol,"Old City of Bern, Berne",Chambre Simple Standard,1 lit simple,"8,6",3 704 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 179
harry's home Bern-Expo,Berne,Chambre Double ou Lits Jumeaux Standard,2 lits simples,"8,4",1 204 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 140
NEW OPENING 2022 - Los Lorentes Hotel Bern City,"Mattenhof-Weissenbühl, Berne",Chambre Lit Queen-Size Supérieure avec Kitchenette,1 grand lit double,"8,4",1 424 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 135
Hotel City am Bahnhof,"Old City of Bern, Berne",Chambre Simple,1 lit simple,"7,8",2 044 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 174
ibis budget Bern Expo,Berne,Chambre Triple Économique,"2 lits (1 lit simple, 1 lit double)","7,5",2 904 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 132
Swissôtel Kursaal Bern,"Breitenrain-Lorraine, Berne",Chambre Lit Queen-Size Classique,1 grand lit double,"8,5",2 700 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 167
Sorell Hotel Ador,"Mattenhof-Weissenbühl, Berne",Chambre Simple Standard,1 lit simple,"8,1",1 749 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 146
Stopoase,"Mattenhof-Weissenbühl, Berne",Chambre Simple avec Douche ,Hébergement géré par un particulier,"8,5",136 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 131
Hostel 77 Bern,Berne,Lit dans Dortoir Mixte de 8 Lits ,1 lit superposé,"8,8",1 434 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 53
Sorell Hotel Arabelle,"Langgasse-Felsenau, Berne",Chambre Simple Supérieure,1 lit simple,"7,9",1 247 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 159
Max Aviation Villa & Apartments,"Murifeld, Berne",Chambre Lit King-Size Supérieure - Villa,"2 lits (1 lit simple, 1 grand lit double)","8,6",607 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 120€ 109-10 %
Boutique Hotel Belle Epoque,"Old City of Bern, Berne",Chambre Simple avec Douche ,1 lit simple,"8,4",1 679 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 168
Hotel Savoy,"Old City of Bern, Berne",Chambre Simple Économique,1 lit simple,"8,8",1 283 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 188
Best Western Plus Hotel Bern,"Old City of Bern, Berne",Chambre Standard,1 grand lit double,"8,6",3 751 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 195
Hotel National Bern,"Mattenhof-Weissenbühl, Berne",Chambre Simple Économique,1 lit simple,"7,9",2 306 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 164
Hotel Bären am Bundesplatz,"Old City of Bern, Berne",Chambre Simple,1 lit simple,"8,5",1 291 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 177
ibis Bern Expo,Berne,Chambre Double Standard,1 grand lit double,"7,8",1 107 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 141
"Perfect Location, comfortable & modern","Kirchenfeld-Schosshalde, Berne",Appartement 1 Chambre,1 grand lit double,,"1 nuit, 1 adulte",Taxes et frais compris,"sam. 25 nov.
—
dim. 26 nov.",€ 306€ 280-9 %
