Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Like a Feather by AtelierFOR,"Staré Mesto, Bratislava",Appartement 1 Chambre,Hébergement géré par un particulier,"9,0",3 expériences vécues,"1 nuit, 1 adulte",,€ 91€ 84-8 %
Villa Bea,"Nove Mesto, Bratislava",Appartement Supérieur,1 lit simple,"8,7",860 expériences vécues,"1 nuit, 1 adulte",,€ 85€ 79-7 %
CHORS like a hotel - 1st World NFT Block & Art Capsule Hostel MetaCHORS,"Staré Mesto, Bratislava",Capsule Supérieure Classique de 90 cm dans Dortoir de 10 Lits,1 lit simple,"8,6",4 364 expériences vécues,"1 nuit, 1 adulte",,€ 47€ 31-33 %
Pension Petit,"Staré Mesto, Bratislava",Chambre Simple,1 lit simple,"7,9",4 844 expériences vécues,"1 nuit, 1 adulte",,€ 69€ 63-8 %
"Crowne Plaza Bratislava, an IHG Hotel","Staré Mesto, Bratislava",Chambre Standard,Types de lits : 1 lit double ou 2 lits simples,"8,5",2 015 expériences vécues,"1 nuit, 1 adulte",,€ 102
SKARITZ Hotel & Residence,"Staré Mesto, Bratislava",Chambre Simple,Plusieurs types de lits,"8,7",2 476 expériences vécues,"1 nuit, 1 adulte",,€ 95€ 88-8 %
Ibis Bratislava Centrum,"Staré Mesto, Bratislava",Chambre avec 1 Lit Double,1 grand lit double,"7,8",4 371 expériences vécues,"1 nuit, 1 adulte",,€ 83
Hotel Saffron,"Staré Mesto, Bratislava",Chambre Simple,1 lit simple,"8,7",6 480 expériences vécues,"1 nuit, 1 adulte",,€ 84€ 78-8 %
Clarion Congress Hotel Bratislava,"Staré Mesto, Bratislava",Chambre Double Standard,1 lit double,"8,7",4 818 expériences vécues,"1 nuit, 1 adulte",,€ 113
Petit Dependance,"Staré Mesto, Bratislava",Chambre Simple,1 lit simple,"8,0",1 372 expériences vécues,"1 nuit, 1 adulte",,€ 69€ 63-8 %
Marrol's Boutique Hotel,"Staré Mesto, Bratislava",Chambre Simple Classique,1 lit simple,"9,1",4 158 expériences vécues,"1 nuit, 1 adulte",,€ 122€ 113-8 %
Elisabeth Old Town,"Staré Mesto, Bratislava",Chambre Simple avec Vue sur l'Intérieur,1 lit simple,"8,2",5 248 expériences vécues,"1 nuit, 1 adulte",,€ 70€ 64-8 %
Falkensteiner Hotel Bratislava,"Staré Mesto, Bratislava",Chambre Double Confort,Types de lits : 1 lit double ou 2 lits simples,"8,4",3 482 expériences vécues,"1 nuit, 1 adulte",,€ 122€ 113-8 %
Park Inn by Radisson Danube Bratislava,"Staré Mesto, Bratislava",Chambre Standard,Types de lits : 1 lit double ou 2 lits simples,"8,5",3 916 expériences vécues,"1 nuit, 1 adulte",,€ 120
