Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
The Scott Hotel Brussels,"Saint-Gilles, Bruxelles",Chambre Double ou Lits Jumeaux Standard,Types de lits : 1 lit double ou 2 lits simples,"8,5",4 060 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 261€ 184-30 %
Aloft Brussels Schuman,"Quartier européen, Bruxelles",Loft avec Lit King-Size,1 très grand lit double,"8,6",2 104 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 129
NH Brussels EU Berlaymont,"Quartier européen, Bruxelles",Chambre Double ou Lits Jumeaux Standard,Types de lits : 1 lit double ou 2 lits simples,"8,4",2 564 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 144
Ibis Brussels City Centre,"Centre de Bruxelles, Bruxelles",Chambre Lits Jumeaux Standard,1 lit simple,"7,6",5 036 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 166
Dansaert Hotel,"Centre de Bruxelles, Bruxelles",Chambre Deluxe,1 très grand lit double,"7,6",2 801 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 210
"Holiday Inn Brussels Schuman, an IHG Hotel","Quartier européen, Bruxelles",Chambre Lits Jumeaux,2 lits simples,"8,2",1 879 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 129
Atomihotel: Contemporary Comfort Steps from the Atomium!,Bruxelles,Chambre Double Deluxe avec Douche,1 grand lit double,"7,1",19 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 107
Hotel Chambord,"Centre de Bruxelles, Bruxelles",Petite Chambre Simple,1 lit simple,"7,8",5 584 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 188
First Euroflat Hotel,"Quartier européen, Bruxelles",Chambre Double Classique,1 très grand lit double,"7,6",3 843 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 163€ 135-18 %
Hotel Des Colonies,"Saint-Josse-ten-Noode, Bruxelles",Single room,1 lit simple,"7,5",1 454 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 113
Ibis Brussels Erasmus,"Anderlecht, Bruxelles",Chambre Lits Jumeaux Supérieure,2 lits simples,"7,6",1 679 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 110
B-aparthotel Ambiorix,"Quartier européen, Bruxelles",Chambre Double Standard,1 lit double,"7,5",795 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 130
Hotel Manhattan,"Centre de Bruxelles, Bruxelles",Chambre Double,1 grand lit double,"4,0",1 979 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 103
OPO Hotel,"Centre de Bruxelles, Bruxelles",Chambre Handicapés,1 très grand lit double,"9,0",82 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 234
Hotel Aviation,"Anderlecht, Bruxelles",Chambre Simple,1 lit simple,"4,5",3 370 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 81
Gresham Belson Hotel Brussels,"Evere, Bruxelles",Hébergement Premium Classique,1 lit double,"8,0",3 201 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 119
Radisson RED Brussels,"Elsene / Ixelles, Bruxelles",Chambre Standard,Plusieurs types de lits,"8,7",3 817 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 161
Best Western Plus Park Hotel Brussels,"Etterbeek, Bruxelles",Mini Chambre Simple avec Lit Simple - Non-Fumeurs,1 lit simple,"7,9",940 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 109
Brxxl 5 City Centre Hostel,"Centre de Bruxelles, Bruxelles",Lit dans Dortoir Mixte de 4 Lits,1 lit superposé,"6,9",1 723 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 48
