Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Eurostars Palazzo Zichy,"08. Józsefváros, Budapest",Chambre de Luxe ,Types de lits : 1 lit double ou 2 lits simples,"9,1",1 467 expériences vécues,"1 nuit, 1 adulte",,"€ 199€ 117
-41 %"
City Hotel Budapest,"06. Terézváros, Budapest",Chambre Double ou Lits Jumeaux Standard,Types de lits : 1 lit double ou 2 lits simples,"8,0",3 907 expériences vécues,"1 nuit, 1 adulte",,"€ 88€ 75
-15 %"
Easy Star Hotel,"06. Terézváros, Budapest",Chambre Lits Jumeaux Standard,2 lits simples,"6,5",4 835 expériences vécues,"1 nuit, 1 adulte",,"€ 83€ 68
-18 %"
Avenue Hostel,"06. Terézváros, Budapest",Lit dans Dortoir Mixte de 12 Lits,1 lit superposé,"8,1",9 781 expériences vécues,"1 nuit, 1 adulte",,"€ 34€ 27
-20 %"
Hotel Papillon,"02. Rózsadomb, Budapest",Chambre Simple Standard,1 lit simple,"7,7",2 133 expériences vécues,"1 nuit, 1 adulte",,€ 48
Novotel Budapest Centrum,"08. Józsefváros, Budapest",Chambre Double Standard,1 grand lit double,"8,2",1 452 expériences vécues,"1 nuit, 1 adulte",,€ 95
DORMERO Hotel Budapest,"06. Terézváros, Budapest",Chambre Double Supérieure,1 très grand lit double,"8,6",4 914 expériences vécues,"1 nuit, 1 adulte",,"€ 125€ 106
-15 %"
Lansky,"05. Belváros - Lipótváros, Budapest",Chambre Simple Standard,1 lit simple,"8,2",471 expériences vécues,"1 nuit, 1 adulte",,€ 84
Palms Apartments Budapest,"07. Erzsébetváros, Budapest",Appartement 1 Chambre,1 lit simple,"9,5",571 expériences vécues,"1 nuit, 1 adulte",,"€ 105€ 84
-20 %"
Royal Park Boutique Hotel,"07. Erzsébetváros, Budapest",Chambre Double ou Lits Jumeaux,"3 lits (2 lits simples, 1 lit double)","7,4",3 765 expériences vécues,"1 nuit, 1 adulte",,"€ 82€ 74
-10 %"
Budapest Three Cats Hostel,"08. Józsefváros, Budapest",Chambre Double avec Salle de Bains Privative,1 grand lit double,"8,1",554 expériences vécues,"1 nuit, 1 adulte",,"€ 57€ 48
-15 %"
Park Inn By Radisson Budapest,"13. Angyalföld, Budapest",Chambre Supérieure,Plusieurs types de lits,"8,2",1 381 expériences vécues,"1 nuit, 1 adulte",,"€ 141€ 85
-40 %"
Dominik Panzió,"14. Zugló, Budapest",Chambre Simple,1 lit simple,"7,2",2 443 expériences vécues,"1 nuit, 1 adulte",,€ 23
Canada Hotel Budapest,"09. Ferencváros, Budapest",Chambre Standard Lit Queen-Size,1 grand lit double,"7,7",1 143 expériences vécues,"1 nuit, 1 adulte",,€ 50
NETIZEN Budapest Centre,"07. Erzsébetváros, Budapest",Lit Simple dans Dortoir de 10 Lits,1 lit superposé,"8,7",7 388 expériences vécues,"1 nuit, 1 adulte",,€ 14
Hotel Golden Park Budapest,"08. Józsefváros, Budapest",Chambre Double ou Lits Jumeaux,"3 lits (2 lits simples, 1 grand lit double)","5,4",2 918 expériences vécues,"1 nuit, 1 adulte",,€ 44
Esprit Hotel,"08. Józsefváros, Budapest",Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"7,1",1 630 expériences vécues,"1 nuit, 1 adulte",,"€ 71€ 58
-19 %"
Gartner Hotel,"07. Erzsébetváros, Budapest",Chambre Lits Jumeaux Standard,Types de lits : 1 lit double ou 2 lits simples,"7,3",435 expériences vécues,"1 nuit, 1 adulte",,€ 86
