Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Single in the room hostel,Chişinău,Chambre Double Économique,1 lit simple,"6,5",22 expériences vécues,"1 nuit, 1 adulte",,€ 28€ 24-14 %
Lion's Hotel,Chişinău,Chambre Simple,Plusieurs types de lits,"8,9",954 expériences vécues,"1 nuit, 1 adulte",,€ 99
City Park Hotel,Chişinău,Chambre Double Standard,1 grand lit double,"8,7",2 143 expériences vécues,"1 nuit, 1 adulte",,€ 79
London Boutique Hotel,Chişinău,Chambre Simple,1 lit simple,"9,0",1 527 expériences vécues,"1 nuit, 1 adulte",,€ 46
Regency Hotel,Chişinău,Chambre Double Standard,1 grand lit double,"8,7",386 expériences vécues,"1 nuit, 1 adulte",,€ 90€ 80-12 %
Bed & Breakfast Olsi,Chişinău,Chambre Double Deluxe,1 grand lit double,"8,5",2 857 expériences vécues,"1 nuit, 1 adulte",,€ 63€ 50-20 %
Hostel City Center,Chişinău,Lit dans Dortoir pour Hommes de 4 Lits,1 lit superposé,"9,1",3 041 expériences vécues,"1 nuit, 1 adulte",,€ 15€ 9-40 %
Bristol Central Park Hotel,Chişinău,Petite Chambre Double ou Lits Jumeaux,1 très grand lit double,"9,0",3 543 expériences vécues,"1 nuit, 1 adulte",,€ 74
Wine Hotel Chisinau,Chişinău,Chambre Lits Jumeaux Standard,2 lits simples,"8,6",1 643 expériences vécues,"1 nuit, 1 adulte",,€ 47
Tulip Residence & Spa Hotel,Chişinău,Chambre Double ou Lits Jumeaux Supérieure avec Vue sur Ville,Plusieurs types de lits,"9,6",1 858 expériences vécues,"1 nuit, 1 adulte",,€ 100€ 90-10 %
Hotel Villa Natali,Chişinău,Chambre Simple Économique,1 lit simple,"8,0",243 expériences vécues,"1 nuit, 1 adulte",,€ 37
Park Lane Hotel,Chişinău,Chambre Double,1 grand lit double,"9,1",742 expériences vécues,"1 nuit, 1 adulte",,€ 74
Vila Iris,Chişinău,Chambre Simple Standard,1 lit simple,"8,2",3 429 expériences vécues,"1 nuit, 1 adulte",,€ 42
GREGORY Boutique Hotel Chisinau,Chişinău,Chambre Double,1 lit double,"9,9",850 expériences vécues,"1 nuit, 1 adulte",,€ 132
Guest Hostel,Chişinău,Dortoir Mixte ,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 10
Radisson Blu Leogrand Hotel,Chişinău,Chambre Standard,1 lit double,"8,8",655 expériences vécues,"1 nuit, 1 adulte",,€ 180
Bulevard Stefan 64-11,Chişinău,Chambre Double Économique,1 lit simple,"7,0",23 expériences vécues,"1 nuit, 1 adulte",,€ 36
Maxim Pasha Hotel,Chişinău,Chambre Double Économique,1 lit simple,"8,0",339 expériences vécues,"1 nuit, 1 adulte",,€ 58
Камера хранения,Chişinău,Chambre Double Économique,1 lit simple,"7,6",21 expériences vécues,"1 nuit, 1 adulte",,€ 36€ 34-5 %
Richmond Hotel,Chişinău,Chambre Simple,1 lit simple,"9,5",151 expériences vécues,"1 nuit, 1 adulte",,€ 113
Glass Cube Hotel,Chişinău,Chambre Double Standard,1 très grand lit double,"9,0",483 expériences vécues,"1 nuit, 1 adulte",,€ 74
Komilfo Hotel,Chişinău,Chambre Double Standard,1 grand lit double,"8,9",722 expériences vécues,"1 nuit, 1 adulte",,€ 72
Plai Hotel,Chişinău,Chambre Double,1 grand lit double,"9,6",485 expériences vécues,"1 nuit, 1 adulte",,€ 98
Time Hotel&SPA,Chişinău,Chambre Lit King-Size Standard,1 grand lit double,"8,8",749 expériences vécues,"1 nuit, 1 adulte",,€ 108
Dacia Hotel,Chişinău,Chambre Simple Standard,1 lit double,"6,8",305 expériences vécues,"1 nuit, 1 adulte",,€ 59
Courtyard by Marriott Chisinau,Chişinău,Chambre Standard 2 Lits Jumeaux/Simples - Vue sur Ville,2 lits simples,"8,9",346 expériences vécues,"1 nuit, 1 adulte",,€ 129
Familion ApartHotel,Chişinău,Chambre Double Standard,1 très grand lit double,"8,7",1 218 expériences vécues,"1 nuit, 1 adulte",,€ 72
Villa aeroport розовый дом,Chişinău,Chambre Double avec Balcon,Hébergement géré par un particulier,"8,6",515 expériences vécues,"1 nuit, 1 adulte",,€ 62
Weekend Boutique Hotel,Chişinău,Chambre Simple Affaires ,1 lit simple,"8,9",985 expériences vécues,"1 nuit, 1 adulte",,€ 78
Jolly Alon Hotel,Chişinău,Chambre Simple Supérieure,1 lit simple,"7,6",270 expériences vécues,"1 nuit, 1 adulte",,€ 89
Aquaperla Hotel & SPA,Chişinău,Standart Double Room without SPA access,1 très grand lit double,"8,2",199 expériences vécues,"1 nuit, 1 adulte",,€ 92
Roxen Hotel&Spa,Chişinău,Chambre Lit King-Size Standard,1 très grand lit double,"8,5",516 expériences vécues,"1 nuit, 1 adulte",,€ 130€ 110-15 %
Hotel Lidia,Chişinău,Chambre Double Économique,1 lit double,"8,5",301 expériences vécues,"1 nuit, 1 adulte",,€ 62
La Vitalie Guest House,Chişinău,Chambre Double Économique,Hébergement géré par un particulier,"8,6",368 expériences vécues,"1 nuit, 1 adulte",,€ 22
Flowers Hotel,Chişinău,Chambre Simple avec Lit Simple et Balcon - Non-Fumeurs,1 lit simple,"8,6",329 expériences vécues,"1 nuit, 1 adulte",,€ 79
Prestige apart-hotel,Chişinău,Chambre Lit King-Size Standard,1 grand lit double,"7,9",672 expériences vécues,"1 nuit, 1 adulte",,€ 51
Diplomat Club Hotel,Chişinău,Chambre Simple Économique,1 lit simple,"8,5",420 expériences vécues,"1 nuit, 1 adulte",,€ 72
in the Buelevard Stefan,Chişinău,Chambre Quadruple,1 très grand lit double,"8,3",15 expériences vécues,"1 nuit, 1 adulte",,€ 51€ 49-5 %
Premium Apartment Chisinau,Chişinău,Appartement 2 Chambres,Hébergement géré par un particulier,"9,9",8 expériences vécues,"1 nuit, 1 adulte",,€ 177
