Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
"Radisson Blu Scandinavia Hotel, Copenhagen","Amager Vest, Copenhague",Chambre Premium - Vue sur Horizon et Lac,1 grand lit double,"7,7",6 030 expériences vécues,"1 nuit, 1 adulte",,€ 275€ 192-30 %
Moxy Copenhagen Sydhavnen,"Sydhavnen, Copenhague",Chambre Lit Queen-Size ,1 grand lit double,"8,1",1 685 expériences vécues,"1 nuit, 1 adulte",,€ 171
Cabinn Scandinavia,"Frederiksberg, Copenhague",Chambre Standard Lit Queen-Size,"2 lits (1 lit double, 1 lit superposé)","6,9",5 857 expériences vécues,"1 nuit, 1 adulte",,€ 111
AC Hotel by Marriott Bella Sky Copenhagen,"Amager Vest, Copenhague",Grande Chambre Standard avec Lits Jumeaux,2 lits simples,"8,0",6 812 expériences vécues,"1 nuit, 1 adulte",,€ 160
Generator Copenhagen,"Centre de Copenhague, Copenhague",Lit dans Dortoir Mixte de 8 Lits ,1 lit superposé,"7,3",9 003 expériences vécues,"1 nuit, 1 adulte",,€ 45
Cabinn Copenhagen,"Vesterbro, Copenhague",Appartement Simple,1 lit simple,"6,6",23 390 expériences vécues,"1 nuit, 1 adulte",,€ 82
Cabinn Metro,"Amager Vest, Copenhague",Chambre Économique avec Lits Superposés,1 lit superposé,"6,8",13 229 expériences vécues,"1 nuit, 1 adulte",,€ 68
ProfilHotels Mercur,"Centre de Copenhague, Copenhague",Chambre Standard Lit Queen-Size,1 grand lit double,"7,2",1 159 expériences vécues,"1 nuit, 1 adulte",,€ 214
Next House Copenhagen,"Centre de Copenhague, Copenhague",Lit dans Dortoir pour Femmes de 4 Lits,1 lit superposé,"8,4",25 830 expériences vécues,"1 nuit, 1 adulte",,€ 49
Wakeup Copenhagen - Carsten Niebuhrs Gade,"Vesterbro, Copenhague",Chambre Standard,1 grand lit double,"7,7",9 078 expériences vécues,"1 nuit, 1 adulte",,€ 107
Copenhagen Go Hotel,Copenhague,Chambre Double,1 grand lit double,"7,3",9 732 expériences vécues,"1 nuit, 1 adulte",,€ 122
Scandic CPH Strandpark,Copenhague,Chambre Lits Jumeaux Standard,2 lits simples,"8,2",6 121 expériences vécues,"1 nuit, 1 adulte",,€ 181
Scandic Front,"Centre de Copenhague, Copenhague",Chambre Double Économique,1 grand lit double,"7,7",1 822 expériences vécues,"1 nuit, 1 adulte",,€ 229
Scandic Falkoner,"Frederiksberg, Copenhague",Chambre Lits Jumeaux Standard,2 lits simples,"8,2",3 818 expériences vécues,"1 nuit, 1 adulte",,€ 181
Scandic Copenhagen,"Centre de Copenhague, Copenhague",Chambre Simple Standard,1 lit double,"7,5",3 728 expériences vécues,"1 nuit, 1 adulte",,€ 193
ibis Styles Copenhagen Orestad,"Amager Vest, Copenhague",Chambre Double Supérieure - Étage Supérieur,1 lit double,"8,5",1 357 expériences vécues,"1 nuit, 1 adulte",,€ 157
Scandic Sluseholmen,"Sydhavnen, Copenhague",Chambre Lit King-Size Standard,1 très grand lit double,"7,4",1 360 expériences vécues,"1 nuit, 1 adulte",,€ 126
Hotel Euroglobe,"Frederiksberg, Copenhague",Chambre Simple avec Toilettes et Douche Communes,1 lit simple,"6,4",1 068 expériences vécues,"1 nuit, 1 adulte",,€ 67
Phoenix Copenhagen,"Centre de Copenhague, Copenhague",Chambre Simple Standard,1 lit simple,"8,3",3 445 expériences vécues,"1 nuit, 1 adulte",,€ 153
citizenM Copenhagen Radhuspladsen,"Centre de Copenhague, Copenhague",Chambre Lit King-Size,1 très grand lit double,"8,6",7 218 expériences vécues,"1 nuit, 1 adulte",,€ 243
Park Inn by Radisson Copenhagen Airport,Copenhague,Chambre Standard,,"7,2",4 343 expériences vécues,"1 nuit, 1 adulte",,€ 133
CPH Hotel,"Vesterbro, Copenhague",Chambre Simple Supérieure,Plusieurs types de lits,"8,3",8 299 expériences vécues,"1 nuit, 1 adulte",,€ 157
Scandic Kødbyen,"Vesterbro, Copenhague",Chambre Lit King-Size Standard,1 grand lit double,"8,0",3 826 expériences vécues,"1 nuit, 1 adulte",,€ 205
Wakeup Copenhagen - Bernstorffsgade,"Centre de Copenhague, Copenhague",Chambre Standard,1 grand lit double,"7,8",15 591 expériences vécues,"1 nuit, 1 adulte",,€ 120
"Radisson Collection Royal Hotel, Copenhagen","Centre de Copenhague, Copenhague",Chambre Simple,1 lit simple,"8,7",5 533 expériences vécues,"1 nuit, 1 adulte",,€ 312
Wakeup Copenhagen - Borgergade,"Centre de Copenhague, Copenhague",Chambre Double Standard,1 grand lit double,"8,0",18 054 expériences vécues,"1 nuit, 1 adulte",,€ 147
Zleep Hotel Copenhagen Airport,Copenhague,Chambre Lits Jumeaux Standard ,4 lits simples,"7,8",3 017 expériences vécues,"1 nuit, 1 adulte",,€ 107
Rye115 Hotel,"Østerbro, Copenhague",Chambre Simple avec Salle de Bains Commune,1 lit simple,"8,6",912 expériences vécues,"1 nuit, 1 adulte",,€ 147
Copenhagen Admiral Hotel,"Centre de Copenhague, Copenhague",Hébergement Double Deluxe,1 lit double,"8,7",6 269 expériences vécues,"1 nuit, 1 adulte",,€ 255
Hotel Østerport,"Østerbro, Copenhague",Hébergement Lit Double 160 - Vue sur Chemin de Fer,1 grand lit double,"7,5",4 056 expériences vécues,"1 nuit, 1 adulte",,€ 185
Zoku Copenhagen,"Amager Vest, Copenhague",Loft Zoku - Vue sur Rue,1 très grand lit double,"9,1",2 889 expériences vécues,"1 nuit, 1 adulte",,€ 181
Hotel Skt. Annæ,"Centre de Copenhague, Copenhague",Chambre Simple Deluxe,1 lit simple,"8,5",4 747 expériences vécues,"1 nuit, 1 adulte",,€ 268
Hotel Kong Arthur,"Centre de Copenhague, Copenhague",Chambre Simple Standard,1 lit simple,"8,6",4 579 expériences vécues,"1 nuit, 1 adulte",,€ 238
Comfort Hotel Copenhagen Airport,Copenhague,Chambre Double Standard,1 grand lit double,"8,0",16 360 expériences vécues,"1 nuit, 1 adulte",,€ 137
Comfort Hotel Vesterbro,"Vesterbro, Copenhague",Chambre Double Standard,1 grand lit double,"7,7",5 125 expériences vécues,"1 nuit, 1 adulte",,€ 254€ 236-7 %
Hotel Alexandra,"Centre de Copenhague, Copenhague",Chambre Simple Standard,1 lit simple,"8,0",1 666 expériences vécues,"1 nuit, 1 adulte",,€ 236
Best Western Plus Airport Hotel,Copenhague,Chambre Standard Lit Queen-Size,1 grand lit double,"7,2",5 789 expériences vécues,"1 nuit, 1 adulte",,€ 99
Clarion Hotel Copenhagen Airport,Copenhague,Chambre Double Standard,1 grand lit double,"8,4",7 491 expériences vécues,"1 nuit, 1 adulte",,€ 174
Scandic Palace Hotel,"Centre de Copenhague, Copenhague",Chambre Double Supérieure - Vue sur Ville,1 grand lit double,"7,9",3 519 expériences vécues,"1 nuit, 1 adulte",,€ 326
Grand Joanne,"Vesterbro, Copenhague",Chambre Standard Lit Queen-Size,1 grand lit double,"8,5",1 225 expériences vécues,"1 nuit, 1 adulte",,€ 334
Zleep Hotel Copenhagen Arena,"Amager Vest, Copenhague",Chambre Double,1 très grand lit double,"7,9",3 059 expériences vécues,"1 nuit, 1 adulte",,€ 174
Hotel Christian IV,"Centre de Copenhague, Copenhague",Chambre Simple Standard,1 lit simple,"7,3",1 331 expériences vécues,"1 nuit, 1 adulte",,€ 178
"Hotel Astoria, Best Western Signature Collection","Vesterbro, Copenhague",Chambre Simple,1 lit simple,"7,9",3 108 expériences vécues,"1 nuit, 1 adulte",,€ 177
Axel Guldsmeden,"Vesterbro, Copenhague",Chambre Double,1 lit double,"8,2",1 751 expériences vécues,"1 nuit, 1 adulte",,€ 195
Cabinn Apartments,"Amager Vest, Copenhague",Studio (1 Adulte),1 lit simple,"7,6",2 772 expériences vécues,"1 nuit, 1 adulte",,€ 107
Hotel Mayfair,"Vesterbro, Copenhague",Chambre Double Signature,1 grand lit double,"7,8",5 986 expériences vécues,"1 nuit, 1 adulte",,€ 241
CityHub Copenhagen,"Vesterbro, Copenhague",Hébergement Hub,1 grand lit double,"9,0",9 112 expériences vécues,"1 nuit, 1 adulte",,€ 170
Ibsens Hotel,"Centre de Copenhague, Copenhague",Chambre Simple,1 lit simple,"8,2",2 107 expériences vécues,"1 nuit, 1 adulte",,€ 193
