Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Vintage Court,Dublin,Chambre Double Deluxe,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 96
Moxy Dublin City,"Dublin City Centre, Dublin",Chambre Lit Queen-Size ,1 grand lit double,"8,3",2 444 expériences vécues,"1 nuit, 1 adulte",,€ 269
Jacobs Inn Dublin,"Dublin City Centre, Dublin",Capsule dans Dortoir Mixte de 12 Lits,1 lit superposé,"8,3",8 815 expériences vécues,"1 nuit, 1 adulte",,"€ 106€ 92
-13 %"
Clayton Hotel Burlington Road,"Ballsbridge, Dublin",Chambre Lit King-Size Standard,1 très grand lit double,"8,3",7 657 expériences vécues,"1 nuit, 1 adulte",,€ 204
Abbey Court Hostel,"Dublin City Centre, Dublin",Lit dans Dortoir pour Femmes de 10 Lits,1 lit superposé,"7,8",5 378 expériences vécues,"1 nuit, 1 adulte",,€ 92
Leevin Hostel Mountjoy,"Dublin City Centre, Dublin",Lit Superposé dans Dortoir pour Hommes de 8 Lits ,1 lit superposé,"7,4",2 959 expériences vécues,"1 nuit, 1 adulte",,"€ 86€ 60
-30 %"
Bonnington Hotel & Leisure Centre,Dublin,Chambre Double ou Lits Jumeaux Classique,Types de lits : 1 lit double ou 2 lits simples,"7,4",4 268 expériences vécues,"1 nuit, 1 adulte",,"€ 230€ 196
-15 %"
KGT House,"Parnell Square, Dublin",Lit dans Dortoir Mixte de 16 Lits ,1 lit superposé,"6,4",2 083 expériences vécues,"1 nuit, 1 adulte",,€ 47
Mespil Hotel,"Ballsbridge, Dublin",Chambre Lit King-Size Exécutive,1 grand lit double,"8,9",2 825 expériences vécues,"1 nuit, 1 adulte",,€ 219
Marlin Hotel Stephens Green,"Saint Stephen's Green, Dublin",Chambre Confortable avec Lit King-Size,1 très grand lit double,"8,1",9 602 expériences vécues,"1 nuit, 1 adulte",,"€ 279€ 251
-10 %"
Ashfield Hostel,"Dublin City Centre, Dublin",1 Lit dans Dortoir de 6 Lits avec Salle de Bains Privative,1 lit superposé,"7,5",2 246 expériences vécues,"1 nuit, 1 adulte",,€ 65
Castle Hotel,"Parnell Square, Dublin",Chambre Double,1 lit double,"8,1",8 693 expériences vécues,"1 nuit, 1 adulte",,€ 289
"2 St Jude’s Court, Woodlawn Park Grove, Firhouse, Dublin D24H1X4",Dublin,Chambre Double,Hébergement géré par un particulier,10,1 expérience vécue,"1 nuit, 1 adulte",,€ 72
Clayton Hotel Ballsbridge,"Ballsbridge, Dublin",Chambre Double & Simple,"2 lits (1 lit simple, 1 lit double)","7,8",5 078 expériences vécues,"1 nuit, 1 adulte",,€ 229
The Croke Park Hotel,"Drumcondra, Dublin",Chambre Simple Standard,"2 lits (1 lit double, 1 très grand lit double)","8,6",2 403 expériences vécues,"1 nuit, 1 adulte",,€ 182
Academy Plaza Hotel,"Parnell Square, Dublin",Chambre Double Supérieure,1 lit double,"8,0",7 231 expériences vécues,"1 nuit, 1 adulte",,€ 246
"Keavan's Port Hotel , Dublin","Dublin City Centre, Dublin",Chambre Familiale Adaptée aux Personnes à Mobilité Réduite,Plusieurs types de lits,"8,5",5 945 expériences vécues,"1 nuit, 1 adulte",,€ 219
Hilton Garden Inn Dublin City Centre,"Dublin City Centre, Dublin",Chambre Lit King-Size Deluxe,1 très grand lit double,"8,3",4 268 expériences vécues,"1 nuit, 1 adulte",,€ 260
Hampton By Hilton Dublin City Centre,"Dublin City Centre, Dublin",Chambre Lit Queen-Size ,1 grand lit double,"8,5",4 493 expériences vécues,"1 nuit, 1 adulte",,€ 272
Beresford Hotel,"Dublin City Centre, Dublin",Chambre Simple Standard,1 lit simple,"7,4",8 468 expériences vécues,"1 nuit, 1 adulte",,€ 260
Harveys Guest House,"Dublin City Centre, Dublin",Chambre Double Économique,1 lit double,"8,3",1 164 expériences vécues,"1 nuit, 1 adulte",,€ 224
AYOS,Dublin,Appartement 1 Chambre,Hébergement géré par un particulier,"8,2",57 expériences vécues,"1 nuit, 1 adulte",,€ 93
The Hendrick Smithfield,"Dublin City Centre, Dublin",Hébergement Double avec Lits Superposés,"2 lits (1 lit superposé, 1 grand lit double)","7,9",4 965 expériences vécues,"1 nuit, 1 adulte",,€ 287
Hilton Dublin Kilmainham,Dublin,Chambre Double Hilton,1 lit double,"8,6",1 773 expériences vécues,"1 nuit, 1 adulte",,€ 222
The Trinity City Hotel,"Dublin City Centre, Dublin",Chambre Double,1 lit double,"8,2",3 484 expériences vécues,"1 nuit, 1 adulte",,"€ 336€ 276
-18 %"
Hilton Dublin,"Dublin City Centre, Dublin",Chambre Lits Jumeaux Supérieure,2 lits simples,"8,0",2 015 expériences vécues,"1 nuit, 1 adulte",,€ 247
Travelodge Dublin City Rathmines,"Rathmines, Dublin",Chambre Lits Jumeaux (2 Adultes Uniquement),2 lits simples,"7,4",1 607 expériences vécues,"1 nuit, 1 adulte",,"€ 219€ 199
-9 %"
Clayton Hotel Cardiff Lane,"Dublin City Centre, Dublin",Chambre Lit King-Size Exécutive,1 très grand lit double,"7,7",8 793 expériences vécues,"1 nuit, 1 adulte",,€ 329
Number 31,"Saint Stephen's Green, Dublin",Hébergement Somptueux Double,1 lit double,"9,0",846 expériences vécues,"1 nuit, 1 adulte",,€ 299
Maldron Hotel Merrion Road,Dublin,Chambre Lit King-Size Deluxe,1 très grand lit double,"8,6",2 661 expériences vécues,"1 nuit, 1 adulte",,€ 237
