Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Nash Airport Hotel,Genève,Chambre Double,1 grand lit double,"8,1",12 086 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 102
ibis Genève Centre Nations,"Les Grottes / Saint-Gervais, Genève",Chambre Standard avec 1 Lit Double,1 grand lit double,"8,0",7 337 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 153
Geneva Hostel,"Les Pâquis, Genève",Lit Simple dans Dortoir pour Femmes,1 lit simple,"7,9",5 662 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 50
citizenM Geneva,"Downtown, Genève",Chambre Lit King-Size,1 très grand lit double,"8,6",4 200 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 190
NH Geneva Airport Hotel,Genève,Chambre Lits Jumeaux Standard,2 lits simples,"8,3",568 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 118
ibis budget Genève Aéroport,Genève,Chambre Triple avec 1 Lit Double et 1 Lit Superposé,"2 lits (1 lit simple, 1 lit double)","7,9",5 164 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 109
"Two big rooms are connected in the villa near the airport, share bathroom and share kitchen",Genève,Chambre Quadruple,"3 lits (2 lits simples, 1 grand lit double)",,"1 nuit, 1 adulte",Taxes et frais compris,"sam. 25 nov.
—
dim. 26 nov.",€ 102
Hotel Admiral,"Les Pâquis, Genève",Chambre Simple Standard,1 lit simple,"7,1",1 932 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 143
IntercityHotel Geneva,Genève,Chambre Double,1 grand lit double,"8,7",37 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 137
Hôtel Astoria,"Les Grottes / Saint-Gervais, Genève",Chambre Simple Économique,1 lit simple,"8,1",3 419 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 121
Hotel St. Gervais,"Les Grottes / Saint-Gervais, Genève",Chambre Simple avec Salle de Bains Commune,1 lit simple,"6,6",1 162 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 92
"Holiday Inn Express Geneva Airport, an IHG Hotel",Genève,Chambre Attribuée à l'Arrivée - Non-Fumeurs,Types de lits : 1 lit double ou 2 lits simples,"8,1",3 622 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 118
Hilton Geneva Hotel and Conference Centre,Genève,Chambre Lit King-Size,1 très grand lit double,"8,1",2 118 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 183
