Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Omena Hotel Helsinki Lönnrotinkatu,"Kamppi, Helsinki",Chambre Simple,1 lit simple,"7,4",4 941 expériences vécues,"1 nuit, 1 adulte",,€ 92€ 85-8 %
"Hotel U14, Autograph Collection","Kaartinkaupunki, Helsinki",Chambre Confort avec 2 Lits Jumeaux/Simples,2 lits simples,"9,2",545 expériences vécues,"1 nuit, 1 adulte",,€ 187
Scandic Grand Marina,"Katajanokka, Helsinki",Chambre Simple Standard,1 lit simple,"8,0",4 369 expériences vécues,"1 nuit, 1 adulte",,€ 102
Hotel Mestari,"Kamppi, Helsinki",Hébergement Lit King-Size Constructeur,1 grand lit double,"8,9",6 272 expériences vécues,"1 nuit, 1 adulte",,€ 134
Scandic Helsinki Hub,"Kamppi, Helsinki",Chambre Lit King-Size,1 grand lit double,"9,1",4 361 expériences vécues,"1 nuit, 1 adulte",,€ 144
Hotel Arthur,"Kluuvi, Helsinki",Chambre Simple Classique,1 lit simple,"7,6",10 475 expériences vécues,"1 nuit, 1 adulte",,€ 109
Hotel Klaus K,"Kamppi, Helsinki",Petite Chambre Double,1 lit simple,"8,1",1 797 expériences vécues,"1 nuit, 1 adulte",,€ 120
Hotel Finn,"Kamppi, Helsinki",Chambre Simple Standard,1 lit simple,"8,1",5 092 expériences vécues,"1 nuit, 1 adulte",,€ 110€ 101-8 %
Solo Sokos Hotel Helsinki,"Kluuvi, Helsinki",Chambre Double Standard,1 grand lit double,"8,9",870 expériences vécues,"1 nuit, 1 adulte",,€ 172€ 158-8 %
Scandic Park Helsinki,"Taka-Töölö, Helsinki",Chambre Standard,2 lits simples,"8,3",2 667 expériences vécues,"1 nuit, 1 adulte",,€ 101
Hostel Diana Park,"Kamppi, Helsinki",Lit Simple dans Dortoir Mixte de 8 lits,1 lit superposé,"8,7",2 983 expériences vécues,"1 nuit, 1 adulte",,€ 32
"Holiday Inn Helsinki City Centre, an IHG Hotel","Kluuvi, Helsinki",Chambre Lits Jumeaux Standard,2 lits simples,"8,5",3 012 expériences vécues,"1 nuit, 1 adulte",,€ 124
Scandic Hakaniemi,"Kallio, Helsinki",Chambre Double Standard,1 lit double,"8,0",1 737 expériences vécues,"1 nuit, 1 adulte",,€ 97
Scandic Simonkenttä,"Kamppi, Helsinki",Chambre Lit King-Size Standard,1 très grand lit double,"8,3",3 100 expériences vécues,"1 nuit, 1 adulte",,€ 132
VALO Hotel & Work Helsinki,Helsinki,Chambre Double Smart,1 lit double,"8,6",10 980 expériences vécues,"1 nuit, 1 adulte",,€ 115
Hilton Helsinki Strand,"Kallio, Helsinki",Chambre Simple,1 lit simple,"8,5",1 941 expériences vécues,"1 nuit, 1 adulte",,€ 160
Marski by Scandic,"Kamppi, Helsinki",Chambre Double Classique - Sans Fenêtre,1 grand lit double,"8,5",4 309 expériences vécues,"1 nuit, 1 adulte",,€ 150
"Holiday Inn Helsinki West - Ruoholahti, an IHG Hotel","Ruoholahti, Helsinki",Chambre Lit Queen-Size ,1 grand lit double,"8,6",2 898 expériences vécues,"1 nuit, 1 adulte",,€ 90
Solo Sokos Hotel Torni Helsinki,"Kamppi, Helsinki",Chambre Double Standard,1 grand lit double,"8,9",689 expériences vécues,"1 nuit, 1 adulte",,€ 188€ 173-8 %
Scandic Kallio,"Alppiharju, Helsinki",Chambre Lits Jumeaux Standard,2 lits simples,"8,0",1 269 expériences vécues,"1 nuit, 1 adulte",,€ 88
Eurohostel,"Katajanokka, Helsinki",Chambre Simple Économique avec Salle de Bains Commune,1 lit simple,"7,9",5 974 expériences vécues,"1 nuit, 1 adulte",,€ 51€ 47-8 %
Scandic Paasi,"Kallio, Helsinki",Chambre Simple Standard,1 lit simple,"8,2",1 409 expériences vécues,"1 nuit, 1 adulte",,€ 117
Scandic Kaisaniemi,"Kluuvi, Helsinki",Chambre Lit King-Size Standard,1 grand lit double,"7,5",1 695 expériences vécues,"1 nuit, 1 adulte",,€ 112
Innotelli Apartments,Helsinki,Studio,"5 lits (3 lits simples, 2 futons)","8,4",2 482 expériences vécues,"1 nuit, 1 adulte",,€ 70€ 64-8 %
CosyHelsinki,Helsinki,Appartement 1 Chambre,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 107€ 84-22 %
