Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Campus Community A-Hotel,"Pecherskyj, Kiev",Lit dans Dortoir de 12 Lits,1 lit simple,"8,6",1 785 expériences vécues,"1 nuit, 1 adulte",,"€ 16€ 9
-45 %"
Bontiak Hotel,"Shevchenkivskyj, Kiev",Chambre Simple,1 lit double,"8,8",1 882 expériences vécues,"1 nuit, 1 adulte",,€ 40
Ukraine Hotel,"Pecherskyj, Kiev",Chambre Double Standard,1 grand lit double,"7,7",5 320 expériences vécues,"1 nuit, 1 adulte",,"€ 49€ 40
-19 %"
Dnipro Hotel,"Pecherskyj, Kiev",Chambre Simple Standard,1 lit simple,"8,0",1 510 expériences vécues,"1 nuit, 1 adulte",,€ 43
Raziotel Kyiv (Boryspilska),"Darnyckyj, Kiev",Chambre Simple,1 lit simple,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 25
Royal Grand Hotel,"Shevchenkivskyj, Kiev",Chambre Simple,1 lit simple,"7,1",1 398 expériences vécues,"1 nuit, 1 adulte",,€ 27
"Holiday Inn - Kyiv, an IHG Hotel","Shevchenkivskyj, Kiev",Chambre Lit Queen-Size - Non-Fumeurs,1 grand lit double,"9,0",1 192 expériences vécues,"1 nuit, 1 adulte",,€ 67
Hotel Kyiv,"Pecherskyj, Kiev",Chambre Lits Jumeaux Économique,2 lits simples,"7,4",696 expériences vécues,"1 nuit, 1 adulte",,"€ 33€ 30
-9 %"
Royal City Hotel,"Shevchenkivskyj, Kiev",Chambre Simple Standard,1 lit simple,"7,2",340 expériences vécues,"1 nuit, 1 adulte",,€ 19
Khreschatyk Hotel,"Shevchenkivskyj, Kiev",Chambre Double Standard,1 très grand lit double,"8,7",257 expériences vécues,"1 nuit, 1 adulte",,€ 50
Heart Kyiv Apart-Hotel,"Pecherskyj, Kiev",Chambre Double Économique,1 grand lit double,"8,8",2 129 expériences vécues,"1 nuit, 1 adulte",,€ 26
Bakkara Hotel,"Dniprovskyj, Kiev",Chambre Double Classique avec Vue sur Parc,1 grand lit double,"8,1",1 761 expériences vécues,"1 nuit, 1 adulte",,"€ 53€ 45
-15 %"
ibis Kyiv Railway Station,"Solomjanskyj, Kiev",Chambre Standard Lit Queen-Size,1 grand lit double,"9,0",4 375 expériences vécues,"1 nuit, 1 adulte",,€ 41
"Radisson Blu Hotel, Kyiv Podil City Centre","Podilskyj, Kiev",Chambre Double ou Lits Jumeaux Standard,Types de lits : 1 lit double ou 2 lits simples,"8,6",1 647 expériences vécues,"1 nuit, 1 adulte",,€ 110
City Holiday Resort & SPA,Kiev,Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"8,4",978 expériences vécues,"1 nuit, 1 adulte",,€ 94
