Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
The Homeboat Company Parque das Nações-Lisboa,"Parque das Nações, Lisbonne",Bateau 1 Cabine,"2 lits (1 canapé-lit, 1 grand lit double)","9,4",2 009 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 546€ 328
SANA Reno Hotel,"Avenidas Novas, Lisbonne",Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"8,1",2 455 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 127
Hotel Dom Carlos Park,"Santo Antonio, Lisbonne",Chambre Simple,1 lit simple,"8,0",2 753 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 94
Hotel Dom Carlos Liberty,"Santo Antonio, Lisbonne",Chambre Double ou Lits Jumeaux ,1 lit double,"8,4",2 370 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 98
"Holiday Inn Lisbon-Continental, an IHG Hotel","Avenidas Novas, Lisbonne",Chambre Double Standard - Fumeurs,1 lit double,"8,0",3 825 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 96
Hotel Lis Baixa,"Santa Maria Maior, Lisbonne",Mini Chambre Double ou Lits Jumeaux - Vue sur Rue,Types de lits : 1 lit double ou 2 lits simples,"8,6",3 129 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 166€ 117
Pestana CR7 Lisboa,"Santa Maria Maior, Lisbonne",Option Tarif Prestataire,1 lit simple,"8,4",906 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 123
Hotel Roma,"Alvalade, Lisbonne",Chambre Lits Jumeaux Économique,2 lits simples,"8,5",9 091 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 97
TURIM Lisboa Hotel,"Avenidas Novas, Lisbonne",Offre Spéciale - Chambre Simple Standard,1 lit simple,"7,9",2 220 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 175€ 99
Torel Palace Lisbon,"Arroios, Lisbonne",Chambre Double Premier avec Vue sur la Ville,1 lit double,"9,2",1 320 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 428€ 215
Hotel Gat Rossio,"Santa Maria Maior, Lisbonne",Chambre Simple Standard,1 lit simple,"8,5",3 546 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 107
Smy Lisboa,"Avenidas Novas, Lisbonne",Chambre Supérieure,Types de lits : 1 lit double ou 2 lits simples,"8,1",1 796 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 97
Olissippo Saldanha,"Arroios, Lisbonne",Single room,1 lit simple,"8,8",1 153 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 105
Moxy Lisboa Oriente,"Parque das Nações, Lisbonne",Chambre Lits Jumeaux,2 lits simples,"8,6",6 166 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 131
room007 Lisboa Hostel,"Santo Antonio, Lisbonne",Lit dans Dortoir de 8 Lits ,1 lit simple,"8,0",9 937 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 42€ 30
Next Level Premium Hotels,"Arroios, Lisbonne",Chambre Double Standard,1 lit double,"9,2",1 093 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 114€ 98
Lisb'on Hostel,"Misericordia, Lisbonne",Lit dans un Dortoir de 6 Lits avec Vue sur la Ville,1 lit simple,"8,3",2 385 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 29
Hotel Dom João Lisboa,"Arroios, Lisbonne",Chambre Double avec Balcon,1 lit double,"7,8",1 809 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 75
Browns Central Hotel,"Santa Maria Maior, Lisbonne",Chambre Double Supérieure,Types de lits : 1 lit double ou 2 lits simples,"8,9",4 273 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 197
Urbano FLH Hotels Lisboa,"Santa Maria Maior, Lisbonne",Chambre Simple avec Vue sur l'Intérieur,1 lit simple,"8,9",2 349 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 121
Maria Shared Apartment in Central Lisbon,"Sao Vicente, Lisbonne",Chambre Double,1 lit double,"8,0",1 expérience vécue,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 75€ 69
VIP Inn Berna Hotel,"Avenidas Novas, Lisbonne",Chambre Lits Jumeaux Exécutive,2 lits simples,"7,4",4 634 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 86
Casa Belmonte,"Santo Antonio, Lisbonne",Chambre Simple avec Salle de Bains Privative,1 lit simple,"8,7",2 674 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 74
Hotel ibis Lisboa Saldanha,"Arroios, Lisbonne",Chambre Double Classique Rénovée,1 lit double,"8,3",2 096 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 84
TURIM Saldanha Hotel,"Avenidas Novas, Lisbonne",Chambre Lits Jumeaux,2 lits simples,"8,1",3 096 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 125
Hotel Convento do Salvador,"Santa Maria Maior, Lisbonne",Chambre Double ou Lits Jumeaux Supérieure,Plusieurs types de lits,"8,8",4 156 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 135
HF Fenix Urban,"Avenidas Novas, Lisbonne",Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"8,2",1 588 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 100
Hotel Dom Sancho I,"Santo Antonio, Lisbonne",Chambre Simple Économique,1 lit simple,"7,8",1 679 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 72
MYRIAD by SANA Hotels,"Parque das Nações, Lisbonne",Chambre Deluxe Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"9,3",2 609 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 288€ 202
BessaHotel Liberdade,"Santo Antonio, Lisbonne",Chambre Double ou Lits Jumeaux Exécutive,Types de lits : 1 lit double ou 2 lits simples,"9,1",2 911 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 303€ 183
Hotel MeraPrime Gold Lisboa,"Santa Maria Maior, Lisbonne",Chambre Simple,1 lit simple,"8,6",2 137 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 124
Lisboa Prata Boutique Hotel,"Santa Maria Maior, Lisbonne",Chambre Lits Jumeaux - Vue sur Rue,2 lits simples,"8,2",1 427 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 167
Pestana Lisboa Vintage City Center Suites,"Santo Antonio, Lisbonne",Chambre Double ou Lits Jumeaux Classique,Types de lits : 1 lit double ou 2 lits simples,"8,2",1 334 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 134
Olissippo Marques de Sa,"Avenidas Novas, Lisbonne",Single room,1 lit double,"8,4",2 843 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 114
Hotel 3K Barcelona,"Avenidas Novas, Lisbonne",Chambre Simple,1 lit simple,"7,8",4 789 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 92
V Dinastia,"Campo de Ourique, Lisbonne",Chambre Double Verte - Sans Ménage,1 lit double,"7,0",2 741 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 62
Alegria A Lisbon Boutique Hotel,"Santo Antonio, Lisbonne",Chambre Double ou Lits Jumeaux Supérieure,Types de lits : 1 lit double ou 2 lits simples,"9,0",2 082 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 159
Wine & Books Lisboa Hotel,"Ajuda, Lisbonne",Chambre Double Standard,1 grand lit double,"9,3",1 347 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 157
RA PARAISO,"Sao Vicente, Lisbonne",Chambre Double Deluxe - Vue sur Ville,1 grand lit double,"7,8",748 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 92
Imperador Hotel,"Avenidas Novas, Lisbonne",Petite Chambre Simple,1 lit simple,"7,8",3 025 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 87
