Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Best Western Premier Hotel Slon,"Centre-ville de Ljubljana, Ljubljana",Chambre Simple Économique,1 grand lit double,"8,3",7 063 expériences vécues,"1 nuit, 1 adulte",,"€ 122€ 110
-10 %"
"VV ART, unique Vila in Ljubljana city center","Centre-ville de Ljubljana, Ljubljana",Lit dans Dortoir de 8 Lits ,1 lit simple,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 16
Eurostars uHOTEL,"Centre-ville de Ljubljana, Ljubljana",Chambre Exécutive Lit Queen-Size,1 grand lit double,"8,5",5 474 expériences vécues,"1 nuit, 1 adulte",,€ 114
Occidental Ljubljana,"Centre-ville de Ljubljana, Ljubljana",Chambre Double ou Lits Jumeaux Supérieure - Atrium,Plusieurs types de lits,"8,7",220 expériences vécues,"1 nuit, 1 adulte",,"€ 152€ 107
-29 %"
"InterContinental - Ljubljana, an IHG Hotel","Centre-ville de Ljubljana, Ljubljana",Chambre Double,2 lits doubles,"8,9",2 007 expériences vécues,"1 nuit, 1 adulte",,€ 167
City Hotel Ljubljana,"Centre-ville de Ljubljana, Ljubljana",Chambre Simple - Vue sur Atrium,1 lit simple,"8,8",10 625 expériences vécues,"1 nuit, 1 adulte",,"€ 101€ 91
-10 %"
Hotel Mrak Superior,"Centre-ville de Ljubljana, Ljubljana",Chambre Double Standard - Loft,1 grand lit double,"8,8",1 266 expériences vécues,"1 nuit, 1 adulte",,€ 86
Grand Hotel Union Eurostars,"Centre-ville de Ljubljana, Ljubljana",Chambre Double Confort,1 grand lit double,"8,7",1 762 expériences vécues,"1 nuit, 1 adulte",,€ 156
ibis Styles Ljubljana The Fuzzy Log,"Centre-ville de Ljubljana, Ljubljana",Cabine Lit Double avec Salle de Bains Commune - Étage Supérieur,1 lit double,"8,1",4 404 expériences vécues,"1 nuit, 1 adulte",,€ 27
ONE66 Hotel,Ljubljana,Chambre Simple - Sous-Sol,1 lit simple,"9,3",3 457 expériences vécues,"1 nuit, 1 adulte",,€ 80
Hotel Meksiko,"Centre-ville de Ljubljana, Ljubljana",Chambre Double ou Lits Jumeaux Confort ,Types de lits : 1 lit double ou 2 lits simples,"7,7",2 533 expériences vécues,"1 nuit, 1 adulte",,€ 76
Hotel Nox,Ljubljana,Chambre Double ou Lits Jumeaux avec Parking,Types de lits : 1 lit double ou 2 lits simples,"9,1",1 665 expériences vécues,"1 nuit, 1 adulte",,"€ 100€ 90
-10 %"
CUBE central rooms for 2,Ljubljana,Petite Chambre Lits Jumeaux avec Salle de Bains Commune,2 lits simples,"7,5",1 793 expériences vécues,"1 nuit, 1 adulte",,€ 36
The Hotel Ljubljana,"Centre-ville de Ljubljana, Ljubljana",Chambre Double sans Fenêtre,1 grand lit double,"8,7",1 319 expériences vécues,"1 nuit, 1 adulte",,€ 114
Four Points by Sheraton Ljubljana Mons,Ljubljana,Chambre Classique Lit Queen-Size,1 grand lit double,"8,9",4 070 expériences vécues,"1 nuit, 1 adulte",,€ 82
Hotel Slamič Ljubljana,"Centre-ville de Ljubljana, Ljubljana",Chambre Simple,1 lit simple,"8,9",1 227 expériences vécues,"1 nuit, 1 adulte",,€ 83
"Holiday Inn Express - Ljubljana, an IHG Hotel",Ljubljana,Hébergement Lit Queen-Size Standard,1 lit double,"8,8",4 695 expériences vécues,"1 nuit, 1 adulte",,€ 79
Antiq Palace - Historic Hotels of Europe,"Centre-ville de Ljubljana, Ljubljana",Chambre Simple,1 lit simple,"7,5",631 expériences vécues,"1 nuit, 1 adulte",,€ 90
Vander Urbani Resort - a Member of Design Hotels,"Centre-ville de Ljubljana, Ljubljana",Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"7,9",1 408 expériences vécues,"1 nuit, 1 adulte",,"€ 106€ 101
-5 %"
Exe Lev,"Centre-ville de Ljubljana, Ljubljana",Chambre Double ou Lits Jumeaux Classique,Types de lits : 1 lit double ou 2 lits simples,"8,2",4 687 expériences vécues,"1 nuit, 1 adulte",,€ 124
Ahotel Ljubljana,Ljubljana,Chambre Lits Jumeaux Confort,2 lits simples,"8,9",1 903 expériences vécues,"1 nuit, 1 adulte",,€ 83
Urban Boutique Hotel Center,"Centre-ville de Ljubljana, Ljubljana",Chambre Double ou Lits Jumeaux Confort ,2 lits simples,"9,0",2 167 expériences vécues,"1 nuit, 1 adulte",,€ 101
M Hotel,Ljubljana,Chambre Simple Standard,1 lit simple,"8,5",3 578 expériences vécues,"1 nuit, 1 adulte",,€ 85
Austria Trend Hotel Ljubljana,Ljubljana,Chambre Deluxe Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"9,0",3 317 expériences vécues,"1 nuit, 1 adulte",,€ 97
Rooms Ambrožič,"Centre-ville de Ljubljana, Ljubljana",Chambre Double avec Salle de Bains Privative Séparée - Mansardée,1 lit double,"8,3",1 501 expériences vécues,"1 nuit, 1 adulte",,€ 60
Radisson Blu Plaza Hotel Ljubljana,Ljubljana,Chambre,Types de lits : 1 lit double ou 2 lits simples,"8,8",7 675 expériences vécues,"1 nuit, 1 adulte",,€ 121
Oxford Apartments,"Centre-ville de Ljubljana, Ljubljana",Suite Supérieure ,1 grand lit double,"8,2",62 expériences vécues,"1 nuit, 1 adulte",,€ 153
H2O Hostel,"Centre-ville de Ljubljana, Ljubljana",Lit dans Dortoir 6 Lits,1 lit superposé,"8,0",1 113 expériences vécues,"1 nuit, 1 adulte",,€ 19
Grand Plaza Hotel & Congress Center,"Centre-ville de Ljubljana, Ljubljana",Chambre Lit King-Size,1 lit double,"9,1",1 833 expériences vécues,"1 nuit, 1 adulte",,€ 206
Bit Center Hotel,Ljubljana,Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"7,7",2 458 expériences vécues,"1 nuit, 1 adulte",,€ 63
Atelier Hotel,"Centre-ville de Ljubljana, Ljubljana",Chambre Simple,1 lit simple,"8,9",5 106 expériences vécues,"1 nuit, 1 adulte",,€ 91
B&B Hotel Ljubljana Park,"Centre-ville de Ljubljana, Ljubljana",Chambre Simple,1 lit simple,"8,6",4 528 expériences vécues,"1 nuit, 1 adulte",,€ 84
Aparthotel Cross Street 4,"Centre-ville de Ljubljana, Ljubljana",Chambre Simple avec Salle de Bains Privative,Plusieurs types de lits,"8,3",1 441 expériences vécues,"1 nuit, 1 adulte",,€ 69
Urban Ring Hotel,Ljubljana,Chambre Double avec Lit d'Appoint,3 lits simples,"9,1",1 729 expériences vécues,"1 nuit, 1 adulte",,€ 73
WUD hotel,Ljubljana,Chambre Double ou Lits Jumeaux Confort avec Balcon,Types de lits : 1 lit double ou 2 lits simples,"8,8",1 753 expériences vécues,"1 nuit, 1 adulte",,€ 80
Center Ljubljana,"Centre-ville de Ljubljana, Ljubljana",Chambre Simple,1 lit simple,"8,7",3 115 expériences vécues,"1 nuit, 1 adulte",,€ 82
ApartHotel Vila Minka,Ljubljana,Chambre Simple,1 lit simple,"9,0",415 expériences vécues,"1 nuit, 1 adulte",,€ 63
Boutique Hotel Asteria,"Centre-ville de Ljubljana, Ljubljana",Chambre Double,1 lit double,"8,0",1 539 expériences vécues,"1 nuit, 1 adulte",,€ 97
Center Station ROOMS,"Centre-ville de Ljubljana, Ljubljana",Chambre Lits Jumeaux avec Salle de Bains Commune,2 lits simples,"6,6",282 expériences vécues,"1 nuit, 1 adulte",,€ 38
Lesar Hotel Angel - Member of Hip Hotels,"Centre-ville de Ljubljana, Ljubljana",Chambre Double ou Lits Jumeaux Classique,Plusieurs types de lits,"9,2",476 expériences vécues,"1 nuit, 1 adulte",,€ 113
Villa pod Gradom,"Centre-ville de Ljubljana, Ljubljana",Chambre Double avec Salle de Bains Commune,1 lit double,"7,3",398 expériences vécues,"1 nuit, 1 adulte",,€ 56
AZUR ROOMS LJUBLJANA,Ljubljana,Chambre Lits Jumeaux Spacieuse,"2 lits (1 lit simple, 1 lit double)","9,1",1 222 expériences vécues,"1 nuit, 1 adulte",,€ 63
Dragons Dream Hostel,Ljubljana,Chambre Simple Capsule,1 lit simple,"8,1",1 346 expériences vécues,"1 nuit, 1 adulte",,€ 30
Sleep&Go Hostel Ljubljana,Ljubljana,Cabine Lit Simple,1 lit simple,"7,6",815 expériences vécues,"1 nuit, 1 adulte",,€ 16
WH Apartments,Ljubljana,Chambre Double avec Salle de Bains Privative,Plusieurs types de lits,"9,1",828 expériences vécues,"1 nuit, 1 adulte",,€ 57
INDUSTRIAL ZONE -STUDIO 4,"Centre-ville de Ljubljana, Ljubljana",Appartement 1 Chambre,2 lits simples,"7,8",29 expériences vécues,"1 nuit, 1 adulte",,€ 48
Sport Hotel Ljubljana,Ljubljana, Chambre Lits Jumeaux,2 lits simples,"8,5",1 508 expériences vécues,"1 nuit, 1 adulte",,€ 83
Guesthouse Stari Tišler,"Centre-ville de Ljubljana, Ljubljana",Chambre Double ou Lits Jumeaux,1 grand lit double,"8,2",972 expériences vécues,"1 nuit, 1 adulte",,€ 78
G Design Hotel,Ljubljana,Chambre Double Supérieure,1 très grand lit double,"9,0",747 expériences vécues,"1 nuit, 1 adulte",,€ 92
B&B By The Way,Ljubljana,Chambre Double ou Lits Jumeaux avec Salle de Bains,Hébergement géré par un particulier,"8,8",347 expériences vécues,"1 nuit, 1 adulte",,"€ 82€ 70
-14 %"
Bed & Breakfast Mozaik,Ljubljana,Chambre Double,1 grand lit double,"9,2",814 expériences vécues,"1 nuit, 1 adulte",,€ 71
Hostel 24,"Centre-ville de Ljubljana, Ljubljana",Lit dans Dortoir pour Femmes de 4 Lits,1 lit simple,"7,3",974 expériences vécues,"1 nuit, 1 adulte",,€ 25
Hotel Cubo,"Centre-ville de Ljubljana, Ljubljana",Chambre Simple,1 lit simple,"9,3",1 131 expériences vécues,"1 nuit, 1 adulte",,€ 113
Bloom Hotel,"Centre-ville de Ljubljana, Ljubljana",Chambre Double Économique,1 grand lit double,"8,9",292 expériences vécues,"1 nuit, 1 adulte",,€ 103
Galeria Rooms,"Centre-ville de Ljubljana, Ljubljana",Chambre Double,1 grand lit double,"7,9",874 expériences vécues,"1 nuit, 1 adulte",,€ 92
Apartma City & Free Parking,"Centre-ville de Ljubljana, Ljubljana",Appartement - Rez-de-Chaussée,"3 lits (1 lit simple, 1 canapé-lit, 1 grand lit double)","9,3",443 expériences vécues,"1 nuit, 1 adulte",,€ 105
Central Comfort Apartments Meščanka,"Centre-ville de Ljubljana, Ljubljana",Appartement 1 Chambre Standard,"3 lits (2 lits simples, 1 canapé-lit)","8,5",647 expériences vécues,"1 nuit, 1 adulte",,€ 99
Viva Rooms,"Centre-ville de Ljubljana, Ljubljana",Chambre Double,1 grand lit double,"7,8",690 expériences vécues,"1 nuit, 1 adulte",,€ 63
Gami Ex-Factory Lofts,Ljubljana,Appartement,1 grand lit double,"8,4",2 066 expériences vécues,"1 nuit, 1 adulte",,€ 103
GLUTEN FREE Bed & Breakfast Dežela Okusov,Ljubljana,Petite Chambre Simple,1 lit simple,"8,3",1 298 expériences vécues,"1 nuit, 1 adulte",,"€ 63€ 45
-29 %"
Galeria River,"Centre-ville de Ljubljana, Ljubljana",Chambre Double Économique,1 lit double,"8,3",1 523 expériences vécues,"1 nuit, 1 adulte",,€ 72
NEU RESIDENCES smart stay,"Centre-ville de Ljubljana, Ljubljana",Studio,Types de lits : 1 lit double ou 2 lits simples,"9,1",1 475 expériences vécues,"1 nuit, 1 adulte",,€ 154
Villa Riverside,"Centre-ville de Ljubljana, Ljubljana",Studio Standard,1 grand lit double,"9,7",81 expériences vécues,"1 nuit, 1 adulte",,€ 140
Apartments Rok,Ljubljana,Appartement 1 Chambre,Hébergement géré par un particulier,"9,4",66 expériences vécues,"1 nuit, 1 adulte",,€ 188
Apartments Berni,Ljubljana,Studio avec Terrasse,1 grand lit double,"8,6",313 expériences vécues,"1 nuit, 1 adulte",,€ 135
