Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Dao by Dorsett West London,"Hammersmith and Fulham, Londres",Studio Standard,1 très grand lit double,"8,4",995 expériences vécues,"1 nuit, 1 adulte",,"€ 402€ 281
-30 %"
Melia White House Hotel,"West End, Londres",Chambre Double Deluxe,1 très grand lit double,"7,8",2 172 expériences vécues,"1 nuit, 1 adulte",,€ 312
US Embassy Riverside Apartment,"Wandsworth, Londres",Appartement 2 Chambres,"4 lits (2 lits simples, 1 lit double, 1 canapé-lit)",,"1 nuit, 1 adulte",Taxes et frais compris,,€ 3 684
Jubilee Hotel Victoria,"Westminster, Londres",Chambre Simple avec Toilettes et Douche Communes,1 lit simple,"8,0",485 expériences vécues,"1 nuit, 1 adulte",,€ 167
The Chilworth London Paddington,"Westminster, Londres",Chambre Simple Deluxe,1 lit simple,"7,6",7 806 expériences vécues,"1 nuit, 1 adulte",,€ 211
Olympic Park Apartments,"Newham, Londres",Appartement 1 Chambre,"2 lits (1 lit double, 1 canapé-lit)",,"1 nuit, 1 adulte",Taxes et frais compris,,€ 249
"Club Quarters Hotel London City, London","La City, Londres",Chambre Standard Lit Queen-Size,1 grand lit double,"7,3",4 011 expériences vécues,"1 nuit, 1 adulte",,€ 241
Strand Palace Hotel,"Westminster, Londres",Hébergement Simple Confort,1 lit simple,"8,1",12 434 expériences vécues,"1 nuit, 1 adulte",,€ 219
The Academy - Small Luxury Hotels of the World,"Camden, Londres",Chambre Simple Maison de Ville,1 lit simple,"8,1",2 164 expériences vécues,"1 nuit, 1 adulte",,€ 238
The California,"Camden, Londres",Petite Chambre Simple,1 lit simple,"7,7",2 979 expériences vécues,"1 nuit, 1 adulte",,€ 248
Bloomsbury Palace Hotel,"Camden, Londres",Chambre Simple,1 lit simple,"6,5",3 055 expériences vécues,"1 nuit, 1 adulte",,€ 163
Regency Hotel Westend,"Westminster, Londres",Chambre Simple,1 lit simple,"7,2",625 expériences vécues,"1 nuit, 1 adulte",,€ 218
Hilton London Euston,"Camden, Londres",Chambre Simple,1 lit simple,"7,2",1 986 expériences vécues,"1 nuit, 1 adulte",,€ 266
Balmoral House Hotel,"Westminster, Londres",Chambre Simple avec Douche ,1 lit simple,"7,6",1 137 expériences vécues,"1 nuit, 1 adulte",,€ 218
Regency Hotel Parkside,"Westminster, Londres",Chambre Simple,1 lit simple,"8,0",1 338 expériences vécues,"1 nuit, 1 adulte",,€ 229
DoubleTree by Hilton London – West End,"Camden, Londres",Chambre Simple,1 lit simple,"7,1",2 748 expériences vécues,"1 nuit, 1 adulte",,€ 255
Ambassadors Bloomsbury,"Camden, Londres",Chambre Double,1 lit double,"6,9",1 775 expériences vécues,"1 nuit, 1 adulte",,"€ 264€ 238
-10 %"
