Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Madriz Hostel,"Centre de Madrid, Madrid",Lit Superposé dans Dortoir Mixte,1 lit superposé,"8,4",30 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 104
Onefam Sungate,"Centre de Madrid, Madrid",Lit dans Dortoir Mixte de 5 Lits,1 lit simple,"9,3",2 119 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 59
Ok Hostel Madrid,"Centre de Madrid, Madrid",Lit dans Dortoir Mixte de 6 Lits,1 lit superposé,"8,9",9 270 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 53
Hostal Casa Boutique,"Centre de Madrid, Madrid",Grande Chambre Double ,1 lit double,"7,6",358 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 115
Hostal Central Palace Madrid,"Centre de Madrid, Madrid",Chambre Simple Intérieure,1 lit simple,"9,2",4 085 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 229€ 137-40 %
SabiaNatura - boutiqueMadrid,"Centre de Madrid, Madrid",Lit dans Dortoir Féminin de 8 Lits (Femmes Uniquement),1 lit simple,"8,1",665 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 47
Hostal La Vera,"Centre de Madrid, Madrid",Chambre Simple avec Salle de Bains Commune,1 lit simple,"8,3",753 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 125
Hotel Mexico,"Centre de Madrid, Madrid",Chambre Simple,1 lit simple,"7,8",3 350 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 143
Rincón de Gran Vía,"Centre de Madrid, Madrid",Chambre Simple avec Vue,1 lit simple,"8,3",10 397 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 180
Optimi Rooms Madrid,"Centre de Madrid, Madrid",Chambre Deluxe Capsule,1 lit double,"7,6",2 689 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 93
Radisson RED Madrid,"Centre de Madrid, Madrid",Chambre Standard,Types de lits : 1 lit double ou 2 lits simples,"8,8",3 806 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 226
NH Madrid Nacional,"Centre de Madrid, Madrid",Chambre Simple Standard avec Terrasse et Vue,1 lit simple,"8,4",3 891 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 237
JQC Rooms,"Centre de Madrid, Madrid",Chambre Simple avec Salle de Bains Privative,1 lit simple,"7,1",2 592 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 144
Abalú Small Luxury & Design Boutique Hotel,"Centre de Madrid, Madrid",Suite Junior,1 grand lit double,"7,7",1 238 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 250
Hotel Mora by MIJ,"Centre de Madrid, Madrid",Chambre Simple,1 lit simple,"8,0",3 337 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 185
Hostal Alexis Madrid,"Centre de Madrid, Madrid",Suite Classique,1 grand lit double,"8,5",2 668 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 159
CH Olmedo,"Centre de Madrid, Madrid",Chambre Simple,1 lit simple,"7,3",1 212 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 152
UMusic Hotel Madrid,"Centre de Madrid, Madrid",Chambre Classique,1 lit simple,"8,9",1 569 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 350€ 263-25 %
Hostal Mendoza,"Centre de Madrid, Madrid",Chambre Simple,1 lit simple,"8,0",1 651 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 164
Ikonik Gran Vía,"Centre de Madrid, Madrid",Chambre Simple avec Terrasse,1 lit simple,"8,7",425 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 245
DoubleTree by Hilton Madrid-Prado,"Centre de Madrid, Madrid",Chambre Lit King-Size,1 très grand lit double,"8,8",292 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 255
"Radisson Blu Hotel, Madrid Prado","Centre de Madrid, Madrid",Chambre Simple - Donnant sur l'Intérieur,1 lit simple,"8,8",2 027 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 299
Axel Hotel Madrid - Adults Only,"Centre de Madrid, Madrid",Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"8,4",3 853 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 329
Hotel Life Gran Via Design,"Centre de Madrid, Madrid",Suite Deluxe avec Baignoire Spa,1 lit double,"7,2",1 587 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 215
H-A San Mateo Suites,"Centre de Madrid, Madrid",Chambre Simple,1 lit simple,"7,7",1 620 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 133
JC Rooms Santo Domingo,"Centre de Madrid, Madrid",Chambre Double ou Lits Jumeaux Exécutive,Types de lits : 1 lit double ou 2 lits simples,"7,8",2 668 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 296
II Castillas Madrid,"Centre de Madrid, Madrid",Chambre Simple,1 lit simple,"8,7",6 467 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 250
Espahotel Plaza de España,"Centre de Madrid, Madrid",Chambre Double Premium,1 très grand lit double,"8,0",2 615 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 254
Rooms San Marcos,"Centre de Madrid, Madrid",Chambre Simple,Hébergement géré par un particulier,"7,4",135 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 80
Far Home Plaza Mayor,"Centre de Madrid, Madrid",Chambre Double avec Salle de Bains Commune,1 lit double,"7,6",960 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 124
Hostal Oliver,"Centre de Madrid, Madrid",Petite Chambre Simple,1 lit simple,"8,1",2 487 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 128
flor hostel capsules,"Centre de Madrid, Madrid",Chambre Simple,Hébergement géré par un particulier,"6,2",290 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 59
Center Madrid habitaciones,"Centre de Madrid, Madrid",Chambre Simple avec Salle de Bains Commune,1 lit simple,"4,8",571 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 77
Hostal Abami II,"Centre de Madrid, Madrid",Petite Chambre Double,1 lit double,"8,3",1 838 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 350€ 210-40 %
Eurostars Central,"Centre de Madrid, Madrid",Chambre Simple,1 lit simple,"8,4",4 335 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 260
JC Rooms Santa Ana,"Centre de Madrid, Madrid",Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"8,0",1 355 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 276
Hotel Mayorazgo,"Centre de Madrid, Madrid",Chambre Simple,1 lit simple,"8,7",5 603 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 232
Hostal Asunción,"Centre de Madrid, Madrid",Chambre Simple Économique,1 lit simple,"6,9",2 591 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 120
Aloft Madrid Gran Via,"Centre de Madrid, Madrid",Chambre Queen Aloft,1 grand lit double,"8,8",347 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 222
Suites You Gran Vía,"Centre de Madrid, Madrid",Petite Chambre Double,1 lit double,"7,1",155 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 216
Petit Palace Plaza del Carmen,"Centre de Madrid, Madrid",Chambre Double ou Lits Jumeaux (1-2 Adultes),Types de lits : 1 lit double ou 2 lits simples,"8,6",1 901 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 300€ 270-10 %
Aparthotel Tribunal,"Centre de Madrid, Madrid",Chambre Double ou Lits Jumeaux Deluxe Supérieure ,Types de lits : 1 lit double ou 2 lits simples,"7,4",7 480 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 227€ 193-15 %
Hotel Liabeny,"Centre de Madrid, Madrid",Chambre Simple,1 lit simple,"9,0",8 558 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 233
Hotel Opera,"Centre de Madrid, Madrid",Chambre Simple Économique,1 lit simple,"8,3",2 223 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 207
Hyatt Centric Gran Via Madrid,"Centre de Madrid, Madrid",Chambre Lits Jumeaux,2 lits simples,"8,9",2 319 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 271
"Hotel Villa Real, a member of Preferred Hotels & Resorts","Centre de Madrid, Madrid",Chambre Double ou Lits Jumeaux Supérieure,Types de lits : 1 lit double ou 2 lits simples,"8,7",1 995 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 197
Hostal Condestable,"Centre de Madrid, Madrid",Chambre Simple,1 lit simple,"7,6",1 576 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 146
B&B HOTEL Madrid Centro Fuencarral 52,"Centre de Madrid, Madrid",Chambre Simple,1 lit simple,"8,7",3 749 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 206
Hostal Palacios Fuencarral,"Centre de Madrid, Madrid",Chambre Simple Économique avec Salle de Bains Commune,1 lit simple,"7,4",2 293 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 124
"Hotel Montera Madrid, Curio Collection By Hilton","Centre de Madrid, Madrid",Chambre Lit King-Size Cobalto,1 très grand lit double,"9,0",155 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 302
Hostal Rías Bajas,"Centre de Madrid, Madrid",Chambre Lits Jumeaux avec Salle de Bains Privative,2 lits simples,"8,4",1 975 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 340€ 204-40 %
Ibis Styles Madrid Prado,"Centre de Madrid, Madrid",Chambre Standard Lit Queen-Size,1 lit double,"8,6",2 153 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 230
Hotel Princesa Plaza Madrid,"Centre de Madrid, Madrid",Chambre Lits Jumeaux Classique,2 lits simples,"8,1",11 514 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 275€ 234-15 %
