Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Asty Hotel,Nicosie,Chambre Simple,Plusieurs types de lits,"8,8",891 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 48
Altius Boutique Hotel,Nicosie,Chambre Simple,1 lit simple,"7,3",2 343 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 90€ 82
Elysium Capital Residence,Nicosie,Chambre Simple avec Salle de Bains Extérieure Privative,Hébergement géré par un particulier,"6,6",624 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 34
Urban Habitat Executive Suites,Nicosie,Chambre Double Économique,1 très grand lit double,"9,1",1 135 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 88
2 bedroom apartment,Nicosie,Appartement 2 Chambres,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,"sam. 25 nov.
—
dim. 26 nov.",€ 72
Centrum Hotel - City Center,Nicosie,Chambre Double ou Lits Jumeaux Standard,Types de lits : 1 lit double ou 2 lits simples,"8,4",1 200 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 110
Cleopatra Hotel,Nicosie,Chambre Double ou Lits Jumeaux Standard,Types de lits : 1 lit double ou 2 lits simples,"7,4",754 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 109€ 99
Kipros Accommodation,Nicosie,Chambre Double Deluxe avec Douche,1 grand lit double,"7,8",1 249 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 70
Hilton Nicosia,Nicosie,Chambre Lit King-Size,1 très grand lit double,"8,4",574 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 154
Semeli Hotel,Nicosie,Chambre Simple,1 lit simple,"8,5",417 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 89
