Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
"Radisson Blu Scandinavia Hotel, Oslo","Oslo City Centre, Oslo",Chambre Supérieure - Vue Panoramique sur Ville,Types de lits : 1 lit double ou 2 lits simples,"7,8",8 043 expériences vécues,"1 nuit, 1 adulte",,€ 190
Smarthotel Oslo,"Oslo City Centre, Oslo",Mini-Chambre Simple,1 lit simple,"7,8",11 212 expériences vécues,"1 nuit, 1 adulte",,€ 134
Liten koselig hybel i Gamle Oslo,"Gamle Oslo, Oslo",Appartement 1 Chambre,1 lit simple,"6,0",21 expériences vécues,"1 nuit, 1 adulte",,€ 40€ 36-10 %
HI Oslo Haraldsheim,Oslo,Chambre Lits Jumeaux,2 lits simples,"8,2",4 691 expériences vécues,"1 nuit, 1 adulte",,€ 76
Citybox Oslo,"Oslo City Centre, Oslo",Chambre Simple,1 lit simple,"8,1",23 545 expériences vécues,"1 nuit, 1 adulte",,€ 169
Clarion Hotel Oslo,"Gamle Oslo, Oslo",Chambre Simple Standard,1 lit simple,"8,8",2 045 expériences vécues,"1 nuit, 1 adulte",,€ 176€ 164-7 %
Comfort Hotel Xpress Youngstorget,"Grünerløkka, Oslo",Chambre Double Standard,1 grand lit double,"7,6",3 690 expériences vécues,"1 nuit, 1 adulte",,€ 151€ 140-7 %
"Radisson Blu Hotel Nydalen, Oslo",Oslo,Chambre Standard,Types de lits : 1 lit double ou 2 lits simples,"8,0",3 392 expériences vécues,"1 nuit, 1 adulte",,€ 150
Hotel Oslo Guldsmeden,"Frogner, Oslo",Chambre Simple,1 lit simple,"8,0",946 expériences vécues,"1 nuit, 1 adulte",,€ 97
Hybel i gamle Oslo,"Gamle Oslo, Oslo",Appartement 1 Chambre,1 lit simple,"2,4",22 expériences vécues,"1 nuit, 1 adulte",,€ 38
The Verdandi Hotel,"Oslo City Centre, Oslo",Petite Chambre Lits Jumeaux Économique,2 lits simples,"7,5",6 906 expériences vécues,"1 nuit, 1 adulte",,€ 139
Clarion Hotel The Hub,"Oslo City Centre, Oslo",Chambre Double ou Lits Jumeaux Standard,Types de lits : 1 lit double ou 2 lits simples,"8,3",4 969 expériences vécues,"1 nuit, 1 adulte",,€ 223€ 207-7 %
"Radisson Blu Plaza Hotel, Oslo","Oslo City Centre, Oslo",Chambre Standard,Types de lits : 1 lit double ou 2 lits simples,"8,2",11 894 expériences vécues,"1 nuit, 1 adulte",,€ 210
Anker Hostel,"Grünerløkka, Oslo",Lit Simple dans Dortoir de 8 Lits,1 lit superposé,"7,3",9 623 expériences vécues,"1 nuit, 1 adulte",,€ 37
