Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Studio Apartment,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 30
Hotel Ambasador,Podgorica,Chambre Lits Jumeaux Standard,3 lits simples,"8,1",328 expériences vécues,"1 nuit, 1 adulte",,€ 51€ 47-6 %
Hotel Terminus,Podgorica,Chambre Simple,1 lit simple,"8,7",1 243 expériences vécues,"1 nuit, 1 adulte",,€ 49
Hotel Kerber,Podgorica,Chambre Simple Économique,1 lit simple,"8,0",1 070 expériences vécues,"1 nuit, 1 adulte",,€ 53€ 37-30 %
Hotel Hemera,Podgorica,Suite Standard,1 grand lit double,"8,8",842 expériences vécues,"1 nuit, 1 adulte",,€ 80€ 75-6 %
Hotel Marienplatz Podgorica,Podgorica,Chambre Double,1 grand lit double,"8,7",1 004 expériences vécues,"1 nuit, 1 adulte",,€ 57
Hotel Keto,Podgorica,Chambre Simple,1 lit simple,"8,6",717 expériences vécues,"1 nuit, 1 adulte",,€ 58€ 43-25 %
Hilton Podgorica Crna Gora,Podgorica,Chambre Lit King-Size,1 très grand lit double,"8,9",1 662 expériences vécues,"1 nuit, 1 adulte",,€ 110
Seven Hills Bed&Bike B&B,Podgorica,Chambre Double Standard,1 grand lit double,"8,1",969 expériences vécues,"1 nuit, 1 adulte",,€ 45€ 42-6 %
Hotel Ziya,Podgorica,Chambre Double Supérieure,1 très grand lit double,"9,1",538 expériences vécues,"1 nuit, 1 adulte",,€ 118€ 110-6 %
Hotel Crnogorska Kuća,Podgorica,Chambre Simple,1 lit simple,"8,7",1 512 expériences vécues,"1 nuit, 1 adulte",,€ 42€ 39-6 %
Boscovich Boutique Hotel,Podgorica,Chambre Simple Supérieure,1 lit simple,"9,4",1 802 expériences vécues,"1 nuit, 1 adulte",,€ 107€ 100-6 %
Hotel M,Podgorica,Chambre Simple Deluxe,1 lit simple,"8,5",498 expériences vécues,"1 nuit, 1 adulte",,€ 48€ 45-6 %
Hotel Aurel,Podgorica,Chambre Double ou Lits Jumeaux - Accessible aux Personnes à Mobilité Réduite,2 lits simples,"9,1",847 expériences vécues,"1 nuit, 1 adulte",,€ 81€ 76-6 %
Ramada by Wyndham Podgorica,Podgorica,Chambre Lit King-Size Standard - Non-Fumeurs,1 grand lit double,"8,4",691 expériences vécues,"1 nuit, 1 adulte",,€ 104€ 98-6 %
Motel Celebic,Podgorica,Chambre Double avec Salle de Bains Privative,Hébergement géré par un particulier,"8,9",250 expériences vécues,"1 nuit, 1 adulte",,€ 36
Hotel Laguna,Podgorica,Chambre Double Économique,1 lit double,"8,5",881 expériences vécues,"1 nuit, 1 adulte",,€ 40€ 38-6 %
Hotel Evropa,Podgorica,Chambre Simple,1 lit simple,"8,0",503 expériences vécues,"1 nuit, 1 adulte",,€ 34€ 32-6 %
CUE Podgorica,Podgorica,Chambre Lit King-Size - Accessible aux Personnes à Mobilité Réduite,1 très grand lit double,"9,3",414 expériences vécues,"1 nuit, 1 adulte",,€ 97
The european sun,Podgorica,Chambre Simple,1 lit simple,"7,1",171 expériences vécues,"1 nuit, 1 adulte",,€ 21
Left River,Podgorica,Maison 2 Chambres,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 61
Hotel Bojatours,Podgorica,Chambre Lits Jumeaux,2 lits simples,"7,5",348 expériences vécues,"1 nuit, 1 adulte",,€ 54€ 50-6 %
Carine Hotel Centar,Podgorica,Chambre Lits Jumeaux avec Salle de Bains Privative,2 lits simples,"9,0",330 expériences vécues,"1 nuit, 1 adulte",,€ 127€ 115-10 %
Hostel Vera - Airport Podgorica,Podgorica,Chambre Lits Jumeaux,Hébergement géré par un particulier,"8,5",415 expériences vécues,"1 nuit, 1 adulte",,€ 26
Korzo apartmani,Podgorica,Studio Deluxe,1 très grand lit double,"9,2",1 585 expériences vécues,"1 nuit, 1 adulte",,€ 36€ 34-6 %
Big apartment,Podgorica,Appartement 3 Chambres,Hébergement géré par un particulier,"8,4",32 expériences vécues,"1 nuit, 1 adulte",,€ 96
NAKI Apartments,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"8,3",180 expériences vécues,"1 nuit, 1 adulte",,€ 37
Holiday home Haustor with Skadar lake view,Podgorica,Maison de Vacances,Hébergement géré par un particulier,"9,4",16 expériences vécues,"1 nuit, 1 adulte",,€ 110
Hotel Alexandar Lux,Podgorica,Studio,"2 lits (1 canapé-lit, 1 grand lit double)","8,4",1 032 expériences vécues,"1 nuit, 1 adulte",,€ 74€ 69-6 %
Stars Aspava Blue HOSTEL,Podgorica,Dortoir Mixte de 8 Lits ,8 lits superposés,"7,8",607 expériences vécues,"1 nuit, 1 adulte",,€ 15
Studio 6,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 27€ 23-14 %
Hotel Resurs,Podgorica,Chambre Simple avec Salle de Bains Privative,1 lit simple,"9,1",826 expériences vécues,"1 nuit, 1 adulte",,€ 51€ 47-6 %
Hotel Fobra,Podgorica,Chambre Double Deluxe avec Douche,1 grand lit double,"8,3",1 063 expériences vécues,"1 nuit, 1 adulte",,€ 49
Hotel Aria,Podgorica,Chambre Lits Jumeaux,2 lits simples,"8,7",991 expériences vécues,"1 nuit, 1 adulte",,€ 78
Hotel Septembar,Podgorica,Chambre Simple Standard,1 lit simple,"9,3",262 expériences vécues,"1 nuit, 1 adulte",,€ 70€ 64-10 %
Hotel Union,Podgorica,Chambre Double,1 grand lit double,"8,9",336 expériences vécues,"1 nuit, 1 adulte",,€ 86€ 81-6 %
