Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Áurea Legends by Eurostars Hotel Company,"Prague 1, Prague",Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"9,3",1 987 expériences vécues,"1 nuit, 1 adulte",,"€ 284€ 168
-41 %"
a&o Prague Rhea,Prague,Lit dans un dortoir de 4 lits,1 lit superposé,"7,9",15 897 expériences vécues,"1 nuit, 1 adulte",,€ 12
Belvedere,"Prague 7, Prague",Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"8,1",4 929 expériences vécues,"1 nuit, 1 adulte",,"€ 148€ 101
-32 %"
Hotel Ariston Prague,"Prague 3, Prague",Chambre Double,Types de lits : 1 lit double ou 2 lits simples,"8,3",3 940 expériences vécues,"1 nuit, 1 adulte",,"€ 171€ 117
-32 %"
Adeba Hotel,"Prague 8, Prague",Chambre Simple,1 lit simple,"7,9",9 914 expériences vécues,"1 nuit, 1 adulte",,€ 69
Carlton,"Prague 3, Prague",Chambre Simple,1 lit simple,"8,9",2 022 expériences vécues,"1 nuit, 1 adulte",,"€ 155€ 106
-32 %"
General Boutique Hotel & Wellness,"Prague 5, Prague",Suite,1 lit simple,"8,0",425 expériences vécues,"1 nuit, 1 adulte",,"€ 113€ 101
-10 %"
Hotel Malá Strana,"Prague 5, Prague",Studio avec Vue sur la Rue,Plusieurs types de lits,"8,4",3 869 expériences vécues,"1 nuit, 1 adulte",,"€ 128€ 103
-20 %"
Corinthia Hotel Prague,"Prague 4, Prague",Chambre Supérieure Lit Queen-Size,1 lit double,"8,0",5 425 expériences vécues,"1 nuit, 1 adulte",,€ 122
"Amedia Express Prague, Trademark Collection by Wyndham","Prague 11, Prague",Chambre Lits Jumeaux Confort,2 lits simples,"8,1",4 518 expériences vécues,"1 nuit, 1 adulte",,€ 56
Hotel Marianeum,"Prague 2, Prague",Chambre Simple,1 lit simple,"8,6",1 824 expériences vécues,"1 nuit, 1 adulte",,€ 60
Hotel Prague Star,"Prague 1, Prague",Chambre Simple Économique Sans Fenêtre,1 lit simple,"8,4",5 446 expériences vécues,"1 nuit, 1 adulte",,€ 59
Hostel Praha Ládví,"Prague 8, Prague",Chambre Double ou Lits Jumeaux avec Salle de Bains Commune,Types de lits : 1 lit double ou 2 lits simples,"7,5",665 expériences vécues,"1 nuit, 1 adulte",,€ 40
"Holiday Inn Prague, an IHG Hotel","Prague 4, Prague",Chambre Standard Lit Queen-Size,1 grand lit double,"8,6",2 355 expériences vécues,"1 nuit, 1 adulte",,€ 86
Congress & Wellness Hotel Olsanka,"Prague 3, Prague",Chambre Simple,1 lit simple,"7,6",8 929 expériences vécues,"1 nuit, 1 adulte",,€ 56
Hotel Pankrac,"Prague 4, Prague",Chambre Double avec Salle de Bains Privative,1 grand lit double,"8,0",3 060 expériences vécues,"1 nuit, 1 adulte",,€ 72
Hilton Prague Old Town,"Prague 1, Prague",Chambre Lits Jumeaux,2 lits simples,"8,2",1 727 expériences vécues,"1 nuit, 1 adulte",,€ 164
Ibis Praha Wenceslas Square,"Prague 2, Prague",Chambre Lits Jumeaux Standard,2 lits simples,"7,7",1 812 expériences vécues,"1 nuit, 1 adulte",,€ 86
Ramada Prague City Centre,"Prague 1, Prague",Chambre Double/Lits Jumeaux - Vue sur Place Venceslas,Types de lits : 1 lit double ou 2 lits simples,"7,9",4 559 expériences vécues,"1 nuit, 1 adulte",,€ 151
Exe City Park Hotel,"Prague 1, Prague",Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"8,8",3 179 expériences vécues,"1 nuit, 1 adulte",,"€ 207€ 123
-41 %"
Giotto Apartments,"Vinohrady, Prague",Chambre Simple avec Salle de Bains Privative,Hébergement géré par un particulier,"8,4",1 265 expériences vécues,"1 nuit, 1 adulte",,€ 49
River hotel KÖNIGSTEIN,"Prague 1, Prague",Chambre Triple,3 lits simples,"8,5",1 079 expériences vécues,"1 nuit, 1 adulte",,€ 78
Hotel Royal Prague,"Prague 8, Prague",Chambre Double ou Lits Jumeaux Supérieure,Plusieurs types de lits,"8,7",6 464 expériences vécues,"1 nuit, 1 adulte",,"€ 135€ 115
-15 %"
Hotel Opera,"Prague 1, Prague",Chambre Simple Standard,1 lit simple,"8,1",1 273 expériences vécues,"1 nuit, 1 adulte",,€ 76
Hotel Oya,"Prague 4, Prague",Chambre Double,1 grand lit double,"7,6",1 021 expériences vécues,"1 nuit, 1 adulte",,€ 74
EA Hotel Julis,"Prague 1, Prague",Studio Simple avec Balcon,1 lit simple,"7,3",2 855 expériences vécues,"1 nuit, 1 adulte",,€ 96
EA Hotel Sonata,"Prague 2, Prague",Single room,2 lits simples,"8,5",1 825 expériences vécues,"1 nuit, 1 adulte",,€ 109
Akcent hotel,"Prague 5, Prague",Chambre Simple,1 lit simple,"8,7",1 059 expériences vécues,"1 nuit, 1 adulte",,€ 82
City Central De Luxe,"Prague 2, Prague",Chambre Double ou Lits Jumeaux (1 Adulte),Hébergement géré par un particulier,"7,5",3 190 expériences vécues,"1 nuit, 1 adulte",,€ 64
U Cervene zidle - Red Chair Hotel,"Prague 1, Prague",Chambre Simple,1 lit simple,"8,5",764 expériences vécues,"1 nuit, 1 adulte",,€ 83
EA Hotel Crystal Palace,"Prague 2, Prague",Chambre Simple,1 lit simple,"7,2",1 715 expériences vécues,"1 nuit, 1 adulte",,€ 89
LUONG Europe Apartments,"Prague 11, Prague",Chambre Double avec Salle de Bains Privative,1 très grand lit double,"9,5",8 expériences vécues,"1 nuit, 1 adulte",,€ 53
Myo Hotel Caruso,"Prague 1, Prague",Chambre Affaires,1 lit simple,"8,7",1 984 expériences vécues,"1 nuit, 1 adulte",,€ 122
Hotel Krystal,"Prague 6, Prague",Chambre Simple Supérieure,1 lit simple,"7,8",6 841 expériences vécues,"1 nuit, 1 adulte",,€ 69
Plus Prague,"Prague 7, Prague",Lit dans Dortoir de 8 Lits ,1 lit superposé,"8,0",10 133 expériences vécues,"1 nuit, 1 adulte",,€ 15
Ibis Praha Mala Strana,"Prague 5, Prague",Chambre Double Standard,1 grand lit double,"8,0",3 111 expériences vécues,"1 nuit, 1 adulte",,€ 76
Hotel PurPur,"Prague 1, Prague",Chambre Simple,1 lit simple,"7,1",2 283 expériences vécues,"1 nuit, 1 adulte",,€ 74
Hotel Astra,Prague,Chambre Simple,1 lit simple,"7,5",2 661 expériences vécues,"1 nuit, 1 adulte",,€ 49
Hotel Aladin,Prague,Chambre Lits Jumeaux,2 lits simples,"6,2",1 972 expériences vécues,"1 nuit, 1 adulte",,€ 47
Miss Sophie's New Town & Wellness,"Prague 2, Prague",Chambre Double,1 très grand lit double,"8,6",1 175 expériences vécues,"1 nuit, 1 adulte",,"€ 131€ 105
-20 %"
4 Elements Apartments by Prague Residences,"Prague 1, Prague",Studio,1 très grand lit double,"8,2",787 expériences vécues,"1 nuit, 1 adulte",,€ 93
EA Hotel Downtown,"Prague 1, Prague",Chambre Simple,1 lit simple,"8,2",2 204 expériences vécues,"1 nuit, 1 adulte",,€ 83
Hilton Prague Hotel,"Prague 8, Prague",Chambre Lit Queen-Size,1 grand lit double,"8,0",7 649 expériences vécues,"1 nuit, 1 adulte",,€ 141
Hotel Otar,"Prague 4, Prague",Chambre Lits Jumeaux,2 lits simples,"7,1",1 028 expériences vécues,"1 nuit, 1 adulte",,€ 63
Hotel Duo,"Prague 9, Prague",Chambre Double ou Lits Jumeaux Supérieure,Plusieurs types de lits,"8,5",8 078 expériences vécues,"1 nuit, 1 adulte",,"€ 93€ 56
-40 %"
Hapimag Apartments Prague,"Prague 1, Prague",Studio Standard,2 lits simples,"9,1",129 expériences vécues,"1 nuit, 1 adulte",,"€ 176€ 150
-15 %"
Czech Inn,"Vinohrady, Prague",Lit Superposé dans Dortoir Mixte de 36 Lits ,1 lit superposé,"8,2",3 026 expériences vécues,"1 nuit, 1 adulte",,€ 19
Questenberg Hotel,"Prague 1, Prague",Chambre Double Standard,1 grand lit double,"9,2",787 expériences vécues,"1 nuit, 1 adulte",,€ 115
Amarilis,"Prague 1, Prague",Chambre Double ou Lits Jumeaux Standard,2 lits simples,"8,5",2 696 expériences vécues,"1 nuit, 1 adulte",,€ 129
