Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Hotel MANAMI,Pristina,Chambre Lit King-Size Standard,1 très grand lit double,"9,1",756 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 89
Hotel Callisto,Pristina,Chambre Simple,1 lit simple,"9,4",196 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 60€ 45-25 %
Garden Downtown Prishtina,Pristina,Chambre Deluxe,1 très grand lit double,"9,2",652 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 50
HOTEL CITY,Pristina,Chambre Simple,1 lit simple,"8,1",489 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 50
Hotel Opera,Pristina,Chambre Double Économique,1 lit double,"9,0",530 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 79
Swiss Diamond Hotel Prishtina,Pristina,Chambre Simple,1 lit simple,"9,2",1 511 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 118
Convini Bed & Bathroom Homestay,Pristina,Chambre Double avec Salle de Bains Commune,Hébergement géré par un particulier,"9,3",135 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 14
Hotel Diamond Prishtina,Pristina,Chambre Double Standard,1 très grand lit double,"9,2",824 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 99€ 71-28 %
Best Western Hotel Galla,Pristina,Chambre Simple - Non-Fumeurs,1 lit simple,"8,3",440 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 76
Hotel Prima,Pristina,Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"9,2",552 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 45
Hotel Sirius,Pristina,Chambre Simple,1 lit simple,"8,8",373 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 88
Etnomania Boutique Hotel,Pristina,Chambre Simple,1 lit simple,"9,4",219 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 48€ 44-8 %
Hotel Kika,Pristina,Chambre Double,1 très grand lit double,"7,4",183 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 34
Dodona ApartHotel in Prishtina,Pristina,Appartement 1 Chambre,"2 lits (1 canapé-lit, 1 grand lit double)",10,1 expérience vécue,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 50
Hotel Konstantin,Pristina,Chambre Double,1 grand lit double,"6,9",89 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 28
Emery Hotel,Pristina,Chambre Simple Standard,1 lit simple,"9,2",295 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 69
Hotel LaCorte Prishtina,Pristina,Chambre Standard Lit Queen-Size,1 très grand lit double,"9,1",508 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 45
Boulevard Prishtina,Pristina,Appartement,2 lits simples,"8,5",547 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 33
Museum Hotel,Pristina,Chambre Lits Jumeaux Standard,2 lits simples,"8,2",658 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 41€ 22-45 %
Hotel Pejton,Pristina,Chambre Simple Supérieure,1 lit simple,"7,8",61 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 49
Hotel Garden,Pristina,Chambre Simple Économique,1 lit simple,"8,7",324 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 68
Hotel Gracanica,Pristina,Chambre Simple,1 lit simple,"9,3",250 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 52
Golden BnB Hotel,Pristina,Chambre Double Économique,Hébergement géré par un particulier,"8,0",109 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 27
Hotel Sara & SPA,Pristina,Chambre Simple,1 lit simple,"7,1",214 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 30
Four Points by Sheraton Prishtina City,Pristina,Chambre Lit King-Size,1 très grand lit double,"9,5",377 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 118
