Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Grettir Guesthouse,"Reykjavík 101, Reykjavik",Chambre Double avec Salle de Bains Commune,Hébergement géré par un particulier,"7,9",913 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.","€ 158€ 101
-36 %"
The Reykjavik EDITION,"Reykjavík 101, Reykjavik",Chambre Lit King-Size,1 très grand lit double,"9,1",386 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 456
101 Guesthouse Hotel,"Reykjavík 101, Reykjavik",Chambre Simple avec Salle de Bains Commune,1 lit simple,"7,3",1 643 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.","€ 73€ 66
-9 %"
Baldursbrá Guesthouse Laufásvegur,"Reykjavík 101, Reykjavik",Chambre Lits Jumeaux Standard avec Salle de Bains Commune,2 lits simples,"8,1",1 584 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.","€ 97€ 88
-9 %"
Reykjavik Natura - Berjaya Iceland Hotels,"Reykjavík 101, Reykjavik",Chambre Double,2 lits simples,"8,1",2 226 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.","€ 182€ 166
-9 %"
Igdlo Guesthouse,"Reykjavík 101, Reykjavik",Chambre Simple Économique avec Salle de Bains Commune,1 lit simple,"7,8",2 548 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.","€ 93€ 85
-9 %"
Baron's Hostel,"Reykjavík 101, Reykjavik",Lit Superposé dans Dortoir Mixte de 8 Lits,1 lit superposé,"8,6",1 428 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 39
Reykjavik Marina - Berjaya Iceland Hotels,"Vesturbær, Reykjavik",Chambre Simple,1 lit simple,"8,5",1 878 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.","€ 232€ 190
-18 %"
Hotel Ísland - Comfort,"Kópavogur, Reykjavik",Chambre Simple Standard,1 lit simple,"7,8",1 346 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 116
Travel Inn,"Reykjavík 101, Reykjavik",Chambre Lits Jumeaux avec Salle de Bains Privative,2 lits simples,"7,4",1 465 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.","€ 150€ 137
-9 %"
Hotel Leifur Eiriksson,"Reykjavík 101, Reykjavik",Chambre Simple,1 lit simple,"7,5",1 194 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.","€ 195€ 151
-23 %"
Flóki by Guesthouse Reykjavík,"Reykjavík 101, Reykjavik",Chambre Simple,Hébergement géré par un particulier,"8,3",39 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 86
Dalur - HI Hostel,"Reykjavík East, Reykjavik",Lit Simple dans Dortoir Mixte de 6 Lits,1 lit superposé,"7,9",1 692 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 35
105 - A Townhouse Hotel,"Reykjavík 101, Reykjavik",Appartement de Luxe (2 Adultes) - Rez-de-Chaussée (Avec Espace de Stationnement Privé),1 très grand lit double,"8,2",946 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 229
Hilton Reykjavik Nordica,"Reykjavík East, Reykjavik",Chambre Double Standard,1 lit double,"8,1",808 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 202
Hótel Heiðmörk,"Kópavogur, Reykjavik",Chambre Simple avec Baignoire,1 lit simple,"8,1",1 488 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.","€ 125€ 114
-9 %"
Hostel B47,"Reykjavík 101, Reykjavik",Lit Superposé dans Dortoir Mixte,1 lit superposé,"8,1",3 858 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 38
Guesthouse Pavi,"Reykjavík 101, Reykjavik",Chambre Lits Jumeaux,2 lits simples,"7,2",2 973 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.","€ 143€ 130
-9 %"
100 Iceland Hotel,"Reykjavík 101, Reykjavik",Suite Familiale,"4 lits (2 lits simples, 1 lit double, 1 canapé-lit)","7,3",1 945 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.","€ 231€ 210
-9 %"
Kastali Guesthouse,"Reykjavík 101, Reykjavik",Chambre Simple avec Salle de Bains Commune,1 lit simple,"6,8",371 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.","€ 125€ 113
-10 %"
City Center Hotel,"Reykjavík 101, Reykjavik",Chambre Simple,1 lit simple,"8,6",1 139 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 200
Center Hotels Plaza,"Reykjavík 101, Reykjavik",Chambre Simple Standard,1 lit simple,"8,1",4 562 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 263
Center Hotels Skjaldbreid,"Reykjavík 101, Reykjavik",Chambre Simple Standard,1 lit simple,"7,9",910 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 198
Guesthouse Aurora,"Reykjavík 101, Reykjavik",Chambre Simple avec Salle de Bains Commune,1 lit simple,"7,5",1 951 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 104
Hotel Cabin,"Reykjavík East, Reykjavik",Chambre Simple Standard,1 lit simple,"7,1",2 382 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.","€ 168€ 153
-9 %"
Hotel Local 101,"Vesturbær, Reykjavik",Petite Chambre Double,1 grand lit double,"8,6",1 024 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 170
Hotel Von,"Reykjavík 101, Reykjavik",Chambre Simple,1 lit simple,"8,6",1 267 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.","€ 228€ 208
-9 %"
201 Hotel,"Kópavogur, Reykjavik",Chambre Double Standard,1 grand lit double,"8,0",6 470 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.","€ 187€ 170
-9 %"
Eric the Red Guesthouse,"Reykjavík 101, Reykjavik",Chambre Simple avec Salle de Bains Privative,1 lit simple,"8,8",2 551 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.","€ 190€ 173
-9 %"
Room With a View Hotel,"Reykjavík 101, Reykjavik",Chambre Double ou Lits Jumeaux Standard,Types de lits : 1 lit double ou 2 lits simples,"8,2",1 804 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 254
Loft - HI Hostel,"Reykjavík 101, Reykjavik",Lit dans Dortoir Mixte de 8 Lits ,1 lit superposé,"8,0",1 064 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.","€ 52€ 48
-9 %"
Alba Guesthouse,"Reykjavík 101, Reykjavik",Chambre Simple avec Salle de Bains Commune,1 lit simple,"7,7",1 252 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.","€ 108€ 98
-9 %"
Downtown Guesthouse Reykjavik,"Reykjavík 101, Reykjavik",Chambre Double ou Lits Jumeaux avec Salle de Bains Commune,Types de lits : 1 lit double ou 2 lits simples,"7,0",935 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 126
Fosshótel Rauðará,"Reykjavík 101, Reykjavik",Chambre Simple,1 lit simple,"7,5",585 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 164
Apartment with a great view,"Reykjavík South-East, Reykjavik",Appartement 1 Chambre,Hébergement géré par un particulier,,7 commentaires externes,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 166
Kex Hostel,"Reykjavík 101, Reykjavik",Lit dans Dortoir de 42 Lits,1 lit superposé,"8,1",3 547 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 39
ODDSSON Hotel,"Reykjavík East, Reykjavik",Chambre Simple,1 lit simple,"8,3",4 263 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.","€ 257€ 234
-9 %"
R13 - A Townhouse Hotel,"Reykjavík East, Reykjavik",Studio Économique,1 grand lit double,"8,1",2 955 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 219
"ICELAND SJF Villa, Hot tub & Outdoor Sauna Amazing Mountains and City View Over Reykjavík","Kópavogur, Reykjavik",Villa 3 Chambres,Hébergement géré par un particulier,"9,7",36 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.","€ 910€ 698
-23 %"
Alda Hotel Reykjavík,"Reykjavík 101, Reykjavik",Chambre Lit Queen-Size ,1 grand lit double,"8,8",1 184 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.","€ 308€ 280
-9 %"
