Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Perfectly Central Apartment 5 min to Old Town & Art Noveau.,"Centre de Riga, Riga",Appartement 1 Chambre,Hébergement géré par un particulier,"9,0",29 expériences vécues,"1 nuit, 1 adulte",,"€ 132€ 108
-18 %"
Valdemara Residence,"Centre de Riga, Riga",Chambre Simple avec Toilettes et Douche Communes,1 lit simple,"8,7",810 expériences vécues,"1 nuit, 1 adulte",,€ 29
Monika Centrum Hotels,"Centre de Riga, Riga",Chambre Simple,1 lit simple,"8,6",2 637 expériences vécues,"1 nuit, 1 adulte",,€ 80
Hampton by Hilton Riga Airport,Riga,Chambre Lit King-Size,1 très grand lit double,"9,2",5 897 expériences vécues,"1 nuit, 1 adulte",,€ 59
"Radisson Blu Latvija Conference & Spa Hotel, Riga","Centre de Riga, Riga",Chambre Standard,Types de lits : 1 lit double ou 2 lits simples,"8,7",6 174 expériences vécues,"1 nuit, 1 adulte",,€ 77
Hilton Garden Inn Riga Old Town,"Centre de Riga, Riga",Chambre Lit King-Size,1 très grand lit double,"8,9",2 140 expériences vécues,"1 nuit, 1 adulte",,€ 91
Ibis Riga Centre,"Centre de Riga, Riga",Chambre Standard avec Un Lit Double,1 lit double,"8,2",3 209 expériences vécues,"1 nuit, 1 adulte",,€ 65
Riga Islande Hotel with FREE Parking,"Kurzemes priekšpilsēta, Riga",Chambre Simple Standard,1 lit simple,"8,8",8 567 expériences vécues,"1 nuit, 1 adulte",,€ 55
Stabu Sēta Residence,"Centre de Riga, Riga",Chambre Simple Standard,1 lit simple,"8,4",1 411 expériences vécues,"1 nuit, 1 adulte",,"€ 48€ 40
-15 %"
Pullman Riga Old Town,"Centre de Riga, Riga",Chambre Lit King-Size Supérieure,1 grand lit double,"8,3",1 722 expériences vécues,"1 nuit, 1 adulte",,€ 93
Tallink Hotel Riga,"Centre de Riga, Riga",Chambre Simple Standard,1 lit simple,"8,2",992 expériences vécues,"1 nuit, 1 adulte",,€ 60
Anna's guesthouse,"Latgales priekšpilsēta, Riga",Chambre Simple Économique,Hébergement géré par un particulier,"8,6",1 413 expériences vécues,"1 nuit, 1 adulte",,€ 26
Hotel Valdemars Riga managed by Accor,"Centre de Riga, Riga",Chambre Double Standard,1 lit double,"8,2",1 482 expériences vécues,"1 nuit, 1 adulte",,€ 54
Primo Hotel,"Zemgales priekšpilsēta, Riga",Chambre Simple,1 lit simple,"8,1",2 369 expériences vécues,"1 nuit, 1 adulte",,€ 43
Aston Hotel Riga,"Centre de Riga, Riga",Chambre Double ou Lits Jumeaux Standard,Plusieurs types de lits,"9,2",300 expériences vécues,"1 nuit, 1 adulte",,€ 76
Rixwell Old Riga Palace Hotel,"Centre de Riga, Riga",Chambre Simple Standard,1 lit simple,"7,7",6 313 expériences vécues,"1 nuit, 1 adulte",,€ 69
"Radisson Blu Elizabete Hotel, Riga","Centre de Riga, Riga",Chambre Standard,Types de lits : 1 lit double ou 2 lits simples,"9,0",4 315 expériences vécues,"1 nuit, 1 adulte",,€ 82
Nika Apart Hotel,"Centre de Riga, Riga",Chambre Simple,1 lit simple,"8,4",1 244 expériences vécues,"1 nuit, 1 adulte",,€ 50
Allure Rooms & Coffee,"Centre de Riga, Riga",Chambre Familiale avec Salle de Bains Commune,Types de lits : 1 lit double ou 2 lits simples,"9,2",443 expériences vécues,"1 nuit, 1 adulte",,€ 46
"Old Riga Boutique Hotel ""Vecriga""","Centre de Riga, Riga",Chambre Simple Classique,1 lit simple,"8,6",912 expériences vécues,"1 nuit, 1 adulte",,"€ 178€ 106
-41 %"
Hanza Hotel,"Latgales priekšpilsēta, Riga",Chambre Double ou Lits Jumeaux Standard,2 lits simples,"8,1",6 347 expériences vécues,"1 nuit, 1 adulte",,€ 63
Dodo Hotel,"Latgales priekšpilsēta, Riga",Chambre Simple,1 lit simple,"8,1",4 711 expériences vécues,"1 nuit, 1 adulte",,€ 36
Radisson Hotel Old Town Riga,"Centre de Riga, Riga",Chambre Lit Queen-Size Confortable,1 lit double,"8,7",1 158 expériences vécues,"1 nuit, 1 adulte",,€ 79
Bridge Hotel,"Zemgales priekšpilsēta, Riga",Chambre Simple Standard,1 lit simple,"7,9",1 486 expériences vécues,"1 nuit, 1 adulte",,€ 40
Hotel BEST with FREE PARKING,"Zemgales priekšpilsēta, Riga",Chambre Simple,1 lit simple,"7,9",1 855 expériences vécues,"1 nuit, 1 adulte",,€ 35
Liberty Airy,"Centre de Riga, Riga",Chambre Lits Jumeaux Économique,Plusieurs types de lits,"6,9",974 expériences vécues,"1 nuit, 1 adulte",,€ 34
Aparthotel Amella,"Latgales priekšpilsēta, Riga",Chambre Simple,1 lit simple,"9,4",1 134 expériences vécues,"1 nuit, 1 adulte",,€ 81
AC Hotel by Marriott Riga,"Centre de Riga, Riga",Chambre Confort avec 1 Lit King-Size,1 très grand lit double,"8,5",1 321 expériences vécues,"1 nuit, 1 adulte",,€ 95
Hotel Gutenbergs,"Centre de Riga, Riga",Chambre Double Économique,1 grand lit double,"8,7",1 945 expériences vécues,"1 nuit, 1 adulte",,€ 79
Avitar,"Centre de Riga, Riga",Chambre Simple,1 lit simple,"7,8",684 expériences vécues,"1 nuit, 1 adulte",,€ 33
Avalon Hotel & Conferences,"Centre de Riga, Riga",Chambre Simple Standard,1 lit simple,"8,8",3 861 expériences vécues,"1 nuit, 1 adulte",,€ 69
Mosaic Hotel,"Centre de Riga, Riga",Chambre Simple,1 lit simple,"7,7",1 090 expériences vécues,"1 nuit, 1 adulte",,"€ 58€ 47
-20 %"
Hestia Hotel Draugi,"Centre de Riga, Riga",Chambre Double Standard,1 grand lit double,"8,6",4 239 expériences vécues,"1 nuit, 1 adulte",,"€ 111€ 89
-20 %"
Bellevue Park Hotel Riga with FREE Parking,"Zemgales priekšpilsēta, Riga",Chambre Double ou Lits Jumeaux Classique,Types de lits : 1 lit double ou 2 lits simples,"8,6",8 895 expériences vécues,"1 nuit, 1 adulte",,€ 56
Rixwell Konventa Seta Design Hotel,"Centre de Riga, Riga",Chambre Double ou Lits Jumeaux Confort ,Types de lits : 1 lit double ou 2 lits simples,"8,5",6 748 expériences vécues,"1 nuit, 1 adulte",,€ 82
Blue Bird Hostel in Riga Old Town,"Centre de Riga, Riga",Lits Superposés dans Dortoir Mixte de 10 Lits,1 lit superposé,"8,9",2 738 expériences vécues,"1 nuit, 1 adulte",,€ 22
Apart Hotel Tomo FREE PARKING,"Vidzemes priekšpilsēta, Riga",Chambre Simple,1 lit simple,"6,9",1 768 expériences vécues,"1 nuit, 1 adulte",,€ 31
Viktorija,"Centre de Riga, Riga",Chambre Simple,1 lit simple,"7,7",7 991 expériences vécues,"1 nuit, 1 adulte",,"€ 62€ 56
-10 %"
Rija VEF Hotel with FREE Parking,"Vidzemes priekšpilsēta, Riga",Chambre Simple Standard,1 lit simple,"8,1",5 314 expériences vécues,"1 nuit, 1 adulte",,€ 54
Hestia Hotel Jugend,"Centre de Riga, Riga",Chambre Double Standard,1 grand lit double,"8,8",3 662 expériences vécues,"1 nuit, 1 adulte",,"€ 111€ 89
-20 %"
Hotel Justus,"Centre de Riga, Riga",Chambre Simple,1 lit simple,"8,7",2 158 expériences vécues,"1 nuit, 1 adulte",,€ 78
Wellton Riga Hotel & SPA,"Centre de Riga, Riga",Chambre Simple Standard,1 lit simple,"8,5",7 861 expériences vécues,"1 nuit, 1 adulte",,€ 88
Mercure Riga Centre,"Centre de Riga, Riga",Chambre Double Classique,1 grand lit double,"8,4",3 022 expériences vécues,"1 nuit, 1 adulte",,€ 76
Airport Hotel Mara,Riga,Chambre Lits Jumeaux Standard,2 lits simples,"8,5",552 expériences vécues,"1 nuit, 1 adulte",,€ 50
Old Riga Plaza Hotel,"Centre de Riga, Riga",Chambre Lits Jumeaux,2 lits simples,"8,3",1 741 expériences vécues,"1 nuit, 1 adulte",,"€ 121€ 73
-40 %"
Grand Palace Hotel - The Leading Hotels of the World,"Centre de Riga, Riga",Chambre Supérieure avec Accès au Sauna,1 très grand lit double,"8,9",864 expériences vécues,"1 nuit, 1 adulte",,€ 148
"Radisson Blu Ridzene Hotel, Riga","Centre de Riga, Riga",Chambre Standard,Types de lits : 1 lit double ou 2 lits simples,"8,9",1 367 expériences vécues,"1 nuit, 1 adulte",,€ 74
Rixwell Elefant Hotel,"Zemgales priekšpilsēta, Riga",Chambre Simple Confort,1 lit simple,"8,7",7 692 expériences vécues,"1 nuit, 1 adulte",,€ 59
"Radisson Blu Daugava Hotel, Riga","Zemgales priekšpilsēta, Riga",Chambre Standard,Types de lits : 1 lit double ou 2 lits simples,"8,5",4 126 expériences vécues,"1 nuit, 1 adulte",,€ 88
Grand Poet Hotel and SPA by Semarah,"Centre de Riga, Riga",Chambre Double Standard,1 grand lit double,"9,3",4 604 expériences vécues,"1 nuit, 1 adulte",,€ 168
BalticApart Riga,"Centre de Riga, Riga",Chambre Simple,1 lit simple,"5,0",1 098 expériences vécues,"1 nuit, 1 adulte",,€ 22
Boutique Hotel Monte Kristo,"Centre de Riga, Riga",Chambre Double Économique sans Fenêtre,1 grand lit double,"8,1",4 252 expériences vécues,"1 nuit, 1 adulte",,€ 92
Metropole Hotel by Semarah,"Centre de Riga, Riga",Chambre Simple Standard,1 lit simple,"8,9",818 expériences vécues,"1 nuit, 1 adulte",,€ 79
A1 Hotel Riga City Center,"Latgales priekšpilsēta, Riga",Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"7,9",3 074 expériences vécues,"1 nuit, 1 adulte",,€ 59
Hotel Saida,"Centre de Riga, Riga",Chambre Double avec Salle de Bains Privative,1 grand lit double,"9,0",950 expériences vécues,"1 nuit, 1 adulte",,€ 62
ANTIK Rooms,"Centre de Riga, Riga",Chambre Double,1 lit double,"6,9",493 expériences vécues,"1 nuit, 1 adulte",,€ 26
Central Hotel with Free parking,"Latgales priekšpilsēta, Riga",Chambre Triple Économique,Hébergement géré par un particulier,"8,8",321 expériences vécues,"1 nuit, 1 adulte",,€ 52
Wooden House near City center,"Zemgales priekšpilsēta, Riga",Appartement 2 Chambres - 2ème Étage,Hébergement géré par un particulier,"9,0",55 expériences vécues,"1 nuit, 1 adulte",,€ 341
Dream Boutique Apartments,"Centre de Riga, Riga",Appartement Deluxe,Hébergement géré par un particulier,"9,6",127 expériences vécues,"1 nuit, 1 adulte",,€ 161
Family or Group Apartment in Silent Center,"Latgales priekšpilsēta, Riga",Appartement,Hébergement géré par un particulier,"8,4",37 expériences vécues,"1 nuit, 1 adulte",,€ 121
Green Garden & Parking Apartments,"Zemgales priekšpilsēta, Riga",Apartment with Garden View Flowers,"2 lits (1 canapé-lit, 1 grand lit double)","8,8",799 expériences vécues,"1 nuit, 1 adulte",,€ 58
Janne Hotel,"Zemgales priekšpilsēta, Riga",Chambre Simple,1 lit simple,"8,5",792 expériences vécues,"1 nuit, 1 adulte",,€ 42
Redstone Apartments,"Centre de Riga, Riga",Studio Lit King-Size Deluxe,1 grand lit double,"8,9",1 204 expériences vécues,"1 nuit, 1 adulte",,"€ 99€ 71
-28 %"
Wellton Centrum Hotel & SPA,"Centre de Riga, Riga",Chambre Simple,1 lit simple,"8,3",5 977 expériences vécues,"1 nuit, 1 adulte",,€ 94
St. Peter's Boutique Hotel,"Centre de Riga, Riga",Chambre Double Supérieure,"2 lits (1 lit simple, 1 grand lit double)","8,7",547 expériences vécues,"1 nuit, 1 adulte",,€ 118
NB Hotel with Free Parking,"Kurzemes priekšpilsēta, Riga",Chambre Simple,1 lit simple,"7,7",2 289 expériences vécues,"1 nuit, 1 adulte",,€ 52
Rixwell Gertrude Hotel,"Latgales priekšpilsēta, Riga",Chambre Simple Standard,1 lit simple,"8,1",2 841 expériences vécues,"1 nuit, 1 adulte",,€ 61
Central Park Rooms,"Centre de Riga, Riga",Chambre Simple avec Salle de Bains Commune,1 lit simple,"8,2",317 expériences vécues,"1 nuit, 1 adulte",,€ 27
ApartHotel Riga,"Latgales priekšpilsēta, Riga",Economy Twin Room with Private Bathroom Nr. 1,Types de lits : 1 lit double ou 2 lits simples,"7,9",2 877 expériences vécues,"1 nuit, 1 adulte",,€ 34
NB Apartments Riga Old Town,"Centre de Riga, Riga",Studio Lit King-Size,1 grand lit double,"8,6",751 expériences vécues,"1 nuit, 1 adulte",,€ 75
Park Inn by Radisson Riga Valdemara,"Zemgales priekšpilsēta, Riga",Chambre Standard,Plusieurs types de lits,"8,9",2 563 expériences vécues,"1 nuit, 1 adulte",,€ 59
Red Nose Hostel with Self-Check In,"Centre de Riga, Riga",Chambre Lits Jumeaux,Plusieurs types de lits,"7,6",494 expériences vécues,"1 nuit, 1 adulte",,€ 39
Laipu residence,"Centre de Riga, Riga",Studio,1 grand lit double,"8,5",391 expériences vécues,"1 nuit, 1 adulte",,€ 70
Kolonna Hotel Brigita,"Zemgales priekšpilsēta, Riga",Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"8,0",1 533 expériences vécues,"1 nuit, 1 adulte",,€ 51
Stabu Sēta Apartments,"Centre de Riga, Riga",Studio,"2 lits (1 très grand lit double, 1 canapé-lit)","8,4",454 expériences vécues,"1 nuit, 1 adulte",,€ 63
Grand Hotel Kempinski Riga,"Centre de Riga, Riga",Chambre Double Supérieure,1 très grand lit double,"9,4",743 expériences vécues,"1 nuit, 1 adulte",,€ 239
Unimars Hotel Riga & SPA,"Ziemelu, Riga",Chambre Double Standard,1 lit double,"7,0",130 expériences vécues,"1 nuit, 1 adulte",,€ 58
Orange Cat Rooms,"Centre de Riga, Riga",Lit Simple dans Dortoir Mixte,1 lit simple,"9,0",847 expériences vécues,"1 nuit, 1 adulte",,€ 28
Cinnamon Sally Backpackers Hostel,"Centre de Riga, Riga",Lit Simple en Dortoir Mixte (10 Adultes),1 lit superposé,"9,2",1 763 expériences vécues,"1 nuit, 1 adulte",,€ 30
Sky High Hotel Airport 200 meters from the terminal,Riga,Chambre Double avec Salle de Bains Privative et Accès à la Salle de Sport,1 lit double,"8,1",4 658 expériences vécues,"1 nuit, 1 adulte",,€ 68
Andy Service Appartments,"Centre de Riga, Riga",Chambre Double Deluxe,Hébergement géré par un particulier,"6,6",57 expériences vécues,"1 nuit, 1 adulte",,€ 30
Relais Le Chevalier,"Centre de Riga, Riga",Petite Chambre Double,1 grand lit double,"8,9",869 expériences vécues,"1 nuit, 1 adulte",,"€ 91€ 81
-11 %"
Maza Kalna 27,"Latgales priekšpilsēta, Riga",Chambre Simple avec Salle de Bains Commune,1 lit simple,"7,7",196 expériences vécues,"1 nuit, 1 adulte",,€ 31
Park Inn by Radisson Residence Riga Barona,"Centre de Riga, Riga",Studio,Plusieurs types de lits,"9,2",879 expériences vécues,"1 nuit, 1 adulte",,€ 89
Urban Van Glamping Riga,"Latgales priekšpilsēta, Riga",Mobile Home,1 grand lit double,"9,6",65 expériences vécues,"1 nuit, 1 adulte",,€ 64
Silversmith's Residence in Old Riga,"Centre de Riga, Riga",Appartement 1 Chambre,"2 lits (1 canapé-lit, 1 grand lit double)","9,5",198 expériences vécues,"1 nuit, 1 adulte",,"€ 116€ 81
-30 %"
Cozy and modern apartment in the center of Riga,"Latgales priekšpilsēta, Riga",Appartement 1 Chambre,Hébergement géré par un particulier,"8,0",4 expériences vécues,"1 nuit, 1 adulte",,€ 37
romantic apartment,"Latgales priekšpilsēta, Riga",Appartement 1 Chambre,Hébergement géré par un particulier,"8,7",9 expériences vécues,"1 nuit, 1 adulte",,€ 32
Smart Inn,"Latgales priekšpilsēta, Riga",Chambre Lits Jumeaux avec Salle de Bains,2 lits simples,"8,1",750 expériences vécues,"1 nuit, 1 adulte",,€ 49
Dome Hotel,"Centre de Riga, Riga",Chambre Double,1 grand lit double,"9,4",291 expériences vécues,"1 nuit, 1 adulte",,€ 149
Cute apartment on Avotu street,"Latgales priekšpilsēta, Riga",Appartement,Hébergement géré par un particulier,"8,5",4 expériences vécues,"1 nuit, 1 adulte",,€ 37
