Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
MyTALE Creative Academy Hotel,"Monti, Rome",Chambre Deluxe Double ou Lits Jumeaux,1 grand lit double,"8,9",282 expériences vécues,"1 nuit, 1 adulte",,€ 314€ 211-33 %
Bettoja Hotel Mediterraneo,"Gare de Termini, Rome",Chambre Simple Économique,1 lit simple,"8,7",1 782 expériences vécues,"1 nuit, 1 adulte",,€ 180
Hotel Le Petit,"Gare de Termini, Rome",Chambre Simple,1 lit simple,"8,8",2 343 expériences vécues,"1 nuit, 1 adulte",,€ 194€ 129-33 %
Hotel Alexis,"Gare de Termini, Rome",Chambre Simple avec Salle de Bains Privative,1 lit simple,"7,3",916 expériences vécues,"1 nuit, 1 adulte",,€ 80€ 73-9 %
Hotel Ciao,"Gare de Termini, Rome",Chambre Simple,1 lit simple,"8,2",1 687 expériences vécues,"1 nuit, 1 adulte",,€ 68
Hotel Dei Mille,"Gare de Termini, Rome",Chambre Simple Standard,1 lit simple,"7,5",1 228 expériences vécues,"1 nuit, 1 adulte",,€ 86
Hotel Sant'Angelo,"Vaticano Prati, Rome",Chambre Triple - Annexe,Plusieurs types de lits,"7,5",1 086 expériences vécues,"1 nuit, 1 adulte",,€ 113
Hotel San Silvestro,"Place d'Espagne, Rome",Chambre Simple,1 lit simple,"8,7",1 122 expériences vécues,"1 nuit, 1 adulte",,€ 161€ 153-5 %
Baltik Guesthouse,"Gare de Termini, Rome",Chambre Simple,1 lit simple,"7,2",359 expériences vécues,"1 nuit, 1 adulte",,€ 77€ 67-13 %
Relais San Pietro,"Vaticano Prati, Rome",Chambre Double Supérieure,1 grand lit double,"7,3",575 expériences vécues,"1 nuit, 1 adulte",,€ 118€ 112-5 %
Hotel Homs,"Place d'Espagne, Rome",Chambre Simple,1 lit simple,"7,5",1 812 expériences vécues,"1 nuit, 1 adulte",,€ 188€ 169-10 %
Hotel Garda,"Via Veneto, Rome",Chambre Simple,1 lit simple,"7,2",1 028 expériences vécues,"1 nuit, 1 adulte",,€ 99€ 94-5 %
Hotel Domus Tiberina,"Trastevere, Rome",Chambre Simple,1 lit simple,"7,1",940 expériences vécues,"1 nuit, 1 adulte",,€ 106
Hotel San Remo,"Gare de Termini, Rome",Chambre Simple,1 lit simple,"7,0",1 496 expériences vécues,"1 nuit, 1 adulte",,€ 212€ 104-51 %
Hotel Croce Di Malta,"Place d'Espagne, Rome",Chambre Simple,1 lit simple,"7,7",1 553 expériences vécues,"1 nuit, 1 adulte",,€ 100
ASTORIA GOLDEN GATE,"Gare de Termini, Rome",Chambre Deluxe Double ou Lits Jumeaux,1 grand lit double,"8,8",714 expériences vécues,"1 nuit, 1 adulte",,€ 125€ 119-5 %
Hotel Smeraldo,"Panthéon, Rome",Chambre Simple avec Balcon,1 lit simple,"8,9",2 156 expériences vécues,"1 nuit, 1 adulte",,€ 169
Gracchi278,"Vaticano Prati, Rome",Chambre Double,Hébergement géré par un particulier,"8,6",232 expériences vécues,"1 nuit, 1 adulte",,€ 86€ 82-5 %
Hotel Anfiteatro Flavio,"Monti, Rome",Chambre Simple - Bâtiment Séparé,1 grand lit double,"7,3",1 184 expériences vécues,"1 nuit, 1 adulte",,€ 116€ 110-5 %
Hotel Fenicia,"Gare de Termini, Rome",Chambre Simple,1 lit simple,"7,6",1 653 expériences vécues,"1 nuit, 1 adulte",,€ 124€ 78-37 %
Best Western Hotel Artdeco,"Gare de Termini, Rome",Chambre Simple Classique,1 lit simple,"7,9",934 expériences vécues,"1 nuit, 1 adulte",,€ 93
Roxena House,"Gare de Termini, Rome",Chambre Simple avec Salle de Bains Commune,1 lit simple,"7,1",323 expériences vécues,"1 nuit, 1 adulte",,€ 60€ 57-5 %
Flower Garden Hotel,"Gare de Termini, Rome",Chambre Simple,1 lit simple,"7,9",1 356 expériences vécues,"1 nuit, 1 adulte",,€ 111
Cavour Luxury Rooms,"Gare de Termini, Rome",Chambre Deluxe,1 lit double,"8,1",100 expériences vécues,"1 nuit, 1 adulte",,€ 148€ 141-5 %
Hotel Varese,"Gare de Termini, Rome",Chambre Simple,1 lit simple,"8,8",3 923 expériences vécues,"1 nuit, 1 adulte",,€ 108
La Griffe Hotel Roma,"Gare de Termini, Rome",Chambre Simple,1 lit simple,"7,8",2 582 expériences vécues,"1 nuit, 1 adulte",,€ 148€ 141-5 %
Hotel Paolo II,"Vaticano Prati, Rome",Chambre Simple Confort,1 lit double,"8,6",1 617 expériences vécues,"1 nuit, 1 adulte",,€ 160€ 152-5 %
Sourire Hotel,"Aventino, Rome",Chambre Simple Économique,1 lit simple,"8,9",90 expériences vécues,"1 nuit, 1 adulte",,€ 106€ 101-5 %
Augusta Lucilla Palace,"Gare de Termini, Rome",Chambre Simple,1 lit simple,"8,3",3 544 expériences vécues,"1 nuit, 1 adulte",,€ 131€ 125-5 %
Hotel Charter,"Gare de Termini, Rome",Chambre Simple,1 lit simple,"8,2",663 expériences vécues,"1 nuit, 1 adulte",,€ 95
Madison Hotel,"Gare de Termini, Rome",Petite Chambre Double,1 lit double,"7,3",3 273 expériences vécues,"1 nuit, 1 adulte",,€ 116€ 111-5 %
Borgo Ripa by Hostel Trastevere,"Trastevere, Rome",Lit dans Dortoir pour Hommes,1 lit simple,"7,8",188 expériences vécues,"1 nuit, 1 adulte",,€ 46
RHS Rienzo Suites,"Vaticano Prati, Rome",Chambre Deluxe,1 lit simple,"8,9",326 expériences vécues,"1 nuit, 1 adulte",,€ 133€ 108-19 %
Hotel Aberdeen,"Gare de Termini, Rome",Petite Chambre Simple,1 lit simple,"8,1",1 196 expériences vécues,"1 nuit, 1 adulte",,€ 101€ 96-5 %
Residenza Al Corso,"Place d'Espagne, Rome",Chambre Double,1 lit double,"8,2",421 expériences vécues,"1 nuit, 1 adulte",,€ 135
XXIV Domus Luxury Suites,"Vaticano Prati, Rome",Chambre Simple avec Salle de Bains Privative,1 lit simple,"8,6",788 expériences vécues,"1 nuit, 1 adulte",,€ 150€ 122-19 %
Hotel Albergo Santa Chiara,"Panthéon, Rome",Chambre Simple Standard,1 lit simple,"8,7",1 028 expériences vécues,"1 nuit, 1 adulte",,€ 137€ 131-5 %
Rome Frattina27,"Place d'Espagne, Rome",Petite Chambre Double,1 lit double,"8,8",406 expériences vécues,"1 nuit, 1 adulte",,€ 192
La Casa Dell'Arte srl,"Gare de Termini, Rome",Chambre Simple,1 lit simple,"7,3",880 expériences vécues,"1 nuit, 1 adulte",,€ 67
Hotel d'Este,"Gare de Termini, Rome",Chambre Simple,1 lit simple,"7,2",2 145 expériences vécues,"1 nuit, 1 adulte",,€ 122€ 116-5 %
Colonna Palace Hotel,"Panthéon, Rome",Chambre Simple,1 lit simple,"8,2",732 expériences vécues,"1 nuit, 1 adulte",,€ 126
Hotel Argentina,"Gare de Termini, Rome",Chambre Simple,1 lit simple,"7,7",2 099 expériences vécues,"1 nuit, 1 adulte",,€ 98
Hotel Roma Vaticano,"Vaticano Prati, Rome",Chambre Double Deluxe (1 Adulte + 1 Enfant),1 grand lit double,"8,4",1 232 expériences vécues,"1 nuit, 1 adulte",,€ 207€ 159-23 %
Locanda San Cosimato,"Trastevere, Rome",Chambre Deluxe Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"7,4",431 expériences vécues,"1 nuit, 1 adulte",,€ 107€ 102-5 %
Hotel Emmaus,"Vaticano Prati, Rome",Chambre Simple,1 lit simple,"7,5",1 170 expériences vécues,"1 nuit, 1 adulte",,€ 106€ 101-5 %
Villa Riari Garden,"Trastevere, Rome",Chambre Simple Économique avec Salle de Bains Commune,1 lit simple,"8,5",726 expériences vécues,"1 nuit, 1 adulte",,€ 99€ 94-5 %
Hotel Eliseo,"Via Veneto, Rome",Option Tarif Prestataire,,"7,1",649 expériences vécues,"1 nuit, 1 adulte",,€ 90
UNAWAY Hotel Empire Roma,"Via Veneto, Rome",Chambre Simple Classique,1 lit simple,"8,0",1 912 expériences vécues,"1 nuit, 1 adulte",,€ 147
Hotel King,"Via Veneto, Rome",Chambre Double,1 lit double,"7,5",1 214 expériences vécues,"1 nuit, 1 adulte",,€ 90
Hostel Mosaic,"Gare de Termini, Rome",Lit dans Dortoir Mixte de 4 Lits avec Salle de Bains Privée,1 lit superposé,"7,4",3 240 expériences vécues,"1 nuit, 1 adulte",,€ 32
Hotel Mondial,"Gare de Termini, Rome",Chambre Simple,1 lit simple,"7,5",1 738 expériences vécues,"1 nuit, 1 adulte",,€ 121
Sun Moon,"Gare de Termini, Rome",Chambre Simple avec Balcon,1 lit simple,"7,0",2 081 expériences vécues,"1 nuit, 1 adulte",,€ 60€ 57-5 %
Hotel dei Quiriti,"Vaticano Prati, Rome",Chambre Simple,1 lit double,"7,0",995 expériences vécues,"1 nuit, 1 adulte",,€ 113€ 96-14 %
Castro Pretorio Easy Rooms,"Gare de Termini, Rome",Petite Chambre Double,1 lit double,"6,9",267 expériences vécues,"1 nuit, 1 adulte",,€ 83€ 80-5 %
Hotel Valadier,"Place d'Espagne, Rome",Chambre Double - Occupation Simple,1 lit simple,"8,2",2 166 expériences vécues,"1 nuit, 1 adulte",,€ 199€ 189-5 %
Hotel 77 Seventy-Seven - Maison D'Art Collection,"Monti, Rome",Chambre Double,1 lit double,"7,7",3 030 expériences vécues,"1 nuit, 1 adulte",,€ 218€ 208-5 %
Italy Guest House,"Gare de Termini, Rome",Chambre Double,1 grand lit double,"7,5",180 expériences vécues,"1 nuit, 1 adulte",,€ 82€ 78-5 %
Hotel Principessa Isabella,"Via Veneto, Rome",Chambre Simple,1 lit simple,"8,1",1 309 expériences vécues,"1 nuit, 1 adulte",,€ 143€ 136-5 %
The Hive Hotel,"Gare de Termini, Rome",Chambre Double ou Lits Jumeaux Supérieure,Types de lits : 1 lit double ou 2 lits simples,"8,6",5 765 expériences vécues,"1 nuit, 1 adulte",,€ 155€ 148-5 %
Esposizione Boutique,"Monti, Rome",Chambre Simple Deluxe,1 lit simple,"7,8",87 expériences vécues,"1 nuit, 1 adulte",,€ 116€ 110-5 %
Napoleone Luxury Home roma,"Gare de Termini, Rome",Chambre Double,1 très grand lit double,"7,9",724 expériences vécues,"1 nuit, 1 adulte",,€ 93
Hotel Villa San Pio,"Aventino, Rome",Chambre Simple,1 lit simple,"8,8",3 745 expériences vécues,"1 nuit, 1 adulte",,€ 111
Golden Tulip Rome Piram,"Gare de Termini, Rome",Chambre Standard,,"7,6",1 005 expériences vécues,"1 nuit, 1 adulte",,€ 128
Palladini Hostel Rome,"Gare de Termini, Rome",Lit dans Dortoir Mixte de 8 Places avec Salle de Bains Commune Extérieure,1 lit superposé,"7,5",3 487 expériences vécues,"1 nuit, 1 adulte",,€ 35
Imperial Rooms,"Monti, Rome",Chambre Double Standard - Occupation Simple,1 très grand lit double,"7,6",282 expériences vécues,"1 nuit, 1 adulte",,€ 129
Babyface,"Gare de Termini, Rome",Chambre Simple avec Salle de Bains Commune,1 lit simple,"7,0",992 expériences vécues,"1 nuit, 1 adulte",,€ 74€ 70-5 %
Just Chilling Suite,"Monti, Rome",Chambre Double Deluxe avec Baignoire,1 grand lit double,"8,9",1 196 expériences vécues,"1 nuit, 1 adulte",,€ 190€ 154-19 %
Hotel Igea,"Gare de Termini, Rome",Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"7,1",2 379 expériences vécues,"1 nuit, 1 adulte",,€ 141€ 134-5 %
Hotel Nardizzi Americana,"Gare de Termini, Rome",Chambre Simple,1 lit simple,"7,8",1 028 expériences vécues,"1 nuit, 1 adulte",,€ 114€ 109-5 %
Hotel Rimini,"Gare de Termini, Rome",Chambre Simple,1 lit simple,"7,0",985 expériences vécues,"1 nuit, 1 adulte",,€ 80€ 76-5 %
Marcella Royal Hotel - Rooftop Garden,"Via Veneto, Rome",Chambre Simple,1 lit simple,"8,5",539 expériences vécues,"1 nuit, 1 adulte",,€ 156
BQ House COLOSSEUM Luxury Rooms,"Monti, Rome",Chambre Deluxe Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"8,0",118 expériences vécues,"1 nuit, 1 adulte",,€ 508€ 221-57 %
Hotel Centrale,"Place d'Espagne, Rome",Chambre Simple,1 lit simple,"8,5",532 expériences vécues,"1 nuit, 1 adulte",,€ 187€ 178-5 %
Bettoja Hotel Massimo d'Azeglio,"Gare de Termini, Rome",Chambre Simple,1 lit simple,"8,3",1 119 expériences vécues,"1 nuit, 1 adulte",,€ 163€ 155-5 %
Rhome Guest House,"Gare de Termini, Rome",Chambre Simple Économique,Hébergement géré par un particulier,"9,1",740 expériences vécues,"1 nuit, 1 adulte",,€ 157€ 149-5 %
Hotel Tirreno,"Monti, Rome",Chambre Simple,1 lit simple,"7,4",455 expériences vécues,"1 nuit, 1 adulte",,€ 90
Hotel Lella,"Gare de Termini, Rome",Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"4,2",917 expériences vécues,"1 nuit, 1 adulte",,€ 58€ 55-5 %
Hotel RomAntica,"Gare de Termini, Rome",Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"7,9",1 733 expériences vécues,"1 nuit, 1 adulte",,€ 144€ 137-5 %
Locanda degli Antiquari,"Place Navone, Rome",Chambre Double,1 très grand lit double,"7,9",427 expériences vécues,"1 nuit, 1 adulte",,€ 152€ 145-5 %
Hotel Lancelot,"Colisée, Rome",Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"8,8",671 expériences vécues,"1 nuit, 1 adulte",,€ 166€ 158-5 %
Favola Romana - Guest House,"Gare de Termini, Rome",Chambre Double Standard,1 lit double,"7,7",1 127 expériences vécues,"1 nuit, 1 adulte",,€ 87
Leonardo Boutique Hotel Rome Termini,"Gare de Termini, Rome",Chambre Double ou Lits Jumeaux Confort ,Types de lits : 1 lit double ou 2 lits simples,"8,4",1 699 expériences vécues,"1 nuit, 1 adulte",,€ 164
Hotel Trevi - Gruppo Trevi Hotels,"Trevi, Rome",Room Selected at Check-In ,,"8,2",899 expériences vécues,"1 nuit, 1 adulte",,€ 136
Inside Roma Rooms,"Vaticano Prati, Rome",Chambre Simple Standard,1 lit simple,"9,2",381 expériences vécues,"1 nuit, 1 adulte",,€ 101€ 96-5 %
Duca d'Alba Hotel - Chateaux & Hotels Collection,"Monti, Rome","Chambre Simple - Dépendance, Via Leonina 16",1 lit simple,"8,3",1 264 expériences vécues,"1 nuit, 1 adulte",,€ 163€ 155-5 %
La Piccola Maison,"Via Veneto, Rome",Chambre Simple avec Salle de Bains Extérieure Privative,Plusieurs types de lits,"8,3",356 expériences vécues,"1 nuit, 1 adulte",,€ 127€ 121-5 %
Hotelier 51,"Vaticano Prati, Rome",Chambre Deluxe,1 grand lit double,"7,9",356 expériences vécues,"1 nuit, 1 adulte",,€ 107
Hotel Marcantonio,"Gare de Termini, Rome",Chambre Simple,1 lit simple,"7,9",1 461 expériences vécues,"1 nuit, 1 adulte",,€ 100€ 95-5 %
Condominio Monti Boutique Hotel,"Monti, Rome",Chambre Simple,1 lit simple,"8,8",1 631 expériences vécues,"1 nuit, 1 adulte",,€ 126€ 120-5 %
Hotel Ripa Roma,"Gianicolense, Rome",Chambre Double Standard avec Balcon ,Types de lits : 1 lit double ou 2 lits simples,"7,8",2 524 expériences vécues,"1 nuit, 1 adulte",,€ 166€ 158-5 %
Hotel Centro Cavour Roma,"Monti, Rome",Chambre Simple,1 lit simple,"8,8",1 946 expériences vécues,"1 nuit, 1 adulte",,€ 165€ 157-5 %
Hotel Modigliani,"Via Veneto, Rome",Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"8,6",1 051 expériences vécues,"1 nuit, 1 adulte",,€ 165€ 157-5 %
Rifugio degli Artisti bed and breakfast,"Place d'Espagne, Rome",Chambre Double Économique,Hébergement géré par un particulier,"8,6",232 expériences vécues,"1 nuit, 1 adulte",,€ 136
Hotel dei Quiriti Suite,"Vaticano Prati, Rome",Chambre Simple,1 lit simple,"7,9",514 expériences vécues,"1 nuit, 1 adulte",,€ 151€ 129-14 %
The Pope's Window,"Vaticano Prati, Rome",Chambre Double,1 très grand lit double,"8,7",338 expériences vécues,"1 nuit, 1 adulte",,€ 173€ 164-5 %
Roma Luxus Hotel,"Monti, Rome",Chambre Double Smart,1 très grand lit double,"8,4",855 expériences vécues,"1 nuit, 1 adulte",,€ 530€ 257-52 %
