Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
City Park,Skopje,Appartement 2 Chambres,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,"sam. 25 nov.
—
dim. 26 nov.",€ 64
Hotel Super 8,"Skopje City-Centre, Skopje",Chambre Lits Jumeaux Standard,2 lits simples,"7,5",3 428 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 50
Hotel Centar,"Skopje City-Centre, Skopje",Chambre Double,1 grand lit double,"8,5",673 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 56
Osten Art Hotel,"Skopje City-Centre, Skopje",Color - Triple Room,"2 lits (1 très grand lit double, 1 canapé-lit)","9,1",725 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 78
Skopje Marriott Hotel,"Skopje City-Centre, Skopje",Chambre Deluxe avec 1 Lit King-Size,1 très grand lit double,"8,8",1 317 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 118
Hotel Cara 28,"Skopje City-Centre, Skopje",Chambre Double Deluxe (2 Adultes + 1 Enfant),"2 lits (1 lit simple, 1 grand lit double)","7,8",536 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 64
Villa Nina Hotel & Lounge bar,"Skopje City-Centre, Skopje",Chambre Familiale avec Salle de Bains,"4 lits (2 lits simples, 2 lits superposés)","8,6",705 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 40
Hotel Andalus,Skopje,Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"8,4",493 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 43
Limak Skopje Luxury Hotel,Skopje,Chambre Simple Deluxe,Plusieurs types de lits,"9,1",2 263 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 100
DoubleTree By Hilton Skopje,Skopje,Chambre Lit King-Size,1 très grand lit double,"9,1",2 177 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 102
Hotel London B&B,"Skopje City-Centre, Skopje", Chambre Double Économique ,1 grand lit double,"8,7",596 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 69
Hotel Kapistec Skopje,Skopje,Chambre Simple,1 lit simple,"8,4",600 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 26
Bushi Resort & SPA,"Skopje City-Centre, Skopje",Chambre Simple Standard,1 lit simple,"8,3",1 637 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 88
Hotel DOA,"Skopje City-Centre, Skopje",Chambre Triple Confort,"4 lits (3 lits simples, 1 lit superposé)","8,6",1 520 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 56
Ibis Skopje City Center,"Skopje City-Centre, Skopje",Chambre Double Classique avec Canapé-Lit,1 grand lit double,"8,3",1 454 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 67
Vanilla Boutique Hotel,Skopje,Chambre Double Deluxe avec Balcon,1 grand lit double,"8,2",279 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 48
Hotel Square,"Skopje City-Centre, Skopje",Chambre Lits Jumeaux,2 lits simples,"7,4",457 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 43
Solun's Riverside Rooms,"Skopje City-Centre, Skopje",Chambre Double Standard - Vue sur Rivière,1 lit double,"8,3",527 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 45
Hostel 42,"Skopje City-Centre, Skopje",Chambre Double avec Salle de Bains Commune,1 grand lit double,"8,2",1 646 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 24
The ONE Apart Hotel Luxury Suites & Apartments,"Skopje City-Centre, Skopje",Appartement 1 Chambre,"2 lits (1 canapé-lit, 1 grand lit double)","8,6",717 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 58
