Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Urban Loft Studios with Free On-Street Parking,"Studentski Grad, Sofia",Studio avec Balcon ,1 grand lit double,"9,3",6 expériences vécues,"1 nuit, 1 adulte",,€ 97€ 69-28 %
Calm and Comfy Apartment,Sofia,Appartement 1 Chambre,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 48
Central Hotel Sofia,"Centre de Sofia, Sofia",Chambre Double Confort,1 grand lit double,"8,3",3 379 expériences vécues,"1 nuit, 1 adulte",,€ 113€ 96-15 %
Expo Sofia Hotel - Free Arrival shuttle bus - Free Parking - Free Compliments - Free Wi-Fi,"Airport District, Sofia","Superior Business Room - King size Bed, Free Wifi and Free Tea and Coffee Equipment",1 très grand lit double,"8,6",2 820 expériences vécues,"1 nuit, 1 adulte",,€ 103
Hotel Forum - Free Parking,Sofia,Chambre Lits Jumeaux Standard avec Plateau/Bouilloire Gratuit,2 lits simples,"8,3",2 062 expériences vécues,"1 nuit, 1 adulte",,€ 60
DITER Family Hotel,"Centre de Sofia, Sofia",Chambre Simple,1 lit simple,"8,2",1 647 expériences vécues,"1 nuit, 1 adulte",,€ 63
Ivory Tower Hostel,"Centre de Sofia, Sofia",Lit dans Dortoir Mixte de 6 Lits,1 lit simple,"8,2",1 250 expériences vécues,"1 nuit, 1 adulte",,€ 14
Hotel Leda,"Centre de Sofia, Sofia",Chambre Double ou Lits Jumeaux,2 lits simples,"8,9",920 expériences vécues,"1 nuit, 1 adulte",,€ 53
Best Western Art Plaza Hotel,"Centre de Sofia, Sofia",Chambre Double Supérieure avec Lit Double - Non-Fumeurs,1 lit double,"7,9",3 608 expériences vécues,"1 nuit, 1 adulte",,€ 77
Kniaz Boris Hotel,"Centre de Sofia, Sofia",Economy Twin Room with TV,2 lits simples,"6,4",1 590 expériences vécues,"1 nuit, 1 adulte",,€ 36
Best Western Premier Sofia Airport Hotel,"Airport District, Sofia",Chambre Lit King-Size Premier (Chambre Uniquement) avec Wi-Fi et Plateau/Bouilloire Gratuits,1 très grand lit double,"8,8",6 451 expériences vécues,"1 nuit, 1 adulte",,€ 118€ 100-15 %
APARTHOTEL VICTORY SOFIA,"Centre de Sofia, Sofia",Appartement Standard,2 lits simples,"7,9",43 expériences vécues,"1 nuit, 1 adulte",,€ 60
B1 Boutique Hotel Sofia,"Centre de Sofia, Sofia",Chambre Double Standard,1 lit double,"8,3",1 080 expériences vécues,"1 nuit, 1 adulte",,€ 82
Hotel Niky,"Centre de Sofia, Sofia",Chambre Double Standard,1 lit double,"8,8",2 556 expériences vécues,"1 nuit, 1 adulte",,€ 73€ 62-15 %
The Moon Boutique Hotel,"Centre de Sofia, Sofia",Chambre Simple Affaires ,1 lit simple,"8,0",202 expériences vécues,"1 nuit, 1 adulte",,€ 96€ 82-15 %
"Metropolitan Hotel Sofia, a member of Radisson Individuals","Airport District, Sofia",Chambre Individuelle,,"9,0",2 679 expériences vécues,"1 nuit, 1 adulte",,€ 74
Sofia Balkan Palace,"Centre de Sofia, Sofia",Chambre Lit King-Size Deluxe,1 très grand lit double,"8,0",3 519 expériences vécues,"1 nuit, 1 adulte",,€ 136
City Avenue Hotel by HMG,"Centre de Sofia, Sofia",Chambre Simple Classique,1 lit simple,"7,8",4 518 expériences vécues,"1 nuit, 1 adulte",,€ 72€ 58-20 %
Bla Bla Hostel,"Centre de Sofia, Sofia",Lit dans Dortoir Mixte Économique de 6 Lits,1 lit superposé,"8,1",1 090 expériences vécues,"1 nuit, 1 adulte",,€ 12
Sofia Palace Hotel by HMG,"Centre de Sofia, Sofia",Chambre Double Deluxe,1 très grand lit double,"7,9",3 373 expériences vécues,"1 nuit, 1 adulte",,€ 98€ 78-20 %
Sofia Place Hotel by HMG,"Centre de Sofia, Sofia",Appartement 1 Chambre avec Canapé-Lit,"3 lits (2 lits simples, 1 canapé-lit)","8,1",2 943 expériences vécues,"1 nuit, 1 adulte",,€ 110€ 88-20 %
Maria Luisa by INTROVERT HOTELS - Contactless Cashless Crowdless,"Centre de Sofia, Sofia",Chambre Simple Économique,1 lit simple,"8,9",74 expériences vécues,"1 nuit, 1 adulte",,€ 60
APARTHOTEL BON BON,"Centre de Sofia, Sofia",Chambre Double ou Lits Jumeaux avec Salle de Bains Privative,2 lits simples,"8,2",1 034 expériences vécues,"1 nuit, 1 adulte",,€ 51
"Sense Hotel Sofia, a Member of Design Hotels - complimentary Sense Spa access","Centre de Sofia, Sofia",Chambre Supérieure pour Personnes à Mobilité Réduite,1 lit double,"8,6",779 expériences vécues,"1 nuit, 1 adulte",,€ 118
Grand Hotel Sofia,"Centre de Sofia, Sofia",Chambre Double Supérieure,1 grand lit double,"9,1",2 982 expériences vécues,"1 nuit, 1 adulte",,€ 133
Panorama Rooms,"Centre de Sofia, Sofia",Chambre Double avec Balcon,1 lit double,"8,7",71 expériences vécues,"1 nuit, 1 adulte",,€ 43
Belle Stelle Sofia,"Centre de Sofia, Sofia",Chambre Triple avec Balcon et Salle de Bains Commune,"2 lits (1 lit simple, 1 grand lit double)","7,8",573 expériences vécues,"1 nuit, 1 adulte",,€ 24
Grand Hotel Millennium Sofia,"Centre de Sofia, Sofia",Chambre pour Personnes à Mobilité Réduite,1 très grand lit double,"9,1",4 053 expériences vécues,"1 nuit, 1 adulte",,€ 144
