Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Castle House Inn,"Gamla Stan, Stockholm",Lit dans un Dortoir Mixte de 12 Lits (Personne de 40 Ans Maximum),1 lit superposé,"8,2",4 612 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 34
Generator Stockholm,"Norrmalm, Stockholm",Lit dans Dortoir Mixte de 6 Lits,1 lit superposé,"8,0",11 269 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 43
Comfort Hotel Xpress Stockholm Central,"Norrmalm, Stockholm",Chambre Simple Économique Sans Fenêtre,1 lit simple,"7,3",6 602 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.","€ 112€ 104
-7 %"
Thon Partner Hotel Kungsbron,"Norrmalm, Stockholm",Chambre Lits Jumeaux Modérée sans Fenêtre,2 lits simples,"7,7",8 132 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 111
"Radisson Blu Royal Viking Hotel, Stockholm","Norrmalm, Stockholm",Chambre Supérieure,1 très grand lit double,"8,2",16 435 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 176
"Radisson Blu Waterfront Hotel, Stockholm","Norrmalm, Stockholm",Chambre Standard,Plusieurs types de lits,"8,6",11 467 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 158
Best Western Hotel Karlaplan,"Östermalm, Stockholm",Chambre Simple Standard,1 lit simple,"7,6",3 012 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 101
City Hostel,"Kungsholmen, Stockholm",Chambre Triple avec Salle de Bains Commune,3 lits simples,"7,8",2 210 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 82
Best Western and hotel,"Norrmalm, Stockholm",Petit Hébergement Simple Élégant - Sans Fenêtre,1 lit simple,"8,0",6 055 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 127
"Radisson Collection, Strand Hotel, Stockholm","Norrmalm, Stockholm",Chambre Simple,1 lit simple,"8,5",3 755 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 208
Best Western Hotel Bentleys,"Norrmalm, Stockholm",Petite Chambre Simple,1 lit simple,"7,9",5 834 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 112
Scandic Anglais,"Östermalm, Stockholm",Chambre Simple sans Fenêtre,1 lit simple,"7,9",1 965 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 110
"Hotel Gamla Stan, BW Signature Collection","Gamla Stan, Stockholm",Chambre Simple Standard,1 lit simple,"8,1",3 271 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 119
Clarion Hotel Stockholm,"Södermalm, Stockholm",Petite Chambre Double - Lit de 140 cm,1 lit double,"8,0",11 080 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.","€ 156€ 145
-7 %"
Best Western Plus Sthlm Bromma,"Bromma, Stockholm",Economy Single Room with Rooftop Window,1 lit simple,"8,3",2 686 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 69
Courtyard by Marriott Stockholm Kungsholmen,"Kungsholmen, Stockholm",Chambre Lits Jumeaux Deluxe,2 lits simples,"8,5",4 031 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 144
Connect Hotel City,"Kungsholmen, Stockholm",Chambre Simple Économique sans Fenêtre,1 lit simple,"8,0",7 394 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 98
Quality Hotel Globe,"Enskede - Årsta - Vantör, Stockholm",Chambre Double ou Lits Jumeaux Standard,Types de lits : 1 lit double ou 2 lits simples,"7,8",6 795 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.","€ 119€ 111
-7 %"
At Six,"Norrmalm, Stockholm",Chambre Lit King-Size Standard,1 très grand lit double,"8,7",2 587 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 150
Elite Hotel Stockholm Plaza,"Norrmalm, Stockholm",Chambre Simple Standard,1 lit simple,"8,0",2 137 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 134
Communia Hotel Residence,"Bromma, Stockholm",Studio,1 lit simple,"7,3",100 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 73
