Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Citybox Tallinn City Center,"Centre de Tallinn, Tallinn",Chambre Simple,1 lit simple,"8,9",15 640 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 70€ 56-20 %
St.Olav Hotel,"Centre de Tallinn, Tallinn",Chambre Double ou Lits Jumeaux Économique,Types de lits : 1 lit double ou 2 lits simples,"7,5",6 560 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 53
Hotel St. Barbara,"Centre de Tallinn, Tallinn",Chambre Double Deluxe,1 grand lit double,"8,6",4 536 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 86€ 69-20 %
Hotel L'Ermitage,"Centre de Tallinn, Tallinn",Chambre Simple Standard sans Climatisation,1 lit simple,"8,4",2 825 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 45
ibis Tallinn Center,"Centre de Tallinn, Tallinn",Chambre Double Standard,1 grand lit double,"8,9",5 728 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 59
Park Inn by Radisson Central Tallinn,"Centre de Tallinn, Tallinn",Chambre Standard,2 lits simples,"8,3",4 068 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 72
Three Crowns Residents,"Centre de Tallinn, Tallinn",Chambre Double ou Lits Jumeaux Économique sans Fenêtre,2 lits simples,"7,4",2 538 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 48
Hestia Hotel Susi,"Lasnamäe, Tallinn",Chambre Double Standard,1 lit double,"7,8",4 184 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 76€ 65-15 %
Hilton Tallinn Park,"Centre de Tallinn, Tallinn",Chambre Lits Jumeaux,2 lits doubles,"8,9",3 340 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 99
Movenpick Hotel Tallinn,"Centre de Tallinn, Tallinn",Chambre Double Supérieure,1 lit double,"9,1",2 152 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 116
