Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Goodwill Apartments XL37,"Chugureti, Tbilissi",Appartement 1 Chambre,"2 lits (1 lit double, 1 futon)","9,1",7 expériences vécues,"1 nuit, 1 adulte",,€ 47€ 28-40 %
Courtyard by Marriott Tbilisi,"Old Tbilisi, Tbilissi",Chambre Lits Jumeaux Deluxe,2 lits simples,"8,4",450 expériences vécues,"1 nuit, 1 adulte",,€ 122
Boutique Stay,"Mtatsminda , Tbilissi",Chambre Double Économique,1 très grand lit double,10,10 expériences vécues,"1 nuit, 1 adulte",,€ 68
BG Palace Hotel,Tbilissi,Chambre Double Standard,1 lit double,"8,2",405 expériences vécues,"1 nuit, 1 adulte",,€ 45€ 40-10 %
Hotel Aqua Liberty,"Old Tbilisi, Tbilissi",Chambre Simple Économique,1 lit simple,"8,7",1 273 expériences vécues,"1 nuit, 1 adulte",,€ 104€ 52-50 %
Georgia Tbilisi GT Hotel,"Old Tbilisi, Tbilissi",Chambre Simple,1 lit simple,"8,8",425 expériences vécues,"1 nuit, 1 adulte",,€ 50€ 40-20 %
Tamarisi Old Tbilisi,"Old Tbilisi, Tbilissi",Chambre Double Standard,1 lit double,"8,5",318 expériences vécues,"1 nuit, 1 adulte",,€ 23
EPIGRAPH Design Hotel,"Mtatsminda , Tbilissi",Chambre Double ou Lits Jumeaux Standard,"3 lits (2 lits simples, 1 grand lit double)","8,7",309 expériences vécues,"1 nuit, 1 adulte",,€ 48€ 43-10 %
Blue Balcony Hotel,"Old Tbilisi, Tbilissi",Chambre Simple avec Terrasse,1 lit simple,"9,2",203 expériences vécues,"1 nuit, 1 adulte",,€ 65
TbiliSee Hotel,"Old Tbilisi, Tbilissi",Chambre Double,1 grand lit double,"9,3",1 906 expériences vécues,"1 nuit, 1 adulte",,€ 136€ 87-36 %
Hotel Liberty Theatre,"Mtatsminda , Tbilissi",Petite Chambre Lits Jumeaux,2 lits simples,"8,2",684 expériences vécues,"1 nuit, 1 adulte",,€ 35€ 32-8 %
Mit Hotel Tbilisi,"Old Tbilisi, Tbilissi",Chambre Double Économique,1 grand lit double,"9,5",651 expériences vécues,"1 nuit, 1 adulte",,€ 93€ 53-43 %
