Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
CONDOR CENTER TIRANA Apartment,Tirana,Studio Deluxe,Hébergement géré par un particulier,"9,3",6 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 58€ 35-40 %
La Voglia Hotel Boutique,Tirana,Chambre Simple,1 lit simple,"8,2",450 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 41
Doanesia Premium Hotel & Spa,Tirana,Chambre Double Standard,1 très grand lit double,"9,0",640 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 57
Hotel Livia,Tirana,Chambre Simple,1 lit simple,"7,9",1 430 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 35
Lot Boutique Hotel by Hotels and Preference,Tirana,Chambre Double Standard,1 grand lit double,"8,9",2 875 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 88
Maritim Hotel Plaza Tirana,Tirana,Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"9,0",1 930 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 139
Hotel Boutique Restaurant Gloria,Tirana,Chambre Simple Confort,1 lit simple,"9,4",990 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 45
Hotel Artist,Tirana,Chambre Double Standard,"2 lits (1 canapé-lit, 1 grand lit double)","7,0",1 215 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 31
Rogner Hotel Tirana,Tirana,Chambre Double – Vue sur Ville,Plusieurs types de lits,"8,9",1 693 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 102
Mosaic Home,Tirana,Lit dans Dortoir Mixte de 10 Lits,1 lit simple,"8,4",1 871 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 15
Jolly City Center Hotel,Tirana,Chambre Simple,1 lit simple,"7,9",733 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 43
Xheko Imperial Luxury Hotel & SPA,Tirana,Chambre Simple Standard,1 lit simple,"8,9",1 305 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 99
Black Diamond Hotel,Tirana,Chambre Simple Deluxe,1 lit simple,"8,7",1 629 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 85
Hotel Vila e Arte City Center,Tirana,Chambre Simple,1 lit simple,"8,6",1 557 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 47
City Center Hotel,Tirana,Chambre Simple,1 lit simple,"7,8",746 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 54
Hotel Oresti Center,Tirana,Chambre Double,1 grand lit double,"9,2",1 212 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 64
StarLight Hotel,Tirana,Chambre Deluxe Double ou Lits Jumeaux,1 très grand lit double,"8,9",862 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 77
Guest House De Rada,Tirana,Chambre Triple,"2 lits (1 lit simple, 1 lit double)","8,5",323 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 54€ 27-49 %
Oxford hotel,Tirana,Offre Spéciale - Chambre Double ou Lits Jumeaux - Séjournez 3 Nuits et Économisez 20 %,Types de lits : 1 lit double ou 2 lits simples,"8,7",698 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 70
Brilant Antik Center Hotel,Tirana,Chambre Lits Jumeaux Deluxe,2 lits doubles,,3 commentaires externes,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 51
Hotel Elysee,Tirana,Chambre Simple,1 lit simple,"7,9",604 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 56€ 44-20 %
Tirana International Hotel & Conference Center,Tirana,Chambre Simple Deluxe,"2 lits (1 lit simple, 1 très grand lit double)","8,0",924 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 99
Central Inn Hotel,Tirana,Chambre Double avec Balcon,1 grand lit double,10,3 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 72
Hilton Garden Inn Tirana,Tirana,Chambre Lit King-Size,1 très grand lit double,"9,0",502 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 102
Hotel Deluxe,Tirana,Chambre Double Standard,1 très grand lit double,"8,4",1 053 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 39
Habitat Hotel Tirana,Tirana,Chambre Simple Standard,1 lit simple,"9,3",454 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 60
Signature Idea hotel,Tirana,Chambre Lits Jumeaux,2 lits simples,"8,2",1 128 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 54
Hotel Europa,Tirana,Chambre Double Deluxe,1 très grand lit double,"8,9",2 138 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 58
Hotel Elior,Tirana,Chambre Double Deluxe,1 lit double,"8,6",208 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 55
Prime Hotel,Tirana,Chambre Simple Standard,1 lit simple,"8,8",697 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 34
BELUX HOTEL,Tirana,Chambre Simple avec Balcon,Plusieurs types de lits,"8,1",814 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 45
HOTEL VILA 15 - CENTER,Tirana,Chambre Double Standard,1 grand lit double,"9,0",640 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 60
Boutique Hotel Whisky,Tirana,Chambre Deluxe,1 grand lit double,"8,6",653 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 69
Albanopolis Hotel,Tirana,Chambre Double,1 très grand lit double,"8,9",530 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 64
Tirana Marriott Hotel,Tirana,Chambre Lit King-Size Deluxe - Vue sur Ville,1 très grand lit double,"9,0",178 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 150
#New Luxury Apartment,Tirana,Studio Deluxe,Hébergement géré par un particulier,"9,3",130 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 37
"Golden City Hotel & Spa, Tirana",Tirana,Chambre Double,1 très grand lit double,"7,6",453 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 117€ 71-39 %
La Bohème Hotel,Tirana,Chambre Simple,1 lit simple,"8,7",792 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 90
Center Elite Tirana,Tirana,Chambre Double,1 grand lit double,"7,9",540 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 25
Nina Guest House,Tirana,Chambre Double ou Lits Jumeaux Deluxe avec Balcon,Hébergement géré par un particulier,"8,9",354 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 20
Classic Hotel,Tirana,Chambre Double Standard,1 grand lit double,"8,6",231 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 78
Venis Hotel,Tirana,Chambre Lit King-Size avec Balcon,1 très grand lit double,"9,2",602 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 56
Jurgen Resort,Tirana,Chambre Double avec Balcon,1 grand lit double,"8,1",62 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 62
Retreat Apartments,Tirana,Grande Chambre Double ,1 très grand lit double,"9,3",302 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 69
