Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Mulberry Suites,La Valette,Chambre Double ou Lits Jumeaux Supérieure,1 grand lit double,"8,5",76 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 158€ 150
Charming Apartment in Valletta,La Valette,Appartement 1 Chambre,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,"sam. 25 nov.
—
dim. 26 nov.",€ 86€ 78
Grand Hotel Excelsior,La Valette,Chambre Deluxe Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"8,3",2 929 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 137€ 125
The Gomerino Hotel,La Valette,Chambre Double ou Lits Jumeaux,Plusieurs types de lits,"9,0",1 206 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 211€ 192
Casa Asti,La Valette,Chambre Familiale,2 grands lits doubles,"8,9",1 034 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 136
Paulos Valletta,La Valette,Chambre Lit King-Size Standard,1 grand lit double,"8,9",930 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 129€ 118
Palazzo Ignazio,La Valette,Chambre Deluxe Double ou Lits Jumeaux,Plusieurs types de lits,"8,8",846 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 170
Valletta Kampnar City Living,La Valette,Suite avec Balcon,1 lit double,"6,2",952 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 103€ 82
The Manoel Boutique Hotel,La Valette,Chambre Double Standard,1 lit double,"7,9",805 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 165€ 151
La Falconeria Hotel,La Valette,Chambre Double ou Lits Jumeaux,Plusieurs types de lits,"9,1",1 411 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 163€ 149
The Cumberland Hotel by NEU Collective,La Valette,Chambre Supérieure,Plusieurs types de lits,"8,7",818 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 151
Guest House Capital Inn,La Valette,Chambre Simple avec Salle de Bains Privative,1 lit simple,"7,0",363 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 86€ 79
AX The Saint John,La Valette,Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"8,9",553 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 161
Casa Domenico 8,La Valette,Chambre Simple,1 lit simple,"8,7",19 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 110€ 101
66 Saint Paul's & Spa,La Valette,Chambre Double ou Lits Jumeaux Deluxe avec Cour Intérieure,1 lit double,"9,2",860 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 181€ 164
Luciano Al Porto Boutique,La Valette,Chambre Double - Vue sur Rue,1 grand lit double,"7,9",843 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 131€ 119
19 ROOMS,La Valette,Chambre Double Deluxe,1 grand lit double,"8,9",671 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 140
Ursulino Valletta,La Valette,Chambre Double Deluxe,1 grand lit double,"9,5",1 049 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 181€ 164
Palais Le Brun,La Valette,Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"8,9",1 114 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 174€ 159
Melior Boutique Hotel,La Valette,Suite Deluxe,"2 lits (1 lit double, 1 canapé-lit)","8,4",540 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 195€ 178
Valletta Republic Suite,La Valette,Appartement 1 Chambre,1 lit double,"6,6",72 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 99€ 75
Casa Domenico 7,La Valette,Chambre Simple,1 lit simple,"7,9",13 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 110€ 101
