Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Home at Rome Vatican Apartment&Rooms,"Vaticano Prati, Rome",Petite Chambre Double,1 lit double,"8,7",566 expériences vécues,"1 nuit, 1 adulte",,€ 203€ 105-48 %
Bettoja Hotel Mediterraneo,"Gare de Termini, Rome",Chambre Simple Économique,1 lit simple,"8,7",1 782 expériences vécues,"1 nuit, 1 adulte",,€ 180
Hotel Relais Dei Papi,"Vaticano Prati, Rome",Appartement Standard,"2 lits (1 lit simple, 1 grand lit double)","8,1",3 034 expériences vécues,"1 nuit, 1 adulte",,€ 296€ 238-20 %
The Pope's Window,"Vaticano Prati, Rome",Chambre Double,1 très grand lit double,"8,7",338 expériences vécues,"1 nuit, 1 adulte",,€ 173
Hotel Paolo II,"Vaticano Prati, Rome",Chambre Simple Confort,1 lit double,"8,6",1 617 expériences vécues,"1 nuit, 1 adulte",,€ 160
NH Collection Roma Giustiniano,"Vaticano Prati, Rome",Suite Junior avec Lit d'Appoint (2 Adultes + 1 Enfant),Types de lits : 1 lit double ou 2 lits simples,"8,4",1 711 expériences vécues,"1 nuit, 1 adulte",,€ 271
Hotel Roma Vaticano,"Vaticano Prati, Rome",Chambre Double Deluxe (1 Adulte + 1 Enfant),1 grand lit double,"8,4",1 232 expériences vécues,"1 nuit, 1 adulte",,€ 207€ 167-20 %
Tmark Hotel Vaticano,"Vaticano Prati, Rome",Chambre Double Supérieure,2 grands lits doubles,"8,0",835 expériences vécues,"1 nuit, 1 adulte",,€ 273
Casa per Ferie Ravasco San Pietro,"Vaticano Prati, Rome",Chambre Double Deluxe avec Balcon,1 lit double,"7,9",741 expériences vécues,"1 nuit, 1 adulte",,€ 152
Best Western Plus Hotel Spring House,"Trionfale, Rome",Chambre Standard Lit Queen-Size,1 grand lit double,"8,7",2 408 expériences vécues,"1 nuit, 1 adulte",,€ 233
Orazio Palace Hotel,"Vaticano Prati, Rome",Petite Chambre Double,1 lit double,"8,9",1 372 expériences vécues,"1 nuit, 1 adulte",,€ 318
Trianon Borgo Pio Aparthotel,"Vaticano Prati, Rome",Petit Appartement 1 Chambre (2 Adultes),1 grand lit double,"8,9",1 095 expériences vécues,"1 nuit, 1 adulte",,€ 222€ 179-19 %
Hotel Emmaus,"Vaticano Prati, Rome",Chambre Simple,1 lit simple,"7,5",1 170 expériences vécues,"1 nuit, 1 adulte",,€ 103
Royal Suite du Vatican,"Vaticano Prati, Rome",Chambre Triple,"2 lits (1 lit simple, 1 grand lit double)","8,3",450 expériences vécues,"1 nuit, 1 adulte",,€ 122
Allegra Suites,"Vaticano Prati, Rome",Chambre Supérieure Lit Queen-Size,Hébergement géré par un particulier,"9,2",446 expériences vécues,"1 nuit, 1 adulte",,€ 222
Ottaviano Smart Rooms,"Vaticano Prati, Rome",Chambre Double Standard,1 grand lit double,"8,2",424 expériences vécues,"1 nuit, 1 adulte",,€ 167
