Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
The Leo Grand,"01. Innere Stadt, Vienne",Grande Chambre Deluxe,1 grand lit double,"9,3",1 859 expériences vécues,"1 nuit, 1 adulte",,€ 433€ 303-30 %
Vienna Marriott Hotel,"01. Innere Stadt, Vienne",Chambre Lit King-Size Deluxe,1 très grand lit double,"8,5",3 287 expériences vécues,"1 nuit, 1 adulte",,€ 577
ARCOTEL Kaiserwasser Wien,"22. Donaustadt, Vienne",Chambre Double Confort,1 grand lit double,"7,9",2 510 expériences vécues,"1 nuit, 1 adulte",,€ 149
Hotel Brauhof Wien,"15. Rudolfsheim-Fünfhaus, Vienne",Chambre Simple,1 lit simple,"8,9",6 605 expériences vécues,"1 nuit, 1 adulte",,€ 139€ 106-24 %
B&B Hotel Wien-Hbf,"10. Favoriten, Vienne",Chambre Double,1 lit double,"8,5",8 478 expériences vécues,"1 nuit, 1 adulte",,€ 138
Moxy Vienna City East,"03. Landstraße, Vienne",Queen Room with Inland View,1 grand lit double,"8,7",387 expériences vécues,"1 nuit, 1 adulte",,€ 125
ARCOTEL Donauzentrum Wien,"22. Donaustadt, Vienne",Chambre Double Confort,1 grand lit double,"8,6",2 628 expériences vécues,"1 nuit, 1 adulte",,€ 139
Hotel Strudlhof Vienna,"09. Alsergrund, Vienne",Chambre Simple,1 lit simple,"8,1",2 473 expériences vécues,"1 nuit, 1 adulte",,€ 121
ibis Wien Hauptbahnhof,"10. Favoriten, Vienne",Chambre Double,1 grand lit double,"8,5",7 394 expériences vécues,"1 nuit, 1 adulte",,€ 138
Der Salon Hostel,"13e Hietzing, Vienne",Lit Simple en Dortoir,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 36
Pension Lehrerhaus,"08. Josefstadt, Vienne",Chambre Simple avec Salle de Bains Privative,1 lit simple,"8,4",2 198 expériences vécues,"1 nuit, 1 adulte",,€ 105
a&o Wien Hauptbahnhof,"10. Favoriten, Vienne",Lit Simple dans Dortoir à 6 Lits,1 lit superposé,"7,1",9 640 expériences vécues,"1 nuit, 1 adulte",,€ 29
Hotel Mercure Wien Westbahnhof,"15. Rudolfsheim-Fünfhaus, Vienne",Budget Single Room ,1 lit simple,"7,4",2 113 expériences vécues,"1 nuit, 1 adulte",,€ 124
Urban Boutique Hotel,"07. Neubau, Vienne",Chambre Simple avec Salle de Bains ,1 lit simple,"7,3",1 614 expériences vécues,"1 nuit, 1 adulte",,€ 174€ 139-20 %
greet Wien City Nord,"21. Floridsdorf, Vienne",Chambre Double Standard,1 lit double,"8,6",495 expériences vécues,"1 nuit, 1 adulte",,€ 99
lyf Schönbrunn Vienna,"12. Meidling, Vienne",Level-Up - Studio,1 grand lit double,"9,6",10 expériences vécues,"1 nuit, 1 adulte",,€ 109€ 93-15 %
Vienna Sporthotel,"03. Landstraße, Vienne",Chambre Simple Confort,1 lit double,"8,1",2 020 expériences vécues,"1 nuit, 1 adulte",,€ 112
roomz Vienna Prater,"02. Leopoldstadt, Vienne",Chambre Double Style roomz avec Banc,1 grand lit double,"8,3",2 089 expériences vécues,"1 nuit, 1 adulte",,€ 179€ 143-20 %
Hotel Orangerie,"12. Meidling, Vienne",Chambre Double Standard,1 grand lit double,"7,9",1 436 expériences vécues,"1 nuit, 1 adulte",,€ 134
B&B Hotel Wien-Meidling,"12. Meidling, Vienne",Chambre Double,1 grand lit double,"8,5",2 192 expériences vécues,"1 nuit, 1 adulte",,€ 125€ 106-15 %
7brunnen Hostel & Guest House,"05. Margareten, Vienne",Lit dans Dortoir Mixte de 6 Lits,1 lit simple,"8,1",2 288 expériences vécues,"1 nuit, 1 adulte",,€ 22
Pension Stadthalle,"15. Rudolfsheim-Fünfhaus, Vienne",Chambre Simple,1 lit simple,"8,5",1 143 expériences vécues,"1 nuit, 1 adulte",,€ 85
Hotel Attaché contactless,"04. Wieden, Vienne",Chambre Double,1 lit double,"7,7",3 467 expériences vécues,"1 nuit, 1 adulte",,€ 133
Hotel Raimundhof,"15. Rudolfsheim-Fünfhaus, Vienne",Chambre Simple,1 lit simple,"6,4",3 482 expériences vécues,"1 nuit, 1 adulte",,€ 68
Austria Trend Hotel Ananas Wien,"05. Margareten, Vienne",Chambre Simple Classique,1 lit simple,"8,0",3 666 expériences vécues,"1 nuit, 1 adulte",,€ 122
Living Hotel Kaiser Franz Joseph,"19e Döbling, Vienne",Appartement Simple Économique ,1 lit simple,"8,0",2 382 expériences vécues,"1 nuit, 1 adulte",,€ 105
Austria Trend Hotel Doppio Wien,"03. Landstraße, Vienne",Chambre Lits Jumeaux avec Baignoire,2 lits simples,"8,8",3 884 expériences vécues,"1 nuit, 1 adulte",,€ 110
BASSENA Wien Messe Prater,"02. Leopoldstadt, Vienne",Chambre avec Douche,1 très grand lit double,"9,1",4 973 expériences vécues,"1 nuit, 1 adulte",,€ 184
ibis Styles Wien Messe Prater,"02. Leopoldstadt, Vienne",Chambre Double Standard,1 lit double,"8,4",6 058 expériences vécues,"1 nuit, 1 adulte",,€ 149
Privatzimmer Familie Schwarz,"10. Favoriten, Vienne",Grande Chambre Simple ,Hébergement géré par un particulier,"8,7",281 expériences vécues,"1 nuit, 1 adulte",,€ 67
Hotel Josefine,"06. Mariahilf, Vienne",Chambre Simple,1 lit simple,"9,2",1 536 expériences vécues,"1 nuit, 1 adulte",,€ 170€ 153-10 %
Austria Trend Parkhotel Schönbrunn Wien,"13e Hietzing, Vienne",Chambre Double Supérieure,2 lits simples,"8,8",7 162 expériences vécues,"1 nuit, 1 adulte",,€ 155
Apollo Hotel Vienna,"07. Neubau, Vienne",Chambre Simple,1 lit simple,"7,9",2 950 expériences vécues,"1 nuit, 1 adulte",,€ 167€ 133-20 %
