Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
FAVORIT HOTEL-HOSTEL,Erevan,Chambre Double,1 grand lit double,"9,2",32 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 50€ 20-60 %
METROPOL HOTEL Yerevan,Erevan,Chambre Lits Jumeaux Économique,2 lits simples,"8,6",3 695 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 58€ 47-20 %
ibis Yerevan Center,Erevan,Chambre Double Standard,1 grand lit double,"8,6",1 607 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 57
Kesabella Touristic House,Erevan,Chambre Simple,1 lit simple,"8,6",1 413 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 38
Avalon Hotel Armenia,Erevan,Chambre Simple,1 lit simple,"8,7",60 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 23
Victoria Hotel,Erevan,Chambre Double Deluxe,1 grand lit double,,"1 nuit, 1 adulte",Taxes et frais compris,"sam. 25 nov.
—
dim. 26 nov.",€ 58
Andor Hotel,Erevan,Lit dans Dortoir Féminin,1 lit superposé,"9,4",1 175 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 20€ 12-40 %
Villa 29,Erevan,Suite,1 très grand lit double,"9,2",343 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 47€ 42-10 %
"Holiday Inn Express - Yerevan, an IHG Hotel",Erevan,Chambre Double - Non-Fumeurs ,1 grand lit double,"8,9",1 037 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 71
Old Yerevan Hotel,Erevan,Chambre Lits Jumeaux Économique,2 lits simples,"8,7",418 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 33
COZY HOTEL SKS,Erevan,Chambre avec 2 Grands Lits Queen-Size ,Hébergement géré par un particulier,"9,2",129 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 29
Baron Boutique Hotel Yerevan,Erevan,Chambre Double Deluxe,1 grand lit double,"8,7",240 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 60€ 54-10 %
