Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Hotel Meridijan16,Zagreb,Chambre Simple,1 lit simple,"8,2",2 733 expériences vécues,"1 nuit, 1 adulte",,€ 72
The Westin Zagreb,"Lower Town, Zagreb",Chambre Deluxe avec 1 Lit Queen-Size Non-Fumeurs - Vue sur Ville,1 grand lit double,"8,4",3 179 expériences vécues,"1 nuit, 1 adulte",,€ 127
Timeout Heritage Hotel Zagreb,"Lower Town, Zagreb",Chambre Simple,1 lit simple,"7,5",3 631 expériences vécues,"1 nuit, 1 adulte",,"€ 104€ 96
-8 %"
Hotel Central,"Lower Town, Zagreb",Chambre Lits Jumeaux Confort,2 lits simples,"8,0",3 853 expériences vécues,"1 nuit, 1 adulte",,€ 93
Zagreb Speeka,"Lower Town, Zagreb",Lit dans Dortoir Mixte de 4 Lits,1 lit simple,"8,0",1 396 expériences vécues,"1 nuit, 1 adulte",,€ 22
Bumblebee Luxury Apartments,"Lower Town, Zagreb",Studio,1 grand lit double,"9,4",625 expériences vécues,"1 nuit, 1 adulte",,€ 99
DoubleTree by Hilton Zagreb,Zagreb,Chambre Lit King-Size,1 grand lit double,"8,7",3 572 expériences vécues,"1 nuit, 1 adulte",,€ 121
Rooms 23,"Upper Town – Medvescak, Zagreb",Chambre Supérieure Lit Queen-Size,"2 lits (1 canapé-lit, 1 grand lit double)","9,3",20 expériences vécues,"1 nuit, 1 adulte",,"€ 140€ 98
-30 %"
Sheraton Zagreb Hotel,"Lower Town, Zagreb",Chambre Deluxe Lit Queen-Size - Non-Fumeurs,1 grand lit double,"8,5",3 898 expériences vécues,"1 nuit, 1 adulte",,€ 137
Art Hotel Like,"Lower Town, Zagreb",Chambre Simple Supérieure,1 lit simple,"7,9",3 400 expériences vécues,"1 nuit, 1 adulte",,€ 103
Canopy by Hilton Zagreb City Centre,"Lower Town, Zagreb",Chambre Double avec 2 Lits Doubles,2 lits doubles,"8,9",2 458 expériences vécues,"1 nuit, 1 adulte",,€ 100
Madison Luxury Apartments & Rooms,"Maksimir, Zagreb",Chambre Double Économique - Rez-de-Chaussée,1 très grand lit double,"8,5",738 expériences vécues,"1 nuit, 1 adulte",,€ 105
