Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Amazing Rooms by FIVE,"Wiedikon, Zurich",Chambre Extraordinaire,1 grand lit double,"7,7",15 expériences vécues,"1 nuit, 1 adulte",,"€ 320€ 225
-30 %"
Lindas Hostel - Self Check-in,"1. Vieille ville de Zurich - Centre ville, Zurich",Lit Simple dans Dortoir pour Hommes,Hébergement géré par un particulier,"6,2",58 expériences vécues,"1 nuit, 1 adulte",,€ 47
Motel One Zürich,"1. Vieille ville de Zurich - Centre ville, Zurich",Chambre Lit Queen-Size ,1 grand lit double,"8,5",7 350 expériences vécues,"1 nuit, 1 adulte",,€ 188
Saint Georges Hotel,"4e arrondissement, Zurich",Chambre Simple avec Salle de Bains Commune,1 lit simple,"8,3",1 507 expériences vécues,"1 nuit, 1 adulte",,€ 111
Apartments zum Bühlhof (Monique),"Wiedikon, Zurich",Appartement 1 Chambre,1 lit double,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 107
Olympia Hotel Zurich,"4e arrondissement, Zurich",Chambre Simple,1 lit simple,"6,9",2 792 expériences vécues,"1 nuit, 1 adulte",,€ 92
"Crowne Plaza Zürich, an IHG Hotel","4e arrondissement, Zurich",Chambre Standard Lit Queen-Size,1 grand lit double,"7,6",5 132 expériences vécues,"1 nuit, 1 adulte",,€ 164
Zurich Youth Hostel,"Wollishofen, Zurich",Lit dans Dortoir 6 Lits,1 lit superposé,"8,2",2 950 expériences vécues,"1 nuit, 1 adulte",,€ 60
Hotel Limmatblick,"1. Vieille ville de Zurich - Centre ville, Zurich",Chambre Double Deluxe,1 grand lit double,"7,7",1 895 expériences vécues,"1 nuit, 1 adulte",,€ 189
Trip Inn Zurich Hotel,"4e arrondissement, Zurich",Chambre Simple Standard,1 lit simple,"7,5",3 116 expériences vécues,"1 nuit, 1 adulte",,€ 165
Linda's Beauty Hostel,"1. Vieille ville de Zurich - Centre ville, Zurich",Lit dans Dortoir Mixte de 10 Lits,Hébergement géré par un particulier,"5,6",147 expériences vécues,"1 nuit, 1 adulte",,€ 54
Boutique Hotel Seidenhof,"1. Vieille ville de Zurich - Centre ville, Zurich",Chambre Simple Confortable,1 lit simple,"8,9",1 347 expériences vécues,"1 nuit, 1 adulte",,€ 221
Hotel Krone Unterstrass,"Unterstrass, Zurich",Chambre Simple Standard,1 lit simple,"8,5",2 958 expériences vécues,"1 nuit, 1 adulte",,€ 180
Hotel Scheuble,"1. Vieille ville de Zurich - Centre ville, Zurich",Chambre Simple Cosy (Petite),1 lit simple,"8,5",2 941 expériences vécues,"1 nuit, 1 adulte",,€ 209
Hotel Landhus,"Seebach, Zurich",Chambre Simple,1 lit simple,"7,6",962 expériences vécues,"1 nuit, 1 adulte",,€ 93
Hotel St.Gotthard,"1. Vieille ville de Zurich - Centre ville, Zurich",Chambre Standard,1 lit double,"7,4",2 168 expériences vécues,"1 nuit, 1 adulte",,€ 220
Hotel Limmathof,"1. Vieille ville de Zurich - Centre ville, Zurich",Chambre Simple,1 lit simple,"7,5",4 173 expériences vécues,"1 nuit, 1 adulte",,€ 145
Fred Guest House Zürich Hauptbahnhof,"1. Vieille ville de Zurich - Centre ville, Zurich",Chambre Simple,1 lit simple,"8,0",2 331 expériences vécues,"1 nuit, 1 adulte",,€ 177
Hotel City Zürich Design & Lifestyle,"1. Vieille ville de Zurich - Centre ville, Zurich",Chambre Simple Économique,1 lit simple,"8,4",2 049 expériences vécues,"1 nuit, 1 adulte",,€ 237
Placid Hotel Design & Lifestyle Zurich,"Altstetten, Zurich",Chambre Design Urbain ,1 grand lit double,"8,3",2 887 expériences vécues,"1 nuit, 1 adulte",,€ 173
Hotel Mercure Stoller,"Wiedikon, Zurich",Chambre Lit Queen-Size ,1 grand lit double,"7,8",1 105 expériences vécues,"1 nuit, 1 adulte",,€ 116
Opera Hotel Zürich,"Seefeld, Zurich",Petite Chambre Simple,1 lit simple,"8,0",2 230 expériences vécues,"1 nuit, 1 adulte",,€ 231
Hotel Montana Zürich,"Gewerbeschule, Zurich",Petite Chambre Double Confort,1 lit double,"7,4",3 445 expériences vécues,"1 nuit, 1 adulte",,€ 179
Design Hotel Plattenhof,"Zürichberg, Zurich",Chambre Simple,1 lit simple,"8,1",936 expériences vécues,"1 nuit, 1 adulte",,€ 220
LivingTown,"Altstetten, Zurich",Suite,1 lit double,"8,2",70 expériences vécues,"1 nuit, 1 adulte",,€ 169
Hotel Rössli,"1. Vieille ville de Zurich - Centre ville, Zurich",Chambre Simple,1 lit simple,"8,3",1 175 expériences vécues,"1 nuit, 1 adulte",,€ 229
Altstadt Hotel,"1. Vieille ville de Zurich - Centre ville, Zurich",Hébergement Design,1 grand lit double,"8,3",1 061 expériences vécues,"1 nuit, 1 adulte",,€ 256
Hotel St. Josef,"1. Vieille ville de Zurich - Centre ville, Zurich",Chambre Lit Queen-Size ,1 lit double,"8,6",1 713 expériences vécues,"1 nuit, 1 adulte",,€ 241
Hechtplatz Hotel - Self Check-in,"1. Vieille ville de Zurich - Centre ville, Zurich",Chambre Simple Standard,1 lit simple,"7,3",876 expériences vécues,"1 nuit, 1 adulte",,"€ 244€ 142
-42 %"
Leonardo Boutique Hotel Rigihof Zurich,"Oberstrass, Zurich",Chambre Double Confort,1 grand lit double,"7,1",3 562 expériences vécues,"1 nuit, 1 adulte",,€ 234
ibis budget Zurich City West,"Gewerbeschule, Zurich",Chambre Double,1 lit double,"6,8",4 192 expériences vécues,"1 nuit, 1 adulte",,€ 125
