Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Hotel Ernest,"10e arr., Paris",Chambre Simple,1 lit simple,"8,8",1 083 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 203€ 122
Villa Marquis Member of Meliá Collection,"8e arr., Paris",Chambre Style,1 grand lit double,"8,6",302 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 603€ 436
La maison bleue,"9e arr., Paris",Appartement 1 Chambre,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,"sam. 25 nov.
—
dim. 26 nov.",€ 207
Studio mezzanine,"18e arr., Paris",Appartement 1 Chambre,Hébergement géré par un particulier,,4 commentaires externes,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 83
Hotel Nation Montmartre,"18e arr., Paris",Chambre Économique,1 lit simple,"6,3",96 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 167€ 103
Grand Hotel Dore,"12e arr., Paris",Chambre Simple Standard,1 lit simple,"8,2",940 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 187€ 150
Hotel Choiseul Opera,"2e arr., Paris",Chambre Simple Supérieure,1 lit double,"8,4",4 638 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 182
Hotel Le Richemont,"13e arr., Paris",Chambre Simple Économique,1 lit simple,"7,9",1 827 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 83
Best Western Plus 61 Paris Nation Hotel,"12e arr., Paris",Chambre Simple Classique,1 lit simple,"7,6",1 481 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 101
Hôtel de Roubaix,"3e arr., Paris",Chambre Simple,1 lit simple,"9,0",4 619 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 161
Hotel du Pré,"9e arr., Paris",Chambre Simple,1 lit simple,"8,3",2 149 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 106
Hotel Esmeralda,"5e arr., Paris",Chambre Simple,1 lit simple,"7,7",844 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 131
ibis Styles Paris Bercy,"12e arr., Paris",Chambre Double Standard,1 lit double,"7,4",8 013 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 113
Tipi,"14e arr., Paris",Chambre Simple,1 lit simple,"7,0",2 912 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 90
Hotel du Lys,"6e arr., Paris",Chambre Simple,1 lit simple,"7,7",1 513 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 142
Hôtel du Levant,"5e arr., Paris",Chambre Double Confort,1 lit double,"8,4",2 154 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 185
Hôtel Léonard de Vinci II,"15e arr., Paris",Chambre Simple,1 lit simple,"7,0",773 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 110
Montparnasse Alésia,"14e arr., Paris",Chambre Simple Standard,1 lit double,"8,1",2 492 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 112
Timhotel Palais Royal,"2e arr., Paris",Chambre Simple Confort,1 lit simple,"7,9",1 080 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 146€ 131
Hôtel Korner Etoile,"17e arr., Paris",Chambre Simple,1 lit simple,"8,3",1 268 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 144
Hôtel Du Brésil,"5e arr., Paris",Chambre Simple,1 lit simple,"7,1",952 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 100
Lennon Hotel Paris Gare du Nord,"10e arr., Paris",Chambre Simple (Sans Climatisation),1 lit simple,"7,4",1 755 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 98
Delphine,"16e arr., Paris",Appartement 1 Chambre,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,"sam. 25 nov.
—
dim. 26 nov.",€ 209
Confort à Maridor,"15e arr., Paris",Appartement 1 Chambre,Hébergement géré par un particulier,"6,0",1 expérience vécue,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 243
Grand Hôtel du Bel Air,"12e arr., Paris",Chambre Double,1 lit double,"7,4",1 545 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 106
Chambre privée sur Paris,"12e arr., Paris",Chambre Double avec Balcon,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,"sam. 25 nov.
—
dim. 26 nov.",€ 87
Hôtel du Roussillon,"13e arr., Paris",Chambre Double Supérieure,1 lit double,"7,4",826 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 104
Hotel Studia,"5e arr., Paris",Chambre Double,1 lit double,"7,9",1 407 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 136
Hipotel Paris Voltaire Bastille,"11e arr., Paris",Chambre Double,1 lit double,"7,1",2 496 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 90
Hôtel des Comédies,"10e arr., Paris",Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"8,1",1 315 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 191
Hotel Campanile Paris-Bercy Village,"12e arr., Paris",Chambre Lits Jumeaux,2 lits simples,"7,9",6 505 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 120
Royal Garden Champs-Élysées,"8e arr., Paris",Chambre Simple,1 lit simple,"7,8",1 608 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 204€ 164
Hôtel du Parc Montparnasse,"14e arr., Paris",Chambre Lits Jumeaux Standard,2 lits simples,"8,0",919 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 142
Port Royal Hotel,"5e arr., Paris",Chambre Simple avec Salle de Bains et Toilettes Communes,1 lit simple,"7,4",3 443 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 156€ 112
Mary's Hotel République,"11e arr., Paris",Chambre Simple Supérieure,1 lit simple,"7,9",3 822 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 116
Timhotel Paris Gare Montparnasse,"15e arr., Paris",Chambre Simple Basique,1 lit simple,"7,1",2 162 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 146€ 117
Hôtel Paris Voltaire,"11e arr., Paris",Chambre Simple,1 lit simple,"8,2",2 115 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 105
Hôtel Liège Strasbourg,"10e arr., Paris",Chambre Simple,1 lit double,"7,2",2 495 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 151
Hotel Pax Opera,"9e arr., Paris",Chambre Simple Standard avec Douche,1 lit simple,"7,4",1 670 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 115
Hôtel Le Compostelle,"4e arr., Paris",Chambre Double avec Douche,1 lit double,"8,0",1 160 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 177
L'Amiral,"15e arr., Paris",Chambre Simple,1 lit simple,"8,3",1 419 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 120
Hôtel des Pyrénées - Entre Bastille et Nation,"12e arr., Paris",Chambre Double,1 lit double,"7,1",472 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 131
Agate Hôtel,"12e arr., Paris",Chambre Simple Économique,1 lit simple,"8,2",1 942 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 122
Hotel Le Clery,"2e arr., Paris",Chambre Simple,1 lit simple,"7,9",500 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 130
Hotel Opéra Opal,"8e arr., Paris",Chambre Double Classique,1 lit double,"8,4",817 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 191
Hôtel Albert 1er,"10e arr., Paris",Chambre Simple,1 lit simple,"7,8",1 057 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 151
Hôtel Léna,"10e arr., Paris",Chambre Simple,1 lit simple,"7,7",1 492 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 129
Westside Arc de Triomphe Hotel,"17e arr., Paris",Chambre Simple Standard,1 lit simple,"8,2",1 194 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 154
Maison Malesherbes,"8e arr., Paris",Chambre Simple,1 lit simple,"8,6",536 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 186
Splendide Appart 2P- Popincourt Paris-Centre,"11e arr., Paris",Appartement 1 Chambre,1 lit double,,"1 nuit, 1 adulte",Taxes et frais compris,"sam. 25 nov.
—
dim. 26 nov.",€ 198
Grand Hôtel Amelot,"11e arr., Paris",Chambre Double,1 lit double,"8,1",4 184 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 191
ibis Styles Paris Maine Montparnasse,"14e arr., Paris",Chambre Simple Standard,1 lit simple,"7,7",701 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 116
Hôtel Montparnasse Saint Germain,"14e arr., Paris",Chambre Simple,1 lit simple,"8,0",1 420 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 151
