Titre,Avis,Type,Price,Ville
 Pesca,2 136 avis,Fruits de mer et poisson,€€-€€€,Amsterdam
 Restaurant Adam,613 avis,"Européenne, Saine",€€€€,Amsterdam
 MOS Amsterdam,597 avis,"Française, Fruits de mer et poisson",€€€€,Amsterdam
 PIQNIQ,1 895 avis,"Hollandaise, Café",€€-€€€,Amsterdam
 De Royal Chophouse,538 avis,"Steakhouse, Internationale",€€-€€€,Amsterdam
 Ciel Bleu Restaurant,1 159 avis,"Internationale, Moderne",€€€€,Amsterdam
 Ashoka - Amsterdam Centrum,1 633 avis,"Indienne, Saine",€€-€€€,Amsterdam
 Mortimer Amsterdam,545 avis,"Hollandaise, Café",€€-€€€,Amsterdam
 Sizz - Indian Cuisine,224 avis,"Indienne, Asiatique",€€-€€€,Amsterdam
 Bhatti Pasal,1 120 avis,"Asiatique, Saine",€€-€€€,Amsterdam
 Spectrum,483 avis,"Hollandaise, Internationale",€€€€,Amsterdam
 Restaurant Olijfje,1 028 avis,"Méditerranéenne, Européenne",€€-€€€,Amsterdam
 Nader Grill Steakhouse,849 avis,"Steakhouse, Barbecue/Grillades",€€-€€€,Amsterdam
 Restaurant Oh!,187 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€,Amsterdam
 Brasserie SenT,971 avis,"Française, Steakhouse",€€-€€€,Amsterdam
 Cafe Sonneveld,3 123 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Staring at Jacob,718 avis,"Américaine, Café",€€-€€€,Amsterdam
 Rob Wigboldus Vishandel,843 avis,"Hollandaise, Fruits de mer et poisson",€,Amsterdam
 The Good Companion,343 avis,"Bar, Fruits de mer et poisson",€€-€€€,Amsterdam
 De Deli Plantagebuurt,374 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 De Margaritabar,105 avis,"Mexicaine, Latino",€€-€€€,Amsterdam
 Sorel's Bar & Lounge,273 avis,"Bar, Européenne",€€-€€€,Amsterdam
 The Seafood Bar,901 avis,"Fruits de mer et poisson, Européenne",€€-€€€,Amsterdam
 Bridges,1 494 avis,"Française, Fruits de mer et poisson",€€€€,Amsterdam
 The Happy Bull,740 avis,"Américaine, Bar",€€-€€€,Amsterdam
 Dope,293 avis,"Italienne, Pizza",€€-€€€,Amsterdam
 Heart-Garden Waffles & Coffee,283 avis,"Hollandaise, Café",€€-€€€,Amsterdam
 Ava Cyril,1 395 avis,"Italienne, Steakhouse",€€-€€€,Amsterdam
 Villa Maria Steakhouse,932 avis,"Steakhouse, Latino",€€-€€€,Amsterdam
 Restaurant Argentino Luna,1 234 avis,"Steakhouse, Latino",€€-€€€,Amsterdam
 Krua Thai Classic Restaurant,953 avis,"Asiatique, Thaï",€€-€€€,Amsterdam
 Sir Hummus,266 avis,"Saine, Moyen-Orient",€,Amsterdam
 Restaurant Vinkeles,724 avis,"Française, Internationale",€€€€,Amsterdam
 Elkaar,341 avis,"Française, Hollandaise",€€-€€€,Amsterdam
 De Kas,2 107 avis,"Hollandaise, Européenne",€€€€,Amsterdam
 Pastai,435 avis,"Italienne, Méditerranéenne",€€-€€€,Amsterdam
 Meat&Greek,422 avis,"Restauration rapide, Méditerranéenne",€,Amsterdam
 Restaurant Verena,342 avis,"Italienne, Pizza",€€-€€€,Amsterdam
 Castell Bites & Steaks,197 avis,"Hollandaise, Européenne",€€-€€€,Amsterdam
 Le Due Sicilie,218 avis,"Italienne, Fruits de mer et poisson",€€-€€€,Amsterdam
 Cuddle,875 avis,"Bar, Internationale",€,Amsterdam
 Greenwoods Singel,3 285 avis,"Café, Européenne",€€-€€€,Amsterdam
 Restaurant Floreyn,324 avis,"Hollandaise, Européenne",€€-€€€,Amsterdam
 Aan De Poel,508 avis,"Française, Hollandaise",€€€€,Amsterdam
 Biercafe Gollem,732 avis,"Bar, Pub",€€-€€€,Amsterdam
 Mankind,226 avis,"Hollandaise, Bar",€,Amsterdam
 Truffle Boutique,135 avis,Européenne,€€-€€€,Amsterdam
 Arendsnest Dutch Beer Bar,908 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 The Cottage,162 avis,"Bar, Européenne",€€-€€€,Amsterdam
 Grand Cafe 1884,533 avis,"Hollandaise, Européenne",€€-€€€,Amsterdam
 Mr. Meat Steakhouse,253 avis,"Steakhouse, Barbecue/Grillades",€€-€€€,Amsterdam
 The Seafood Bar,3 116 avis,"Fruits de mer et poisson, Européenne",€€-€€€,Amsterdam
 Mister Meatball,469 avis,Hollandaise,€,Amsterdam
 Palmyra Syrian Restaurant,405 avis,"Libanaise, Moyen-Orient",€€-€€€,Amsterdam
 Mount Everest Tandoori,472 avis,"Indienne, Asiatique",€€-€€€,Amsterdam
 The Seafood Bar,7 315 avis,"Fruits de mer et poisson, Européenne",€€-€€€,Amsterdam
 Bakers & Roasters,658 avis,"Café, Européenne",€€-€€€,Amsterdam
 Dal Pagliaccio,396 avis,"Italienne, Européenne",€€-€€€,Amsterdam
 De Struisvogel,717 avis,"Française, Hollandaise",€€-€€€,Amsterdam
 Frank's Smoke House,249 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€,Amsterdam
 Box Sociaal,343 avis,"Café, Européenne",€€-€€€,Amsterdam
 Meneer De Wit Heeft Honger,342 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€,Amsterdam
 Omelegg - De Pijp,2 063 avis,"Hollandaise, Café",€,Amsterdam
 Pancho's Cantina,429 avis,"Mexicaine, Cajun & Créole",€€-€€€,Amsterdam
 The Burger Room,766 avis,"Américaine, Bar",€€-€€€,Amsterdam
 Gollem Craft Beers,262 avis,"Bar, Pub",€€-€€€,Amsterdam
 Greenwoods Keizersgracht,2 126 avis,"Café, Européenne",€€-€€€,Amsterdam
 John Dory Seafood restaurant,304 avis,"Hollandaise, Fruits de mer et poisson",€€€€,Amsterdam
 Toastable Nieuwendijk,640 avis,"Café, Européenne",€,Amsterdam
 De Bekeerde Suster,627 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Tales And Spirits,996 avis,"Bar, Internationale",€€-€€€,Amsterdam
 Louis Bar,358 avis,Hollandaise,€,Amsterdam
 Restaurant Johannes,1 352 avis,"Française, Internationale",€€€€,Amsterdam
 Frens Haringhandel,638 avis,"Hollandaise, Fruits de mer et poisson",€,Amsterdam
 Blue Pepper Restaurant And Candlelight Cruises,1 028 avis,"Asiatique, Indonésienne",€€€€,Amsterdam
 Ivy & Bros,1 106 avis,Saine,€,Amsterdam
 Bussia,1 225 avis,"Italienne, Européenne",€€€€,Amsterdam
 Sefa Grill Restaurant,358 avis,"Turque, Grillades",€,Amsterdam
 Trattoria Buoni Amici,407 avis,"Italienne, Méditerranéenne",€€-€€€,Amsterdam
 Yamazato Restaurant,1 625 avis,"Japonaise, Sushi",€€€€,Amsterdam
 Toastable Koningsplein,1 101 avis,Européenne,€,Amsterdam
 Hap-Hmm,795 avis,"Hollandaise, Européenne",€,Amsterdam
 van Kerkwijk,2 627 avis,"Hollandaise, Européenne",€€-€€€,Amsterdam
 Taj Indian,1 734 avis,"Indienne, Asiatique",€€-€€€,Amsterdam
 Tasty Asia,300 avis,"Chinoise, Asiatique",€,Amsterdam
 Jottum,280 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€,Amsterdam
 Il Vecchio Pacioccone,325 avis,"Italienne, Méditerranéenne",€€-€€€,Amsterdam
 Il Sogno Amsterdam,381 avis,"Italienne, Pizza",€,Amsterdam
 Shah-jahan,308 avis,"Indienne, Asiatique",€€-€€€,Amsterdam
 MAX Amsterdam,2 467 avis,Indonésienne,€€-€€€,Amsterdam
 La Maschera Lillotatini,670 avis,"Italienne, Méditerranéenne",€€-€€€,Amsterdam
 Restaurant GUTS,713 avis,"Internationale, Européenne",€€-€€€,Amsterdam
 Coffeeshop Happy Feelings,157 avis,,,Amsterdam
" DenC, Dik en Cunningham",237 avis,Française,€€-€€€,Amsterdam
 d&a hummus bistro,783 avis,"Libanaise, Méditerranéenne",€€-€€€,Amsterdam
 Cafe Kuijper,220 avis,"Bar, Café",€,Amsterdam
