Titre,Avis,Type,Price
31. Pesca,2 136 avis,Fruits de mer et poisson,€€-€€€
32. Restaurant Adam,613 avis,"Européenne, Saine",€€€€
33. MOS Amsterdam,597 avis,"Française, Fruits de mer et poisson",€€€€
34. PIQNIQ,1 895 avis,"Hollandaise, Café",€€-€€€
35. De Royal Chophouse,538 avis,"Steakhouse, Internationale",€€-€€€
36. Ciel Bleu Restaurant,1 159 avis,"Internationale, Moderne",€€€€
37. Ashoka - Amsterdam Centrum,1 633 avis,"Indienne, Saine",€€-€€€
38. Mortimer Amsterdam,545 avis,"Hollandaise, Café",€€-€€€
39. Sizz - Indian Cuisine,224 avis,"Indienne, Asiatique",€€-€€€
40. Bhatti Pasal,1 120 avis,"Asiatique, Saine",€€-€€€
41. Spectrum,483 avis,"Hollandaise, Internationale",€€€€
42. Restaurant Olijfje,1 028 avis,"Méditerranéenne, Européenne",€€-€€€
43. Nader Grill Steakhouse,849 avis,"Steakhouse, Barbecue/Grillades",€€-€€€
44. Restaurant Oh!,187 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€
45. Brasserie SenT,971 avis,"Française, Steakhouse",€€-€€€
46. Cafe Sonneveld,3 123 avis,"Hollandaise, Bar",€€-€€€
47. Staring at Jacob,718 avis,"Américaine, Café",€€-€€€
48. Rob Wigboldus Vishandel,843 avis,"Hollandaise, Fruits de mer et poisson",€
49. The Good Companion,343 avis,"Bar, Fruits de mer et poisson",€€-€€€
50. De Deli Plantagebuurt,374 avis,"Hollandaise, Bar",€€-€€€
51. De Margaritabar,105 avis,"Mexicaine, Latino",€€-€€€
52. Sorel's Bar & Lounge,273 avis,"Bar, Européenne",€€-€€€
53. The Seafood Bar,901 avis,"Fruits de mer et poisson, Européenne",€€-€€€
54. Bridges,1 494 avis,"Française, Fruits de mer et poisson",€€€€
55. The Happy Bull,740 avis,"Américaine, Bar",€€-€€€
56. Dope,293 avis,"Italienne, Pizza",€€-€€€
57. Heart-Garden Waffles & Coffee,283 avis,"Hollandaise, Café",€€-€€€
58. Ava Cyril,1 395 avis,"Italienne, Steakhouse",€€-€€€
59. Villa Maria Steakhouse,932 avis,"Steakhouse, Latino",€€-€€€
60. Restaurant Argentino Luna,1 234 avis,"Steakhouse, Latino",€€-€€€
61. Krua Thai Classic Restaurant,953 avis,"Asiatique, Thaï",€€-€€€
62. Sir Hummus,266 avis,"Saine, Moyen-Orient",€
63. Restaurant Vinkeles,724 avis,"Française, Internationale",€€€€
64. Elkaar,341 avis,"Française, Hollandaise",€€-€€€
65. De Kas,2 107 avis,"Hollandaise, Européenne",€€€€
66. Pastai,435 avis,"Italienne, Méditerranéenne",€€-€€€
67. Meat&Greek,422 avis,"Restauration rapide, Méditerranéenne",€
68. Restaurant Verena,342 avis,"Italienne, Pizza",€€-€€€
69. Castell Bites & Steaks,197 avis,"Hollandaise, Européenne",€€-€€€
70. Le Due Sicilie,218 avis,"Italienne, Fruits de mer et poisson",€€-€€€
71. Cuddle,875 avis,"Bar, Internationale",€
72. Greenwoods Singel,3 285 avis,"Café, Européenne",€€-€€€
73. Restaurant Floreyn,324 avis,"Hollandaise, Européenne",€€-€€€
74. Aan De Poel,508 avis,"Française, Hollandaise",€€€€
75. Biercafe Gollem,732 avis,"Bar, Pub",€€-€€€
76. Mankind,226 avis,"Hollandaise, Bar",€
77. Truffle Boutique,135 avis,Européenne,€€-€€€
78. Arendsnest Dutch Beer Bar,908 avis,"Hollandaise, Bar",€€-€€€
79. The Cottage,162 avis,"Bar, Européenne",€€-€€€
80. Grand Cafe 1884,533 avis,"Hollandaise, Européenne",€€-€€€
81. Mr. Meat Steakhouse,253 avis,"Steakhouse, Barbecue/Grillades",€€-€€€
82. The Seafood Bar,3 116 avis,"Fruits de mer et poisson, Européenne",€€-€€€
83. Mister Meatball,469 avis,Hollandaise,€
84. Palmyra Syrian Restaurant,405 avis,"Libanaise, Moyen-Orient",€€-€€€
85. Mount Everest Tandoori,472 avis,"Indienne, Asiatique",€€-€€€
86. The Seafood Bar,7 315 avis,"Fruits de mer et poisson, Européenne",€€-€€€
87. Bakers & Roasters,658 avis,"Café, Européenne",€€-€€€
88. Dal Pagliaccio,396 avis,"Italienne, Européenne",€€-€€€
89. De Struisvogel,717 avis,"Française, Hollandaise",€€-€€€
90. Frank's Smoke House,249 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€
91. Box Sociaal,343 avis,"Café, Européenne",€€-€€€
92. Meneer De Wit Heeft Honger,342 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
93. Omelegg - De Pijp,2 063 avis,"Hollandaise, Café",€
94. Pancho's Cantina,429 avis,"Mexicaine, Cajun & Créole",€€-€€€
95. The Burger Room,766 avis,"Américaine, Bar",€€-€€€
96. Gollem Craft Beers,262 avis,"Bar, Pub",€€-€€€
97. Greenwoods Keizersgracht,2 126 avis,"Café, Européenne",€€-€€€
98. John Dory Seafood restaurant,304 avis,"Hollandaise, Fruits de mer et poisson",€€€€
99. Toastable Nieuwendijk,640 avis,"Café, Européenne",€
100. De Bekeerde Suster,627 avis,"Hollandaise, Bar",€€-€€€
101. Tales And Spirits,996 avis,"Bar, Internationale",€€-€€€
102. Louis Bar,358 avis,Hollandaise,€
103. Restaurant Johannes,1 352 avis,"Française, Internationale",€€€€
104. Frens Haringhandel,638 avis,"Hollandaise, Fruits de mer et poisson",€
105. Blue Pepper Restaurant And Candlelight Cruises,1 028 avis,"Asiatique, Indonésienne",€€€€
106. Ivy & Bros,1 106 avis,Saine,€
107. Bussia,1 225 avis,"Italienne, Européenne",€€€€
108. Sefa Grill Restaurant,358 avis,"Turque, Grillades",€
109. Trattoria Buoni Amici,407 avis,"Italienne, Méditerranéenne",€€-€€€
110. Yamazato Restaurant,1 625 avis,"Japonaise, Sushi",€€€€
111. Toastable Koningsplein,1 101 avis,Européenne,€
112. Hap-Hmm,795 avis,"Hollandaise, Européenne",€
113. van Kerkwijk,2 627 avis,"Hollandaise, Européenne",€€-€€€
114. Taj Indian,1 734 avis,"Indienne, Asiatique",€€-€€€
115. Tasty Asia,300 avis,"Chinoise, Asiatique",€
116. Jottum,280 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
117. Il Vecchio Pacioccone,325 avis,"Italienne, Méditerranéenne",€€-€€€
118. Il Sogno Amsterdam,381 avis,"Italienne, Pizza",€
119. Shah-jahan,308 avis,"Indienne, Asiatique",€€-€€€
120. MAX Amsterdam,2 467 avis,Indonésienne,€€-€€€
121. La Maschera Lillotatini,670 avis,"Italienne, Méditerranéenne",€€-€€€
122. Restaurant GUTS,713 avis,"Internationale, Européenne",€€-€€€
123. Coffeeshop Happy Feelings,157 avis,,
"124. DenC, Dik en Cunningham",237 avis,Française,€€-€€€
125. d&a hummus bistro,783 avis,"Libanaise, Méditerranéenne",€€-€€€
126. Cafe Kuijper,220 avis,"Bar, Café",€
127. Pianeta Terra,410 avis,"Italienne, Méditerranéenne",€€-€€€
128. Singel 101 Restaurant,413 avis,"Européenne, Moderne",€€-€€€
129. Omelegg - City Centre,2 493 avis,"Hollandaise, Café",€
130. Restaurant Flore,793 avis,"Internationale, Européenne",€€€€
131. Van Beeren,380 avis,"Bar, Européenne",€€-€€€
132. Tacos & Tequila,664 avis,"Mexicaine, Latino",€€-€€€
133. Roberto's Restaurant,551 avis,"Italienne, Méditerranéenne",€€€€
134. Ashoka - Kinkerstraat,194 avis,"Indienne, Asiatique",€€-€€€
135. Cocotte,303 avis,"Française, Café",€€-€€€
136. Snob Burger,253 avis,"Bar, Européenne",€€-€€€
137. MOAK Pancakes - WEST (Formerly MOOK),1 123 avis,"Hollandaise, Européenne",€€-€€€
138. Restaurant Mont Blanc,62 avis,"Française, Européenne",€€€€
139. Broodje Bert,868 avis,"Café, Européenne",€
140. Serre,545 avis,"Fruits de mer et poisson, Internationale",€€-€€€
141. Ristorante Italia Oggi,1 090 avis,"Italienne, Pizza",€€-€€€
142. Restaurant Semai,108 avis,"Africaine, Éthiopienne",€€-€€€
143. Wolf Atelier,583 avis,"Hollandaise, Européenne",€€€€
144. JUN Indonesian Cuisine,647 avis,"Asiatique, Indonésienne",€€-€€€
145. Eetcafe Singel 404,671 avis,"Hollandaise, Café",€
146. The Chicken Bar,1 215 avis,"Européenne, Grillades",€€-€€€
147. Restaurant Choux,394 avis,"Hollandaise, Européenne",€€-€€€
148. Onze Zaak Amsterdam,104 avis,"Italienne, Européenne",€€-€€€
149. The White Room,280 avis,"Internationale, Européenne",€€€€
150. Kinnaree Thai Cuisine,620 avis,"Asiatique, Thaï",€€-€€€
151. De Zotte,389 avis,"Belge, Hollandaise",€€-€€€
152. De Reiger,706 avis,"Hollandaise, Bar",€€-€€€
153. The Lobby Nesplein Restaurant & Bar,1 170 avis,Hollandaise,€€-€€€
154. Visaandeschelde,713 avis,"Hollandaise, Fruits de mer et poisson",€€€€
155. Dignita Vondelpark,414 avis,"Hollandaise, Café",€€-€€€
156. Stoop & Stoop Eetcafe,698 avis,"Hollandaise, Bar",€€-€€€
157. Thai Phutakun,663 avis,"Asiatique, Thaï",€€-€€€
158. Eatmosfera Ristorante,1 503 avis,"Italienne, Pizza",€€-€€€
159. Seasons Restaurant,1 627 avis,"Hollandaise, Internationale",€€-€€€
160. Latei,355 avis,"Café, Européenne",€
161. Koh-i-Noor,1 933 avis,"Indienne, Asiatique",€€-€€€
162. Bakers & Roasters,1 730 avis,"Café, Européenne",€€-€€€
163. Restaurant Sinne,343 avis,Européenne,€€€€
164. La Zoccola del Pacioccone Pizzeria,2 302 avis,"Italienne, Pizza",€€-€€€
165. Van Speyk,1 467 avis,"Hollandaise, Européenne",€€-€€€
166. Gollem's Proeflokaal,475 avis,"Belge, Hollandaise",€€-€€€
167. Rakang,552 avis,"Asiatique, Thaï",€€-€€€
168. Jacketz,724 avis,"Hollandaise, Européenne",€
169. Jaspers,216 avis,"Française, Hollandaise",€€€€
170. Mangia Pizza,381 avis,"Italienne, Pizza",€€-€€€
171. Sugo Amsterdam,579 avis,"Italienne, Pizza",€
172. Casa Nostra,636 avis,Italienne,€€-€€€
173. New Season,303 avis,"Asiatique, Cantonaise",€€-€€€
174. Pasta e Basta,1 196 avis,"Italienne, Internationale",€€-€€€
