Titre,Avis,Type,Price
,,,
31. Namaste,700 avis,"Indienne, Asiatique",€€-€€€
32. Fes - Turkish BBQ,393 avis,"Méditerranéenne, Barbecue/Grillades",€€-€€€
33. Maison Umami,329 avis,"Asiatique, Fusion",€€-€€€
34. PeterPaul,274 avis,"Allemande, Européenne",€€-€€€
35. Lorenz Adlon Esszimmer,429 avis,"Française, Européenne",€€€€
36. Taverna Athene,533 avis,"Méditerranéenne, Européenne",€€-€€€
37. Zur Haxe,471 avis,"Allemande, Européenne",€€-€€€
38. Kurpfalz-Weinstuben,646 avis,"Allemande, Européenne",€€-€€€
39. Heising,1 168 avis,"Française, Européenne",€€€€
40. Rotes Kamel,157 avis,"Libanaise, Méditerranéenne",€€-€€€
41. Quy Nguyen Vegan Living,302 avis,"Asiatique, Vietnamienne",€
42. Zsa Zsa Burger,1 167 avis,Américaine,€€-€€€
43. Co Chu,1 073 avis,"Asiatique, Vietnamienne",€€-€€€
44. Dae Mon,402 avis,"Internationale, Moderne",€€€€
45. Yarok Fine Syrian Food from Damascus,693 avis,"Méditerranéenne, Saine",€
46. Upper Burger Grill,1 311 avis,"Américaine, Bar",€€-€€€
47. 1990,284 avis,"Asiatique, Vietnamienne",€€-€€€
48. Stadtsalat,92 avis,"Internationale, Moderne",€€-€€€
49. Belmondo Restaurant,495 avis,"Française, Européenne",€€€€
50. Ushido-Japanese BBQ,439 avis,"Japonaise, Steakhouse",€€-€€€
51. Leibhaftig,272 avis,"Allemande, Bar",€€-€€€
52. La Tia Rica,679 avis,Fruits de mer et poisson,€€-€€€
53. Mabuhay - Indonesian Restaurant,865 avis,"Asiatique, Indonésienne",€
54. La Cantine d'Augusta,247 avis,"Française, Européenne",€€-€€€
55. rembrandt-burger,266 avis,"Américaine, Restauration rapide",€
56. Schnitzelei,1 471 avis,"Allemande, Diner",€€-€€€
57. Umami X-Berg,634 avis,"Asiatique, Vietnamienne",€
58. Die Stulle,428 avis,"Fusion, Saine",€€-€€€
59. Lon Men's,383 avis,"Chinoise, Asiatique",€
60. Restaurant Tim Raue,1 171 avis,"Asiatique, Fusion",€€€€
61. Cao Cao Vietnamesisches Restaurant,770 avis,"Asiatique, Vietnamienne",€€-€€€
62. Monsieur Vuong,3 647 avis,"Asiatique, Vietnamienne",€€-€€€
63. India Club,376 avis,Indienne,€€€€
64. El Colmado (Alexanderplatz),357 avis,"Méditerranéenne, Espagnole",€€-€€€
65. Johnny's Bar,454 avis,"Caraïbes, Cajun & Créole",€
"66. Restaurant ""Wintergarten"" im KaDeWe",405 avis,"Fruits de mer et poisson, Internationale",€€-€€€
67. VOLT,516 avis,"Européenne, Europe centrale",€€€€
68. Restaurant Jolly,1 280 avis,"Chinoise, Asiatique",€€-€€€
69. Dolcini,257 avis,"Italienne, Méditerranéenne",€€-€€€
70. Sissi,791 avis,"Autrichienne, Européenne",€€-€€€
71. PHO - Noodlebar (Mitte),494 avis,"Asiatique, Vietnamienne",€
72. Trattoria La Bruschetta,347 avis,"Italienne, Pizza",€€-€€€
73. Madami - Mom's Vietnamese Kitchen,2 996 avis,"Asiatique, Vietnamienne",€
74. Cocolo Ramen,774 avis,"Japonaise, Asiatique",€€-€€€
75. Don Camillo,394 avis,"Italienne, Méditerranéenne",€€€€
76. Asteria Prenzlauer Berg,609 avis,"Méditerranéenne, Européenne",€€-€€€
77. YOSOY Tapas Bar,1 603 avis,"Bar, Méditerranéenne",€€-€€€
78. Ottenthal Restaurant & Weinhandlung,914 avis,"Allemande, Autrichienne",€€-€€€
79. Kaefer - Dachgarten Restaurant,2 845 avis,"Allemande, Internationale",€€€€
80. Bellucci,522 avis,"Italienne, Pizza",€€-€€€
81. Tiergartenquelle,1 045 avis,"Allemande, Bar",€
82. Treffpunkt Berlin,1 849 avis,"Allemande, Européenne",€€-€€€
83. Mogg,446 avis,Américaine,€€-€€€
84. Saigon - Green,758 avis,"Asiatique, Vietnamienne",€
85. Masteca e Tasi,196 avis,Italienne,€€-€€€
86. Lia's Kitchen 100% Vegan,260 avis,"Restauration rapide, Européenne",€
87. Schnitzelei,723 avis,Allemande,€€-€€€
88. Golvet,228 avis,"Européenne, Moderne",€€€€
89. Restaurant Pasternak,963 avis,"Internationale, Russe",€€-€€€
90. Ristorante Luardi,1 614 avis,"Italienne, Pizza",€€-€€€
91. Oderquelle,372 avis,"Allemande, Internationale",€€-€€€
92. Restaurant Marjellchen,2 820 avis,Allemande,€€-€€€
93. Ristorante Cinque,263 avis,"Italienne, Méditerranéenne",€€-€€€
94. Vino & Basilico,808 avis,"Italienne, Méditerranéenne",€€-€€€
95. Sucre et Sel,1 123 avis,"Française, Européenne",€€-€€€
96. Night Kitchen Berlin,303 avis,"Méditerranéenne, Européenne",€€-€€€
97. Supreme Burger Grill & Bar,975 avis,"Américaine, Bar",€€-€€€
98. New Day Vietnam Heritage Food,271 avis,"Asiatique, Vietnamienne",€
99. Cookies Cream,1 229 avis,"Européenne, Moderne",€€€€
100. Zum Patzenhofer,469 avis,"Allemande, Bar",€€-€€€
101. Dada Falafel,893 avis,"Libanaise, Méditerranéenne",€
102. Casalot Restaurant,314 avis,"Méditerranéenne, Barbecue/Grillades",€€-€€€
103. Bistro Ribelle,96 avis,"Italienne, Méditerranéenne",€€-€€€
104. Ristorante Vesuvio Trattoria,377 avis,"Italienne, Pizza",€€-€€€
105. Curry61,1 435 avis,"Allemande, Restauration rapide",€
106. Gasthaus Krombach,1 684 avis,Allemande,€€-€€€
107. Zur Gerichtslaube,1 790 avis,"Allemande, Européenne",€€-€€€
108. Zum Schusterjungen,562 avis,"Allemande, Européenne",€
109. Ristorante Essenza,1 054 avis,Italienne,€€€€
110. Salami Social Club,250 avis,"Italienne, Pizza",€
111. Sticks'n'Sushi,413 avis,"Japonaise, Fruits de mer et poisson",€€-€€€
112. Delhi 6,631 avis,"Indienne, Asiatique",€€-€€€
113. Sadhu,339 avis,"Indienne, Bar",€€-€€€
114. NU Restaurant,464 avis,"Asiatique, Bars-restaurants",€€-€€€
115. Lokal,757 avis,"Allemande, Européenne",€€-€€€
116. Bamboo Leaf,111 avis,"Japonaise, Sushi",€€-€€€
117. Steel Vintage Bikes Café & Kitchen,709 avis,"Internationale, Fusion",€€-€€€
118. Ristorante-Arlecchino,590 avis,"Italienne, Pizza",€€-€€€
119. Evin Pizza Pasta,361 avis,"Italienne, Pizza",€
120. Hugos,333 avis,"Européenne, Europe centrale",€€€€
121. Rutz Restaurant - Weinbar,723 avis,"Allemande, Européenne",€€€€
122. Steakhouse ASADOR,2 073 avis,"Steakhouse, Barbecue/Grillades",€€-€€€
123. Trattoria La Cenetta,167 avis,"Italienne, Pizza",€€-€€€
124. Nuovo Mario,651 avis,"Italienne, Méditerranéenne",€€-€€€
125. Soy,438 avis,"Asiatique, Thaï",€€-€€€
126. Cocolo Ramen X-Berg,367 avis,"Japonaise, Soupes",€€-€€€
127. Lieu in Berlin,490 avis,"Asiatique, Vietnamienne",€€-€€€
128. ZEN Restaurant,674 avis,"Sushi, Asiatique",€€-€€€
129. Pantry,721 avis,"Moderne, Fusion",€€-€€€
130. Kopps,614 avis,Saine,€€-€€€
131. KaDeWe Feinschmeckerbars,1 847 avis,"Française, Allemande",€€-€€€
132. Ristorante II Sorriso,622 avis,"Italienne, Méditerranéenne",€€€€
133. Die Gute Stube,148 avis,Allemande,€
134. Joseph Roth Diele,625 avis,"Allemande, Européenne",€
135. Charlotte & Fritz,721 avis,Européenne,€€€€
136. Gaffel Haus Berlin - Das Kölsche Konsulat,654 avis,"Allemande, Bar à bières",€€-€€€
137. Fit & Green By Adriana,90 avis,"Internationale, Grillades",€€-€€€
138. Villa Rodizio,1 481 avis,"Brésilienne, Grillades",€€-€€€
139. Entrecote,1 133 avis,"Française, Européenne",€€€€
140. Rotisserie Weingrün,1 147 avis,"Allemande, Européenne",€€-€€€
141. House of Small Wonder,962 avis,"Café, Saine",€€-€€€
142. BLOCK HOUSE Friedrichstraße,1 864 avis,"Américaine, Steakhouse",€€-€€€
143. Best Curry,161 avis,"Allemande, Restauration rapide",€
144. Dicke Wirtin,2 990 avis,"Allemande, Bar",€€-€€€
145. Boulevard Friedrichstrasse,983 avis,"Allemande, Diner",€€-€€€
146. Arema Restaurant & Cafe,368 avis,Allemande,€€-€€€
147. Royals & Rice Berlin,301 avis,"Japonaise, Sushi",€€-€€€
148. Xantener Eck,570 avis,"Allemande, Bar",€€-€€€
