Titre,Avis,Type,Price
31. O Corrido - Casa de Fado,238 avis,"Saine, Portugaise",€€-€€€
32. Casa Tradição,142 avis,"Méditerranéenne, Saine",€€-€€€
33. Restaurante Gilson,293 avis,"Européenne, Saine",€€-€€€
34. Olá Nepal -Marquês de Pombal,2 481 avis,"Indienne, Asiatique",€€-€€€
35. M'arrecreo Pizzeria,1 345 avis,"Italienne, Pizza",€€-€€€
36. Delhi Darbar São Francisco,103 avis,Indienne,€€-€€€
37. Lisboa Tu & Eu 2,1 537 avis,"Méditerranéenne, Portugaise",€€-€€€
38. Downunder by Justin Jennings,601 avis,"Internationale, Fusion",€€-€€€
39. Zenith Brunch & Cocktails - Lisboa,3 309 avis,"Américaine, Café",€€-€€€
40. Nova Wine Bar,515 avis,"Méditerranéenne, Portugaise",€€-€€€
41. Delicia de arroios,397 avis,"Méditerranéenne, Européenne",€
42. Instant Crunch,123 avis,"Française, Méditerranéenne",€€-€€€
43. Há Tapas no Mercado!!!,1 044 avis,"Méditerranéenne, Européenne",€
44. A Nossa Casa,1 243 avis,"Brésilienne, Portugaise",€€-€€€
45. Legumi Sushi Vegan,172 avis,"Japonaise, Internationale",€€-€€€
46. Pizzeria Romana Bio,693 avis,"Italienne, Pizza",€
47. Yak and Yeti Restaurant,985 avis,"Indienne, Népalaise",€
48. Swaagat The Taste of India,377 avis,"Indienne, Asiatique",€€-€€€
49. Kong - Food Made With Compassion,133 avis,Saine,€€-€€€
50. A Quinta,243 avis,"Européenne, Portugaise",€€-€€€
51. Royal Spice,880 avis,"Indienne, Asiatique",€€-€€€
52. Oven Lisboa,130 avis,"Indienne, Asiatique",€€-€€€
53. Lucimar,780 avis,"Saine, Portugaise",€
54. Lídia Restaurante & Bar,526 avis,"Méditerranéenne, Européenne",€€-€€€
55. Organi Chiado,977 avis,"Méditerranéenne, Saine",€€-€€€
56. Mercearia do Seculo,567 avis,"Méditerranéenne, Européenne",€€-€€€
57. Alcantara 50,238 avis,"Méditerranéenne, Européenne",€€-€€€
58. L'Origine by Chakall,324 avis,"Italienne, Pizza",€€-€€€
59. Restaurante Solar dos Bicos,1 793 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
60. Forno d'Oro,2 105 avis,"Italienne, Pizza",€€-€€€
61. A Avó Tinha Arroios,1 038 avis,"Méditerranéenne, Européenne",€€-€€€
62. Scoop 'n Dough,319 avis,"Desserts, Américaine",€€-€€€
63. Zazah,825 avis,"Internationale, Méditerranéenne",€€-€€€
64. Antiga Wine Bar,185 avis,"Fusion, Bar à vins",€€-€€€
65. O Vinhaca Tapas & Vinhos,504 avis,"Méditerranéenne, Européenne",€€-€€€
66. Bistrô Gato Pardo,1 159 avis,"Méditerranéenne, Européenne",€€-€€€
67. Em Alta Na Baixa,1 732 avis,"Internationale, Méditerranéenne",€€-€€€
68. A Cultura do Hambúrguer,3 118 avis,"Américaine, Bar",€
69. Restaurante Solar do Duque,1 262 avis,"Méditerranéenne, Européenne",€€-€€€
70. BacoAlto,278 avis,"Portugaise, Bar à vins",€
71. Lisbon Winery,723 avis,"Portugaise, Bar à vins",€€-€€€
72. Mae Restaurante,425 avis,"Méditerranéenne, Moderne",€€-€€€
