Titre,Avis,Type,Price
31. Hibox,277 avis,"Libanaise, Restauration rapide",€
32. Chamuyo Bayswater,76 avis,"Steakhouse, Latino",€€-€€€
33. The Grill Stratford,211 avis,"Steakhouse, Barbecue/Grillades",€€-€€€
34. Amrutha - Earlsfield,789 avis,"Indienne, Asiatique",€€-€€€
35. Leicester Square Kitchen,2 079 avis,"Mexicaine, Péruvienne",€€€€
36. No5 Dining & Lounge,1 081 avis,"Bar, Méditerranéenne",€€-€€€
37. Uzumaki London,264 avis,"Japonaise, Asiatique",€€-€€€
38. Spasso,311 avis,"Italienne, Méditerranéenne",€€-€€€
39. Double J's Cafe,220 avis,"Café, Européenne",€
40. Indian Lounge,3 628 avis,"Indienne, Asiatique",€€-€€€
41. The Clink Restaurant,1 141 avis,"Européenne, Britannique",€€-€€€
42. Sky Pod Bar,2 113 avis,"Bar, Britannique",€€-€€€
43. Spice Station,392 avis,"Indienne, Asiatique",€€-€€€
44. Awesome Thai #Finchley,112 avis,"Asiatique, Thaï",€€-€€€
45. The Lounge Cafe,249 avis,Britannique,€
46. The Four Lanterns,406 avis,"Méditerranéenne, Grecque",€€-€€€
47. Ô Gourmet Libanais,142 avis,"Libanaise, Méditerranéenne",€€-€€€
48. Latitude Wimbledon,176 avis,"Internationale, Européenne",€€-€€€
49. Dobar,408 avis,"Café, Européenne",€€-€€€
50. Cafe Parisienne,378 avis,"Café, Internationale",€
51. May Fair Kitchen,1 100 avis,Japonaise,€€€€
52. Anilo's Kitchen,102 avis,"Méditerranéenne, Turque",€€-€€€
53. Gouqi London,230 avis,"Chinoise, Asiatique",€€€€
54. Taste Of Jaipur,180 avis,"Indienne, Bar",€€-€€€
55. Iznik,419 avis,"Méditerranéenne, Turque",€€-€€€
56. Standard Balti House - No.1 on Bricklane,879 avis,"Indienne, Asiatique",€€-€€€
57. The Park Room,1 009 avis,"Internationale, Britannique",€€€€
58. ITJL Restaurants,339 avis,Saine,€
59. Hard Rock Cafe London Picadilly Circus,3 432 avis,"Américaine, Britannique",€€-€€€
60. Manuel's Restaurant and Bar,492 avis,"Italienne, Fruits de mer et poisson",€€-€€€
61. Chop Chop,117 avis,"Chinoise, Asiatique",€€-€€€
62. The Hampshire,207 avis,Indienne,€€-€€€
63. Th@51,238 avis,"Bar, Internationale",€€€€
64. Room 43 Bar & Kitchen,170 avis,"Bar, Méditerranéenne",€€-€€€
