Titre,Avis,Type,Price
31. The Frog at Bercy Village,2 181 avis,Pub,€€-€€€
32. Alliance,537 avis,"Française, Saine",€€€€
33. Pizza Du Chef,695 avis,"Italienne, Française",€€-€€€
34. La Maison Du Boulevard,84 avis,Française,€€-€€€
35. Pizzamore Paris,639 avis,"Italienne, Pizza",€€€€
36. Verse toujours,297 avis,"Française, Bar",€€-€€€
37. Domenico's,952 avis,"Italienne, Méditerranéenne",€€-€€€
38. Comptoir Gourmet,1 034 avis,"Italienne, Napolitaine",€€-€€€
39. Mâche,94 avis,"Française, Saine",€€€€
40. Bistro Chez Pradel,161 avis,"Française, Saine",€€-€€€
41. Bus Toqué,820 avis,"Française, Européenne",€€€€
42. Nectar,145 avis,"Française, Bar",€€-€€€
43. Il Tronchetto,713 avis,"Italienne, Pizza",€€-€€€
44. Terra Mia,615 avis,"Italienne, Méditerranéenne",€€-€€€
45. Via Emilia,474 avis,"Italienne, Méditerranéenne",€€-€€€
46. Perception,155 avis,"Française, Fusion",€€€€
47. Poni,523 avis,"Française, Européenne",€€-€€€
48. Azur Café,233 avis,"Française, Café",€€-€€€
49. Granite,145 avis,Française,€€€€
50. Le Village Russe,816 avis,"Française, Caraïbes",€€-€€€
51. Gosier,213 avis,"Française, Saine",€€-€€€
52. Mây Bay,235 avis,"Asiatique, Vietnamienne",€€-€€€
53. Can Alegria Paris,1 251 avis,"Française, Méditerranéenne",€€-€€€
54. JJ Beaumarchais,283 avis,"Française, Européenne",€€-€€€
55. Chez Arnaud,1 600 avis,"Italienne, Française",€
56. Crêperie du Landy,231 avis,Française,€
57. Pardi,154 avis,"Française, Européenne",€€-€€€
58. Milord,137 avis,"Française, Saine",€€-€€€
59. La Table de Colette,1 075 avis,"Française, Européenne",€€€€
60. AlKaram,863 avis,"Libanaise, Méditerranéenne",€€-€€€
61. Chez Cleopatre,649 avis,"Turque, Cuisine de rue (street food)",€
62. Issa Paris,121 avis,"Japonaise, Asiatique",€€-€€€
63. Les Bariolés de Maud,1 150 avis,Française,€€-€€€
64. Ristorante Garum,155 avis,"Italienne, Méditerranéenne",€€-€€€
65. TATA Burger,1 513 avis,Américaine,€
66. Il Grano,1 620 avis,"Italienne, Pizza",€€-€€€
67. Le 27 Gourmand,292 avis,Française,€€-€€€
68. Le vent d'Armor,428 avis,"Française, Fruits de mer et poisson",€€-€€€
69. Diggity,175 avis,"Française, Européenne",€€-€€€
70. Passione,144 avis,Française,€€€€
71. Le Confidentiel,1 768 avis,"Française, Européenne",€€€€
72. Frog & Underground,1 126 avis,"Américaine, Bar à bières",€€-€€€
73. La Grange Aux Canards,830 avis,Française,€€-€€€
74. Midi 12,1 115 avis,"Française, Européenne",€
75. L'Atelier Ramey,650 avis,"Française, Européenne",€€-€€€
76. Maison Cluny,215 avis,"Française, Saine",€€€€
77. Origines,281 avis,"Française, Européenne",€€€€
78. Ya Bayte,237 avis,"Libanaise, Méditerranéenne",€
79. La Sorbonne,150 avis,"Française, Marocaine",€€-€€€
80. Le Faham by Kelly Rangama,151 avis,"Française, Cajun & Créole",€€€€
81. Didon.,298 avis,"Française, Méditerranéenne",€€€€
82. Marche Ou Crêpe,370 avis,"Française, Européenne",€
83. Le Bistrot d'Yves,697 avis,"Française, Européenne",€€-€€€
84. Le Petit Pont,947 avis,"Française, Européenne",€€-€€€
85. Madito,341 avis,"Libanaise, Méditerranéenne",€€-€€€
86. Zincou Vins & Tapas,108 avis,"Française, Européenne",€€-€€€
87. Akira Back Paris,175 avis,"Japonaise, Saine",€€€€
88. Côté Sushi Enghien-les-Bains,109 avis,"Japonaise, Asiatique",€€-€€€
89. Selva,348 avis,"Péruvienne, Saine",Menu
90. Signature Montmartre,494 avis,"Française, Européenne",€€-€€€
91. Restaurant L'INITIAL,514 avis,"Française, Européenne",€€€€
92. La Bonne Franquette,1 134 avis,"Française, Européenne",€€-€€€
93. MoSuke,324 avis,"Française, Japonaise",€€€€
94. LES EPICIERS,293 avis,"Européenne, Bar à vins",€€-€€€
95. Pianovins,212 avis,"Française, Saine",€€€€
96. L'Orangerie - Four Seasons Hotel George V,355 avis,"Française, Européenne",€€€€
97. Le Bistrot de Madeleine,185 avis,"Française, Moderne",€€-€€€
98. La MiN,661 avis,"Française, Internationale",€€-€€€
99. Le jardin du Kashmir,626 avis,"Indienne, Pakistanaise",€€-€€€
100. La Barrière de Clichy,466 avis,"Française, Européenne",€€€€
101. Le Maxan Restaurant,319 avis,"Française, Européenne",€€€€
102. Wine Therapy Bar à Vins,358 avis,"Française, Européenne",€€-€€€
103. Epicure,2 926 avis,"Française, Européenne",€€€€
104. Restaurant Mumi,416 avis,"Française, Européenne",€€€€
105. Aux Enfants Gates,619 avis,"Française, Européenne",€€-€€€
106. Bistrot Beyrouth,259 avis,"Libanaise, Internationale",€€-€€€
107. L'Archeste,257 avis,"Française, Européenne",€€€€
108. L'Empreinte,437 avis,"Française, Européenne",€€-€€€
109. Contraste,237 avis,"Française, Saine",€€€€
110. Gegeor,265 avis,"Française, Européenne",€€-€€€
111. Papa Mia,273 avis,"Italienne, Pizza",€€-€€€
112. Cook' n Saj,745 avis,Méditerranéenne,€
113. AMORE E FANTASIA,281 avis,"Italienne, Pizza",€€-€€€
114. Savannah Cafe,660 avis,"Libanaise, Méditerranéenne",€€-€€€
115. Restaurant H,534 avis,"Française, Européenne",€€€€
"116. L'Entente, Le British Brasserie",500 avis,"Britannique, Saine",€€-€€€
117. La Veraison,724 avis,"Française, Fusion",€€-€€€
118. Le Perraudin,324 avis,"Française, Saine",€€-€€€
119. Bar Italia Brasserie,1 266 avis,"Italienne, Méditerranéenne",€€-€€€
120. Jimmy 2 Fois,472 avis,"Italienne, Pizza",€€-€€€
121. Publisher - Restaurant,321 avis,"Française, Américaine",€€-€€€
122. XV Burger,185 avis,"Américaine, Restauration rapide",€
123. Chez Pitou,262 avis,"Française, Européenne",€€-€€€
124. Karavaki Au Jardin Du Luxembourg,251 avis,"Méditerranéenne, Grecque",€
125. L'Arcane,388 avis,"Française, Européenne",€€€€
126. Le Reciproque,372 avis,"Française, Européenne",€€-€€€
127. L'Oliveto,1 503 avis,"Italienne, Méditerranéenne",€€-€€€
128. 1000 & 1 Signes,191 avis,"Marocaine, Moyen-Orient",€€-€€€
129. Joyti Restaurant,582 avis,Indienne,€€-€€€
130. Restaurant eels,462 avis,"Française, Européenne",€€€€
131. Grains Nobles et Plus,520 avis,"Française, Européenne",€€-€€€
132. Terronia,161 avis,"Italienne, Méditerranéenne",€€-€€€
133. Le Sergent Recruteur,170 avis,"Française, Européenne",€€€€
134. Desvouges,361 avis,Brasserie gastronomique,€€-€€€
135. Le Gabriel,722 avis,"Française, Européenne",€€€€
136. Oinari,158 avis,"Japonaise, Saine",€€-€€€
137. Le Cherine,431 avis,"Libanaise, Méditerranéenne",€€-€€€
138. Restaurant Biscotte,243 avis,Française,€€-€€€
139. Frog & Rosbif,656 avis,"Bar à bières, Bar",€€-€€€
