Titre,Avis,Type,Price
 Pesca,2 136 avis,Fruits de mer et poisson,€€-€€€
 Restaurant Adam,613 avis,"Européenne, Saine",€€€€
 MOS Amsterdam,597 avis,"Française, Fruits de mer et poisson",€€€€
 PIQNIQ,1 895 avis,"Hollandaise, Café",€€-€€€
 De Royal Chophouse,538 avis,"Steakhouse, Internationale",€€-€€€
 Ciel Bleu Restaurant,1 159 avis,"Internationale, Moderne",€€€€
 Ashoka - Amsterdam Centrum,1 633 avis,"Indienne, Saine",€€-€€€
 Mortimer Amsterdam,545 avis,"Hollandaise, Café",€€-€€€
 Sizz - Indian Cuisine,224 avis,"Indienne, Asiatique",€€-€€€
 Bhatti Pasal,1 120 avis,"Asiatique, Saine",€€-€€€
 Spectrum,483 avis,"Hollandaise, Internationale",€€€€
 Restaurant Olijfje,1 028 avis,"Méditerranéenne, Européenne",€€-€€€
 Nader Grill Steakhouse,849 avis,"Steakhouse, Barbecue/Grillades",€€-€€€
 Restaurant Oh!,187 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€
 Brasserie SenT,971 avis,"Française, Steakhouse",€€-€€€
 Cafe Sonneveld,3 123 avis,"Hollandaise, Bar",€€-€€€
 Staring at Jacob,718 avis,"Américaine, Café",€€-€€€
 Rob Wigboldus Vishandel,843 avis,"Hollandaise, Fruits de mer et poisson",€
 The Good Companion,343 avis,"Bar, Fruits de mer et poisson",€€-€€€
 De Deli Plantagebuurt,374 avis,"Hollandaise, Bar",€€-€€€
 De Margaritabar,105 avis,"Mexicaine, Latino",€€-€€€
 Sorel's Bar & Lounge,273 avis,"Bar, Européenne",€€-€€€
 The Seafood Bar,901 avis,"Fruits de mer et poisson, Européenne",€€-€€€
 Bridges,1 494 avis,"Française, Fruits de mer et poisson",€€€€
 The Happy Bull,740 avis,"Américaine, Bar",€€-€€€
 Dope,293 avis,"Italienne, Pizza",€€-€€€
 Heart-Garden Waffles & Coffee,283 avis,"Hollandaise, Café",€€-€€€
 Ava Cyril,1 395 avis,"Italienne, Steakhouse",€€-€€€
 Villa Maria Steakhouse,932 avis,"Steakhouse, Latino",€€-€€€
 Restaurant Argentino Luna,1 234 avis,"Steakhouse, Latino",€€-€€€
 Krua Thai Classic Restaurant,953 avis,"Asiatique, Thaï",€€-€€€
 Sir Hummus,266 avis,"Saine, Moyen-Orient",€
 Restaurant Vinkeles,724 avis,"Française, Internationale",€€€€
 Elkaar,341 avis,"Française, Hollandaise",€€-€€€
 De Kas,2 107 avis,"Hollandaise, Européenne",€€€€
 Pastai,435 avis,"Italienne, Méditerranéenne",€€-€€€
 Meat&Greek,422 avis,"Restauration rapide, Méditerranéenne",€
 Restaurant Verena,342 avis,"Italienne, Pizza",€€-€€€
 Castell Bites & Steaks,197 avis,"Hollandaise, Européenne",€€-€€€
 Le Due Sicilie,218 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Cuddle,875 avis,"Bar, Internationale",€
 Greenwoods Singel,3 285 avis,"Café, Européenne",€€-€€€
 Restaurant Floreyn,324 avis,"Hollandaise, Européenne",€€-€€€
 Aan De Poel,508 avis,"Française, Hollandaise",€€€€
 Biercafe Gollem,732 avis,"Bar, Pub",€€-€€€
 Mankind,226 avis,"Hollandaise, Bar",€
 Truffle Boutique,135 avis,Européenne,€€-€€€
 Arendsnest Dutch Beer Bar,908 avis,"Hollandaise, Bar",€€-€€€
 The Cottage,162 avis,"Bar, Européenne",€€-€€€
 Grand Cafe 1884,533 avis,"Hollandaise, Européenne",€€-€€€
 Mr. Meat Steakhouse,253 avis,"Steakhouse, Barbecue/Grillades",€€-€€€
 The Seafood Bar,3 116 avis,"Fruits de mer et poisson, Européenne",€€-€€€
 Mister Meatball,469 avis,Hollandaise,€
 Palmyra Syrian Restaurant,405 avis,"Libanaise, Moyen-Orient",€€-€€€
 Mount Everest Tandoori,472 avis,"Indienne, Asiatique",€€-€€€
 The Seafood Bar,7 315 avis,"Fruits de mer et poisson, Européenne",€€-€€€
 Bakers & Roasters,658 avis,"Café, Européenne",€€-€€€
 Dal Pagliaccio,396 avis,"Italienne, Européenne",€€-€€€
 De Struisvogel,717 avis,"Française, Hollandaise",€€-€€€
 Frank's Smoke House,249 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€
 Box Sociaal,343 avis,"Café, Européenne",€€-€€€
 Meneer De Wit Heeft Honger,342 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
 Omelegg - De Pijp,2 063 avis,"Hollandaise, Café",€
 Pancho's Cantina,429 avis,"Mexicaine, Cajun & Créole",€€-€€€
 The Burger Room,766 avis,"Américaine, Bar",€€-€€€
 Gollem Craft Beers,262 avis,"Bar, Pub",€€-€€€
 Greenwoods Keizersgracht,2 126 avis,"Café, Européenne",€€-€€€
 John Dory Seafood restaurant,304 avis,"Hollandaise, Fruits de mer et poisson",€€€€
 Toastable Nieuwendijk,640 avis,"Café, Européenne",€
 De Bekeerde Suster,627 avis,"Hollandaise, Bar",€€-€€€
 Tales And Spirits,996 avis,"Bar, Internationale",€€-€€€
 Louis Bar,358 avis,Hollandaise,€
 Restaurant Johannes,1 352 avis,"Française, Internationale",€€€€
 Frens Haringhandel,638 avis,"Hollandaise, Fruits de mer et poisson",€
 Blue Pepper Restaurant And Candlelight Cruises,1 028 avis,"Asiatique, Indonésienne",€€€€
 Ivy & Bros,1 106 avis,Saine,€
 Bussia,1 225 avis,"Italienne, Européenne",€€€€
 Sefa Grill Restaurant,358 avis,"Turque, Grillades",€
 Trattoria Buoni Amici,407 avis,"Italienne, Méditerranéenne",€€-€€€
 Yamazato Restaurant,1 625 avis,"Japonaise, Sushi",€€€€
 Toastable Koningsplein,1 101 avis,Européenne,€
 Hap-Hmm,795 avis,"Hollandaise, Européenne",€
 van Kerkwijk,2 627 avis,"Hollandaise, Européenne",€€-€€€
 Taj Indian,1 734 avis,"Indienne, Asiatique",€€-€€€
 Tasty Asia,300 avis,"Chinoise, Asiatique",€
 Jottum,280 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
 Il Vecchio Pacioccone,325 avis,"Italienne, Méditerranéenne",€€-€€€
 Il Sogno Amsterdam,381 avis,"Italienne, Pizza",€
 Shah-jahan,308 avis,"Indienne, Asiatique",€€-€€€
 MAX Amsterdam,2 467 avis,Indonésienne,€€-€€€
 La Maschera Lillotatini,670 avis,"Italienne, Méditerranéenne",€€-€€€
 Restaurant GUTS,713 avis,"Internationale, Européenne",€€-€€€
 Coffeeshop Happy Feelings,157 avis,,
" DenC, Dik en Cunningham",237 avis,Française,€€-€€€
 d&a hummus bistro,783 avis,"Libanaise, Méditerranéenne",€€-€€€
 Cafe Kuijper,220 avis,"Bar, Café",€
 Pianeta Terra,410 avis,"Italienne, Méditerranéenne",€€-€€€
 Singel 101 Restaurant,413 avis,"Européenne, Moderne",€€-€€€
 Omelegg - City Centre,2 493 avis,"Hollandaise, Café",€
 Restaurant Flore,793 avis,"Internationale, Européenne",€€€€
 Van Beeren,380 avis,"Bar, Européenne",€€-€€€
 Tacos & Tequila,664 avis,"Mexicaine, Latino",€€-€€€
 Roberto's Restaurant,551 avis,"Italienne, Méditerranéenne",€€€€
 Ashoka - Kinkerstraat,194 avis,"Indienne, Asiatique",€€-€€€
 Cocotte,303 avis,"Française, Café",€€-€€€
 Snob Burger,253 avis,"Bar, Européenne",€€-€€€
