Name,Link,Type,Address
Mustafas Gemüse Kebap,https://www.yelp.com/biz/mustafas-gem%C3%BCse-kebap-berlin-3?osq=restaurant,Food Stands - Kebab,Mehringdamm 32 10961 Berlin Germany
Curry 36,https://www.yelp.com/biz/curry-36-berlin?osq=restaurant,Food Stands - Curry Sausage,Mehringdamm 36 10961 Berlin Germany
Burgermeister,https://www.yelp.com/biz/burgermeister-berlin?osq=restaurant,Fast Food - Burgers,Oberbaumstr. 8 10997 Berlin Germany
The Bird,https://www.yelp.com/biz/the-bird-berlin?osq=restaurant,Burgers - Steakhouses,Am Falkplatz 5 10437 Berlin Germany
Monsieur Vuong,https://www.yelp.com/biz/monsieur-vuong-berlin?osq=restaurant,"('Monsieur Vuong', 'https://www.yelp.com/biz/monsieur-vuong-berlin?osq=restaurant', 'Vietnamese')",Alte Schönhauser Str. 46 10119 Berlin Germany
Dolores,https://www.yelp.com/biz/dolores-berlin?osq=restaurant,"('Dolores', 'https://www.yelp.com/biz/dolores-berlin?osq=restaurant', 'Mexican')",Rosa-Luxemburg-Str. 7 10178 Berlin Germany
Burgeramt,https://www.yelp.com/biz/burgeramt-berlin-2?osq=restaurant,Burgers - Fast Food,Krossener Str. 21 - 22 10245 Berlin Germany
Konnopke’s Imbiß,https://www.yelp.com/biz/konnopkes-imbi%C3%9F-berlin-4?osq=restaurant,Food Stands - Curry Sausage,Schönhauser Allee 44 a 10435 Berlin Germany
Café Anna Blume,https://www.yelp.com/biz/caf%C3%A9-anna-blume-berlin-3?osq=restaurant,Breakfast & Brunch - Cafes,No address
I Due Forni,https://www.yelp.com/biz/i-due-forni-berlin?osq=restaurant,Italian - Pizza,Schönhauser Allee 12 10119 Berlin Germany
Schwarzes Café,https://www.yelp.com/biz/schwarzes-caf%C3%A9-berlin-2?osq=restaurant,Breakfast & Brunch - Cafes,Kantstr. 148 10623 Berlin Germany
BBI Berlinburger International,https://www.yelp.com/biz/bbi-berlinburger-international-berlin?osq=restaurant,"('BBI Berlinburger International', 'https://www.yelp.com/biz/bbi-berlinburger-international-berlin?osq=restaurant', 'Burgers')",Pannierstr. 5 12047 Berlin Germany
Rausch Schokoladenhaus,https://www.yelp.com/biz/rausch-schokoladenhaus-berlin-2?osq=restaurant,Chocolatiers & Shops - Cafes,Charlottenstr. 60 10117 Berlin Germany
Café am Neuen See,https://www.yelp.com/biz/caf%C3%A9-am-neuen-see-berlin-4?osq=restaurant,Pizza - German,Lichtensteinallee 2 10787 Berlin Germany
Hofbräu Berlin,https://www.yelp.com/biz/hofbr%C3%A4u-berlin-berlin?osq=restaurant,Bavarian - Beer Garden,Karl-Liebknecht-Str. 30 10178 Berlin Germany
Shiso Burger,https://www.yelp.com/biz/shiso-burger-berlin?osq=restaurant,"('Shiso Burger', 'https://www.yelp.com/biz/shiso-burger-berlin?osq=restaurant', 'Burgers')",Auguststr. 29 c 10119 Berlin Germany
Kimchi Princess,https://www.yelp.com/biz/kimchi-princess-berlin?osq=restaurant,"('Kimchi Princess', 'https://www.yelp.com/biz/kimchi-princess-berlin?osq=restaurant', 'Korean')",Skalitzer Str. 36 10999 Berlin Germany
Cocolo Ramen,https://www.yelp.com/biz/cocolo-ramen-berlin?osq=restaurant,"('Cocolo Ramen', 'https://www.yelp.com/biz/cocolo-ramen-berlin?osq=restaurant', 'Ramen')",Gipsstr. 3 10119 Berlin Germany
Augustiner am Gendarmenmarkt,https://www.yelp.com/biz/augustiner-am-gendarmenmarkt-berlin-2?osq=restaurant,"('Augustiner am Gendarmenmarkt', 'https://www.yelp.com/biz/augustiner-am-gendarmenmarkt-berlin-2?osq=restaurant', 'German')",Charlottenstr. 55 10117 Berlin Germany
Prater Garten,https://www.yelp.com/biz/prater-garten-berlin?osq=restaurant,German - Beer Garden,Kastanienallee 7 - 9 10435 Berlin Germany
Transit,https://www.yelp.com/biz/transit-berlin?osq=restaurant,Indonesian - Thai,Rosenthaler Str. 68 10119 Berlin Germany
MarienBurgerie,https://www.yelp.com/biz/marienburgerie-berlin?osq=restaurant,"('MarienBurgerie', 'https://www.yelp.com/biz/marienburgerie-berlin?osq=restaurant', 'Burgers')",Marienburger Str. 47 10405 Berlin Germany
Schnitzelei,https://www.yelp.com/biz/schnitzelei-berlin-3?osq=restaurant,"('Schnitzelei', 'https://www.yelp.com/biz/schnitzelei-berlin-3?osq=restaurant', 'Schnitzel')",Röntgenstr. 7 b 10587 Berlin Germany
Yam Yam,https://www.yelp.com/biz/yam-yam-berlin-2?osq=restaurant,"('Yam Yam', 'https://www.yelp.com/biz/yam-yam-berlin-2?osq=restaurant', 'Korean')",Alte Schönhauser Str. 6 10119 Berlin Germany
Vapiano,https://www.yelp.com/biz/vapiano-berlin?osq=restaurant,Italian - Cafeteria,Potsdamer Platz 5 10785 Berlin Germany
FACTORY GIRL,https://www.yelp.com/biz/factory-girl-berlin-2?osq=restaurant,Breakfast & Brunch - Cafes,Auguststr. 29 C 10119 Berlin Germany
DUDU,https://www.yelp.com/biz/dudu-berlin?osq=restaurant,Sushi Bars - Vietnamese,Torstr. 134 10119 Berlin Germany
Il Casolare,https://www.yelp.com/biz/il-casolare-berlin?osq=restaurant,Pizza - Italian,Grimmstr. 30 10967 Berlin Germany
Il Ritrovo-Cucina Casalinga Popolare,https://www.yelp.com/biz/il-ritrovo-cucina-casalinga-popolare-berlin?osq=restaurant,"('Il Ritrovo-Cucina Casalinga Popolare', 'https://www.yelp.com/biz/il-ritrovo-cucina-casalinga-popolare-berlin?osq=restaurant', 'Italian')",Gabriel-Max-Str. 2 10245 Berlin Germany
12 Apostoli,https://www.yelp.com/biz/12-apostoli-berlin?osq=restaurant,Pizza - Italian,Bleibtreustr. 49 10623 Berlin Germany
solar,https://www.yelp.com/biz/solar-berlin-3?osq=restaurant,Bars - Modern European,Stresemannstr. 76 Innenhof 10963 Berlin Germany
Dada Falafel,https://www.yelp.com/biz/dada-falafel-berlin?osq=restaurant,Middle Eastern - Falafel,Linienstr. 132 10115 Berlin Germany
Borchardt,https://www.yelp.com/biz/borchardt-berlin?osq=restaurant,French - German,Französische Str. 47 10117 Berlin Germany
Barcomi’s Deli,https://www.yelp.com/biz/barcomis-deli-berlin?osq=restaurant,"('Barcomi’s Deli', 'https://www.yelp.com/biz/barcomis-deli-berlin?osq=restaurant', 'Cafes')",Sophienstr. 21 2. Hof Sophie-Gips-Höfe 10178 Berlin Germany
St. Oberholz,https://www.yelp.com/biz/st-oberholz-berlin-3?osq=restaurant,Bars - Cafes,Rosenthaler Str. 72 a 10119 Berlin Germany
Grill Royal,https://www.yelp.com/biz/grill-royal-berlin?osq=restaurant,Steakhouses - Wine Bars,Friedrichstr. 105 b 10117 Berlin Germany
Sasaya,https://www.yelp.com/biz/sasaya-berlin?osq=restaurant,Japanese - Sushi Bars,Lychener Str. 50 10437 Berlin Germany
Trattoria del Corso,https://www.yelp.com/biz/trattoria-del-corso-berlin?osq=restaurant,"('Trattoria del Corso', 'https://www.yelp.com/biz/trattoria-del-corso-berlin?osq=restaurant', 'Italian')",Hauptstr. 70 12159 Berlin Germany
Café Bilderbuch,https://www.yelp.com/biz/caf%C3%A9-bilderbuch-berlin-2?osq=restaurant,Breakfast & Brunch - Cafes,Akazienstr. 28 10823 Berlin Germany
Villa Rodizio,https://www.yelp.com/biz/villa-rodizio-berlin?osq=restaurant,Brazilian - Mexican,Milastr. 2 10437 Berlin Germany
Papà Pane di Sorrento,https://www.yelp.com/biz/pap%C3%A0-pane-di-sorrento-berlin-2?osq=restaurant,"('Papà Pane di Sorrento', 'https://www.yelp.com/biz/pap%C3%A0-pane-di-sorrento-berlin-2?osq=restaurant', 'Italian')",Ackerstr. 23 10115 Berlin Germany
Steakhouse Asador,https://www.yelp.com/biz/steakhouse-asador-berlin-3?osq=restaurant,"('Steakhouse Asador', 'https://www.yelp.com/biz/steakhouse-asador-berlin-3?osq=restaurant', 'Steakhouses')",Wilhelmstr. 22 10963 Berlin Germany
12 Apostel,https://www.yelp.com/biz/12-apostel-berlin-2?osq=restaurant,Italian - Pizza,Georgenstr. 2 10117 Berlin Germany
Lon Men’s Noodle House,https://www.yelp.com/biz/lon-mens-noodle-house-berlin?osq=restaurant,Chinese - Fast Food,Kantstr. 33 10625 Berlin Germany
Good Friends,https://www.yelp.com/biz/good-friends-berlin?osq=restaurant,Chinese - Pan Asian,Kantstr. 30 10623 Berlin Germany
Good Time,https://www.yelp.com/biz/good-time-berlin-3?osq=restaurant,Indonesian - Thai,Hausvogteiplatz 11 10117 Berlin Germany
Hamy Café,https://www.yelp.com/biz/hamy-caf%C3%A9-berlin-2?osq=restaurant,"('Hamy Café', 'https://www.yelp.com/biz/hamy-caf%C3%A9-berlin-2?osq=restaurant', 'Vietnamese')",Hasenheide 10 10967 Berlin Germany
Schneeweiß-Berlin,https://www.yelp.com/biz/schneewei%C3%9F-berlin-berlin?osq=restaurant,"('Schneeweiß-Berlin', 'https://www.yelp.com/biz/schneewei%C3%9F-berlin-berlin?osq=restaurant', 'Modern European')",Simplonstr. 16 10245 Berlin Germany
AMRIT Restaurant Mitte,https://www.yelp.com/biz/amrit-restaurant-mitte-berlin-2?osq=restaurant,Indian - Cocktail Bars,Oranienburger Str. 45 10117 Berlin Germany
District Mot,https://www.yelp.com/biz/district-mot-berlin?osq=restaurant,"('District Mot', 'https://www.yelp.com/biz/district-mot-berlin?osq=restaurant', 'Vietnamese')",Rosenthaler Str. 62 10119 Berlin Germany
Chipps,https://www.yelp.com/biz/chipps-berlin?osq=restaurant,International - Breakfast & Brunch,Jägerstr. 35 10117 Berlin Germany
Royal Garden,https://www.yelp.com/biz/royal-garden-berlin?osq=restaurant,Chinese - Mongolian,Osdorfer Str. 26 12207 Berlin Germany
Route 66 Diner,https://www.yelp.com/biz/route-66-diner-berlin?osq=restaurant,Burgers - Diners,Pariser Str. 44 10707 Berlin Germany
Chén Chè Teehaus,https://www.yelp.com/biz/ch%C3%A9n-ch%C3%A8-teehaus-berlin-2?osq=restaurant,Vietnamese - Coffee & Tea,Rosenthaler Str. 13 10119 Berlin Germany
Zur Bratpfanne,https://www.yelp.com/biz/zur-bratpfanne-berlin?osq=restaurant,Curry Sausage - Fast Food,Schloßstraße 12163 Berlin Germany
Sowohlalsauch,https://www.yelp.com/biz/sowohlalsauch-berlin-2?osq=restaurant,Cafes - Patisserie/Cake Shop,Kollwitzstr. 88 10435 Berlin Germany
Hasir,https://www.yelp.com/biz/hasir-berlin-4?osq=restaurant,"('Hasir', 'https://www.yelp.com/biz/hasir-berlin-4?osq=restaurant', 'Turkish')",Adalbertstr. 10 10999 Berlin Germany
Vapiano,https://www.yelp.com/biz/vapiano-berlin-3?osq=restaurant,Italian - Cafeteria,Mittelstr. 51 - 52 10117 Berlin Germany
Goodies,https://www.yelp.com/biz/goodies-berlin?osq=restaurant,Vegan - Cafes,Warschauer Str. 69 10243 Berlin Germany
Peking Ente,https://www.yelp.com/biz/peking-ente-berlin-2?osq=restaurant,"('Peking Ente', 'https://www.yelp.com/biz/peking-ente-berlin-2?osq=restaurant', 'Dim Sum')",Voßstr. 1 10117 Berlin Germany
Yumcha Heroes,https://www.yelp.com/biz/yumcha-heroes-berlin?osq=restaurant,"('Yumcha Heroes', 'https://www.yelp.com/biz/yumcha-heroes-berlin?osq=restaurant', 'Dim Sum')",Weinbergsweg 8 10119 Berlin Germany
Zaika,https://www.yelp.com/biz/zaika-berlin?osq=restaurant,"('Zaika', 'https://www.yelp.com/biz/zaika-berlin?osq=restaurant', 'Indian')",Wichertstr. 57 10439 Berlin Germany
Café Einstein Stammhaus,https://www.yelp.com/biz/caf%C3%A9-einstein-stammhaus-berlin-4?osq=restaurant,Cafes - Austrian,Kurfürstenstr. 58 10785 Berlin Germany
Maria Bonita,https://www.yelp.com/biz/maria-bonita-berlin-3?osq=restaurant,"('Maria Bonita', 'https://www.yelp.com/biz/maria-bonita-berlin-3?osq=restaurant', 'Mexican')",Danziger Str. 33 10435 Berlin Germany
Rembrandt-Burger,https://www.yelp.com/biz/rembrandt-burger-berlin?osq=restaurant,"('Rembrandt-Burger', 'https://www.yelp.com/biz/rembrandt-burger-berlin?osq=restaurant', 'Burgers')",Richard-Sorge-Str. 21 10249 Berlin Germany
BLOCK HOUSE Am Alexanderplatz,https://www.yelp.com/biz/block-house-am-alexanderplatz-berlin-4?osq=restaurant,"('BLOCK HOUSE Am Alexanderplatz', 'https://www.yelp.com/biz/block-house-am-alexanderplatz-berlin-4?osq=restaurant', 'Steakhouses')",Karl-Liebknechtstr. 7 10178 Berlin Germany
Trattoria Libau,https://www.yelp.com/biz/trattoria-libau-berlin?osq=restaurant,Italian - Pizza,Libauer Str. 10 10245 Berlin Germany
Dolores,https://www.yelp.com/biz/dolores-berlin-3?osq=restaurant,"('Dolores', 'https://www.yelp.com/biz/dolores-berlin-3?osq=restaurant', 'Mexican')",Bayreuther Str. 36 10789 Berlin Germany
Schleusenkrug,https://www.yelp.com/biz/schleusenkrug-berlin?osq=restaurant,Dive Bars - Beer Garden,Müller-Breslau-Str. 14 b 10623 Berlin Germany
Kuchi,https://www.yelp.com/biz/kuchi-berlin?osq=restaurant,Sushi Bars - Pan Asian,Kantstr. 30 10623 Berlin Germany
Stadtklause,https://www.yelp.com/biz/stadtklause-berlin?osq=restaurant,"('Stadtklause', 'https://www.yelp.com/biz/stadtklause-berlin?osq=restaurant', 'German')",Bernburger Str. 35 10963 Berlin Germany
Toca Rouge,https://www.yelp.com/biz/toca-rouge-berlin?osq=restaurant,Chinese - Pan Asian,Torstr. 195 10115 Berlin Germany
Kuchenrausch,https://www.yelp.com/biz/kuchenrausch-berlin?osq=restaurant,Breakfast & Brunch - Patisserie/Cake Shop,Simon-Dach-Str. 1 10245 Berlin Germany
