Titre,Lien_du_titre,image,note,venueindex,catégorie,prix,adresse,étiquette,avatar,tiptext,auteur,utilisateur_lien,utilisateur
Vondelpark,https://fr.foursquare.com/v/vondelpark/4a27071df964a520f98c1fe3,https://fastly.4sqi.net/img/general/600x600/19252161_ARUL4HAB4IF07oV4Qjs5edMUChk8DzKPJ31bwtsJ34E.jpg,9.5,1,Parc,,"Vondelpark, Amsterdam",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/81760655-CZHSXMEZLBPVKKP1.jpg,"hussein s. • Septembre 18, 2019
Vraie merveille. Entrez en parfaite symbiose avec la nature en plein coeur de la ville. Aires de repos un peu partout, aire de jeu pour enfants, espaces pour animaux. Jardins soigneusement entretenus","hussein s. • Septembre 18, 2019",https://fr.foursquare.com/hussein_ayiti,hussein s.
De Koffieschenkerij,https://fr.foursquare.com/v/de-koffieschenkerij/51d98583498e78da6626be60,https://fastly.4sqi.net/img/general/600x600/39032647_WUSRBzDtbjMtA2Fg-W_qHoPd9DTHQ_RSKscgsgT_CQg.jpg,9.5,2,Coffee Shop,€€€€,"Oudekerksplein 27 (Oudezijds Voorburgwal), Amsterdam",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/182037828-FLLDJ5JAUVK1JKRE.jpg,"Clastiche C. • Juillet 21, 2016
Terrasse cachée très champêtre. Idéal pour prendre un café au calme.","Clastiche C. • Juillet 21, 2016",https://fr.foursquare.com/clasticc1187899,Clastiche C.
Concerto Records,https://fr.foursquare.com/v/concerto-records/4a742bfbf964a520bedd1fe3,https://fastly.4sqi.net/img/general/600x600/1925459_FVEBRLt2Sc3rorCYYLyBvl4nsYhaSZAGvxTN6QZSlpM.jpg,9.5,3,Disquaire,,"Utrechtsestraat 52-60 (Keizersgracht), Amsterdam",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/8629759-OS3OOVN4U2KEMNEN.jpg,"Gaël G. • Décembre 28, 2012
Des CD encore et toujours sur plusieurs niveaux et dans plusieurs bâtiments ! Une adresse inévitable pour celui qui cherche de l'originalité.","Gaël G. • Décembre 28, 2012",https://fr.foursquare.com/gael_g2b,Gaël G.
Westerpark,https://fr.foursquare.com/v/westerpark/4a27071ef964a520ff8c1fe3,https://fastly.4sqi.net/img/general/600x600/17660276_y59q6VdJI4GL5t5WuMJ1A06haM0NQRhcXGQ7SXN-3KE.jpg,9.4,4,Parc,,"Haarlemmerweg, Amsterdam",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/3VTBT0XGFMPZK0M4.jpg,"Neil • Mai 22, 2010A great place for....most things you would like to do in a park.  Picnic, relaxing strolls, soak in some sun, go for a run, people watch etc.  Also, it's not as busy as Vondelpark so that's a bonus","Neil • Mai 22, 2010",https://fr.foursquare.com/neil9472835,Neil
Amsterdamse Grachten,https://fr.foursquare.com/v/amsterdamse-grachten/4c7a850e97028cfaae4fdefe,https://fastly.4sqi.net/img/general/600x600/937mVDqH53N5lpD_bmEPNq3eA5Lvnf8lTIwKmwM8VfA.jpg,9.4,5,Canal,,"Prinsengracht, Keizersgracht, Herengracht & Singel, Amsterdam",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/53952420_71so97T4_4HIm1XV6Gi91f26iDp_y0j8R4PQBCHZUaAVVIPBQhj9PoXACSJTAOr-uIomA8Jjt.jpg,"Viviane Tâm L. • Janvier 21, 2017
Magnifique pour les promenades romantiques","Viviane Tâm L. • Janvier 21, 2017",https://fr.foursquare.com/laviane,Viviane Tâm L.
Sofitel Legend The Grand Amsterdam,https://fr.foursquare.com/v/sofitel-legend-the-grand-amsterdam/4a270666f964a520d88a1fe3,https://fastly.4sqi.net/img/general/600x600/22405905_eZlKMSjLLu99C3SzlotcKvXsKm4KLkFTds01sHwYMSQ.jpg,9.4,6,Hôtel,,"Oudezijds Voorburgwal 197, Amsterdam",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/8629759-OS3OOVN4U2KEMNEN.jpg,"Gaël G. • Avril 1, 2012
**** : le SoSpa avec piscine, hammam et jacuzzi; le coin library; le service 5*; une belle cour intérieure. Les - : Un bâtiment sans grand intérêt; des ouvertures de salle de bain étranges.","Gaël G. • Avril 1, 2012",https://fr.foursquare.com/gael_g2b,Gaël G.
Bistrot des Alpes,https://fr.foursquare.com/v/bistrot-des-alpes/54f5efa2498e33a9d04091e6,https://fastly.4sqi.net/img/general/600x600/45060652_qNYahOfdOr-4MY3pVbzonSP5ePaAAm79QAZqKp1Qqs0.jpg,9.4,7,Française,€€€€,"Utrechtsedwarsstraat 141, Amsterdam",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/33008221_bqDXQcFv_kQ8QEYRnk-edbEfYqJLZpNE7QjBmvJ4_sHob0yQI_AH_9sM0JOZ7k-EvBx6Y94GV.jpg,"Dominic M. • Octobre 3, 2017
Great French mountain food with all kinds of melted cheese (fondue, raclette, etc.). They also serve curated meats and more French specialties. Their staff will welcome you in French, Dutch or English","Dominic M. • Octobre 3, 2017",https://fr.foursquare.com/dominicm7279449,Dominic M.
Le Fournil de Sébastien,https://fr.foursquare.com/v/le-fournil-de-s%C3%A9bastien/4a7d0cdcf964a5206aee1fe3,https://fastly.4sqi.net/img/general/600x600/100456_6LojLn1cPzinV7wxf2RtX1q6_o7CV1l84vCyJErjzCk.jpg,9.4,8,Boulangerie,€€€€,"Olympiaplein 119 (Stadionweg), Amsterdam",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/OWODLWP4LRFMSTW2.jpg,"Mischa V. • Février 21, 2011
Pain au chocolat en de Noix, vaste prik!","Mischa V. • Février 21, 2011",https://fr.foursquare.com/miessja,Mischa V.
Rosalia's Menagerie,https://fr.foursquare.com/v/rosalias-menagerie/589e54ab2c55ec7cf2e2f707,https://fastly.4sqi.net/img/general/600x600/26504858_qsl4CGt9HohqjGz-MD_vQwZj6K9m2paXGBuUtc2LUaY.jpg,9.4,9,Cocktail,€€€€,"Kloveniersburgwal 20 (Koestraat), Amsterdam",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/GJ0NILLTYJEVCKW4.jpg,"Fernanda D. • Septembre 29, 2019
Best cocktails in Amsterdam. Small, quiet, classy and delicious","Fernanda D. • Septembre 29, 2019",https://fr.foursquare.com/le_dudette,Fernanda D.
Flevopark,https://fr.foursquare.com/v/flevopark/4bfa7a9d508c0f470f1e4031,https://fastly.4sqi.net/img/general/600x600/73316096_xHCG0hVT2tEJaD63aSgbxb2hNUzonWHZnjonINad2qM.jpg,9.4,10,Parc,,"Nieuwe Diep, Amsterdam",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/24719987-P1VYUSF5NQ2XL2HX.jpg,"Marten B. • Avril 3, 2016
Real relaxing park with nice views, cool places to eat and drink. On the edge of Amsterdam east","Marten B. • Avril 3, 2016",https://fr.foursquare.com/martenbos,Marten B.
Brouwerij 't IJ,https://fr.foursquare.com/v/brouwerij-t-ij/50cb87f6e4b05e0e48705df3,https://fastly.4sqi.net/img/general/600x600/10234431_Vjlfc7pKPcIU4JnA-Y7qqnNwuYxXtKvTMsG79Q_Auno.jpg,9.4,11,Brasseur,€€€€,"Funenkade 7 (Zeeburgerpad), Amsterdam",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/13192137_di81chEy_Irh2vNXQPPk9Ab2UtXwSJas_P3zkA2x879BwL_ntrVD1L-y76i7HyzEHIAfXqKc3.jpg,"Gilles S. • Mai 6, 2015
Super adresse pour boire des bières maison. Elles sont si connues qu'on les retrouve dans tous les albert heijn. Attention, ca ferme tot (21h environ)","Gilles S. • Mai 6, 2015",https://fr.foursquare.com/gillessuprin,Gilles S.
"The Lobby, Fizeaustraat",https://fr.foursquare.com/v/the-lobby-fizeaustraat/5762feca498ec7181dcd8579,https://fastly.4sqi.net/img/general/600x600/25031608_FRAtfLZ-gKyfAQNJRnRxKVvdXWqquGyE_Qha7qASMF8.jpg,9.4,12,Française,€€€€,"Fizeaustraat 2, Amsterdam",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/336600075-VUWYEJDPAMAOFDWJ.jpg,"Dorien L. • Janvier 22, 2017
Great atmosphere, lovely food and very hospitable! Loved the spicy carrot soup!","Dorien L. • Janvier 22, 2017",https://fr.foursquare.com/dorienl8582567,Dorien L.
Het Concertgebouw,https://fr.foursquare.com/v/het-concertgebouw/4a27db92f964a52094941fe3,https://fastly.4sqi.net/img/general/600x600/41546651__xpZQVxRnqemgX01aWNzO2S1kUNaOCPqLb918E1mbU0.jpg,9.4,13,Salle de concert,€€€€,"Concertgebouwplein 2-6 (Van Baerlestraat), Amsterdam",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/73522469-H5GQGVZFXTTZW4TI.jpg,"Alex L. • Janvier 16, 2016
Renaud Capuçon: top!! La ""kleine Saal"" du concertgebouw est vraiment très belle...","Alex L. • Janvier 16, 2016",https://fr.foursquare.com/alexl7810003,Alex L.
Margherita Tutta La Vita!,https://fr.foursquare.com/v/margherita-tutta-la-vita/557ee469498e467dec98aef2,https://fastly.4sqi.net/img/general/600x600/151884462_iZ0ILhTcTEAuABT-ni07-Wu83SIi-eqMmXZqCwAV2tI.jpg,9.4,14,Pizza,€€€€,"Dalsteindreef 54, Diemen",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/Q0HSBLGJB2XSLTET.jpg,"Nikola K. • Août 16, 2019
Great pizza! Also other things, such as lasagna are awesome.","Nikola K. • Août 16, 2019",https://fr.foursquare.com/dzoniiiii,Nikola K.
Rijksmuseum Garden,https://fr.foursquare.com/v/rijksmuseum-garden/4db2d469f7b121c29f284fad,https://fastly.4sqi.net/img/general/600x600/1388713775_huYneLp9-nyIx62x7u70b6YYBWP-e00G_yuED91pRHk.jpg,9.4,15,Jardin,,"Museumstraat 1, Amsterdam",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/EN2GTKPDPFWG50L5.jpg,"Amaurea G. • Avril 27, 2014
Jardin coloré et charmant, jet d'eau amusant.","Amaurea G. • Avril 27, 2014",https://fr.foursquare.com/amaurea,Amaurea G.
