Titre,image,note,venueindex,champ,champ1,catégorie,prix,étiquette,avatar,tiptext,auteur,utilisateur_lien,utilisateur
"Frederiksberg Runddel 1A (btwn Søndre Fasanvej & Pile Allé), Frederiksberg",https://fastly.4sqi.net/img/general/600x600/4295512_cd_M5DC8rWvuekBPhS_teAysra5pOdi2P8V30clRbr4.jpg,9.5,1,https://fr.foursquare.com/v/frederiksberg-have/4bf93b36b182c9b69b90785a,Frederiksberg Have,Parc,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/THC4GVQDAV2PEJ0S.jpg,"Thomas W. • Juillet 20, 2013
Nice park to hang out in. Also a sweet place for a run, which is Very popular","Thomas W. • Juillet 20, 2013",https://fr.foursquare.com/thomasw4538635,Thomas W.
"Reshalevej 141A, Copenhague",https://fastly.4sqi.net/img/general/600x600/60865140_qm_Ei9rH2puegx-djeQW3gLzgJvtHFzzmvXZCOmtKQ4.jpg,9.5,2,https://fr.foursquare.com/v/la-banchina/571df3cb498e64cbd0833639,La Banchina,Restaurant,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/PUCJFAINLXDIK5PH.jpg,"Tim U. • Juillet 4, 2016
A cool place to visit by boat. We had a perfectly made risotto ai calamari - the only dish on the menu. They also have a simple and nice wine list.","Tim U. • Juillet 4, 2016",https://fr.foursquare.com/timustrup,Tim U.
"Gothersgade, Copenhague",https://fastly.4sqi.net/img/general/600x600/79733289_nuAA-zB9Dh9wJpIWIes9afNiDp0lvQ6QFnWA9NL0zAI.jpg,9.5,3,https://fr.foursquare.com/v/kongens-have/4bc889e58b7c9c74474a38cf,Kongens Have,Parc,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/VRZHJVPRRFXWYTIP.jpg,"hamad t. • Juillet 25, 2011
gorgeous park in the center of copenhagen. really nicely kept grass, paths and statues.","hamad t. • Juillet 25, 2011",https://fr.foursquare.com/pendolino,hamad t.
"Amager Strandvej (Amager Strand), Copenhague",https://fastly.4sqi.net/img/general/600x600/8735991_vleZd0Q0pGfenVDwNa5Sgf9sAjTBsYrOVtAt8763Bms.jpg,9.4,4,https://fr.foursquare.com/v/amager-strandpark/4b76c469f964a520af5d2ee3,Amager Strandpark,Plage,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/40829472_l6ehLc1Q_8oVwBHt40noyiEbWXbX7pYPwsHEnINCpgh55J_xgjKGCmnQhBpQgF7yf1bjvfOZo.jpg,"Murat • Février 24, 2018
Great beach; perfect for any recreational activity, biking, roller blading, picnic, picnic. Some part is sand, some part is grass. Easy to access with metro. Only issue is availability to toilet.","Murat • Février 24, 2018",https://fr.foursquare.com/drmrtyldrm,Murat
"Emil Holms Kanal 20 (DR Byen), København S",https://fastly.4sqi.net/img/general/600x600/5462427_evs15tMhDPBKH0uzE3WQ3lV-YT6099yNL9kybotG6s8.jpg,9.4,5,https://fr.foursquare.com/v/koncerthuset/4b12c1eaf964a520828d23e3,Koncerthuset,Salle de concert,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/56375738-S540SXSVMU1TSALC.jpg,"Katerina • Janvier 26, 2015
Amazing place, looking forward to coming back!","Katerina • Janvier 26, 2015",https://fr.foursquare.com/katerina5296996,Katerina
"Vestmannagade 4, Copenhague",https://fastly.4sqi.net/img/general/600x600/1433702_FPAn9xZSsS1Cz4HuSnsgK7DcuL0P8QIY50mhc3R87nY.jpg,9.4,6,https://fr.foursquare.com/v/roast-coffee/557ab2e2498ea3ff8d39e4e8,ROAST Coffee,Coffee Shop,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/2KNI0HXHURMKC31L.png,"Rasmus N. • Mars 8, 2016
Lovely small roastery. Great coffee and polite owner. Try their pour-overs.","Rasmus N. • Mars 8, 2016",https://fr.foursquare.com/rasmusn9801170,Rasmus N.
"Rued Langgaards Vej 6E, København S",https://fastly.4sqi.net/img/general/600x600/62789330_rhYI2TG1HVFYvDAPUX-DfsQoEa8ywGzhZWA62M7H4pI.jpg,9.4,7,https://fr.foursquare.com/v/ismageriet/4b080959f964a520b50223e3,Ismageriet,Glace,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/1427528_5VgFSQaq_1VIkPwknsyxgGhN-5T3ECYyw1KNIGhxAFmGiK4DsVh4ybpiURBVRDTLRRmmpgVvT.jpg,"Johnny A. • Juin 19, 2020
Quality ice cream with a huge selection and a nice atmosphere. Plenty of places to sit outside.","Johnny A. • Juin 19, 2020",https://fr.foursquare.com/daduck,Johnny A.
"Århusgade 48, Copenhague",https://fastly.4sqi.net/img/general/600x600/54122613_DP98PxT8dW97QNLuNlCdrE6Jx8DypddckZQQ7gkwHRU.jpg,9.4,8,https://fr.foursquare.com/v/juno-the-bakery/5a1da47418d43b3a0c55c6dd,Juno The Bakery,Boulangerie,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/60485531_D2TU4sEa_1Jl3lYnaA1oF4FayqzMJchoptId2ctOzP_is6clhXwj3fAvl0YkCymcyx0G-7t8G.jpg,"Martin J. • Février 1, 2020
Great cardamon buns and classic Danish rye bread.","Martin J. • Février 1, 2020",https://fr.foursquare.com/martinj9658639,Martin J.
"Kongens Nytorv 9, København K",https://fastly.4sqi.net/img/general/600x600/106724980_QQpnEJ_rvkYsR_8k4d1qmdAqifb18eVoeFDXoAFrov0.jpg,9.4,9,https://fr.foursquare.com/v/det-kongelige-teater/4c6e26f9a437224bfa412fb1,Det Kongelige Teater,Théâtre,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/4372013_7Ceb0kXk_vxawShVQo6Pe4pntiTw7tn3oRyOR9N-solq1Uf7T6-2fCRB1yFNiZsZe0m-7s0PA.jpg,"Morten G. • Janvier 28, 2016
The building is beautiful and the view and acoustics are extraordinary. Worth a visit.","Morten G. • Janvier 28, 2016",https://fr.foursquare.com/mgrantzau,Morten G.
"Rosenvængets Allé 7c, Copenhagen",https://fastly.4sqi.net/img/general/600x600/206381182_MbEYUkqLEHcBwV4s4GTnx2VdiYBcTGmVj8Q3D_5shZ0.jpg,9.4,10,https://fr.foursquare.com/v/%C3%B8sterberg/53a2fbe5498e0f06f2c20bcb,Østerberg,Glace,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/blank_boy.png,"Rli R. • Juillet 29, 2016
The best ice cream ever with with amazing flavors","Rli R. • Juillet 29, 2016",https://fr.foursquare.com/rlir7525797,Rli R.
