Titre,Lien_du_titre,image,note,venueindex,catégorie,prix,adresse,étiquette,avatar,tiptext,auteur,utilisateur_lien,utilisateur
Howth Cliff Walk,https://fr.foursquare.com/v/howth-cliff-walk/4c9691f5bc279c74473d6853,https://fastly.4sqi.net/img/general/600x600/94709035_7XQzPdKZFe6W9xE8f4_Kh96JZvAhDGDHxZ46W_U3hMY.jpg,9.6,1,Chemin,,"Ballscadden Rd, Howth",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/13883236_MgF501U4_YgYe6w_X2FL8BG7pLzY05DNPzwWo3jyFWkZN0uFmHbdcv2QyY2oeBQcbGaZrfc7P.jpg,"Memet Can A. • Mars 21, 2018
It's such a wonderful place to visit. Peaceful and with amazing wiev 😄","Memet Can A. • Mars 21, 2018",https://fr.foursquare.com/mcagim,Memet Can A.
Phoenix Park,https://fr.foursquare.com/v/phoenix-park/4ade0f12f964a520087121e3,https://fastly.4sqi.net/img/general/600x600/71967452_H6cEecTCloIy5Vyvcu3wfQf0jenwBDhIEIVZ0Jo6tt4.jpg,9.5,2,Parc,,"Parkgate St, Dublin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/KXIX3MOXNFHPYGY3.jpg,"Aaron T. • Août 20, 2020
Huge park. Lots to see. Nice deer.","Aaron T. • Août 20, 2020",https://fr.foursquare.com/aaront6857594,Aaron T.
St Stephen's Green,https://fr.foursquare.com/v/st-stephens-green/4b2750dcf964a520d78524e3,https://fastly.4sqi.net/img/general/600x600/140853617_9yCLjO1Y1qIW7zjgtqWQMBFPyiaf36uQ-7bB_a_hWxw.jpg,9.5,3,Parc,,"Faiche Stiabhna, Dublin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/29072572_XsfM9DsS_mpOZ5UUKvYRvZsbZwDXXWYaTR2BXB-QGI3HVL-XG0FlpjjhlrqX5lGNSyO1tgUKk.jpg,"Paula S. • Septembre 23, 2012
Plenty of green space for lunch or relax during break at work, just perfect","Paula S. • Septembre 23, 2012",https://fr.foursquare.com/paulas8150826,Paula S.
Hodges Figgis,https://fr.foursquare.com/v/hodges-figgis/4af44019f964a520e1f021e3,https://fastly.4sqi.net/img/general/600x600/16596522_B01yzM35IRoS1j5GbZ2_sSSQEtQ0i16GFwMfFSZrspI.jpg,9.4,4,Librairie,,"56-58 Dawson St, Dublin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/27438056-RP2HIGHTBQWRARPL.jpg,"Dilek U. • Septembre 27, 2015
One of the best bookstores in Dublin. It is quite big with a lot of sections.","Dilek U. • Septembre 27, 2015",https://fr.foursquare.com/dileku5152903,Dilek U.
Irish National War Memorial Gardens,https://fr.foursquare.com/v/irish-national-war-memorial-gardens/4e11ee72ae602afe96c11aa6,https://fastly.4sqi.net/img/general/600x600/84592181_RorkyflPnQz57W6A502NH5rlCaKsp8-emSLD4-8RFis.jpg,9.4,5,Jardin,,"Gairdíní Náisiúnta Cuimhneacháin Cogaidh na hÉireann, Islandbridge, Dublin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/blank_boy.png,"Arnaud E. • Septembre 9, 2018
Le jardin aux roses est très romantique !","Arnaud E. • Septembre 9, 2018",https://fr.foursquare.com/arnaude3241738,Arnaud E.
147 Deli,https://fr.foursquare.com/v/147-deli/52dd4d27498ec2361514b507,https://fastly.4sqi.net/img/general/600x600/7269674_tpBR11cfJmf7PgFHBZ8cusFjkpZwzJMPkcqcQ02ORLg.jpg,9.3,6,Épicerie fine,€€€€,"147 Parnell St, Dublin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/87287161_fpjsaTOM_pF3XoTeEpUlxadjgkGGF3LVle7OY38vDA-EVWzINa_xPlL1w5oV7nNzACJpvIAkH.jpg,"Khalid A. • Octobre 6, 2018
Superb staff, and great sandwiches. Their cheesesteak was tender and savory. Loved it!","Khalid A. • Octobre 6, 2018",https://fr.foursquare.com/khalida5990807,Khalid A.
Little Bird,https://fr.foursquare.com/v/little-bird/568e4c83498e1773d5fe844c,https://ss3.4sqi.net/img/categories_v2/food/cafe_512.png,9.3,7,Café,€€€€,82 South Circular Rd,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/1169119-L112JQWOQ0CBCE1W.jpg,"Margherita B. • Avril 9, 2018
Cosy and intimate coffee spot, with very friendly stuff. The scones are to die for","Margherita B. • Avril 9, 2018",https://fr.foursquare.com/iammargherita,Margherita B.
Sandymount Strand,https://fr.foursquare.com/v/sandymount-strand/4b07ee50f964a5203f0123e3,https://fastly.4sqi.net/img/general/600x600/867387_mli7J8Xbnuiiae5B2Q0PwQ2gaLPs8no-E5eOzJH5qU8.jpg,9.3,8,Plage,,"Strand Rd, Dublin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/QCUCNATWWW4RAIAP.jpg,"Ronan L. • Mai 14, 2017
Great for walking the dog, going for a jog, or just admiring the views.","Ronan L. • Mai 14, 2017",https://fr.foursquare.com/ronanlyons,Ronan L.
St Anne's Park & Rose Gardens,https://fr.foursquare.com/v/st-annes-park--rose-gardens/4ade0f20f964a5202d7121e3,https://fastly.4sqi.net/img/general/600x600/52675040_0DhEJZC_afriBLw6Yap485rVCFAskyQODAnQSfsDwKU.jpg,9.3,9,Parc,,"All Saints Rd, Dublin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/A55UYALJPFTIQKGY.jpg,"Mick O. • Juin 11, 2011
Lovely Park... Great for a walk or run & really nice Market in Red Stables","Mick O. • Juin 11, 2011",https://fr.foursquare.com/micko5135338,Mick O.
St Patrick's Park,https://fr.foursquare.com/v/st-patricks-park/4bc1e1cc2a89ef3b2cd1f288,https://fastly.4sqi.net/img/general/600x600/39887477_oWnVr3kxHA2egtth2aiQa3esNWH6EPR3rn6yyqIJYOI.jpg,9.3,10,Parc,,"Patrick St, Dublin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/137881633-A2IWR0BACAUZHQLX.jpg,"Sofia G. • Octobre 15, 2015
Cosy park, perfect to chill out during a sunny day!","Sofia G. • Octobre 15, 2015",https://fr.foursquare.com/sofiag9211006,Sofia G.
