Titre,image,note,venueindex,champ,champ1,catégorie,prix,étiquette,avatar,tiptext,auteur,utilisateur_lien,utilisateur
"Santa Luzia, Lisbonne",https://fastly.4sqi.net/img/general/600x600/152362034_mz86jHoz20QLF-fd68552Xvddi55pdJLEQJ0A1oEwag.jpg,9.5,1,https://fr.foursquare.com/v/miradouro-de-santa-luzia/4b0588a2f964a5200bd122e3,Miradouro de Santa Luzia,Belvédère / Panorama,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/166695296_cY2Fwpk8_V17pIX6yKotxh_UIP1z6CHLmiEIvN0nP4uXQDIL5hkuxm6DcymGjWlPoQDxklNoJ.jpg,"Léa R. • Février 8, 2017
Très bon spot pour avoir une belle vue et un joli ciel rosé au moment du coucher du soleil.","Léa R. • Février 8, 2017",https://fr.foursquare.com/lear4613308,Léa R.
"Castelo de São Jorge, Lisbonne",https://fastly.4sqi.net/img/general/600x600/6385444_xDb0yRh36FY71NnDHR3r3xlEnh37zbYefa3kZSkNE9g.jpg,9.5,2,https://fr.foursquare.com/v/miradouro-do-castelo-de-s%C3%A3o-jorge/4dbbda364b222080d38232c2,Miradouro do Castelo de São Jorge,Belvédère / Panorama,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/VDA03FNJ1HJHSCAU.jpg,"Maurice I. • Septembre 16, 2018
La salade de burrata était parfaite !","Maurice I. • Septembre 16, 2018",https://fr.foursquare.com/mauricei4139413,Maurice I.
"R. Senhora do Monte, Lisbonne",https://fastly.4sqi.net/img/general/600x600/24652063_fUVjPC9yCo053_9Pfwe-Y8uMage1oG5QsYK9HPAx8Vg.jpg,9.5,3,https://fr.foursquare.com/v/miradouro-da-senhora-do-monte/4c151a7ca9c220a1568e589d,Miradouro da Senhora do Monte,Belvédère / Panorama,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/24494050_FHWa15aP_iSHOkb6r2nOo-veDyYdnTEpRARy_nuC2rAnvwWDu1nRR9eMnmG2S39gz9JIJNckR.jpg,"Frédéric L. • Septembre 10, 2016
Belvédère offrant certainement la meilleure vue sur toute la ville.","Frédéric L. • Septembre 10, 2016",https://fr.foursquare.com/frederil9118280,Frédéric L.
"R. de São Pedro de Alcântara, Lisbonne",https://fastly.4sqi.net/img/general/600x600/71888622_7zC3vd2ByhScLoqLupLUAYk3_rfGC8Swe2euWhIgBkw.jpg,9.4,4,https://fr.foursquare.com/v/miradouro-de-s%C3%A3o-pedro-de-alc%C3%A2ntara/4b0588a2f964a5200dd122e3,Miradouro de São Pedro de Alcântara,Belvédère / Panorama,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/81719400-XHHJRA5T3GFTTUQY.jpg,"Pierre-Etienne C. • Août 22, 2014
Très belle vue. Pas mal de banc à l'ombre pour faire une petite pause.","Pierre-Etienne C. • Août 22, 2014",https://fr.foursquare.com/pierreec1095550,Pierre-Etienne C.
"Rua das Flores, 41-43, Lisbonne",https://fastly.4sqi.net/img/general/600x600/20398_k5bGNuQbdteJAm0C_TALWRn6rJUzy3KkzKJvcXrx1Uk.jpg,9.4,5,https://fr.foursquare.com/v/by-the-wine--jos%C3%A9-maria-da-fonseca/54b076cf498e5e44af67b414,By the Wine - José Maria da Fonseca,Bar à vins,€€€€,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/24494050_FHWa15aP_iSHOkb6r2nOo-veDyYdnTEpRARy_nuC2rAnvwWDu1nRR9eMnmG2S39gz9JIJNckR.jpg,"Frédéric L. • Novembre 10, 2019
Une impressionnante voûte de bouteilles de verre donnent à ce local un décor unique et très original.","Frédéric L. • Novembre 10, 2019",https://fr.foursquare.com/frederil9118280,Frédéric L.
"Av. de Berna, 45A (R. do Marquês de Sá Bandeira 56), Lisbonne",https://fastly.4sqi.net/img/general/600x600/70172981_qN9F8d8Apqmy9J-qiH19JTl55oTfwwwnbBPWJorxmBM.jpg,9.4,6,https://fr.foursquare.com/v/jardim-da-funda%C3%A7%C3%A3o-calouste-gulbenkian/4bd836cc35aad13ad54c90f3,Jardim da Fundação Calouste Gulbenkian,Sculpture,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/41061414-P2U2Y1EEAIRSTS4Q.jpg,"Asma A. • Octobre 4, 2016
Petit jardin magnifique avec un petit lac où on peut se poser tranquillement pour profiter du soleil.","Asma A. • Octobre 4, 2016",https://fr.foursquare.com/asmaabdelmalek,Asma A.
"R. Augusta, 1 (Pç. do Comércio), Lisbonne",https://fastly.4sqi.net/img/general/600x600/23215297_popPsd-xT78KVWJMO3YAAXffUAynHOPi-fyOtAQbmr4.jpg,9.4,7,https://fr.foursquare.com/v/arco-da-rua-augusta/4b0588a2f964a52006d122e3,Arco da Rua Augusta,Monument,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/KEWESB2GT1LPHCVA.jpg,"Frederico R. • Août 16, 2013
Pack Lisboa Story Centre e Arco fica 15% mais barato.","Frederico R. • Août 16, 2013",https://fr.foursquare.com/fredvrodrigues,Frederico R.
"Pç. do Comércio, Lisbonne",https://fastly.4sqi.net/img/general/600x600/41221807_X_AiFJubtv0XehKp9xagRz0QCbPg_U2xctAPvglVnjE.jpg,9.4,8,https://fr.foursquare.com/v/pra%C3%A7a-do-com%C3%A9rcio/4b0588a2f964a52008d122e3,Praça do Comércio,Place,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/83481718-2C4EYKCJNW2BFAFL.jpg,"Clémence G. • Juillet 1, 2016
Place mythique, j'y suis passé 3 fois il y'avait toujours du monde et on vous propose souvent de la drogue. Des restaurants se trouvent de tous les côtés de la place, vue sur la mer !","Clémence G. • Juillet 1, 2016",https://fr.foursquare.com/clemencg5615331,Clémence G.
"R. Nova da Piedade, 68 (R. de São Bento), Lisbonne",https://fastly.4sqi.net/img/general/600x600/48734986_iW8aUoPcbxVosEcNEA0wtoX5cSmjnnqtZlyf0712o_Q.jpg,9.4,9,https://fr.foursquare.com/v/nannarella/51409151e4b0b7e80f1fb6ae,Nannarella,Glace,€€€€,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/blank_boy.png,"Fl C. • Septembre 20, 2016
L'un des meilleurs glaciers que j'ai pu tester. A tester résolument.","Fl C. • Septembre 20, 2016",https://fr.foursquare.com/flc7416711,Fl C.
"Cais das Naus, Lisbonne",https://fastly.4sqi.net/img/general/600x600/1372065_1h9VZql3ek3M6QAGqN-kSRnSy3tQX96lQXVAOA1ceZc.jpg,9.3,10,https://fr.foursquare.com/v/myriad-by-sana-hotels/5054f4cde4b0d070fc9e16e3,Myriad by SANA Hotels,Hôtel,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/145634326-N1DKRIXWXFMUYSR0.jpg,"Imré • Novembre 24, 2015
La piscine est fabuleuse. Le restaurant brunch au RDC sur la terrasse qui donne une vue sur la mer à plus de 250 degrés. Et dans la chambre, le fauteuil suspendu est à essayer absolument... À deux !!","Imré • Novembre 24, 2015",https://fr.foursquare.com/imre3574543,Imré
